Value,AFRICA_2024_DynamicWorld_2024_36PWA_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PWA_M_R,AFRICA_2024_GLC_FCS30D_2022_36PWA_M_R,AFRICA_2024_GSW_Yearly_2021_36PWA_M_R,AFRICA_2024_GWL_FCS30D_2022_36PWA_M_R,AFRICA_2024_WorldCover_2021_36PWA_M_R
121,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
122,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
123,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
124,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
125,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
126,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
127,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland
128,NULL,Cropland,NULL,Non_Water,Non_Wetland,Cropland
129,NULL,Cropland,NULL,Non_Water,Non_Wetland,Forest
130,NULL,Cropland,NULL,Water,Non_Wetland,Cropland
131,NULL,Cropland,NULL,Water,Non_Wetland,Wetland
132,NULL,Cropland,NULL,Water,Non_Wetland,Forest
133,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
134,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
135,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
136,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
137,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
138,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
139,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
140,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
141,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
142,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
143,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
144,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
145,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
146,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland
147,NULL,Cropland,Shrubland,Water,Non_Wetland,Wetland
148,NULL,Cropland,Shrubland,Water,Non_Wetland,Forest
149,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
150,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
151,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
152,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
153,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
154,NULL,Cropland,Grassland,NULL,Non_Wetland,Water
155,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
156,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
157,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
158,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Bareland
159,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Forest
160,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland
161,NULL,Cropland,Grassland,Water,Non_Wetland,Cropland
162,NULL,Cropland,Grassland,Water,Non_Wetland,Bareland
163,NULL,Cropland,Grassland,Water,Non_Wetland,Forest
164,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
165,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
166,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
167,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
168,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
169,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
170,NULL,Cropland,Cropland,NULL,Non_Wetland,Water
171,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
172,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL
173,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
174,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
175,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Wetland
176,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Bareland
177,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Forest
178,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
179,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
180,NULL,Cropland,Cropland,Water,Non_Wetland,Wetland
181,NULL,Cropland,Cropland,Water,Non_Wetland,Bareland
182,NULL,Cropland,Cropland,Water,Non_Wetland,Water
183,NULL,Cropland,Cropland,Water,Non_Wetland,Forest
184,NULL,Cropland,Wetland,NULL,Wetland,NULL
185,NULL,Cropland,Wetland,NULL,Wetland,Grassland
186,NULL,Cropland,Wetland,NULL,Wetland,Cropland
187,NULL,Cropland,Wetland,NULL,Wetland,Wetland
188,NULL,Cropland,Wetland,NULL,Wetland,Forest
189,NULL,Cropland,Wetland,Non_Water,Wetland,NULL
190,NULL,Cropland,Wetland,Non_Water,Wetland,Grassland
191,NULL,Cropland,Wetland,Non_Water,Wetland,Cropland
192,NULL,Cropland,Wetland,Non_Water,Wetland,Wetland
193,NULL,Cropland,Wetland,Non_Water,Wetland,Forest
194,NULL,Cropland,Wetland,Water,Wetland,Grassland
195,NULL,Cropland,Wetland,Water,Wetland,Cropland
196,NULL,Cropland,Wetland,Water,Wetland,Wetland
197,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
198,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
199,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
200,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
201,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
202,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
203,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
204,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
205,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
206,NULL,Cropland,Bareland,Water,Non_Wetland,Cropland
207,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
208,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
209,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
210,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
211,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
212,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
213,NULL,Cropland,Built-up,Water,Non_Wetland,Cropland
214,NULL,Cropland,Water,NULL,Water,Cropland
215,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
216,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
217,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
218,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
219,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
220,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL
221,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
222,NULL,Cropland,Forest,Non_Water,Non_Wetland,Cropland
223,NULL,Cropland,Forest,Non_Water,Non_Wetland,Wetland
224,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
225,NULL,Cropland,Forest,Water,Non_Wetland,Cropland
226,NULL,Cropland,Forest,Water,Non_Wetland,Wetland
227,NULL,Cropland,Forest,Water,Non_Wetland,Forest
228,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
229,NULL,Wetland,Shrubland,NULL,Non_Wetland,Cropland
230,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
231,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Cropland
232,NULL,Wetland,Shrubland,Water,Non_Wetland,Cropland
233,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
234,NULL,Wetland,Grassland,NULL,Non_Wetland,Cropland
235,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Cropland
236,NULL,Wetland,Grassland,Water,Non_Wetland,Cropland
237,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
238,NULL,Wetland,Cropland,NULL,Non_Wetland,Cropland
239,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Cropland
240,NULL,Wetland,Cropland,Water,Non_Wetland,Cropland
241,NULL,Wetland,Wetland,NULL,Wetland,Forest
242,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
243,NULL,Wetland,Built-up,NULL,Non_Wetland,Cropland
244,NULL,Wetland,Water,Water,Water,Cropland
245,NULL,Wetland,Forest,Non_Water,Non_Wetland,Cropland
246,NULL,Bareland,NULL,NULL,Non_Wetland,Grassland
247,NULL,Bareland,NULL,NULL,Non_Wetland,Cropland
248,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
249,NULL,Bareland,Shrubland,NULL,Non_Wetland,Cropland
250,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
251,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
252,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
253,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
254,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
255,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
256,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
257,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
258,NULL,Bareland,Bareland,NULL,Non_Wetland,Cropland
259,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
260,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
261,NULL,Bareland,Built-up,NULL,Non_Wetland,Cropland
262,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
263,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
264,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
265,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
266,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
267,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
268,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
269,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
270,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
271,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
272,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
273,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
274,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
275,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
276,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
277,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
278,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
279,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
280,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
281,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
282,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
283,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
284,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
285,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Cropland
286,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Bareland
287,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Built-up
288,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest
289,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland
290,NULL,Built-up,Grassland,Water,Non_Wetland,Cropland
291,NULL,Built-up,Grassland,Water,Non_Wetland,Bareland
292,NULL,Built-up,Grassland,Water,Non_Wetland,Forest
293,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
294,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
295,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
296,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
297,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
298,NULL,Built-up,Cropland,NULL,Non_Wetland,Water
299,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
300,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL
301,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
302,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Cropland
303,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Bareland
304,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Built-up
305,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
306,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland
307,NULL,Built-up,Cropland,Water,Non_Wetland,Cropland
308,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland
309,NULL,Built-up,Cropland,Water,Non_Wetland,Built-up
310,NULL,Built-up,Cropland,Water,Non_Wetland,Water
311,NULL,Built-up,Cropland,Water,Non_Wetland,Forest
312,NULL,Built-up,Wetland,NULL,Wetland,Bareland
313,NULL,Built-up,Wetland,NULL,Wetland,Forest
314,NULL,Built-up,Wetland,Non_Water,Wetland,Forest
315,NULL,Built-up,Wetland,Water,Wetland,Grassland
316,NULL,Built-up,Wetland,Water,Wetland,Cropland
317,NULL,Built-up,Wetland,Water,Wetland,Forest
318,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
319,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
320,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
321,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
322,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
323,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
324,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
325,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
326,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
327,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
328,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
329,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
330,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
331,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
332,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
333,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Cropland
334,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
335,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
336,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
337,NULL,Built-up,Built-up,Water,Non_Wetland,Cropland
338,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland
339,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
340,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
341,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
342,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
343,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
344,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland
345,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
346,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
347,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
348,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
349,NULL,Water,Cropland,NULL,Non_Wetland,Forest
350,NULL,Water,Cropland,Water,Non_Wetland,Grassland
351,NULL,Water,Cropland,Water,Non_Wetland,Cropland
352,NULL,Water,Cropland,Water,Non_Wetland,Forest
353,NULL,Water,Wetland,Water,Wetland,Bareland
354,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
355,NULL,Water,Bareland,Water,Non_Wetland,Bareland
356,NULL,Forest,NULL,NULL,Non_Wetland,NULL
357,NULL,Forest,NULL,NULL,Non_Wetland,Forest
358,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
359,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
360,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
361,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
362,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
363,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Cropland
364,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
365,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
366,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
367,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
368,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
369,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
370,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
371,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
372,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
373,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL
374,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland
375,NULL,Forest,Cropland,Non_Water,Non_Wetland,Cropland
376,NULL,Forest,Cropland,Non_Water,Non_Wetland,Forest
377,NULL,Forest,Wetland,NULL,Wetland,Cropland
378,NULL,Forest,Wetland,NULL,Wetland,Forest
379,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
380,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
381,NULL,Forest,Forest,NULL,Non_Wetland,NULL
382,NULL,Forest,Forest,NULL,Non_Wetland,Forest
383,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
384,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
385,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
386,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
387,Grassland,NULL,NULL,Non_Water,Non_Wetland,Cropland
388,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland
389,Grassland,NULL,NULL,Water,Non_Wetland,Cropland
390,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
391,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
392,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
393,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
394,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
395,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
396,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
397,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
398,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
399,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
400,Grassland,NULL,Shrubland,Water,Non_Wetland,Cropland
401,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
402,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
403,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
404,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
405,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
406,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
407,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Forest
408,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
409,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
410,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
411,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
412,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
413,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
414,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
415,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
416,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Forest
417,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
418,Grassland,NULL,Cropland,Water,Non_Wetland,Cropland
419,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland
420,Grassland,NULL,Wetland,NULL,Wetland,NULL
