Value,AFRICA_2024_DynamicWorld_2024_35PQL_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PQL_M_R,AFRICA_2024_GLC_FCS30D_2022_35PQL_M_R,AFRICA_2024_GSW_Yearly_2021_35PQL_M_R,AFRICA_2024_GWL_FCS30D_2022_35PQL_M_R,AFRICA_2024_WorldCover_2021_35PQL_M_R
122,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
123,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
124,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
125,NULL,NULL,Forest,Water,Non_Wetland,Grassland
126,NULL,NULL,Forest,Water,Non_Wetland,Wetland
127,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
128,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
129,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
130,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
131,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
132,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
133,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
134,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland
135,NULL,Cropland,NULL,Non_Water,Non_Wetland,Wetland
136,NULL,Cropland,NULL,Non_Water,Non_Wetland,Forest
137,NULL,Cropland,NULL,Water,Non_Wetland,Wetland
138,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
139,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
140,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
141,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
142,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
143,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
144,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
145,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
146,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
147,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
148,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Bareland
149,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Built-up
150,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
151,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
152,NULL,Cropland,Shrubland,Water,Non_Wetland,Wetland
153,NULL,Cropland,Shrubland,Water,Non_Wetland,Bareland
154,NULL,Cropland,Shrubland,Water,Non_Wetland,Forest
155,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
156,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
157,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
158,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
159,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
160,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
161,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
162,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
163,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Bareland
164,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland
165,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
166,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
167,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
168,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
169,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
170,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
171,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
172,NULL,Cropland,Wetland,NULL,Wetland,NULL
173,NULL,Cropland,Wetland,NULL,Wetland,Grassland
174,NULL,Cropland,Wetland,NULL,Wetland,Wetland
175,NULL,Cropland,Wetland,NULL,Wetland,Built-up
176,NULL,Cropland,Wetland,NULL,Wetland,Forest
177,NULL,Cropland,Wetland,Non_Water,Wetland,Grassland
178,NULL,Cropland,Wetland,Non_Water,Wetland,Wetland
179,NULL,Cropland,Wetland,Non_Water,Wetland,Forest
180,NULL,Cropland,Wetland,Water,Wetland,Grassland
181,NULL,Cropland,Wetland,Water,Wetland,Wetland
182,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
183,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
184,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
185,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
186,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
187,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
188,NULL,Cropland,Bareland,Water,Non_Wetland,Grassland
189,NULL,Cropland,Bareland,Water,Non_Wetland,Bareland
190,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
191,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
192,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
193,NULL,Cropland,Built-up,NULL,Non_Wetland,Wetland
194,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
195,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
196,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
197,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Grassland
198,NULL,Cropland,Built-up,Water,Non_Wetland,Grassland
199,NULL,Cropland,Built-up,Water,Non_Wetland,Bareland
200,NULL,Cropland,Water,NULL,Water,Grassland
201,NULL,Cropland,Water,NULL,Water,Wetland
202,NULL,Cropland,Water,Water,Water,Grassland
203,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
204,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
205,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
206,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
207,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
208,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
209,NULL,Cropland,Forest,Water,Non_Wetland,Grassland
210,NULL,Cropland,Forest,Water,Non_Wetland,Wetland
211,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
212,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
213,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
214,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland
215,NULL,Wetland,NULL,NULL,Non_Wetland,Built-up
216,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
217,NULL,Wetland,NULL,Non_Water,Non_Wetland,Grassland
218,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland
219,NULL,Wetland,NULL,Water,Non_Wetland,Grassland
220,NULL,Wetland,NULL,Water,Non_Wetland,Wetland
221,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
222,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
223,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
224,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
225,NULL,Wetland,Shrubland,NULL,Non_Wetland,Built-up
226,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
227,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
228,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
229,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
230,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
231,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
232,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL
233,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
234,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
235,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland
236,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL
237,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
238,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
239,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
240,NULL,Wetland,Grassland,NULL,Non_Wetland,Built-up
241,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
242,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
243,NULL,Wetland,Cropland,NULL,Non_Wetland,Wetland
244,NULL,Wetland,Wetland,NULL,Wetland,NULL
245,NULL,Wetland,Wetland,NULL,Wetland,Grassland
246,NULL,Wetland,Wetland,NULL,Wetland,Wetland
247,NULL,Wetland,Wetland,NULL,Wetland,Bareland
248,NULL,Wetland,Wetland,NULL,Wetland,Built-up
249,NULL,Wetland,Wetland,NULL,Wetland,Forest
250,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
251,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
252,NULL,Wetland,Wetland,Water,Wetland,NULL
253,NULL,Wetland,Wetland,Water,Wetland,Grassland
254,NULL,Wetland,Wetland,Water,Wetland,Wetland
255,NULL,Wetland,Wetland,Water,Wetland,Bareland
256,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
257,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
258,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
259,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland
260,NULL,Wetland,Built-up,NULL,Non_Wetland,Built-up
261,NULL,Wetland,Water,NULL,Water,Grassland
262,NULL,Wetland,Water,NULL,Water,Wetland
263,NULL,Wetland,Water,Water,Water,Grassland
264,NULL,Wetland,Water,Water,Water,Wetland
265,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
266,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
267,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
268,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
269,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
270,NULL,Wetland,Forest,Water,Non_Wetland,NULL
271,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
272,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
273,NULL,Bareland,Shrubland,NULL,Non_Wetland,Forest
274,NULL,Bareland,Shrubland,Water,Non_Wetland,Grassland
275,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
276,NULL,Bareland,Water,NULL,Water,Grassland
277,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
278,NULL,Bareland,Forest,NULL,Non_Wetland,Wetland
279,NULL,Bareland,Forest,NULL,Non_Wetland,Forest
280,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
281,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
282,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland
283,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
284,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
285,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
286,NULL,Built-up,NULL,Non_Water,Non_Wetland,Grassland
287,NULL,Built-up,NULL,Water,Non_Wetland,Grassland
288,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
289,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
290,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
291,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
292,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
293,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
294,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
295,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Wetland
296,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland
297,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up
298,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
299,NULL,Built-up,Shrubland,Water,Non_Wetland,Wetland
300,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up
301,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
302,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
303,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland
304,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
305,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
306,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
307,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
308,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
309,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
310,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
311,NULL,Built-up,Wetland,NULL,Wetland,NULL
312,NULL,Built-up,Wetland,NULL,Wetland,Grassland
313,NULL,Built-up,Wetland,NULL,Wetland,Wetland
314,NULL,Built-up,Wetland,NULL,Wetland,Forest
315,NULL,Built-up,Wetland,Non_Water,Wetland,Grassland
316,NULL,Built-up,Wetland,Non_Water,Wetland,Wetland
317,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
318,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
319,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
320,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
321,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
322,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland
323,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
324,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
325,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
326,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
327,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland
328,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
329,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
330,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
331,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
332,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
333,NULL,Water,NULL,NULL,Non_Wetland,NULL
334,NULL,Water,NULL,NULL,Non_Wetland,Grassland
335,NULL,Water,NULL,NULL,Non_Wetland,Forest
336,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
337,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
338,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
339,NULL,Water,Shrubland,NULL,Non_Wetland,Built-up
340,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
341,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
342,NULL,Water,Shrubland,Non_Water,Non_Wetland,Wetland
343,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
344,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
345,NULL,Water,Wetland,NULL,Wetland,NULL
346,NULL,Water,Wetland,NULL,Wetland,Grassland
347,NULL,Water,Wetland,NULL,Wetland,Wetland
348,NULL,Water,Wetland,NULL,Wetland,Forest
349,NULL,Water,Wetland,Non_Water,Wetland,Wetland
350,NULL,Water,Wetland,Water,Wetland,Grassland
351,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
352,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
353,NULL,Water,Built-up,Water,Non_Wetland,Grassland
354,NULL,Water,Forest,NULL,Non_Wetland,NULL
355,NULL,Water,Forest,NULL,Non_Wetland,Grassland
356,NULL,Water,Forest,NULL,Non_Wetland,Wetland
357,NULL,Water,Forest,NULL,Non_Wetland,Forest
358,NULL,Forest,NULL,NULL,Non_Wetland,NULL
359,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
360,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
361,NULL,Forest,NULL,NULL,Non_Wetland,Forest
362,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL
363,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland
364,NULL,Forest,NULL,Non_Water,Non_Wetland,Wetland
365,NULL,Forest,NULL,Non_Water,Non_Wetland,Forest
366,NULL,Forest,NULL,Water,Non_Wetland,Wetland
367,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
368,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
369,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
370,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
371,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
372,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
373,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
374,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
375,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
376,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
377,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
378,NULL,Forest,Shrubland,Water,Non_Wetland,NULL
379,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
380,NULL,Forest,Shrubland,Water,Non_Wetland,Wetland
381,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
382,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
383,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland
384,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
385,NULL,Forest,Wetland,NULL,Wetland,NULL
386,NULL,Forest,Wetland,NULL,Wetland,Grassland
387,NULL,Forest,Wetland,NULL,Wetland,Wetland
388,NULL,Forest,Wetland,NULL,Wetland,Forest
389,NULL,Forest,Wetland,Non_Water,Wetland,NULL
390,NULL,Forest,Wetland,Non_Water,Wetland,Grassland
391,NULL,Forest,Wetland,Non_Water,Wetland,Wetland
392,NULL,Forest,Wetland,Non_Water,Wetland,Forest
393,NULL,Forest,Wetland,Water,Wetland,Grassland
394,NULL,Forest,Wetland,Water,Wetland,Wetland
395,NULL,Forest,Wetland,Water,Wetland,Forest
396,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
397,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
398,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland
399,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
400,NULL,Forest,Bareland,Non_Water,Non_Wetland,Wetland
401,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
402,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
403,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland
404,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
405,NULL,Forest,Forest,NULL,Non_Wetland,NULL
406,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
407,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
408,NULL,Forest,Forest,NULL,Non_Wetland,Forest
409,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
410,NULL,Forest,Forest,Non_Water,Non_Wetland,Wetland
411,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
412,NULL,Forest,Forest,Water,Non_Wetland,Wetland
413,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
414,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
415,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
416,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
417,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
418,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
419,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland
420,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
421,Grassland,NULL,NULL,Water,Non_Wetland,Wetland
422,Grassland,NULL,NULL,Water,Non_Wetland,Water
423,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
424,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
425,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
426,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
427,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
