Value,AFRICA_2024_DynamicWorld_2024_36PXQ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PXQ_M_R,AFRICA_2024_GLC_FCS30D_2022_36PXQ_M_R,AFRICA_2024_GSW_Yearly_2021_36PXQ_M_R,AFRICA_2024_GWL_FCS30D_2022_36PXQ_M_R,AFRICA_2024_WorldCover_2021_36PXQ_M_R
120,NULL,Cropland,Bareland,NULL,Non_Wetland,Wetland
121,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
122,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
123,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
124,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
125,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
126,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
127,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
128,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
129,NULL,Cropland,Water,NULL,Water,Grassland
130,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
131,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
132,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
133,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
134,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
135,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
136,NULL,Cropland,Forest,NULL,Non_Wetland,Water
137,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
138,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
139,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
140,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
141,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
142,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
143,NULL,Wetland,Shrubland,NULL,Non_Wetland,Built-up
144,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
145,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
146,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
147,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
148,NULL,Wetland,Wetland,NULL,Wetland,Forest
149,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
150,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
151,NULL,Wetland,Built-up,NULL,Non_Wetland,Forest
152,NULL,Wetland,Water,NULL,Water,Grassland
153,NULL,Wetland,Water,NULL,Water,Forest
154,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
155,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
156,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
157,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
158,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
159,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
160,NULL,Wetland,Forest,Water,Non_Wetland,Forest
161,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
162,NULL,Bareland,Shrubland,Water,Non_Wetland,Grassland
163,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
164,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
165,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
166,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
167,NULL,Bareland,Forest,Water,Non_Wetland,Water
168,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
169,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
170,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
171,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland
172,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
173,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
174,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
175,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
176,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
177,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
178,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
179,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
180,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
181,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
182,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
183,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
184,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
185,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
186,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
187,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
188,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
189,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
190,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
191,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
192,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
193,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
194,NULL,Built-up,Cropland,NULL,Non_Wetland,Water
195,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
196,NULL,Built-up,Wetland,NULL,Wetland,Grassland
197,NULL,Built-up,Wetland,NULL,Wetland,Cropland
198,NULL,Built-up,Wetland,NULL,Wetland,Built-up
199,NULL,Built-up,Wetland,NULL,Wetland,Forest
200,NULL,Built-up,Wetland,Water,Wetland,Grassland
201,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
202,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
203,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
204,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
205,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
206,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
207,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
208,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
209,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
210,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland
211,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
212,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
213,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
214,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
215,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland
216,NULL,Built-up,Water,Water,Water,Wetland
217,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
218,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
219,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
220,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
221,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
222,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
223,NULL,Built-up,Forest,NULL,Non_Wetland,Water
224,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
225,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland
226,NULL,Water,NULL,NULL,Non_Wetland,Grassland
227,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
228,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
229,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
230,NULL,Water,Shrubland,NULL,Non_Wetland,Water
231,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
232,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
233,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
234,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
235,NULL,Water,Wetland,NULL,Wetland,Grassland
236,NULL,Water,Wetland,NULL,Wetland,Forest
237,NULL,Water,Wetland,Water,Wetland,Water
238,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
239,NULL,Water,Bareland,NULL,Non_Wetland,Forest
240,NULL,Water,Bareland,Water,Non_Wetland,Grassland
241,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
242,NULL,Water,Built-up,NULL,Non_Wetland,Built-up
243,NULL,Water,Water,NULL,Water,Forest
244,NULL,Water,Forest,NULL,Non_Wetland,Grassland
245,NULL,Water,Forest,NULL,Non_Wetland,Cropland
246,NULL,Water,Forest,NULL,Non_Wetland,Built-up
247,NULL,Water,Forest,NULL,Non_Wetland,Forest
248,NULL,Water,Forest,Non_Water,Non_Wetland,Cropland
249,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
250,NULL,Water,Forest,Water,Non_Wetland,Grassland
251,NULL,Water,Forest,Water,Non_Wetland,Wetland
252,NULL,Forest,NULL,NULL,Non_Wetland,NULL
253,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
254,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
255,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
256,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
257,NULL,Forest,NULL,NULL,Non_Wetland,Forest
258,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland
259,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
260,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
261,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
262,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
263,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
264,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
265,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
266,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
267,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
268,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
269,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
270,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
271,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
272,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
273,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
274,NULL,Forest,Wetland,NULL,Wetland,Cropland
275,NULL,Forest,Wetland,NULL,Wetland,Forest
276,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
277,NULL,Forest,Bareland,NULL,Non_Wetland,Cropland
278,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland
279,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
280,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
281,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
282,NULL,Forest,Built-up,NULL,Non_Wetland,Cropland
283,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
284,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
285,NULL,Forest,Forest,NULL,Non_Wetland,NULL
286,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
287,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
288,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
289,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
290,NULL,Forest,Forest,NULL,Non_Wetland,Forest
291,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
292,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
293,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
294,NULL,Forest,Forest,Water,Non_Wetland,NULL
295,NULL,Forest,Forest,Water,Non_Wetland,Grassland
296,NULL,Forest,Forest,Water,Non_Wetland,Forest
297,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
298,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
299,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
300,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
301,Grassland,NULL,NULL,NULL,Non_Wetland,Built-up
302,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
303,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL
304,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
305,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland
306,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
307,Grassland,NULL,NULL,Water,Non_Wetland,Wetland
308,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
309,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
310,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
311,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
312,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
313,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
314,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
315,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
316,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
317,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
318,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
319,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
320,Grassland,NULL,Shrubland,Water,Non_Wetland,Forest
321,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
322,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
323,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
324,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
325,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
326,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
327,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
328,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
329,Grassland,NULL,Wetland,NULL,Wetland,NULL
330,Grassland,NULL,Wetland,NULL,Wetland,Grassland
331,Grassland,NULL,Wetland,NULL,Wetland,Wetland
332,Grassland,NULL,Wetland,NULL,Wetland,Forest
333,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
334,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
335,Grassland,NULL,Wetland,Water,Wetland,Wetland
336,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
337,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
338,Grassland,NULL,Bareland,NULL,Non_Wetland,Cropland
339,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
340,Grassland,NULL,Bareland,NULL,Non_Wetland,Built-up
341,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
342,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
343,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
344,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland
345,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland
346,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
347,Grassland,NULL,Built-up,NULL,Non_Wetland,Cropland
348,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland
349,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland
350,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up
351,Grassland,NULL,Built-up,NULL,Non_Wetland,Forest
352,Grassland,NULL,Built-up,Water,Non_Wetland,Wetland
353,Grassland,NULL,Water,NULL,Water,Grassland
354,Grassland,NULL,Water,NULL,Water,Wetland
355,Grassland,NULL,Water,Non_Water,Water,Grassland
356,Grassland,NULL,Water,Non_Water,Water,Wetland
357,Grassland,NULL,Water,Water,Water,Grassland
358,Grassland,NULL,Water,Water,Water,Wetland
359,Grassland,NULL,Water,Water,Water,Water
360,Grassland,NULL,Water,Water,Water,Forest
361,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
362,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
363,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
364,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
365,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up
366,Grassland,NULL,Forest,NULL,Non_Wetland,Water
367,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
368,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL
369,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
370,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
371,Grassland,NULL,Forest,Non_Water,Non_Wetland,Water
372,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
373,Grassland,NULL,Forest,Water,Non_Wetland,NULL
374,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
375,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
376,Grassland,NULL,Forest,Water,Non_Wetland,Water
377,Grassland,NULL,Forest,Water,Non_Wetland,Forest
378,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL
379,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
380,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
381,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland
382,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest
383,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
384,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
385,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
386,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
387,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
388,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
389,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
390,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
391,Grassland,Cropland,Shrubland,Water,Non_Wetland,Grassland
392,Grassland,Cropland,Shrubland,Water,Non_Wetland,Wetland
393,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
394,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
395,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
396,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
397,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland
398,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest
399,Grassland,Cropland,Wetland,NULL,Wetland,Grassland
400,Grassland,Cropland,Wetland,NULL,Wetland,Cropland
401,Grassland,Cropland,Wetland,NULL,Wetland,Wetland
402,Grassland,Cropland,Wetland,NULL,Wetland,Forest
403,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland
404,Grassland,Cropland,Bareland,NULL,Non_Wetland,Cropland
405,Grassland,Cropland,Bareland,NULL,Non_Wetland,Wetland
406,Grassland,Cropland,Bareland,Non_Water,Non_Wetland,Wetland
407,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL
408,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland
409,Grassland,Cropland,Built-up,NULL,Non_Wetland,Cropland
410,Grassland,Cropland,Water,NULL,Water,Wetland
411,Grassland,Cropland,Water,Non_Water,Water,Grassland
412,Grassland,Cropland,Water,Non_Water,Water,Wetland
413,Grassland,Cropland,Water,Water,Water,Grassland
414,Grassland,Cropland,Water,Water,Water,Wetland
415,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
416,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
417,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
418,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
419,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland
420,Grassland,Cropland,Forest,NULL,Non_Wetland,Built-up
421,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
422,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Grassland
423,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Wetland
424,Grassland,Cropland,Forest,Water,Non_Wetland,Wetland
425,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland
426,Grassland,Wetland,NULL,NULL,Non_Wetland,Wetland
