Value,AFRICA_2024_DynamicWorld_2024_37PDK_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PDK_M_R,AFRICA_2024_GLC_FCS30D_2022_37PDK_M_R,AFRICA_2024_GSW_Yearly_2021_37PDK_M_R,AFRICA_2024_GWL_FCS30D_2022_37PDK_M_R,AFRICA_2024_WorldCover_2021_37PDK_M_R
120,NULL,Cropland,NULL,Water,Non_Wetland,Cropland
121,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
122,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
123,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
124,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
125,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
126,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
127,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
128,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
129,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
130,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
131,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
132,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland
133,NULL,Cropland,Shrubland,Water,Non_Wetland,Wetland
134,NULL,Cropland,Shrubland,Water,Non_Wetland,Water
135,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
136,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
137,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
138,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
139,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
140,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
141,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
142,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
143,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
144,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Bareland
145,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Water
146,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland
147,NULL,Cropland,Grassland,Water,Non_Wetland,Cropland
148,NULL,Cropland,Grassland,Water,Non_Wetland,Wetland
149,NULL,Cropland,Grassland,Water,Non_Wetland,Bareland
150,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
151,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
152,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
153,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
154,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
155,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
156,NULL,Cropland,Cropland,NULL,Non_Wetland,Water
157,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
158,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL
159,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
160,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
161,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Wetland
162,NULL,Cropland,Cropland,Water,Non_Wetland,NULL
163,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
164,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
165,NULL,Cropland,Cropland,Water,Non_Wetland,Wetland
166,NULL,Cropland,Cropland,Water,Non_Wetland,Bareland
167,NULL,Cropland,Cropland,Water,Non_Wetland,Water
168,NULL,Cropland,Wetland,NULL,Wetland,NULL
169,NULL,Cropland,Wetland,NULL,Wetland,Grassland
170,NULL,Cropland,Wetland,NULL,Wetland,Cropland
171,NULL,Cropland,Wetland,NULL,Wetland,Wetland
172,NULL,Cropland,Wetland,NULL,Wetland,Forest
173,NULL,Cropland,Wetland,Non_Water,Wetland,Grassland
174,NULL,Cropland,Wetland,Non_Water,Wetland,Cropland
175,NULL,Cropland,Wetland,Non_Water,Wetland,Wetland
176,NULL,Cropland,Wetland,Non_Water,Wetland,Forest
177,NULL,Cropland,Wetland,Water,Wetland,Cropland
178,NULL,Cropland,Wetland,Water,Wetland,Wetland
179,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
180,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
181,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
182,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
183,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
184,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
185,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
186,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
187,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
188,NULL,Cropland,Bareland,NULL,Non_Wetland,Wetland
189,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
190,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
191,NULL,Cropland,Bareland,NULL,Non_Wetland,Water
192,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
193,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL
194,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
195,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
196,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
197,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Water
198,NULL,Cropland,Bareland,Water,Non_Wetland,Grassland
199,NULL,Cropland,Bareland,Water,Non_Wetland,Cropland
200,NULL,Cropland,Bareland,Water,Non_Wetland,Wetland
201,NULL,Cropland,Bareland,Water,Non_Wetland,Bareland
202,NULL,Cropland,Bareland,Water,Non_Wetland,Water
203,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
204,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
205,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
206,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
207,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
208,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
209,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL
210,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Cropland
211,NULL,Cropland,Built-up,Water,Non_Wetland,NULL
212,NULL,Cropland,Built-up,Water,Non_Wetland,Wetland
213,NULL,Cropland,Water,Non_Water,Water,Cropland
214,NULL,Cropland,Water,Non_Water,Water,Wetland
215,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
216,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
217,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
218,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
219,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
220,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
221,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
222,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
223,NULL,Cropland,Forest,Non_Water,Non_Wetland,Cropland
224,NULL,Cropland,Forest,Non_Water,Non_Wetland,Wetland
225,NULL,Cropland,Forest,Water,Non_Wetland,NULL
226,NULL,Cropland,Forest,Water,Non_Wetland,Grassland
227,NULL,Cropland,Forest,Water,Non_Wetland,Cropland
228,NULL,Wetland,NULL,NULL,Non_Wetland,Cropland
229,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
230,NULL,Wetland,Shrubland,NULL,Non_Wetland,Cropland
231,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
232,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
233,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
234,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL
235,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
236,NULL,Wetland,Grassland,NULL,Non_Wetland,Cropland
237,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
238,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
239,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland
240,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL
241,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
242,NULL,Wetland,Cropland,NULL,Non_Wetland,Cropland
243,NULL,Wetland,Cropland,NULL,Non_Wetland,Wetland
244,NULL,Wetland,Cropland,NULL,Non_Wetland,Forest
245,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
246,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Cropland
247,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
248,NULL,Wetland,Cropland,Water,Non_Wetland,Grassland
249,NULL,Wetland,Cropland,Water,Non_Wetland,Wetland
250,NULL,Wetland,Wetland,NULL,Wetland,NULL
251,NULL,Wetland,Wetland,NULL,Wetland,Cropland
252,NULL,Wetland,Wetland,NULL,Wetland,Wetland
253,NULL,Wetland,Wetland,NULL,Wetland,Bareland
254,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
255,NULL,Wetland,Wetland,Water,Wetland,Cropland
256,NULL,Wetland,Wetland,Water,Wetland,Wetland
257,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
258,NULL,Wetland,Bareland,NULL,Non_Wetland,Cropland
259,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
260,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland
261,NULL,Wetland,Built-up,NULL,Non_Wetland,Cropland
262,NULL,Wetland,Built-up,Water,Non_Wetland,Wetland
263,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
264,NULL,Wetland,Forest,NULL,Non_Wetland,Cropland
265,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
266,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
267,NULL,Bareland,NULL,NULL,Non_Wetland,NULL
268,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
269,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
270,NULL,Bareland,Shrubland,NULL,Non_Wetland,Cropland
271,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
272,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
273,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
274,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
275,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
276,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
277,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
278,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
279,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
280,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
281,NULL,Bareland,Cropland,NULL,Non_Wetland,Built-up
282,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
283,NULL,Bareland,Bareland,NULL,Non_Wetland,Cropland
284,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
285,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
286,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Built-up
287,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
288,NULL,Bareland,Built-up,NULL,Non_Wetland,Cropland
289,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
290,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
291,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Built-up
292,NULL,Bareland,Forest,NULL,Non_Wetland,NULL
293,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
294,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
295,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
296,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland
297,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
298,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
299,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
300,NULL,Built-up,NULL,Non_Water,Non_Wetland,Forest
301,NULL,Built-up,NULL,Water,Non_Wetland,Forest
302,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
303,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
304,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
305,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
306,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
307,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
308,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
309,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
310,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL
311,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Cropland
312,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up
313,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
314,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL
315,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
316,NULL,Built-up,Shrubland,Water,Non_Wetland,Cropland
317,NULL,Built-up,Shrubland,Water,Non_Wetland,Forest
318,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
319,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
320,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
321,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland
322,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
323,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
324,NULL,Built-up,Grassland,NULL,Non_Wetland,Water
325,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
326,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
327,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Cropland
328,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Bareland
329,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Built-up
330,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest
331,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland
332,NULL,Built-up,Grassland,Water,Non_Wetland,Bareland
333,NULL,Built-up,Grassland,Water,Non_Wetland,Built-up
334,NULL,Built-up,Grassland,Water,Non_Wetland,Forest
335,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
336,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
337,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
338,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland
339,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
340,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
341,NULL,Built-up,Cropland,NULL,Non_Wetland,Water
342,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
343,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL
344,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
345,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Cropland
346,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Wetland
347,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Bareland
348,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Built-up
349,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
350,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland
351,NULL,Built-up,Cropland,Water,Non_Wetland,Cropland
352,NULL,Built-up,Cropland,Water,Non_Wetland,Water
353,NULL,Built-up,Cropland,Water,Non_Wetland,Forest
354,NULL,Built-up,Wetland,NULL,Wetland,NULL
355,NULL,Built-up,Wetland,NULL,Wetland,Grassland
356,NULL,Built-up,Wetland,NULL,Wetland,Cropland
357,NULL,Built-up,Wetland,NULL,Wetland,Wetland
358,NULL,Built-up,Wetland,NULL,Wetland,Built-up
359,NULL,Built-up,Wetland,NULL,Wetland,Forest
360,NULL,Built-up,Wetland,Water,Wetland,Cropland
361,NULL,Built-up,Wetland,Water,Wetland,Wetland
362,NULL,Built-up,Wetland,Water,Wetland,Water
363,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
364,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
365,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
366,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
367,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
368,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
369,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
370,NULL,Built-up,Lichens_and_Mosses,Non_Water,Non_Wetland,Cropland
371,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
372,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
373,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
374,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland
375,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
376,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
377,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
378,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
379,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL
380,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Cropland
381,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
382,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Built-up
383,NULL,Built-up,Bareland,Water,Non_Wetland,NULL
384,NULL,Built-up,Bareland,Water,Non_Wetland,Grassland
385,NULL,Built-up,Bareland,Water,Non_Wetland,Cropland
386,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
387,NULL,Built-up,Bareland,Water,Non_Wetland,Built-up
388,NULL,Built-up,Bareland,Water,Non_Wetland,Forest
389,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
390,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
391,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
392,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland
393,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
394,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
395,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
396,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
397,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
398,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Cropland
399,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
400,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
401,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
402,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland
403,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
404,NULL,Built-up,Built-up,Water,Non_Wetland,Water
405,NULL,Built-up,Water,NULL,Water,NULL
406,NULL,Built-up,Water,NULL,Water,Bareland
407,NULL,Built-up,Water,NULL,Water,Built-up
408,NULL,Built-up,Water,Non_Water,Water,Forest
409,NULL,Built-up,Water,Water,Water,Water
410,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
411,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
412,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
413,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
414,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
415,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
416,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
417,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL
418,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
