Value,AFRICA_2024_DynamicWorld_2024_36PUR_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PUR_M_R,AFRICA_2024_GLC_FCS30D_2022_36PUR_M_R,AFRICA_2024_GSW_Yearly_2021_36PUR_M_R,AFRICA_2024_GWL_FCS30D_2022_36PUR_M_R,AFRICA_2024_WorldCover_2021_36PUR_M_R
122,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
123,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
124,NULL,Cropland,Forest,Water,Non_Wetland,Grassland
125,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
126,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
127,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
128,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
129,NULL,Wetland,NULL,Water,Non_Wetland,Grassland
130,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
131,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
132,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
133,NULL,Wetland,Shrubland,NULL,Non_Wetland,Built-up
134,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
135,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
136,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
137,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Built-up
138,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
139,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL
140,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
141,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
142,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
143,NULL,Wetland,Shrubland,Water,Non_Wetland,Forest
144,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
145,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
146,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
147,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
148,NULL,Wetland,Wetland,NULL,Wetland,Grassland
149,NULL,Wetland,Wetland,NULL,Wetland,Wetland
150,NULL,Wetland,Wetland,NULL,Wetland,Forest
151,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
152,NULL,Wetland,Wetland,Non_Water,Wetland,Forest
153,NULL,Wetland,Wetland,Water,Wetland,Grassland
154,NULL,Wetland,Wetland,Water,Wetland,Forest
155,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
156,NULL,Wetland,Bareland,NULL,Non_Wetland,Forest
157,NULL,Wetland,Bareland,Water,Non_Wetland,Forest
158,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
159,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland
160,NULL,Wetland,Built-up,NULL,Non_Wetland,Built-up
161,NULL,Wetland,Built-up,Water,Non_Wetland,Grassland
162,NULL,Wetland,Water,NULL,Water,Grassland
163,NULL,Wetland,Water,Water,Water,Grassland
164,NULL,Wetland,Water,Water,Water,Forest
165,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
166,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
167,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
168,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
169,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
170,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
171,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
172,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
173,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
174,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
175,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
176,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
177,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland
178,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
179,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
180,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
181,NULL,Built-up,NULL,Non_Water,Non_Wetland,Grassland
182,NULL,Built-up,NULL,Non_Water,Non_Wetland,Forest
183,NULL,Built-up,NULL,Water,Non_Wetland,Forest
184,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
185,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
186,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
187,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
188,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
189,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
190,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
191,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL
192,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
193,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Wetland
194,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up
195,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
196,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
197,NULL,Built-up,Shrubland,Water,Non_Wetland,Wetland
198,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up
199,NULL,Built-up,Shrubland,Water,Non_Wetland,Forest
200,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
201,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
202,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland
203,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
204,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
205,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
206,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL
207,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
208,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest
209,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland
210,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
211,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
212,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland
213,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
214,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
215,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
216,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
217,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
218,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland
219,NULL,Built-up,Wetland,NULL,Wetland,Grassland
220,NULL,Built-up,Wetland,NULL,Wetland,Wetland
221,NULL,Built-up,Wetland,NULL,Wetland,Forest
222,NULL,Built-up,Wetland,Non_Water,Wetland,Grassland
223,NULL,Built-up,Wetland,Non_Water,Wetland,Wetland
224,NULL,Built-up,Wetland,Non_Water,Wetland,Built-up
225,NULL,Built-up,Wetland,Non_Water,Wetland,Forest
226,NULL,Built-up,Wetland,Water,Wetland,Forest
227,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
228,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
229,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland
230,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
231,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
232,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
233,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
234,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Forest
235,NULL,Built-up,Bareland,Water,Non_Wetland,Grassland
236,NULL,Built-up,Bareland,Water,Non_Wetland,Forest
237,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
238,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
239,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland
240,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
241,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
242,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
243,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL
244,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
245,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
246,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
247,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland
248,NULL,Built-up,Water,NULL,Water,Forest
249,NULL,Built-up,Water,Non_Water,Water,Forest
250,NULL,Built-up,Water,Water,Water,Forest
251,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
252,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
253,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
254,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
255,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
256,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL
257,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland
258,NULL,Built-up,Forest,Non_Water,Non_Wetland,Built-up
259,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
260,NULL,Built-up,Forest,Water,Non_Wetland,Forest
261,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
262,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
263,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
264,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
265,NULL,Water,Shrubland,Water,Non_Wetland,Forest
266,NULL,Water,Wetland,NULL,Wetland,Grassland
267,NULL,Water,Wetland,NULL,Wetland,Water
268,NULL,Water,Wetland,NULL,Wetland,Forest
269,NULL,Water,Wetland,Non_Water,Wetland,Grassland
270,NULL,Water,Wetland,Non_Water,Wetland,Forest
271,NULL,Water,Wetland,Water,Wetland,Grassland
272,NULL,Water,Wetland,Water,Wetland,Water
273,NULL,Water,Wetland,Water,Wetland,Forest
274,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
275,NULL,Water,Bareland,NULL,Non_Wetland,Forest
276,NULL,Water,Bareland,Non_Water,Non_Wetland,Forest
277,NULL,Water,Bareland,Water,Non_Wetland,Grassland
278,NULL,Water,Bareland,Water,Non_Wetland,Forest
279,NULL,Water,Built-up,NULL,Non_Wetland,Forest
280,NULL,Water,Water,Water,Water,Forest
281,NULL,Water,Forest,NULL,Non_Wetland,Grassland
282,NULL,Water,Forest,NULL,Non_Wetland,Forest
283,NULL,Water,Forest,Water,Non_Wetland,Forest
284,NULL,Forest,NULL,NULL,Non_Wetland,NULL
285,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
286,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
287,NULL,Forest,NULL,NULL,Non_Wetland,Forest
288,NULL,Forest,NULL,Non_Water,Non_Wetland,Forest
289,NULL,Forest,NULL,Water,Non_Wetland,Wetland
290,NULL,Forest,NULL,Water,Non_Wetland,Forest
291,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
292,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
293,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
294,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
295,NULL,Forest,Shrubland,NULL,Non_Wetland,Water
296,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
297,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
298,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
299,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
300,NULL,Forest,Shrubland,Water,Non_Wetland,NULL
301,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
302,NULL,Forest,Shrubland,Water,Non_Wetland,Wetland
303,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
304,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
305,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
306,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
307,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
308,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
309,NULL,Forest,Wetland,NULL,Wetland,NULL
310,NULL,Forest,Wetland,NULL,Wetland,Grassland
311,NULL,Forest,Wetland,NULL,Wetland,Wetland
312,NULL,Forest,Wetland,NULL,Wetland,Water
313,NULL,Forest,Wetland,NULL,Wetland,Forest
314,NULL,Forest,Wetland,Non_Water,Wetland,Forest
315,NULL,Forest,Wetland,Water,Wetland,Water
316,NULL,Forest,Wetland,Water,Wetland,Forest
317,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
318,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
319,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland
320,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
321,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
322,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
323,NULL,Forest,Water,NULL,Water,Forest
324,NULL,Forest,Forest,NULL,Non_Wetland,NULL
325,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
326,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
327,NULL,Forest,Forest,NULL,Non_Wetland,Forest
328,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
329,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
330,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
331,NULL,Forest,Forest,Water,Non_Wetland,Grassland
332,NULL,Forest,Forest,Water,Non_Wetland,Wetland
333,NULL,Forest,Forest,Water,Non_Wetland,Forest
334,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
335,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
336,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
337,Grassland,NULL,NULL,NULL,Non_Wetland,Water
338,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
339,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
340,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland
341,Grassland,NULL,NULL,Non_Water,Non_Wetland,Forest
342,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
343,Grassland,NULL,NULL,Water,Non_Wetland,Wetland
344,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
345,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
346,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
347,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water
348,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
349,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
350,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
351,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
352,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
353,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL
354,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
355,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
356,Grassland,NULL,Shrubland,Water,Non_Wetland,Water
357,Grassland,NULL,Shrubland,Water,Non_Wetland,Forest
358,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
359,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
360,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
361,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
362,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
363,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland
364,Grassland,NULL,Grassland,Water,Non_Wetland,Water
365,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
366,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
367,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
368,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
369,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
370,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
371,Grassland,NULL,Wetland,NULL,Wetland,NULL
372,Grassland,NULL,Wetland,NULL,Wetland,Grassland
373,Grassland,NULL,Wetland,NULL,Wetland,Wetland
374,Grassland,NULL,Wetland,NULL,Wetland,Water
375,Grassland,NULL,Wetland,NULL,Wetland,Forest
376,Grassland,NULL,Wetland,Non_Water,Wetland,NULL
377,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
378,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
379,Grassland,NULL,Wetland,Non_Water,Wetland,Water
380,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
381,Grassland,NULL,Wetland,Water,Wetland,Grassland
382,Grassland,NULL,Wetland,Water,Wetland,Wetland
383,Grassland,NULL,Wetland,Water,Wetland,Water
384,Grassland,NULL,Wetland,Water,Wetland,Forest
385,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
386,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
387,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
388,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
389,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
390,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
391,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Forest
392,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland
393,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland
394,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL
395,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
396,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland
397,Grassland,NULL,Built-up,NULL,Non_Wetland,Forest
398,Grassland,NULL,Water,NULL,Water,Grassland
399,Grassland,NULL,Water,NULL,Water,Wetland
400,Grassland,NULL,Water,NULL,Water,Forest
401,Grassland,NULL,Water,Non_Water,Water,Wetland
402,Grassland,NULL,Water,Non_Water,Water,Water
403,Grassland,NULL,Water,Water,Water,Grassland
404,Grassland,NULL,Water,Water,Water,Wetland
405,Grassland,NULL,Water,Water,Water,Water
406,Grassland,NULL,Water,Water,Water,Forest
407,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
408,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
409,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
410,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland
411,Grassland,NULL,Forest,NULL,Non_Wetland,Water
412,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
413,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL
414,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
415,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
416,Grassland,NULL,Forest,Non_Water,Non_Wetland,Water
417,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
418,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
419,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
420,Grassland,NULL,Forest,Water,Non_Wetland,Water
421,Grassland,NULL,Forest,Water,Non_Wetland,Forest
422,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest
423,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
424,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
425,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
426,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
427,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
428,Grassland,Cropland,Shrubland,Water,Non_Wetland,Grassland
429,Grassland,Cropland,Grassland,Water,Non_Wetland,Grassland
430,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
