Value,AFRICA_2024_DynamicWorld_2024_37NEE_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NEE_M_R,AFRICA_2024_GLC_FCS30D_2022_37NEE_M_R,AFRICA_2024_GSW_Yearly_2021_37NEE_M_R,AFRICA_2024_GWL_FCS30D_2022_37NEE_M_R,AFRICA_2024_WorldCover_2021_37NEE_M_R
120,NULL,Water,Grassland,Non_Water,Non_Wetland,Grassland
121,NULL,Water,Grassland,Water,Non_Wetland,Grassland
122,NULL,Water,Bareland,Water,Non_Wetland,Grassland
123,NULL,Forest,NULL,NULL,Non_Wetland,NULL
124,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
125,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
126,NULL,Forest,NULL,NULL,Non_Wetland,Forest
127,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
128,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
129,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
130,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
131,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
132,NULL,Forest,Shrubland,NULL,Non_Wetland,Water
133,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
134,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
135,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
136,NULL,Forest,Shrubland,Water,Non_Wetland,NULL
137,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
138,NULL,Forest,Shrubland,Water,Non_Wetland,Bareland
139,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
140,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
141,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
142,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
143,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
144,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland
145,NULL,Forest,Grassland,Water,Non_Wetland,NULL
146,NULL,Forest,Grassland,Water,Non_Wetland,Grassland
147,NULL,Forest,Grassland,Water,Non_Wetland,Bareland
148,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
149,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
150,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
151,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
152,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
153,NULL,Forest,Cropland,Non_Water,Non_Wetland,Bareland
154,NULL,Forest,Cropland,Water,Non_Wetland,Bareland
155,NULL,Forest,Wetland,NULL,Wetland,Grassland
156,NULL,Forest,Wetland,Water,Wetland,Grassland
157,NULL,Forest,Wetland,Water,Wetland,Cropland
158,NULL,Forest,Wetland,Water,Wetland,Bareland
159,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
160,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
161,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
162,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
163,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
164,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
165,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
166,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
167,NULL,Forest,Forest,NULL,Non_Wetland,NULL
168,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
169,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
170,NULL,Forest,Forest,NULL,Non_Wetland,Forest
171,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
172,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
173,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
174,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
175,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
176,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
177,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
178,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
179,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
180,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
181,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
182,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
183,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
184,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
185,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
186,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
187,Grassland,NULL,Bareland,NULL,Non_Wetland,Cropland
188,Grassland,NULL,Built-up,NULL,Non_Wetland,Cropland
189,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
190,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
191,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
192,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
193,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
194,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
195,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
196,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland
197,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
198,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
199,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland
200,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL
201,Grassland,Forest,Bareland,NULL,Non_Wetland,Grassland
202,Grassland,Forest,Built-up,NULL,Non_Wetland,Grassland
203,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
204,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
205,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
206,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
207,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
208,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
209,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
210,Cropland,NULL,NULL,Water,Non_Wetland,Cropland
211,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
212,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
213,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
214,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
215,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
216,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
217,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
218,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
219,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
220,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL
221,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
222,Cropland,NULL,Shrubland,Water,Non_Wetland,Cropland
223,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
224,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
225,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
226,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
227,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL
228,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
229,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
230,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
231,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
232,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
233,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
234,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
235,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
236,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
237,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
238,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Forest
239,Cropland,NULL,Cropland,Water,Non_Wetland,NULL
240,Cropland,NULL,Cropland,Water,Non_Wetland,Cropland
241,Cropland,NULL,Wetland,NULL,Wetland,Grassland
242,Cropland,NULL,Wetland,NULL,Wetland,Water
243,Cropland,NULL,Wetland,Water,Wetland,Grassland
244,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
245,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
246,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
247,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
248,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
249,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
250,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
251,Cropland,NULL,Bareland,Water,Non_Wetland,NULL
252,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
253,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
254,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
255,Cropland,NULL,Built-up,Water,Non_Wetland,Grassland
256,Cropland,NULL,Water,Water,Water,Grassland
257,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
258,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
259,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
260,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
261,Cropland,NULL,Forest,Water,Non_Wetland,Cropland
262,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
263,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
264,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
265,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
266,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
267,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
268,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
269,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
270,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
271,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
272,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
273,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL
274,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
275,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Cropland
276,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
277,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL
278,Cropland,Water,Shrubland,NULL,Non_Wetland,Grassland
279,Cropland,Forest,NULL,NULL,Non_Wetland,NULL
280,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland
281,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
282,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
283,Cropland,Forest,Shrubland,NULL,Non_Wetland,Cropland
284,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest
285,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,NULL
286,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
287,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
288,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL
289,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland
290,Cropland,Forest,Cropland,NULL,Non_Wetland,Cropland
291,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest
292,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
293,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
294,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
295,Bareland,NULL,NULL,NULL,Non_Wetland,NULL
296,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
297,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland
298,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
299,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
300,Bareland,NULL,Shrubland,NULL,Non_Wetland,Cropland
301,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
302,Bareland,NULL,Shrubland,NULL,Non_Wetland,Built-up
303,Bareland,NULL,Shrubland,NULL,Non_Wetland,Forest
304,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
305,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
306,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
307,Bareland,NULL,Grassland,Water,Non_Wetland,Grassland
308,Bareland,NULL,Grassland,Water,Non_Wetland,Bareland
309,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL
310,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
311,Bareland,NULL,Cropland,NULL,Non_Wetland,Cropland
312,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
313,Bareland,NULL,Wetland,NULL,Wetland,Grassland
314,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
315,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
316,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland
317,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland
318,Bareland,NULL,Forest,NULL,Non_Wetland,NULL
319,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland
320,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL
321,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
322,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Forest
323,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
324,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
325,Bareland,Bareland,Grassland,NULL,Non_Wetland,Grassland
326,Bareland,Bareland,Grassland,NULL,Non_Wetland,Bareland
327,Bareland,Bareland,Bareland,NULL,Non_Wetland,Grassland
328,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland
329,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
330,Bareland,Built-up,Grassland,NULL,Non_Wetland,Grassland
331,Bareland,Built-up,Bareland,NULL,Non_Wetland,Grassland
332,Bareland,Water,Shrubland,NULL,Non_Wetland,Grassland
333,Bareland,Water,Shrubland,NULL,Non_Wetland,Bareland
334,Bareland,Water,Grassland,NULL,Non_Wetland,Grassland
335,Bareland,Water,Grassland,NULL,Non_Wetland,Bareland
336,Bareland,Water,Grassland,Water,Non_Wetland,Grassland
337,Bareland,Water,Bareland,NULL,Non_Wetland,Grassland
338,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL
339,Bareland,Forest,Shrubland,NULL,Non_Wetland,Grassland
340,Bareland,Forest,Shrubland,NULL,Non_Wetland,Forest
341,Bareland,Forest,Grassland,NULL,Non_Wetland,NULL
342,Bareland,Forest,Grassland,NULL,Non_Wetland,Grassland
343,Bareland,Forest,Cropland,NULL,Non_Wetland,Grassland
344,Water,NULL,Shrubland,NULL,Non_Wetland,NULL
345,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland
346,Water,NULL,Shrubland,NULL,Non_Wetland,Cropland
347,Water,NULL,Shrubland,NULL,Non_Wetland,Bareland
348,Water,NULL,Shrubland,NULL,Non_Wetland,Water
349,Water,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
350,Water,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
351,Water,NULL,Shrubland,Water,Non_Wetland,NULL
352,Water,NULL,Shrubland,Water,Non_Wetland,Grassland
353,Water,NULL,Shrubland,Water,Non_Wetland,Bareland
354,Water,NULL,Shrubland,Water,Non_Wetland,Water
355,Water,NULL,Grassland,NULL,Non_Wetland,NULL
356,Water,NULL,Grassland,NULL,Non_Wetland,Grassland
357,Water,NULL,Grassland,NULL,Non_Wetland,Bareland
358,Water,NULL,Grassland,Non_Water,Non_Wetland,Grassland
359,Water,NULL,Grassland,Water,Non_Wetland,NULL
360,Water,NULL,Grassland,Water,Non_Wetland,Grassland
361,Water,NULL,Grassland,Water,Non_Wetland,Bareland
362,Water,NULL,Grassland,Water,Non_Wetland,Water
363,Water,NULL,Cropland,NULL,Non_Wetland,Grassland
364,Water,NULL,Cropland,Water,Non_Wetland,Grassland
365,Water,NULL,Wetland,NULL,Wetland,Grassland
366,Water,NULL,Wetland,NULL,Wetland,Bareland
367,Water,NULL,Wetland,Non_Water,Wetland,Grassland
368,Water,NULL,Wetland,Water,Wetland,Grassland
369,Water,NULL,Wetland,Water,Wetland,Bareland
370,Water,NULL,Wetland,Water,Wetland,Water
371,Water,NULL,Bareland,NULL,Non_Wetland,Grassland
372,Water,NULL,Bareland,NULL,Non_Wetland,Bareland
373,Water,NULL,Bareland,NULL,Non_Wetland,Water
374,Water,NULL,Bareland,Non_Water,Non_Wetland,Grassland
375,Water,NULL,Bareland,Water,Non_Wetland,Grassland
376,Water,NULL,Bareland,Water,Non_Wetland,Cropland
377,Water,NULL,Bareland,Water,Non_Wetland,Bareland
378,Water,NULL,Bareland,Water,Non_Wetland,Water
379,Water,NULL,Built-up,NULL,Non_Wetland,Grassland
380,Water,NULL,Built-up,NULL,Non_Wetland,Bareland
381,Water,NULL,Built-up,Non_Water,Non_Wetland,Grassland
382,Water,NULL,Built-up,Water,Non_Wetland,Grassland
383,Water,NULL,Water,NULL,Water,Bareland
384,Water,NULL,Water,Non_Water,Water,Grassland
385,Water,NULL,Forest,Water,Non_Wetland,Water
386,Water,Bareland,Shrubland,NULL,Non_Wetland,Grassland
387,Water,Bareland,Bareland,NULL,Non_Wetland,Bareland
388,Water,Bareland,Bareland,NULL,Non_Wetland,Water
389,Water,Bareland,Bareland,Water,Non_Wetland,Bareland
390,Water,Bareland,Bareland,Water,Non_Wetland,Water
391,Water,Water,NULL,NULL,Non_Wetland,Grassland
392,Water,Water,Shrubland,NULL,Non_Wetland,NULL
393,Water,Water,Shrubland,NULL,Non_Wetland,Grassland
394,Water,Water,Shrubland,NULL,Non_Wetland,Bareland
395,Water,Water,Shrubland,NULL,Non_Wetland,Water
396,Water,Water,Shrubland,Non_Water,Non_Wetland,Grassland
397,Water,Water,Shrubland,Water,Non_Wetland,NULL
398,Water,Water,Shrubland,Water,Non_Wetland,Grassland
399,Water,Water,Shrubland,Water,Non_Wetland,Bareland
400,Water,Water,Shrubland,Water,Non_Wetland,Water
401,Water,Water,Grassland,NULL,Non_Wetland,NULL
402,Water,Water,Grassland,NULL,Non_Wetland,Grassland
403,Water,Water,Grassland,NULL,Non_Wetland,Cropland
404,Water,Water,Grassland,NULL,Non_Wetland,Bareland
405,Water,Water,Grassland,NULL,Non_Wetland,Water
406,Water,Water,Grassland,Non_Water,Non_Wetland,Grassland
407,Water,Water,Grassland,Non_Water,Non_Wetland,Bareland
408,Water,Water,Grassland,Non_Water,Non_Wetland,Water
409,Water,Water,Grassland,Water,Non_Wetland,Grassland
410,Water,Water,Grassland,Water,Non_Wetland,Bareland
411,Water,Water,Grassland,Water,Non_Wetland,Water
412,Water,Water,Cropland,NULL,Non_Wetland,Grassland
413,Water,Water,Cropland,Non_Water,Non_Wetland,Grassland
414,Water,Water,Cropland,Water,Non_Wetland,Bareland
415,Water,Water,Wetland,Water,Wetland,Grassland
416,Water,Water,Wetland,Water,Wetland,Bareland
417,Water,Water,Wetland,Water,Wetland,Water
418,Water,Water,Bareland,NULL,Non_Wetland,NULL
419,Water,Water,Bareland,NULL,Non_Wetland,Grassland
420,Water,Water,Bareland,NULL,Non_Wetland,Cropland
421,Water,Water,Bareland,NULL,Non_Wetland,Bareland
422,Water,Water,Bareland,NULL,Non_Wetland,Water
423,Water,Water,Bareland,Non_Water,Non_Wetland,Grassland
424,Water,Water,Bareland,Non_Water,Non_Wetland,Bareland
425,Water,Water,Bareland,Non_Water,Non_Wetland,Water
426,Water,Water,Bareland,Water,Non_Wetland,Grassland
