Value,AFRICA_2024_DynamicWorld_2024_35NQF_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NQF_M_R,AFRICA_2024_GLC_FCS30D_2022_35NQF_M_R,AFRICA_2024_GSW_Yearly_2021_35NQF_M_R,AFRICA_2024_GWL_FCS30D_2022_35NQF_M_R,AFRICA_2024_WorldCover_2021_35NQF_M_R
120,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
121,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest
122,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
123,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
124,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
125,Grassland,Water,NULL,NULL,Non_Wetland,Grassland
126,Grassland,Water,NULL,NULL,Non_Wetland,Forest
127,Grassland,Water,Forest,NULL,Non_Wetland,Forest
128,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
129,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
130,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland
131,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
132,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
133,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
134,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
135,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL
136,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
137,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest
138,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
139,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
140,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland
141,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
142,Grassland,Forest,Bareland,NULL,Non_Wetland,Wetland
143,Grassland,Forest,Bareland,NULL,Non_Wetland,Forest
144,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
145,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
146,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
147,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
148,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
149,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
150,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up
151,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
152,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
153,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
154,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
155,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
156,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
157,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
158,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
159,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
160,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
161,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
162,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
163,Cropland,NULL,Forest,NULL,Non_Wetland,Built-up
164,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
165,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
166,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
167,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
168,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
169,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
170,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
171,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
172,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
173,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
174,Cropland,Cropland,Forest,NULL,Non_Wetland,Built-up
175,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
176,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL
177,Cropland,Built-up,NULL,NULL,Non_Wetland,Grassland
178,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
179,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Built-up
180,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL
181,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
182,Cropland,Built-up,Cropland,NULL,Non_Wetland,Forest
183,Cropland,Built-up,Built-up,NULL,Non_Wetland,Grassland
184,Cropland,Built-up,Built-up,NULL,Non_Wetland,Built-up
185,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL
186,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland
187,Cropland,Built-up,Forest,NULL,Non_Wetland,Forest
188,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
189,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
190,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
191,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL
192,Wetland,Wetland,Forest,NULL,Non_Wetland,Grassland
193,Wetland,Wetland,Forest,NULL,Non_Wetland,Forest
194,Wetland,Forest,Shrubland,NULL,Non_Wetland,NULL
195,Wetland,Forest,Shrubland,NULL,Non_Wetland,Grassland
196,Wetland,Forest,Shrubland,NULL,Non_Wetland,Wetland
197,Wetland,Forest,Shrubland,NULL,Non_Wetland,Forest
198,Wetland,Forest,Wetland,NULL,Wetland,Forest
199,Wetland,Forest,Forest,NULL,Non_Wetland,NULL
200,Wetland,Forest,Forest,NULL,Non_Wetland,Grassland
201,Wetland,Forest,Forest,NULL,Non_Wetland,Wetland
202,Wetland,Forest,Forest,NULL,Non_Wetland,Forest
203,Bareland,Forest,Forest,NULL,Non_Wetland,Grassland
204,Water,NULL,Forest,NULL,Non_Wetland,Grassland
205,Water,Wetland,Forest,NULL,Non_Wetland,Grassland
206,Water,Water,NULL,NULL,Non_Wetland,Grassland
207,Water,Water,NULL,NULL,Non_Wetland,Forest
208,Water,Water,NULL,Water,Non_Wetland,Grassland
209,Water,Water,NULL,Water,Non_Wetland,Water
210,Water,Water,Shrubland,NULL,Non_Wetland,Grassland
211,Water,Water,Shrubland,Water,Non_Wetland,Wetland
212,Water,Water,Shrubland,Water,Non_Wetland,Water
213,Water,Water,Wetland,NULL,Wetland,Grassland
214,Water,Water,Wetland,NULL,Wetland,Wetland
215,Water,Water,Wetland,NULL,Wetland,Water
216,Water,Water,Wetland,NULL,Wetland,Forest
217,Water,Water,Wetland,Non_Water,Wetland,Grassland
218,Water,Water,Wetland,Non_Water,Wetland,Forest
219,Water,Water,Wetland,Water,Wetland,Grassland
220,Water,Water,Wetland,Water,Wetland,Water
221,Water,Water,Wetland,Water,Wetland,Forest
222,Water,Water,Built-up,NULL,Non_Wetland,Wetland
223,Water,Water,Built-up,Water,Non_Wetland,Water
224,Water,Water,Water,NULL,Water,Grassland
225,Water,Water,Water,NULL,Water,Wetland
226,Water,Water,Water,NULL,Water,Bareland
227,Water,Water,Water,NULL,Water,Water
228,Water,Water,Water,NULL,Water,Forest
229,Water,Water,Water,Water,Water,Grassland
230,Water,Water,Water,Water,Water,Bareland
231,Water,Water,Water,Water,Water,Water
232,Water,Water,Water,Water,Water,Forest
233,Water,Water,Forest,NULL,Non_Wetland,Grassland
234,Water,Water,Forest,NULL,Non_Wetland,Water
235,Water,Water,Forest,NULL,Non_Wetland,Forest
236,Water,Water,Forest,Water,Non_Wetland,Grassland
237,Water,Water,Forest,Water,Non_Wetland,Water
238,Water,Water,Forest,Water,Non_Wetland,Forest
239,Water,Forest,Shrubland,NULL,Non_Wetland,Grassland
240,Water,Forest,Shrubland,NULL,Non_Wetland,Forest
241,Water,Forest,Wetland,NULL,Wetland,Forest
242,Water,Forest,Forest,NULL,Non_Wetland,NULL
243,Water,Forest,Forest,NULL,Non_Wetland,Grassland
244,Water,Forest,Forest,NULL,Non_Wetland,Wetland
245,Water,Forest,Forest,NULL,Non_Wetland,Forest
246,Water,Forest,Forest,Non_Water,Non_Wetland,Forest
247,Forest,NULL,NULL,NULL,Non_Wetland,NULL
248,Forest,NULL,NULL,NULL,Non_Wetland,Grassland
249,Forest,NULL,NULL,NULL,Non_Wetland,Cropland
250,Forest,NULL,NULL,NULL,Non_Wetland,Wetland
251,Forest,NULL,NULL,NULL,Non_Wetland,Built-up
252,Forest,NULL,NULL,NULL,Non_Wetland,Forest
253,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
254,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland
255,Forest,NULL,Shrubland,NULL,Non_Wetland,Cropland
256,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland
257,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland
258,Forest,NULL,Shrubland,NULL,Non_Wetland,Built-up
259,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest
260,Forest,NULL,Grassland,NULL,Non_Wetland,NULL
261,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland
262,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland
263,Forest,NULL,Grassland,NULL,Non_Wetland,Forest
264,Forest,NULL,Cropland,NULL,Non_Wetland,NULL
265,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland
266,Forest,NULL,Cropland,NULL,Non_Wetland,Cropland
267,Forest,NULL,Cropland,NULL,Non_Wetland,Wetland
268,Forest,NULL,Cropland,NULL,Non_Wetland,Built-up
269,Forest,NULL,Cropland,NULL,Non_Wetland,Forest
270,Forest,NULL,Wetland,NULL,Wetland,Grassland
271,Forest,NULL,Wetland,NULL,Wetland,Forest
272,Forest,NULL,Bareland,NULL,Non_Wetland,Wetland
273,Forest,NULL,Bareland,NULL,Non_Wetland,Forest
274,Forest,NULL,Built-up,NULL,Non_Wetland,NULL
275,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland
276,Forest,NULL,Built-up,NULL,Non_Wetland,Built-up
277,Forest,NULL,Built-up,NULL,Non_Wetland,Forest
278,Forest,NULL,Forest,NULL,Non_Wetland,NULL
279,Forest,NULL,Forest,NULL,Non_Wetland,Grassland
280,Forest,NULL,Forest,NULL,Non_Wetland,Cropland
281,Forest,NULL,Forest,NULL,Non_Wetland,Wetland
282,Forest,NULL,Forest,NULL,Non_Wetland,Built-up
283,Forest,NULL,Forest,NULL,Non_Wetland,Forest
284,Forest,Cropland,NULL,NULL,Non_Wetland,NULL
285,Forest,Cropland,NULL,NULL,Non_Wetland,Grassland
286,Forest,Cropland,NULL,NULL,Non_Wetland,Forest
287,Forest,Cropland,Shrubland,NULL,Non_Wetland,NULL
288,Forest,Cropland,Shrubland,NULL,Non_Wetland,Grassland
289,Forest,Cropland,Shrubland,NULL,Non_Wetland,Cropland
290,Forest,Cropland,Cropland,NULL,Non_Wetland,NULL
291,Forest,Cropland,Cropland,NULL,Non_Wetland,Grassland
292,Forest,Cropland,Cropland,NULL,Non_Wetland,Cropland
293,Forest,Cropland,Cropland,NULL,Non_Wetland,Built-up
294,Forest,Cropland,Cropland,NULL,Non_Wetland,Forest
295,Forest,Cropland,Built-up,NULL,Non_Wetland,Forest
296,Forest,Cropland,Forest,NULL,Non_Wetland,NULL
297,Forest,Cropland,Forest,NULL,Non_Wetland,Grassland
298,Forest,Cropland,Forest,NULL,Non_Wetland,Built-up
299,Forest,Cropland,Forest,NULL,Non_Wetland,Forest
300,Forest,Wetland,Shrubland,NULL,Non_Wetland,Grassland
301,Forest,Wetland,Forest,NULL,Non_Wetland,NULL
302,Forest,Wetland,Forest,NULL,Non_Wetland,Grassland
303,Forest,Wetland,Forest,NULL,Non_Wetland,Forest
304,Forest,Built-up,NULL,NULL,Non_Wetland,NULL
305,Forest,Built-up,NULL,NULL,Non_Wetland,Grassland
306,Forest,Built-up,NULL,NULL,Non_Wetland,Cropland
307,Forest,Built-up,NULL,NULL,Non_Wetland,Forest
308,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL
309,Forest,Built-up,Shrubland,NULL,Non_Wetland,Grassland
310,Forest,Built-up,Shrubland,NULL,Non_Wetland,Built-up
311,Forest,Built-up,Shrubland,NULL,Non_Wetland,Forest
312,Forest,Built-up,Cropland,NULL,Non_Wetland,NULL
313,Forest,Built-up,Cropland,NULL,Non_Wetland,Grassland
314,Forest,Built-up,Cropland,NULL,Non_Wetland,Cropland
315,Forest,Built-up,Cropland,NULL,Non_Wetland,Built-up
316,Forest,Built-up,Cropland,NULL,Non_Wetland,Forest
317,Forest,Built-up,Built-up,NULL,Non_Wetland,NULL
318,Forest,Built-up,Built-up,NULL,Non_Wetland,Grassland
319,Forest,Built-up,Built-up,NULL,Non_Wetland,Cropland
320,Forest,Built-up,Built-up,NULL,Non_Wetland,Built-up
321,Forest,Built-up,Built-up,NULL,Non_Wetland,Forest
322,Forest,Built-up,Forest,NULL,Non_Wetland,NULL
323,Forest,Built-up,Forest,NULL,Non_Wetland,Grassland
324,Forest,Built-up,Forest,NULL,Non_Wetland,Built-up
325,Forest,Built-up,Forest,NULL,Non_Wetland,Forest
326,Forest,Water,NULL,NULL,Non_Wetland,Forest
327,Forest,Water,Shrubland,NULL,Non_Wetland,Grassland
328,Forest,Water,Shrubland,NULL,Non_Wetland,Forest
329,Forest,Water,Forest,NULL,Non_Wetland,Grassland
330,Forest,Water,Forest,NULL,Non_Wetland,Forest
331,Forest,Water,Forest,Water,Non_Wetland,Forest
332,Forest,Forest,NULL,NULL,Non_Wetland,NULL
333,Forest,Forest,NULL,NULL,Non_Wetland,Grassland
334,Forest,Forest,NULL,NULL,Non_Wetland,Wetland
335,Forest,Forest,NULL,NULL,Non_Wetland,Built-up
336,Forest,Forest,NULL,NULL,Non_Wetland,Forest
337,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL
338,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland
339,Forest,Forest,Shrubland,NULL,Non_Wetland,Wetland
340,Forest,Forest,Shrubland,NULL,Non_Wetland,Built-up
341,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest
342,Forest,Forest,Grassland,NULL,Non_Wetland,NULL
343,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland
344,Forest,Forest,Grassland,NULL,Non_Wetland,Wetland
345,Forest,Forest,Grassland,NULL,Non_Wetland,Forest
346,Forest,Forest,Cropland,NULL,Non_Wetland,NULL
347,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland
348,Forest,Forest,Cropland,NULL,Non_Wetland,Cropland
349,Forest,Forest,Cropland,NULL,Non_Wetland,Wetland
350,Forest,Forest,Cropland,NULL,Non_Wetland,Built-up
351,Forest,Forest,Cropland,NULL,Non_Wetland,Forest
352,Forest,Forest,Wetland,NULL,Wetland,NULL
353,Forest,Forest,Wetland,NULL,Wetland,Grassland
354,Forest,Forest,Wetland,NULL,Wetland,Wetland
355,Forest,Forest,Wetland,NULL,Wetland,Forest
356,Forest,Forest,Bareland,NULL,Non_Wetland,NULL
357,Forest,Forest,Bareland,NULL,Non_Wetland,Grassland
358,Forest,Forest,Bareland,NULL,Non_Wetland,Wetland
359,Forest,Forest,Bareland,NULL,Non_Wetland,Forest
360,Forest,Forest,Built-up,NULL,Non_Wetland,NULL
361,Forest,Forest,Built-up,NULL,Non_Wetland,Grassland
362,Forest,Forest,Built-up,NULL,Non_Wetland,Built-up
363,Forest,Forest,Built-up,NULL,Non_Wetland,Forest
364,Forest,Forest,Water,NULL,Water,Forest
365,Forest,Forest,Forest,NULL,Non_Wetland,NULL
366,Forest,Forest,Forest,NULL,Non_Wetland,Grassland
367,Forest,Forest,Forest,NULL,Non_Wetland,Wetland
368,Forest,Forest,Forest,NULL,Non_Wetland,Built-up
369,Forest,Forest,Forest,NULL,Non_Wetland,Forest
370,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL
371,Forest,Forest,Forest,Non_Water,Non_Wetland,Grassland
372,Forest,Forest,Forest,Non_Water,Non_Wetland,Forest
