Value,AFRICA_2024_DynamicWorld_2024_36PWQ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PWQ_M_R,AFRICA_2024_GLC_FCS30D_2022_36PWQ_M_R,AFRICA_2024_GSW_Yearly_2021_36PWQ_M_R,AFRICA_2024_GWL_FCS30D_2022_36PWQ_M_R,AFRICA_2024_WorldCover_2021_36PWQ_M_R
121,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
122,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
123,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
124,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
125,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland
126,NULL,Wetland,Shrubland,Water,Non_Wetland,Forest
127,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
128,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
129,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
130,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
131,NULL,Wetland,Wetland,NULL,Wetland,NULL
132,NULL,Wetland,Wetland,NULL,Wetland,Grassland
133,NULL,Wetland,Wetland,NULL,Wetland,Wetland
134,NULL,Wetland,Wetland,NULL,Wetland,Forest
135,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
136,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
137,NULL,Wetland,Bareland,NULL,Non_Wetland,Built-up
138,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
139,NULL,Wetland,Built-up,NULL,Non_Wetland,Built-up
140,NULL,Wetland,Built-up,NULL,Non_Wetland,Forest
141,NULL,Wetland,Built-up,Water,Non_Wetland,Forest
142,NULL,Wetland,Water,NULL,Water,Forest
143,NULL,Wetland,Water,Non_Water,Water,Forest
144,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
145,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
146,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
147,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
148,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
149,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
150,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
151,NULL,Wetland,Forest,Water,Non_Wetland,Forest
152,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
153,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Grassland
154,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
155,NULL,Bareland,Shrubland,Water,Non_Wetland,Grassland
156,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
157,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
158,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
159,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
160,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland
161,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
162,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
163,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
164,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
165,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
166,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
167,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
168,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
169,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
170,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
171,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
172,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up
173,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
174,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland
175,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
176,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland
177,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
178,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
179,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
180,NULL,Built-up,Grassland,Water,Non_Wetland,Forest
181,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
182,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
183,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland
184,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
185,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
186,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
187,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
188,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
189,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
190,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
191,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
192,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
193,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
194,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
195,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
196,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
197,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
198,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
199,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
200,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
201,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
202,NULL,Water,NULL,NULL,Non_Wetland,Grassland
203,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
204,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
205,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
206,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
207,NULL,Water,Shrubland,Non_Water,Non_Wetland,Wetland
208,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland
209,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
210,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
211,NULL,Water,Shrubland,Water,Non_Wetland,Forest
212,NULL,Water,Grassland,NULL,Non_Wetland,Water
213,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
214,NULL,Water,Bareland,NULL,Non_Wetland,Forest
215,NULL,Water,Bareland,Water,Non_Wetland,Grassland
216,NULL,Water,Bareland,Water,Non_Wetland,Forest
217,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
218,NULL,Water,Water,Non_Water,Water,Forest
219,NULL,Water,Water,Water,Water,Grassland
220,NULL,Water,Forest,NULL,Non_Wetland,Grassland
221,NULL,Water,Forest,NULL,Non_Wetland,Forest
222,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
223,NULL,Water,Forest,Water,Non_Wetland,Grassland
224,NULL,Water,Forest,Water,Non_Wetland,Forest
225,NULL,Forest,NULL,NULL,Non_Wetland,NULL
226,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
227,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
228,NULL,Forest,NULL,NULL,Non_Wetland,Forest
229,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL
230,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
231,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
232,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
233,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
234,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
235,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
236,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
237,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
238,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
239,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
240,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
241,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
242,NULL,Forest,Wetland,NULL,Wetland,Grassland
243,NULL,Forest,Wetland,NULL,Wetland,Wetland
244,NULL,Forest,Wetland,NULL,Wetland,Forest
245,NULL,Forest,Wetland,Non_Water,Wetland,Grassland
246,NULL,Forest,Wetland,Non_Water,Wetland,Wetland
247,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
248,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland
249,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
250,NULL,Forest,Bareland,Non_Water,Non_Wetland,Grassland
251,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
252,NULL,Forest,Forest,NULL,Non_Wetland,NULL
253,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
254,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
255,NULL,Forest,Forest,NULL,Non_Wetland,Forest
256,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
257,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
258,NULL,Forest,Forest,Non_Water,Non_Wetland,Wetland
259,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
260,NULL,Forest,Forest,Water,Non_Wetland,Grassland
261,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
262,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
263,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
264,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
265,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
266,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland
267,Grassland,NULL,NULL,Non_Water,Non_Wetland,Forest
268,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
269,Grassland,NULL,NULL,Water,Non_Wetland,Wetland
270,Grassland,NULL,NULL,Water,Non_Wetland,Water
271,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
272,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
273,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
274,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
275,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water
276,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
277,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
278,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
279,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
280,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Water
281,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
282,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
283,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
284,Grassland,NULL,Shrubland,Water,Non_Wetland,Water
285,Grassland,NULL,Shrubland,Water,Non_Wetland,Forest
286,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
287,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
288,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
289,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
290,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
291,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
292,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland
293,Grassland,NULL,Wetland,NULL,Wetland,NULL
294,Grassland,NULL,Wetland,NULL,Wetland,Grassland
295,Grassland,NULL,Wetland,NULL,Wetland,Wetland
296,Grassland,NULL,Wetland,NULL,Wetland,Water
297,Grassland,NULL,Wetland,NULL,Wetland,Forest
298,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
299,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
300,Grassland,NULL,Wetland,Non_Water,Wetland,Water
301,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
302,Grassland,NULL,Wetland,Water,Wetland,Grassland
303,Grassland,NULL,Wetland,Water,Wetland,Wetland
304,Grassland,NULL,Wetland,Water,Wetland,Water
305,Grassland,NULL,Wetland,Water,Wetland,Forest
306,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
307,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
308,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
309,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
310,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
311,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
312,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland
313,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland
314,Grassland,NULL,Bareland,Water,Non_Wetland,Water
315,Grassland,NULL,Bareland,Water,Non_Wetland,Forest
316,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
317,Grassland,NULL,Built-up,NULL,Non_Wetland,Forest
318,Grassland,NULL,Built-up,Water,Non_Wetland,Wetland
319,Grassland,NULL,Water,NULL,Water,Grassland
320,Grassland,NULL,Water,NULL,Water,Wetland
321,Grassland,NULL,Water,NULL,Water,Water
322,Grassland,NULL,Water,NULL,Water,Forest
323,Grassland,NULL,Water,Non_Water,Water,Grassland
324,Grassland,NULL,Water,Non_Water,Water,Wetland
325,Grassland,NULL,Water,Non_Water,Water,Forest
326,Grassland,NULL,Water,Water,Water,Grassland
327,Grassland,NULL,Water,Water,Water,Wetland
328,Grassland,NULL,Water,Water,Water,Water
329,Grassland,NULL,Water,Water,Water,Forest
330,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
331,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
332,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
333,Grassland,NULL,Forest,NULL,Non_Wetland,Water
334,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
335,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL
336,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
337,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
338,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
339,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
340,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
341,Grassland,NULL,Forest,Water,Non_Wetland,Water
342,Grassland,NULL,Forest,Water,Non_Wetland,Forest
343,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
344,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland
345,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
346,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
347,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
348,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
349,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
350,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
351,Grassland,Cropland,Shrubland,Water,Non_Wetland,Grassland
352,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
353,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland
354,Grassland,Cropland,Wetland,NULL,Wetland,Grassland
355,Grassland,Cropland,Wetland,NULL,Wetland,Wetland
356,Grassland,Cropland,Wetland,NULL,Wetland,Forest
357,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland
358,Grassland,Cropland,Bareland,NULL,Non_Wetland,Wetland
359,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland
360,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
361,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
362,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
363,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland
364,Grassland,Wetland,NULL,NULL,Non_Wetland,Wetland
365,Grassland,Wetland,NULL,NULL,Non_Wetland,Water
366,Grassland,Wetland,NULL,NULL,Non_Wetland,Forest
367,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Grassland
368,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Wetland
369,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Forest
370,Grassland,Wetland,NULL,Water,Non_Wetland,Grassland
371,Grassland,Wetland,NULL,Water,Non_Wetland,Wetland
372,Grassland,Wetland,NULL,Water,Non_Wetland,Water
373,Grassland,Wetland,NULL,Water,Non_Wetland,Forest
374,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL
375,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
376,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
377,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Water
378,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Forest
379,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
380,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
381,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Water
382,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
383,Grassland,Wetland,Shrubland,Water,Non_Wetland,Grassland
384,Grassland,Wetland,Shrubland,Water,Non_Wetland,Wetland
385,Grassland,Wetland,Shrubland,Water,Non_Wetland,Water
386,Grassland,Wetland,Shrubland,Water,Non_Wetland,Forest
387,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland
388,Grassland,Wetland,Cropland,NULL,Non_Wetland,Wetland
389,Grassland,Wetland,Cropland,NULL,Non_Wetland,Forest
390,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
391,Grassland,Wetland,Wetland,NULL,Wetland,NULL
392,Grassland,Wetland,Wetland,NULL,Wetland,Grassland
393,Grassland,Wetland,Wetland,NULL,Wetland,Wetland
394,Grassland,Wetland,Wetland,NULL,Wetland,Water
395,Grassland,Wetland,Wetland,NULL,Wetland,Forest
396,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL
397,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland
398,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland
399,Grassland,Wetland,Wetland,Non_Water,Wetland,Forest
400,Grassland,Wetland,Wetland,Water,Wetland,Grassland
401,Grassland,Wetland,Wetland,Water,Wetland,Wetland
402,Grassland,Wetland,Wetland,Water,Wetland,Water
403,Grassland,Wetland,Wetland,Water,Wetland,Forest
404,Grassland,Wetland,Bareland,NULL,Non_Wetland,Grassland
405,Grassland,Wetland,Bareland,NULL,Non_Wetland,Wetland
406,Grassland,Wetland,Bareland,NULL,Non_Wetland,Water
407,Grassland,Wetland,Bareland,NULL,Non_Wetland,Forest
408,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
409,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
410,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Forest
411,Grassland,Wetland,Bareland,Water,Non_Wetland,Grassland
412,Grassland,Wetland,Bareland,Water,Non_Wetland,Wetland
413,Grassland,Wetland,Bareland,Water,Non_Wetland,Water
414,Grassland,Wetland,Bareland,Water,Non_Wetland,Forest
415,Grassland,Wetland,Built-up,NULL,Non_Wetland,Wetland
416,Grassland,Wetland,Built-up,NULL,Non_Wetland,Forest
417,Grassland,Wetland,Water,NULL,Water,Grassland
418,Grassland,Wetland,Water,NULL,Water,Wetland
419,Grassland,Wetland,Water,NULL,Water,Water
420,Grassland,Wetland,Water,NULL,Water,Forest
421,Grassland,Wetland,Water,Non_Water,Water,Grassland
422,Grassland,Wetland,Water,Non_Water,Water,Wetland
423,Grassland,Wetland,Water,Water,Water,Grassland
424,Grassland,Wetland,Water,Water,Water,Wetland
425,Grassland,Wetland,Water,Water,Water,Water
426,Grassland,Wetland,Water,Water,Water,Forest
427,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL
