Value,AFRICA_2024_DynamicWorld_2024_36PTS_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PTS_M_R,AFRICA_2024_GLC_FCS30D_2022_36PTS_M_R,AFRICA_2024_GSW_Yearly_2021_36PTS_M_R,AFRICA_2024_GWL_FCS30D_2022_36PTS_M_R,AFRICA_2024_WorldCover_2021_36PTS_M_R
121,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
122,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
123,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
124,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Water
125,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
126,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland
127,NULL,Cropland,Shrubland,Water,Non_Wetland,Wetland
128,NULL,Cropland,Shrubland,Water,Non_Wetland,Bareland
129,NULL,Cropland,Shrubland,Water,Non_Wetland,Water
130,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
131,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
132,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
133,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
134,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
135,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
136,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
137,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
138,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
139,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
140,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
141,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
142,NULL,Cropland,Cropland,NULL,Non_Wetland,Water
143,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
144,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
145,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
146,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Wetland
147,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Water
148,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
149,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
150,NULL,Cropland,Cropland,Water,Non_Wetland,Wetland
151,NULL,Cropland,Cropland,Water,Non_Wetland,Water
152,NULL,Cropland,Wetland,NULL,Wetland,Wetland
153,NULL,Cropland,Wetland,Non_Water,Wetland,Wetland
154,NULL,Cropland,Wetland,Water,Wetland,Wetland
155,NULL,Cropland,Wetland,Water,Wetland,Water
156,NULL,Cropland,Bareland,NULL,Non_Wetland,Wetland
157,NULL,Cropland,Bareland,NULL,Non_Wetland,Water
158,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Wetland
159,NULL,Cropland,Bareland,Water,Non_Wetland,Wetland
160,NULL,Cropland,Bareland,Water,Non_Wetland,Bareland
161,NULL,Cropland,Bareland,Water,Non_Wetland,Water
162,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
163,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
164,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
165,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
166,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
167,NULL,Cropland,Water,NULL,Water,Water
168,NULL,Cropland,Water,Non_Water,Water,Cropland
169,NULL,Cropland,Water,Non_Water,Water,Wetland
170,NULL,Cropland,Water,Non_Water,Water,Water
171,NULL,Cropland,Water,Water,Water,Wetland
172,NULL,Cropland,Water,Water,Water,Water
173,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
174,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
175,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
176,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
177,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
178,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
179,NULL,Cropland,Forest,Non_Water,Non_Wetland,Cropland
180,NULL,Cropland,Forest,Non_Water,Non_Wetland,Wetland
181,NULL,Cropland,Forest,Water,Non_Wetland,Cropland
182,NULL,Cropland,Forest,Water,Non_Wetland,Wetland
183,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
184,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
185,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
186,NULL,Wetland,Shrubland,NULL,Non_Wetland,Built-up
187,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
188,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
189,NULL,Bareland,Wetland,Water,Wetland,Water
190,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
191,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
192,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
193,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
194,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
195,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
196,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
197,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
198,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
199,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
200,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
201,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
202,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
203,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
204,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
205,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
206,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
207,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
208,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
209,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
210,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
211,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
212,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
213,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
214,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
215,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
216,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
217,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
218,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
219,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
220,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
221,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
222,NULL,Forest,NULL,NULL,Non_Wetland,NULL
223,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
224,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
225,NULL,Forest,NULL,NULL,Non_Wetland,Forest
226,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
227,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
228,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
229,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
230,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
231,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
232,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
233,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
234,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
235,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
236,NULL,Forest,Shrubland,Water,Non_Wetland,NULL
237,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
238,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
239,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
240,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
241,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
242,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland
243,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
244,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
245,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
246,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
247,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland
248,NULL,Forest,Wetland,NULL,Wetland,NULL
249,NULL,Forest,Wetland,NULL,Wetland,Grassland
250,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
251,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
252,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
253,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland
254,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
255,NULL,Forest,Forest,NULL,Non_Wetland,NULL
256,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
257,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
258,NULL,Forest,Forest,NULL,Non_Wetland,Forest
259,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
260,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
261,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
262,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
263,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
264,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
265,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
266,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland
267,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
268,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
269,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
270,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
271,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
272,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
273,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
274,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
275,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
276,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
277,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
278,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
279,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
280,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
281,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
282,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
283,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
284,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
285,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
286,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
287,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
288,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
289,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
290,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Forest
291,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
292,Grassland,NULL,Cropland,Water,Non_Wetland,Cropland
293,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland
294,Grassland,NULL,Wetland,NULL,Wetland,Grassland
295,Grassland,NULL,Wetland,NULL,Wetland,Wetland
296,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
297,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
298,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
299,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
300,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
301,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
302,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
303,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
304,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
305,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
306,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland
307,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Grassland
308,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
309,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
310,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
311,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
312,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
313,Grassland,Cropland,Shrubland,Water,Non_Wetland,Wetland
314,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
315,Grassland,Cropland,Grassland,NULL,Non_Wetland,Wetland
316,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
317,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
318,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
319,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland
320,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Wetland
321,Grassland,Cropland,Cropland,Water,Non_Wetland,Wetland
322,Grassland,Cropland,Cropland,Water,Non_Wetland,Water
323,Grassland,Cropland,Wetland,Water,Wetland,Water
324,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
325,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
326,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
327,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Cropland
328,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Wetland
329,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
330,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland
331,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
332,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland
333,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland
334,Grassland,Forest,Wetland,NULL,Wetland,Wetland
335,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
336,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
337,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
338,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
339,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
340,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland
341,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
342,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland
343,Cropland,NULL,NULL,Non_Water,Non_Wetland,Cropland
344,Cropland,NULL,NULL,Non_Water,Non_Wetland,Wetland
345,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
346,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
347,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
348,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
349,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
350,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
351,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
352,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
353,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
354,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
355,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
356,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
357,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
358,Cropland,NULL,Shrubland,Water,Non_Wetland,Cropland
359,Cropland,NULL,Shrubland,Water,Non_Wetland,Wetland
360,Cropland,NULL,Shrubland,Water,Non_Wetland,Bareland
361,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
362,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
363,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
364,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland
365,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
366,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
367,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
368,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
369,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
370,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
371,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
372,Cropland,NULL,Grassland,Water,Non_Wetland,Cropland
373,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
374,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
375,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
376,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland
377,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
378,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
379,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
380,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL
381,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
382,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
383,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
384,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Bareland
385,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Forest
386,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
387,Cropland,NULL,Cropland,Water,Non_Wetland,Cropland
388,Cropland,NULL,Cropland,Water,Non_Wetland,Wetland
389,Cropland,NULL,Cropland,Water,Non_Wetland,Bareland
390,Cropland,NULL,Cropland,Water,Non_Wetland,Water
391,Cropland,NULL,Wetland,NULL,Wetland,Grassland
392,Cropland,NULL,Wetland,NULL,Wetland,Cropland
393,Cropland,NULL,Wetland,NULL,Wetland,Wetland
394,Cropland,NULL,Wetland,NULL,Wetland,Forest
395,Cropland,NULL,Wetland,Non_Water,Wetland,Grassland
396,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
397,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
398,Cropland,NULL,Bareland,NULL,Non_Wetland,Wetland
399,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
400,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
401,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
402,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
403,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
404,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
405,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
406,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
407,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
408,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
409,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
410,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
411,Cropland,NULL,Forest,Non_Water,Non_Wetland,Grassland
412,Cropland,NULL,Forest,Non_Water,Non_Wetland,Cropland
413,Cropland,NULL,Forest,Non_Water,Non_Wetland,Wetland
414,Cropland,NULL,Forest,Non_Water,Non_Wetland,Forest
415,Cropland,NULL,Forest,Water,Non_Wetland,Grassland
416,Cropland,NULL,Forest,Water,Non_Wetland,Cropland
417,Cropland,NULL,Forest,Water,Non_Wetland,Wetland
418,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
419,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
420,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
