Value,AFRICA_2024_DynamicWorld_2024_37NDD_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NDD_M_R,AFRICA_2024_GLC_FCS30D_2022_37NDD_M_R,AFRICA_2024_GSW_Yearly_2021_37NDD_M_R,AFRICA_2024_GWL_FCS30D_2022_37NDD_M_R,AFRICA_2024_WorldCover_2021_37NDD_M_R
120,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
121,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
122,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL
123,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Grassland
124,NULL,Cropland,Built-up,Water,Non_Wetland,NULL
125,NULL,Cropland,Built-up,Water,Non_Wetland,Grassland
126,NULL,Cropland,Water,NULL,Water,NULL
127,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
128,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
129,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
130,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
131,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL
132,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
133,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL
134,NULL,Wetland,Grassland,Water,Non_Wetland,NULL
135,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL
136,NULL,Wetland,Cropland,NULL,Non_Wetland,Forest
137,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL
138,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
139,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL
140,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL
141,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL
142,NULL,Wetland,Water,NULL,Water,NULL
143,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
144,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
145,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
146,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
147,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
148,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
149,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
150,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL
151,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Grassland
152,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
153,NULL,Bareland,Grassland,Water,Non_Wetland,NULL
154,NULL,Bareland,Grassland,Water,Non_Wetland,Grassland
155,NULL,Bareland,Grassland,Water,Non_Wetland,Bareland
156,NULL,Bareland,Cropland,Water,Non_Wetland,Bareland
157,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
158,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
159,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
160,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
161,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL
162,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
163,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
164,NULL,Bareland,Bareland,Water,Non_Wetland,NULL
165,NULL,Bareland,Bareland,Water,Non_Wetland,Grassland
166,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
167,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL
168,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
169,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
170,NULL,Bareland,Water,Non_Water,Water,NULL
171,NULL,Bareland,Water,Non_Water,Water,Grassland
172,NULL,Bareland,Water,Water,Water,NULL
173,NULL,Bareland,Water,Water,Water,Grassland
174,NULL,Bareland,Water,Water,Water,Bareland
175,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
176,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
177,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
178,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
179,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
180,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
181,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
182,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
183,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
184,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
185,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
186,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
187,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
188,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
189,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
190,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
191,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
192,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
193,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
194,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
195,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
196,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
197,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
198,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
199,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
200,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
201,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
202,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
203,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
204,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
205,NULL,Built-up,Bareland,Water,Non_Wetland,NULL
206,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
207,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
208,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
209,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
210,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
211,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
212,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
213,NULL,Water,NULL,NULL,Non_Wetland,NULL
214,NULL,Water,NULL,NULL,Non_Wetland,Grassland
215,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
216,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
217,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
218,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
219,NULL,Water,Shrubland,NULL,Non_Wetland,Water
220,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
221,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL
222,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
223,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
224,NULL,Water,Shrubland,Water,Non_Wetland,Wetland
225,NULL,Water,Shrubland,Water,Non_Wetland,Bareland
226,NULL,Water,Shrubland,Water,Non_Wetland,Water
227,NULL,Water,Grassland,NULL,Non_Wetland,NULL
228,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
229,NULL,Water,Grassland,NULL,Non_Wetland,Cropland
230,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
231,NULL,Water,Grassland,NULL,Non_Wetland,Water
232,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL
233,NULL,Water,Grassland,Non_Water,Non_Wetland,Grassland
234,NULL,Water,Grassland,Non_Water,Non_Wetland,Bareland
235,NULL,Water,Grassland,Water,Non_Wetland,NULL
236,NULL,Water,Grassland,Water,Non_Wetland,Grassland
237,NULL,Water,Grassland,Water,Non_Wetland,Bareland
238,NULL,Water,Grassland,Water,Non_Wetland,Water
239,NULL,Water,Cropland,NULL,Non_Wetland,NULL
240,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
241,NULL,Water,Cropland,Non_Water,Non_Wetland,NULL
242,NULL,Water,Cropland,Water,Non_Wetland,Bareland
243,NULL,Water,Wetland,Water,Wetland,Grassland
244,NULL,Water,Wetland,Water,Wetland,Bareland
245,NULL,Water,Bareland,NULL,Non_Wetland,NULL
246,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
247,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
248,NULL,Water,Bareland,NULL,Non_Wetland,Water
249,NULL,Water,Bareland,Non_Water,Non_Wetland,NULL
250,NULL,Water,Bareland,Non_Water,Non_Wetland,Grassland
251,NULL,Water,Bareland,Non_Water,Non_Wetland,Bareland
252,NULL,Water,Bareland,Water,Non_Wetland,NULL
253,NULL,Water,Bareland,Water,Non_Wetland,Grassland
254,NULL,Water,Bareland,Water,Non_Wetland,Bareland
255,NULL,Water,Built-up,NULL,Non_Wetland,NULL
256,NULL,Water,Built-up,Non_Water,Non_Wetland,NULL
257,NULL,Water,Built-up,Non_Water,Non_Wetland,Grassland
258,NULL,Water,Built-up,Water,Non_Wetland,NULL
259,NULL,Water,Water,NULL,Water,NULL
260,NULL,Water,Water,NULL,Water,Bareland
261,NULL,Water,Water,Non_Water,Water,NULL
262,NULL,Water,Water,Water,Water,NULL
263,NULL,Water,Water,Water,Water,Bareland
264,NULL,Water,Forest,NULL,Non_Wetland,NULL
265,NULL,Water,Forest,NULL,Non_Wetland,Forest
266,NULL,Water,Forest,Non_Water,Non_Wetland,NULL
267,NULL,Forest,NULL,NULL,Non_Wetland,NULL
268,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
269,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
270,NULL,Forest,NULL,NULL,Non_Wetland,Forest
271,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
272,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
273,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
274,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
275,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
276,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
277,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
278,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
279,NULL,Forest,Shrubland,Water,Non_Wetland,NULL
280,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
281,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
282,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
283,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
284,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
285,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
286,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
287,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL
288,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland
289,NULL,Forest,Grassland,Water,Non_Wetland,NULL
290,NULL,Forest,Grassland,Water,Non_Wetland,Grassland
291,NULL,Forest,Grassland,Water,Non_Wetland,Bareland
292,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
293,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
294,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
295,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
296,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
297,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
298,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
299,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
300,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
301,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
302,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
303,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
304,NULL,Forest,Bareland,Non_Water,Non_Wetland,NULL
305,NULL,Forest,Bareland,Non_Water,Non_Wetland,Grassland
306,NULL,Forest,Bareland,Water,Non_Wetland,Bareland
307,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
308,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
309,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
310,NULL,Forest,Built-up,Non_Water,Non_Wetland,NULL
311,NULL,Forest,Forest,NULL,Non_Wetland,NULL
312,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
313,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
314,NULL,Forest,Forest,NULL,Non_Wetland,Forest
315,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
316,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
317,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
318,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
319,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
320,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
321,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
322,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
323,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
324,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
325,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
326,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
327,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
328,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
329,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
330,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
331,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
332,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
333,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
334,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
335,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
336,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
337,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
338,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
339,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
340,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
341,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
342,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
343,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
344,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
345,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
346,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
347,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
348,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
349,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
350,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
351,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
352,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
353,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
354,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
355,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
356,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
357,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
358,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
359,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Forest
360,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
361,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
362,Cropland,NULL,Bareland,Water,Non_Wetland,NULL
363,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
364,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
365,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
366,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
367,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
368,Cropland,NULL,Forest,NULL,Non_Wetland,Water
369,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
370,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
371,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL
372,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL
373,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
374,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Cropland
375,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
376,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL
377,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
378,Cropland,Forest,NULL,NULL,Non_Wetland,NULL
379,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland
380,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
381,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
382,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL
383,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
384,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL
385,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland
386,Cropland,Forest,Cropland,NULL,Non_Wetland,Cropland
387,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest
388,Cropland,Forest,Bareland,NULL,Non_Wetland,NULL
389,Cropland,Forest,Bareland,NULL,Non_Wetland,Grassland
390,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
391,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
392,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
393,Bareland,NULL,NULL,NULL,Non_Wetland,NULL
394,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
395,Bareland,NULL,NULL,NULL,Non_Wetland,Cropland
396,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
397,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
398,Bareland,NULL,Shrubland,NULL,Non_Wetland,Cropland
399,Bareland,NULL,Shrubland,NULL,Non_Wetland,Forest
400,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
401,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
402,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
403,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
404,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL
405,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
406,Bareland,NULL,Cropland,NULL,Non_Wetland,Cropland
407,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
408,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
409,Bareland,NULL,Bareland,Water,Non_Wetland,Bareland
410,Bareland,NULL,Forest,NULL,Non_Wetland,NULL
411,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland
412,Bareland,NULL,Forest,NULL,Non_Wetland,Cropland
413,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
414,Bareland,Built-up,Grassland,NULL,Non_Wetland,Grassland
415,Bareland,Built-up,Bareland,NULL,Non_Wetland,Grassland
416,Bareland,Water,Shrubland,NULL,Non_Wetland,Grassland
417,Bareland,Water,Grassland,NULL,Non_Wetland,Grassland
418,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL
419,Bareland,Forest,Shrubland,NULL,Non_Wetland,Grassland
420,Bareland,Forest,Cropland,NULL,Non_Wetland,Grassland
421,Bareland,Forest,Cropland,NULL,Non_Wetland,Cropland
422,Bareland,Forest,Forest,NULL,Non_Wetland,Cropland
423,Water,NULL,NULL,NULL,Non_Wetland,NULL
424,Water,NULL,NULL,NULL,Non_Wetland,Grassland
425,Water,NULL,NULL,NULL,Non_Wetland,Bareland
