Value,AFRICA_2024_DynamicWorld_2024_36PWV_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PWV_M_R,AFRICA_2024_GLC_FCS30D_2022_36PWV_M_R,AFRICA_2024_GSW_Yearly_2021_36PWV_M_R,AFRICA_2024_GWL_FCS30D_2022_36PWV_M_R,AFRICA_2024_WorldCover_2021_36PWV_M_R
121,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland
122,NULL,Cropland,NULL,Non_Water,Non_Wetland,Cropland
123,NULL,Cropland,NULL,Non_Water,Non_Wetland,Forest
124,NULL,Cropland,NULL,Water,Non_Wetland,Grassland
125,NULL,Cropland,NULL,Water,Non_Wetland,Wetland
126,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
127,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
128,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
129,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
130,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
131,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
132,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
133,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
134,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
135,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
136,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
137,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
138,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
139,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland
140,NULL,Cropland,Shrubland,Water,Non_Wetland,Wetland
141,NULL,Cropland,Shrubland,Water,Non_Wetland,Water
142,NULL,Cropland,Shrubland,Water,Non_Wetland,Forest
143,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
144,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
145,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
146,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
147,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
148,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
149,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
150,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL
151,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
152,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
153,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Bareland
154,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Built-up
155,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Forest
156,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland
157,NULL,Cropland,Grassland,Water,Non_Wetland,Cropland
158,NULL,Cropland,Grassland,Water,Non_Wetland,Wetland
159,NULL,Cropland,Grassland,Water,Non_Wetland,Bareland
160,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
161,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
162,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
163,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
164,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
165,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
166,NULL,Cropland,Cropland,NULL,Non_Wetland,Water
167,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
168,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL
169,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
170,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
171,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Wetland
172,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Bareland
173,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Forest
174,NULL,Cropland,Cropland,Water,Non_Wetland,NULL
175,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
176,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
177,NULL,Cropland,Cropland,Water,Non_Wetland,Wetland
178,NULL,Cropland,Cropland,Water,Non_Wetland,Bareland
179,NULL,Cropland,Cropland,Water,Non_Wetland,Forest
180,NULL,Cropland,Wetland,NULL,Wetland,NULL
181,NULL,Cropland,Wetland,NULL,Wetland,Grassland
182,NULL,Cropland,Wetland,NULL,Wetland,Cropland
183,NULL,Cropland,Wetland,NULL,Wetland,Wetland
184,NULL,Cropland,Wetland,NULL,Wetland,Water
185,NULL,Cropland,Wetland,NULL,Wetland,Forest
186,NULL,Cropland,Wetland,Non_Water,Wetland,NULL
187,NULL,Cropland,Wetland,Non_Water,Wetland,Grassland
188,NULL,Cropland,Wetland,Non_Water,Wetland,Cropland
189,NULL,Cropland,Wetland,Non_Water,Wetland,Wetland
190,NULL,Cropland,Wetland,Non_Water,Wetland,Forest
191,NULL,Cropland,Wetland,Water,Wetland,Grassland
192,NULL,Cropland,Wetland,Water,Wetland,Cropland
193,NULL,Cropland,Wetland,Water,Wetland,Wetland
194,NULL,Cropland,Wetland,Water,Wetland,Water
195,NULL,Cropland,Wetland,Water,Wetland,Forest
196,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
197,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
198,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
199,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
200,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
201,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
202,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
203,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
204,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Forest
205,NULL,Cropland,Bareland,Water,Non_Wetland,Cropland
206,NULL,Cropland,Bareland,Water,Non_Wetland,Wetland
207,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
208,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
209,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
210,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
211,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
212,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
213,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Grassland
214,NULL,Cropland,Built-up,Water,Non_Wetland,Built-up
215,NULL,Cropland,Water,Non_Water,Water,Grassland
216,NULL,Cropland,Water,Water,Water,Cropland
217,NULL,Cropland,Water,Water,Water,Wetland
218,NULL,Cropland,Water,Water,Water,Forest
219,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
220,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
221,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
222,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
223,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
224,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL
225,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
226,NULL,Cropland,Forest,Non_Water,Non_Wetland,Cropland
227,NULL,Cropland,Forest,Non_Water,Non_Wetland,Wetland
228,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
229,NULL,Cropland,Forest,Water,Non_Wetland,Grassland
230,NULL,Cropland,Forest,Water,Non_Wetland,Cropland
231,NULL,Cropland,Forest,Water,Non_Wetland,Wetland
232,NULL,Cropland,Forest,Water,Non_Wetland,Forest
233,NULL,Wetland,NULL,Non_Water,Non_Wetland,Cropland
234,NULL,Wetland,NULL,Non_Water,Non_Wetland,Forest
235,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
236,NULL,Wetland,Shrubland,NULL,Non_Wetland,Cropland
237,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
238,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
239,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
240,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Cropland
241,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
242,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
243,NULL,Wetland,Shrubland,Water,Non_Wetland,Cropland
244,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
245,NULL,Wetland,Grassland,Water,Non_Wetland,Cropland
246,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
247,NULL,Wetland,Cropland,NULL,Non_Wetland,Cropland
248,NULL,Wetland,Cropland,NULL,Non_Wetland,Bareland
249,NULL,Wetland,Cropland,NULL,Non_Wetland,Forest
250,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
251,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Cropland
252,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Forest
253,NULL,Wetland,Cropland,Water,Non_Wetland,Cropland
254,NULL,Wetland,Cropland,Water,Non_Wetland,Wetland
255,NULL,Wetland,Cropland,Water,Non_Wetland,Forest
256,NULL,Wetland,Wetland,NULL,Wetland,Forest
257,NULL,Wetland,Wetland,Non_Water,Wetland,NULL
258,NULL,Wetland,Wetland,Non_Water,Wetland,Forest
259,NULL,Wetland,Wetland,Water,Wetland,Cropland
260,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
261,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
262,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
263,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
264,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
265,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
266,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
267,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
268,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
269,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
270,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
271,NULL,Built-up,NULL,Non_Water,Non_Wetland,Grassland
272,NULL,Built-up,NULL,Non_Water,Non_Wetland,Forest
273,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
274,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
275,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
276,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
277,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
278,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
279,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
280,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland
281,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
282,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland
283,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
284,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
285,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
286,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
287,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
288,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
289,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
290,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Cropland
291,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Bareland
292,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Built-up
293,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest
294,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland
295,NULL,Built-up,Grassland,Water,Non_Wetland,Cropland
296,NULL,Built-up,Grassland,Water,Non_Wetland,Bareland
297,NULL,Built-up,Grassland,Water,Non_Wetland,Built-up
298,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
299,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
300,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
301,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
302,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
303,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
304,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL
305,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
306,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Cropland
307,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Bareland
308,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Built-up
309,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
310,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland
311,NULL,Built-up,Cropland,Water,Non_Wetland,Cropland
312,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland
313,NULL,Built-up,Cropland,Water,Non_Wetland,Built-up
314,NULL,Built-up,Cropland,Water,Non_Wetland,Water
315,NULL,Built-up,Cropland,Water,Non_Wetland,Forest
316,NULL,Built-up,Wetland,NULL,Wetland,Grassland
317,NULL,Built-up,Wetland,NULL,Wetland,Bareland
318,NULL,Built-up,Wetland,NULL,Wetland,Forest
319,NULL,Built-up,Wetland,Non_Water,Wetland,Cropland
320,NULL,Built-up,Wetland,Non_Water,Wetland,Forest
321,NULL,Built-up,Wetland,Water,Wetland,Grassland
322,NULL,Built-up,Wetland,Water,Wetland,Cropland
323,NULL,Built-up,Wetland,Water,Wetland,Forest
324,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
325,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
326,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
327,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
328,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
329,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Cropland
330,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
331,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Built-up
332,NULL,Built-up,Bareland,Water,Non_Wetland,Grassland
333,NULL,Built-up,Bareland,Water,Non_Wetland,Cropland
334,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
335,NULL,Built-up,Bareland,Water,Non_Wetland,Built-up
336,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
337,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
338,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
339,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
340,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
341,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
342,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
343,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Cropland
344,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
345,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
346,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
347,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland
348,NULL,Built-up,Built-up,Water,Non_Wetland,Cropland
349,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland
350,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
351,NULL,Built-up,Water,Water,Water,Bareland
352,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
353,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
354,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
355,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland
356,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
357,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
358,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
359,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
360,NULL,Water,Cropland,NULL,Non_Wetland,Forest
361,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland
362,NULL,Water,Cropland,Non_Water,Non_Wetland,Cropland
363,NULL,Water,Cropland,Non_Water,Non_Wetland,Bareland
364,NULL,Water,Cropland,Non_Water,Non_Wetland,Forest
365,NULL,Water,Cropland,Water,Non_Wetland,Cropland
366,NULL,Water,Wetland,NULL,Wetland,Bareland
367,NULL,Forest,NULL,NULL,Non_Wetland,NULL
368,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
369,NULL,Forest,NULL,Non_Water,Non_Wetland,Forest
370,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
371,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
372,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
373,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
374,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
375,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
376,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
377,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
378,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
379,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
380,NULL,Forest,Shrubland,Water,Non_Wetland,Cropland
381,NULL,Forest,Shrubland,Water,Non_Wetland,Wetland
382,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
383,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
384,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
385,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
386,NULL,Forest,Grassland,Non_Water,Non_Wetland,Cropland
387,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
388,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
389,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
390,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
391,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland
392,NULL,Forest,Cropland,Non_Water,Non_Wetland,Forest
393,NULL,Forest,Cropland,Water,Non_Wetland,Wetland
394,NULL,Forest,Wetland,NULL,Wetland,NULL
395,NULL,Forest,Wetland,NULL,Wetland,Grassland
396,NULL,Forest,Wetland,NULL,Wetland,Cropland
397,NULL,Forest,Wetland,NULL,Wetland,Wetland
398,NULL,Forest,Wetland,NULL,Wetland,Forest
399,NULL,Forest,Wetland,Non_Water,Wetland,Grassland
400,NULL,Forest,Wetland,Non_Water,Wetland,Wetland
401,NULL,Forest,Wetland,Non_Water,Wetland,Forest
402,NULL,Forest,Wetland,Water,Wetland,Cropland
403,NULL,Forest,Forest,NULL,Non_Wetland,NULL
404,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
405,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
406,NULL,Forest,Forest,NULL,Non_Wetland,Forest
407,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
408,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
409,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
410,NULL,Forest,Forest,Water,Non_Wetland,Grassland
411,NULL,Forest,Forest,Water,Non_Wetland,Cropland
412,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
413,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
414,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
415,Grassland,NULL,NULL,Non_Water,Non_Wetland,Cropland
416,Grassland,NULL,NULL,Non_Water,Non_Wetland,Forest
417,Grassland,NULL,NULL,Water,Non_Wetland,Cropland
418,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
419,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
420,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
421,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
422,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
