Value,AFRICA_2024_DynamicWorld_2024_38QLD_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38QLD_M_R,AFRICA_2024_GLC_FCS30D_2022_38QLD_M_R,AFRICA_2024_GSW_Yearly_2021_38QLD_M_R,AFRICA_2024_GWL_FCS30D_2022_38QLD_M_R,AFRICA_2024_WorldCover_2021_38QLD_M_R
122,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
123,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
124,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
125,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
126,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
127,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
128,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
129,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
130,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
131,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
132,NULL,Cropland,Grassland,Water,Non_Wetland,Bareland
133,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
134,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
135,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
136,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
137,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
138,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
139,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
140,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Bareland
141,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
142,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
143,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
144,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
145,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
146,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
147,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
148,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
149,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
150,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
151,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
152,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
153,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
154,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
155,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
156,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
157,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
158,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
159,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
160,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
161,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
162,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
163,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
164,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
165,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
166,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
167,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL
168,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
169,NULL,Wetland,Grassland,NULL,Non_Wetland,Cropland
170,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
171,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL
172,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
173,NULL,Wetland,Cropland,NULL,Non_Wetland,Cropland
174,NULL,Wetland,Cropland,NULL,Non_Wetland,Bareland
175,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL
176,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
177,NULL,Wetland,Bareland,NULL,Non_Wetland,Cropland
178,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland
179,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland
180,NULL,Bareland,NULL,NULL,Non_Wetland,Grassland
181,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland
182,NULL,Bareland,NULL,NULL,Non_Wetland,Built-up
183,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
184,NULL,Bareland,Shrubland,NULL,Non_Wetland,Cropland
185,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
186,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
187,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
188,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
189,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
190,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
191,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
192,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
193,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
194,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
195,NULL,Bareland,Cropland,NULL,Non_Wetland,Built-up
196,NULL,Bareland,Cropland,NULL,Non_Wetland,Forest
197,NULL,Bareland,Cropland,Water,Non_Wetland,Water
198,NULL,Bareland,Wetland,Water,Wetland,Water
199,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
200,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
201,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
202,NULL,Bareland,Bareland,NULL,Non_Wetland,Cropland
203,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
204,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
205,NULL,Bareland,Bareland,NULL,Non_Wetland,Forest
206,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
207,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Cropland
208,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
209,NULL,Bareland,Bareland,Water,Non_Wetland,NULL
210,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
211,NULL,Bareland,Bareland,Water,Non_Wetland,Water
212,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
213,NULL,Bareland,Built-up,NULL,Non_Wetland,Cropland
214,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
215,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
216,NULL,Bareland,Built-up,NULL,Non_Wetland,Water
217,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
218,NULL,Bareland,Forest,NULL,Non_Wetland,Forest
219,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
220,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
221,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
222,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
223,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
224,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
225,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
226,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
227,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
228,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
229,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
230,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
231,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
232,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
233,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
234,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
235,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
236,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
237,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
238,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
239,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
240,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
241,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
242,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
243,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Bareland
244,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
245,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
246,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
247,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
248,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
249,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
250,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
251,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
252,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
253,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
254,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
255,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
256,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
257,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Cropland
258,NULL,Built-up,Bareland,Water,Non_Wetland,Cropland
259,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
260,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
261,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
262,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
263,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
264,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
265,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
266,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
267,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
268,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
269,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
270,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
271,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
272,NULL,Water,Shrubland,NULL,Non_Wetland,Water
273,NULL,Water,Grassland,NULL,Non_Wetland,NULL
274,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
275,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
276,NULL,Water,Cropland,NULL,Non_Wetland,NULL
277,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
278,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
279,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
280,NULL,Water,Cropland,NULL,Non_Wetland,Built-up
281,NULL,Water,Cropland,NULL,Non_Wetland,Water
282,NULL,Water,Cropland,NULL,Non_Wetland,Forest
283,NULL,Water,Cropland,Water,Non_Wetland,Cropland
284,NULL,Water,Cropland,Water,Non_Wetland,Bareland
285,NULL,Water,Cropland,Water,Non_Wetland,Water
286,NULL,Water,Wetland,NULL,Wetland,Bareland
287,NULL,Water,Wetland,NULL,Wetland,Water
288,NULL,Water,Wetland,Water,Wetland,NULL
289,NULL,Water,Wetland,Water,Wetland,Cropland
290,NULL,Water,Wetland,Water,Wetland,Water
291,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
292,NULL,Water,Bareland,NULL,Non_Wetland,NULL
293,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
294,NULL,Water,Bareland,NULL,Non_Wetland,Cropland
295,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
296,NULL,Water,Bareland,NULL,Non_Wetland,Water
297,NULL,Water,Bareland,Non_Water,Non_Wetland,NULL
298,NULL,Water,Bareland,Non_Water,Non_Wetland,Cropland
299,NULL,Water,Bareland,Water,Non_Wetland,Cropland
300,NULL,Water,Bareland,Water,Non_Wetland,Bareland
301,NULL,Water,Bareland,Water,Non_Wetland,Water
302,NULL,Water,Built-up,Water,Non_Wetland,Water
303,NULL,Water,Water,Water,Water,Water
304,NULL,Water,Forest,NULL,Non_Wetland,Bareland
305,NULL,Forest,NULL,NULL,Non_Wetland,NULL
306,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
307,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
308,NULL,Forest,NULL,NULL,Non_Wetland,Forest
309,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
310,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
311,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
312,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
313,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
314,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
315,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
316,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
317,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
318,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
319,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
320,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
321,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
322,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
323,NULL,Forest,Bareland,NULL,Non_Wetland,Cropland
324,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
325,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
326,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
327,NULL,Forest,Water,NULL,Water,Forest
328,NULL,Forest,Forest,NULL,Non_Wetland,NULL
329,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
330,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
331,NULL,Forest,Forest,NULL,Non_Wetland,Forest
332,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
333,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
334,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
335,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
336,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
337,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
338,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
339,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
340,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
341,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
342,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
343,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
344,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
345,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL
346,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
347,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL
348,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest
349,Bareland,NULL,NULL,NULL,Non_Wetland,NULL
350,Bareland,NULL,NULL,NULL,Non_Wetland,Cropland
351,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland
352,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
353,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
354,Bareland,NULL,Shrubland,NULL,Non_Wetland,Cropland
355,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
356,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
357,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
358,Bareland,NULL,Grassland,NULL,Non_Wetland,Cropland
359,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
360,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL
361,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
362,Bareland,NULL,Cropland,NULL,Non_Wetland,Cropland
363,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland
364,Bareland,NULL,Cropland,NULL,Non_Wetland,Built-up
365,Bareland,NULL,Cropland,NULL,Non_Wetland,Forest
366,Bareland,NULL,Cropland,Water,Non_Wetland,NULL
367,Bareland,NULL,Cropland,Water,Non_Wetland,Cropland
368,Bareland,NULL,Cropland,Water,Non_Wetland,Bareland
369,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
370,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
371,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
372,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
373,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL
374,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
375,Bareland,NULL,Bareland,NULL,Non_Wetland,Cropland
376,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
377,Bareland,NULL,Bareland,NULL,Non_Wetland,Built-up
378,Bareland,NULL,Bareland,Water,Non_Wetland,Cropland
379,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL
380,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland
381,Bareland,NULL,Forest,NULL,Non_Wetland,NULL
382,Bareland,Cropland,Cropland,NULL,Non_Wetland,NULL
383,Bareland,Cropland,Cropland,NULL,Non_Wetland,Cropland
384,Bareland,Cropland,Cropland,NULL,Non_Wetland,Bareland
385,Bareland,Cropland,Bareland,NULL,Non_Wetland,NULL
386,Bareland,Cropland,Bareland,NULL,Non_Wetland,Cropland
387,Bareland,Cropland,Bareland,NULL,Non_Wetland,Bareland
388,Bareland,Bareland,NULL,NULL,Non_Wetland,Bareland
389,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Cropland
390,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
391,Bareland,Bareland,Cropland,NULL,Non_Wetland,NULL
392,Bareland,Bareland,Cropland,NULL,Non_Wetland,Cropland
393,Bareland,Bareland,Cropland,NULL,Non_Wetland,Bareland
394,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL
395,Bareland,Bareland,Bareland,NULL,Non_Wetland,Cropland
396,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland
397,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland
398,Bareland,Built-up,Cropland,NULL,Non_Wetland,NULL
399,Bareland,Built-up,Cropland,NULL,Non_Wetland,Cropland
400,Bareland,Built-up,Cropland,NULL,Non_Wetland,Bareland
401,Bareland,Built-up,Cropland,NULL,Non_Wetland,Built-up
402,Bareland,Built-up,Bareland,NULL,Non_Wetland,NULL
403,Bareland,Built-up,Bareland,NULL,Non_Wetland,Bareland
404,Bareland,Built-up,Built-up,NULL,Non_Wetland,Bareland
405,Bareland,Forest,Cropland,NULL,Non_Wetland,NULL
406,Bareland,Forest,Cropland,NULL,Non_Wetland,Bareland
407,Bareland,Forest,Cropland,NULL,Non_Wetland,Forest
408,Bareland,Forest,Bareland,NULL,Non_Wetland,NULL
409,Water,NULL,NULL,NULL,Non_Wetland,NULL
410,Water,NULL,NULL,NULL,Non_Wetland,Cropland
411,Water,NULL,NULL,NULL,Non_Wetland,Bareland
412,Water,NULL,NULL,NULL,Non_Wetland,Forest
413,Water,NULL,Shrubland,NULL,Non_Wetland,NULL
414,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland
415,Water,NULL,Shrubland,NULL,Non_Wetland,Cropland
416,Water,NULL,Shrubland,NULL,Non_Wetland,Bareland
417,Water,NULL,Grassland,NULL,Non_Wetland,NULL
418,Water,NULL,Grassland,NULL,Non_Wetland,Grassland
419,Water,NULL,Grassland,NULL,Non_Wetland,Cropland
420,Water,NULL,Grassland,NULL,Non_Wetland,Bareland
421,Water,NULL,Cropland,NULL,Non_Wetland,NULL
