Value,AFRICA_2024_DynamicWorld_2024_38NKJ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38NKJ_M_R,AFRICA_2024_GLC_FCS30D_2022_38NKJ_M_R,AFRICA_2024_GSW_Yearly_2021_38NKJ_M_R,AFRICA_2024_GWL_FCS30D_2022_38NKJ_M_R,AFRICA_2024_WorldCover_2021_38NKJ_M_R
124,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland
125,NULL,Cropland,NULL,Non_Water,Non_Wetland,Cropland
126,NULL,Cropland,NULL,Non_Water,Non_Wetland,Forest
127,NULL,Cropland,NULL,Water,Non_Wetland,NULL
128,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
129,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
130,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
131,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
132,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
133,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
134,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
135,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
136,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
137,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL
138,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland
139,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
140,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
141,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
142,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
143,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
144,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
145,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL
146,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
147,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
148,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Forest
149,NULL,Cropland,Grassland,Water,Non_Wetland,NULL
150,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland
151,NULL,Cropland,Grassland,Water,Non_Wetland,Cropland
152,NULL,Cropland,Grassland,Water,Non_Wetland,Forest
153,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
154,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
155,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
156,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
157,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
158,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL
159,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
160,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
161,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Forest
162,NULL,Cropland,Cropland,Water,Non_Wetland,NULL
163,NULL,Cropland,Cropland,Water,Non_Wetland,Forest
164,NULL,Cropland,Wetland,NULL,Wetland,NULL
165,NULL,Cropland,Wetland,NULL,Wetland,Grassland
166,NULL,Cropland,Wetland,NULL,Wetland,Forest
167,NULL,Cropland,Wetland,Water,Wetland,NULL
168,NULL,Cropland,Wetland,Water,Wetland,Forest
169,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
170,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
171,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
172,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
173,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
174,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Forest
175,NULL,Cropland,Bareland,Water,Non_Wetland,NULL
176,NULL,Cropland,Bareland,Water,Non_Wetland,Forest
177,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
178,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
179,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
180,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
181,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
182,NULL,Cropland,Built-up,Water,Non_Wetland,NULL
183,NULL,Cropland,Water,NULL,Water,NULL
184,NULL,Cropland,Water,Non_Water,Water,NULL
185,NULL,Cropland,Water,Water,Water,NULL
186,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
187,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
188,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
189,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
190,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
191,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
192,NULL,Cropland,Forest,Water,Non_Wetland,NULL
193,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
194,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL
195,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
196,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
197,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
198,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
199,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Cropland
200,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL
201,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
202,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL
203,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
204,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Cropland
205,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL
206,NULL,Wetland,Cropland,NULL,Non_Wetland,Forest
207,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL
208,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
209,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Cropland
210,NULL,Wetland,Wetland,Non_Water,Wetland,Forest
211,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
212,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL
213,NULL,Bareland,NULL,NULL,Non_Wetland,NULL
214,NULL,Bareland,NULL,NULL,Non_Wetland,Grassland
215,NULL,Bareland,NULL,NULL,Non_Wetland,Cropland
216,NULL,Bareland,NULL,Water,Non_Wetland,NULL
217,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
218,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
219,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
220,NULL,Bareland,Shrubland,NULL,Non_Wetland,Forest
221,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL
222,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
223,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
224,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
225,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
226,NULL,Bareland,Grassland,NULL,Non_Wetland,Forest
227,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL
228,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Cropland
229,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
230,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Forest
231,NULL,Bareland,Grassland,Water,Non_Wetland,NULL
232,NULL,Bareland,Grassland,Water,Non_Wetland,Bareland
233,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
234,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
235,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
236,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
237,NULL,Bareland,Cropland,NULL,Non_Wetland,Forest
238,NULL,Bareland,Cropland,Non_Water,Non_Wetland,NULL
239,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Cropland
240,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Forest
241,NULL,Bareland,Cropland,Water,Non_Wetland,NULL
242,NULL,Bareland,Cropland,Water,Non_Wetland,Bareland
243,NULL,Bareland,Wetland,NULL,Wetland,NULL
244,NULL,Bareland,Wetland,NULL,Wetland,Bareland
245,NULL,Bareland,Wetland,Non_Water,Wetland,NULL
246,NULL,Bareland,Wetland,Non_Water,Wetland,Cropland
247,NULL,Bareland,Wetland,Non_Water,Wetland,Bareland
248,NULL,Bareland,Wetland,Non_Water,Wetland,Forest
249,NULL,Bareland,Wetland,Water,Wetland,NULL
250,NULL,Bareland,Wetland,Water,Wetland,Cropland
251,NULL,Bareland,Wetland,Water,Wetland,Bareland
252,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
253,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
254,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
255,NULL,Bareland,Bareland,NULL,Non_Wetland,Forest
256,NULL,Bareland,Bareland,Water,Non_Wetland,NULL
257,NULL,Bareland,Bareland,Water,Non_Wetland,Cropland
258,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
259,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
260,NULL,Bareland,Water,NULL,Water,Bareland
261,NULL,Bareland,Water,Water,Water,NULL
262,NULL,Bareland,Water,Water,Water,Bareland
263,NULL,Bareland,Forest,NULL,Non_Wetland,NULL
264,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
265,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
266,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
267,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
268,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
269,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
270,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
271,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
272,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
273,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
274,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
275,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
276,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
277,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
278,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
279,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
280,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
281,NULL,Built-up,Grassland,Water,Non_Wetland,NULL
282,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland
283,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
284,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
285,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
286,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
287,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL
288,NULL,Built-up,Cropland,Water,Non_Wetland,NULL
289,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland
290,NULL,Built-up,Cropland,Water,Non_Wetland,Wetland
291,NULL,Built-up,Wetland,NULL,Wetland,NULL
292,NULL,Built-up,Wetland,NULL,Wetland,Forest
293,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
294,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
295,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
296,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
297,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
298,NULL,Built-up,Bareland,Water,Non_Wetland,Forest
299,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
300,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
301,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
302,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
303,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
304,NULL,Built-up,Water,NULL,Water,NULL
305,NULL,Built-up,Water,Water,Water,NULL
306,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
307,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
308,NULL,Water,NULL,NULL,Non_Wetland,NULL
309,NULL,Water,NULL,NULL,Non_Wetland,Grassland
310,NULL,Water,NULL,NULL,Non_Wetland,Cropland
311,NULL,Water,NULL,NULL,Non_Wetland,Bareland
312,NULL,Water,NULL,NULL,Non_Wetland,Forest
313,NULL,Water,NULL,Non_Water,Non_Wetland,NULL
314,NULL,Water,NULL,Non_Water,Non_Wetland,Cropland
315,NULL,Water,NULL,Non_Water,Non_Wetland,Wetland
316,NULL,Water,NULL,Non_Water,Non_Wetland,Bareland
317,NULL,Water,NULL,Non_Water,Non_Wetland,Forest
318,NULL,Water,NULL,Water,Non_Wetland,NULL
319,NULL,Water,NULL,Water,Non_Wetland,Bareland
320,NULL,Water,NULL,Water,Non_Wetland,Forest
321,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
322,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
323,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
324,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
325,NULL,Water,Shrubland,NULL,Non_Wetland,Water
326,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
327,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL
328,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland
329,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
330,NULL,Water,Shrubland,Water,Non_Wetland,NULL
331,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
332,NULL,Water,Shrubland,Water,Non_Wetland,Bareland
333,NULL,Water,Shrubland,Water,Non_Wetland,Forest
334,NULL,Water,Grassland,NULL,Non_Wetland,NULL
335,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
336,NULL,Water,Grassland,NULL,Non_Wetland,Cropland
337,NULL,Water,Grassland,NULL,Non_Wetland,Wetland
338,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
339,NULL,Water,Grassland,NULL,Non_Wetland,Water
340,NULL,Water,Grassland,NULL,Non_Wetland,Forest
341,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL
342,NULL,Water,Grassland,Non_Water,Non_Wetland,Cropland
343,NULL,Water,Grassland,Non_Water,Non_Wetland,Bareland
344,NULL,Water,Grassland,Non_Water,Non_Wetland,Forest
345,NULL,Water,Grassland,Water,Non_Wetland,NULL
346,NULL,Water,Grassland,Water,Non_Wetland,Grassland
347,NULL,Water,Grassland,Water,Non_Wetland,Cropland
348,NULL,Water,Grassland,Water,Non_Wetland,Wetland
349,NULL,Water,Grassland,Water,Non_Wetland,Bareland
350,NULL,Water,Grassland,Water,Non_Wetland,Water
351,NULL,Water,Grassland,Water,Non_Wetland,Forest
352,NULL,Water,Cropland,NULL,Non_Wetland,NULL
353,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
354,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
355,NULL,Water,Cropland,NULL,Non_Wetland,Wetland
356,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
357,NULL,Water,Cropland,NULL,Non_Wetland,Water
358,NULL,Water,Cropland,NULL,Non_Wetland,Forest
359,NULL,Water,Cropland,Non_Water,Non_Wetland,NULL
360,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland
361,NULL,Water,Cropland,Non_Water,Non_Wetland,Cropland
362,NULL,Water,Cropland,Non_Water,Non_Wetland,Wetland
363,NULL,Water,Cropland,Non_Water,Non_Wetland,Bareland
364,NULL,Water,Cropland,Non_Water,Non_Wetland,Forest
365,NULL,Water,Cropland,Water,Non_Wetland,NULL
366,NULL,Water,Cropland,Water,Non_Wetland,Grassland
367,NULL,Water,Cropland,Water,Non_Wetland,Cropland
368,NULL,Water,Cropland,Water,Non_Wetland,Wetland
369,NULL,Water,Cropland,Water,Non_Wetland,Bareland
370,NULL,Water,Cropland,Water,Non_Wetland,Water
371,NULL,Water,Cropland,Water,Non_Wetland,Forest
372,NULL,Water,Wetland,NULL,Wetland,NULL
373,NULL,Water,Wetland,NULL,Wetland,Grassland
374,NULL,Water,Wetland,NULL,Wetland,Cropland
375,NULL,Water,Wetland,NULL,Wetland,Bareland
376,NULL,Water,Wetland,NULL,Wetland,Water
377,NULL,Water,Wetland,NULL,Wetland,Forest
378,NULL,Water,Wetland,Non_Water,Wetland,NULL
379,NULL,Water,Wetland,Non_Water,Wetland,Cropland
380,NULL,Water,Wetland,Non_Water,Wetland,Wetland
381,NULL,Water,Wetland,Non_Water,Wetland,Bareland
382,NULL,Water,Wetland,Non_Water,Wetland,Water
383,NULL,Water,Wetland,Non_Water,Wetland,Forest
384,NULL,Water,Wetland,Water,Wetland,NULL
385,NULL,Water,Wetland,Water,Wetland,Grassland
386,NULL,Water,Wetland,Water,Wetland,Cropland
387,NULL,Water,Wetland,Water,Wetland,Wetland
388,NULL,Water,Wetland,Water,Wetland,Bareland
389,NULL,Water,Wetland,Water,Wetland,Water
390,NULL,Water,Wetland,Water,Wetland,Forest
391,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,NULL
392,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
393,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
394,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Forest
395,NULL,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
396,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Bareland
397,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Forest
398,NULL,Water,Bareland,NULL,Non_Wetland,NULL
399,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
400,NULL,Water,Bareland,NULL,Non_Wetland,Cropland
401,NULL,Water,Bareland,NULL,Non_Wetland,Wetland
402,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
403,NULL,Water,Bareland,NULL,Non_Wetland,Water
404,NULL,Water,Bareland,NULL,Non_Wetland,Forest
405,NULL,Water,Bareland,Non_Water,Non_Wetland,NULL
406,NULL,Water,Bareland,Non_Water,Non_Wetland,Grassland
407,NULL,Water,Bareland,Non_Water,Non_Wetland,Cropland
408,NULL,Water,Bareland,Non_Water,Non_Wetland,Wetland
409,NULL,Water,Bareland,Non_Water,Non_Wetland,Bareland
410,NULL,Water,Bareland,Non_Water,Non_Wetland,Water
411,NULL,Water,Bareland,Non_Water,Non_Wetland,Forest
412,NULL,Water,Bareland,Water,Non_Wetland,NULL
413,NULL,Water,Bareland,Water,Non_Wetland,Grassland
414,NULL,Water,Bareland,Water,Non_Wetland,Cropland
415,NULL,Water,Bareland,Water,Non_Wetland,Wetland
416,NULL,Water,Bareland,Water,Non_Wetland,Bareland
417,NULL,Water,Bareland,Water,Non_Wetland,Water
418,NULL,Water,Bareland,Water,Non_Wetland,Forest
419,NULL,Water,Built-up,NULL,Non_Wetland,NULL
420,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
421,NULL,Water,Built-up,NULL,Non_Wetland,Wetland
422,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
423,NULL,Water,Built-up,NULL,Non_Wetland,Forest
424,NULL,Water,Built-up,Non_Water,Non_Wetland,NULL
425,NULL,Water,Built-up,Non_Water,Non_Wetland,Bareland
426,NULL,Water,Built-up,Non_Water,Non_Wetland,Forest
427,NULL,Water,Built-up,Water,Non_Wetland,NULL
428,NULL,Water,Built-up,Water,Non_Wetland,Grassland
429,NULL,Water,Built-up,Water,Non_Wetland,Cropland
430,NULL,Water,Built-up,Water,Non_Wetland,Bareland
431,NULL,Water,Built-up,Water,Non_Wetland,Forest
432,NULL,Water,Water,NULL,Water,NULL
433,NULL,Water,Water,NULL,Water,Grassland
