Value,AFRICA_2024_DynamicWorld_2024_36NTP_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NTP_M_R,AFRICA_2024_GLC_FCS30D_2022_36NTP_M_R,AFRICA_2024_GSW_Yearly_2021_36NTP_M_R,AFRICA_2024_GWL_FCS30D_2022_36NTP_M_R,AFRICA_2024_WorldCover_2021_36NTP_M_R
123,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
124,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
125,NULL,Cropland,Built-up,NULL,Non_Wetland,Wetland
126,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
127,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
128,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
129,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
130,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
131,NULL,Cropland,Forest,Non_Water,Non_Wetland,Wetland
132,NULL,Cropland,Forest,Water,Non_Wetland,Wetland
133,NULL,Cropland,Forest,Water,Non_Wetland,Water
134,NULL,Cropland,Forest,Water,Non_Wetland,Forest
135,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
136,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
137,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
138,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
139,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland
140,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
141,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
142,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
143,NULL,Wetland,Shrubland,NULL,Non_Wetland,Built-up
144,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
145,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
146,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
147,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
148,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
149,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
150,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
151,NULL,Wetland,Shrubland,Water,Non_Wetland,Forest
152,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
153,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
154,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
155,NULL,Wetland,Grassland,NULL,Non_Wetland,Built-up
156,NULL,Wetland,Cropland,NULL,Non_Wetland,Wetland
157,NULL,Wetland,Cropland,NULL,Non_Wetland,Forest
158,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
159,NULL,Wetland,Wetland,NULL,Wetland,NULL
160,NULL,Wetland,Wetland,NULL,Wetland,Grassland
161,NULL,Wetland,Wetland,NULL,Wetland,Wetland
162,NULL,Wetland,Wetland,NULL,Wetland,Water
163,NULL,Wetland,Wetland,NULL,Wetland,Forest
164,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
165,NULL,Wetland,Wetland,Water,Wetland,Wetland
166,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
167,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
168,NULL,Wetland,Bareland,NULL,Non_Wetland,Forest
169,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
170,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
171,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland
172,NULL,Wetland,Built-up,NULL,Non_Wetland,Built-up
173,NULL,Wetland,Water,NULL,Water,NULL
174,NULL,Wetland,Water,NULL,Water,Grassland
175,NULL,Wetland,Water,NULL,Water,Wetland
176,NULL,Wetland,Water,NULL,Water,Forest
177,NULL,Wetland,Water,Non_Water,Water,Wetland
178,NULL,Wetland,Water,Water,Water,Grassland
179,NULL,Wetland,Water,Water,Water,Wetland
180,NULL,Wetland,Water,Water,Water,Water
181,NULL,Wetland,Water,Water,Water,Forest
182,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
183,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
184,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
185,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
186,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
187,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
188,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
189,NULL,Bareland,Shrubland,NULL,Non_Wetland,Built-up
190,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
191,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland
192,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
193,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
194,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
195,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
196,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
197,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
198,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
199,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
200,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
201,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Wetland
202,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
203,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
204,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland
205,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
206,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
207,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
208,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland
209,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
210,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland
211,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland
212,NULL,Built-up,Wetland,NULL,Wetland,Grassland
213,NULL,Built-up,Wetland,NULL,Wetland,Wetland
214,NULL,Built-up,Wetland,NULL,Wetland,Built-up
215,NULL,Built-up,Wetland,NULL,Wetland,Forest
216,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
217,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
218,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
219,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
220,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
221,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland
222,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
223,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
224,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
225,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
226,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
227,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
228,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
229,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
230,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
231,NULL,Water,Wetland,NULL,Wetland,Wetland
232,NULL,Water,Wetland,Non_Water,Wetland,Wetland
233,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
234,NULL,Water,Water,NULL,Water,Wetland
235,NULL,Water,Forest,NULL,Non_Wetland,Wetland
236,NULL,Water,Forest,NULL,Non_Wetland,Forest
237,NULL,Forest,NULL,NULL,Non_Wetland,NULL
238,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
239,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
240,NULL,Forest,NULL,NULL,Non_Wetland,Forest
241,NULL,Forest,NULL,Non_Water,Non_Wetland,Wetland
242,NULL,Forest,NULL,Water,Non_Wetland,Wetland
243,NULL,Forest,NULL,Water,Non_Wetland,Forest
244,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
245,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
246,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
247,NULL,Forest,Shrubland,NULL,Non_Wetland,Water
248,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
249,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
250,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
251,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
252,NULL,Forest,Shrubland,Water,Non_Wetland,NULL
253,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
254,NULL,Forest,Shrubland,Water,Non_Wetland,Wetland
255,NULL,Forest,Shrubland,Water,Non_Wetland,Water
256,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
257,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland
258,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
259,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
260,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
261,NULL,Forest,Wetland,NULL,Wetland,NULL
262,NULL,Forest,Wetland,NULL,Wetland,Grassland
263,NULL,Forest,Wetland,NULL,Wetland,Wetland
264,NULL,Forest,Wetland,NULL,Wetland,Forest
265,NULL,Forest,Wetland,Non_Water,Wetland,Wetland
266,NULL,Forest,Wetland,Water,Wetland,Wetland
267,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland
268,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
269,NULL,Forest,Built-up,NULL,Non_Wetland,Wetland
270,NULL,Forest,Water,NULL,Water,Grassland
271,NULL,Forest,Water,NULL,Water,Wetland
272,NULL,Forest,Water,NULL,Water,Forest
273,NULL,Forest,Water,Water,Water,Grassland
274,NULL,Forest,Water,Water,Water,Wetland
275,NULL,Forest,Water,Water,Water,Water
276,NULL,Forest,Water,Water,Water,Forest
277,NULL,Forest,Forest,NULL,Non_Wetland,NULL
278,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
279,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
280,NULL,Forest,Forest,NULL,Non_Wetland,Forest
281,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
282,NULL,Forest,Forest,Non_Water,Non_Wetland,Wetland
283,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
284,NULL,Forest,Forest,Water,Non_Wetland,Grassland
285,NULL,Forest,Forest,Water,Non_Wetland,Wetland
286,NULL,Forest,Forest,Water,Non_Wetland,Forest
287,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
288,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
289,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
290,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
291,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland
292,Grassland,NULL,NULL,Non_Water,Non_Wetland,Forest
293,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
294,Grassland,NULL,NULL,Water,Non_Wetland,Wetland
295,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
296,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
297,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
298,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water
299,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
300,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
301,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
302,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
303,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
304,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
305,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
306,Grassland,NULL,Shrubland,Water,Non_Wetland,Water
307,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
308,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
309,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland
310,Grassland,NULL,Grassland,Water,Non_Wetland,Water
311,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
312,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
313,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
314,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
315,Grassland,NULL,Cropland,Water,Non_Wetland,Water
316,Grassland,NULL,Cropland,Water,Non_Wetland,Forest
317,Grassland,NULL,Wetland,NULL,Wetland,NULL
318,Grassland,NULL,Wetland,NULL,Wetland,Grassland
319,Grassland,NULL,Wetland,NULL,Wetland,Wetland
320,Grassland,NULL,Wetland,NULL,Wetland,Water
321,Grassland,NULL,Wetland,NULL,Wetland,Forest
322,Grassland,NULL,Wetland,Non_Water,Wetland,NULL
323,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
324,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
325,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
326,Grassland,NULL,Wetland,Water,Wetland,NULL
327,Grassland,NULL,Wetland,Water,Wetland,Grassland
328,Grassland,NULL,Wetland,Water,Wetland,Wetland
329,Grassland,NULL,Wetland,Water,Wetland,Water
330,Grassland,NULL,Wetland,Water,Wetland,Forest
331,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
332,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
333,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
334,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
335,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
336,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland
337,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland
338,Grassland,NULL,Bareland,Water,Non_Wetland,Water
339,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
340,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland
341,Grassland,NULL,Built-up,Water,Non_Wetland,Grassland
342,Grassland,NULL,Water,NULL,Water,NULL
343,Grassland,NULL,Water,NULL,Water,Grassland
344,Grassland,NULL,Water,NULL,Water,Wetland
345,Grassland,NULL,Water,NULL,Water,Water
346,Grassland,NULL,Water,NULL,Water,Forest
347,Grassland,NULL,Water,Non_Water,Water,Wetland
348,Grassland,NULL,Water,Water,Water,NULL
349,Grassland,NULL,Water,Water,Water,Grassland
350,Grassland,NULL,Water,Water,Water,Wetland
351,Grassland,NULL,Water,Water,Water,Water
352,Grassland,NULL,Water,Water,Water,Forest
353,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
354,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
355,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
356,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
357,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
358,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
359,Grassland,NULL,Forest,Water,Non_Wetland,NULL
360,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
361,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
362,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
363,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland
364,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
365,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
366,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Water
367,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
368,Grassland,Cropland,Shrubland,Water,Non_Wetland,Grassland
369,Grassland,Cropland,Shrubland,Water,Non_Wetland,Wetland
370,Grassland,Cropland,Shrubland,Water,Non_Wetland,Water
371,Grassland,Cropland,Grassland,NULL,Non_Wetland,Wetland
372,Grassland,Cropland,Wetland,NULL,Wetland,NULL
373,Grassland,Cropland,Wetland,NULL,Wetland,Grassland
374,Grassland,Cropland,Wetland,NULL,Wetland,Wetland
375,Grassland,Cropland,Wetland,Non_Water,Wetland,Grassland
376,Grassland,Cropland,Wetland,Non_Water,Wetland,Wetland
377,Grassland,Cropland,Wetland,Water,Wetland,Wetland
378,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland
379,Grassland,Cropland,Bareland,NULL,Non_Wetland,Wetland
380,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland
381,Grassland,Cropland,Water,NULL,Water,Wetland
382,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
383,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
384,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Wetland
385,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL
386,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland
387,Grassland,Wetland,NULL,NULL,Non_Wetland,Wetland
388,Grassland,Wetland,NULL,NULL,Non_Wetland,Forest
389,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Wetland
390,Grassland,Wetland,NULL,Water,Non_Wetland,Grassland
391,Grassland,Wetland,NULL,Water,Non_Wetland,Wetland
392,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL
393,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
394,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
395,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Forest
396,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
397,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
398,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
399,Grassland,Wetland,Shrubland,Water,Non_Wetland,Grassland
400,Grassland,Wetland,Shrubland,Water,Non_Wetland,Wetland
401,Grassland,Wetland,Shrubland,Water,Non_Wetland,Water
402,Grassland,Wetland,Shrubland,Water,Non_Wetland,Forest
403,Grassland,Wetland,Grassland,NULL,Non_Wetland,Wetland
404,Grassland,Wetland,Cropland,NULL,Non_Wetland,Wetland
405,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
406,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
407,Grassland,Wetland,Cropland,Water,Non_Wetland,Wetland
408,Grassland,Wetland,Wetland,NULL,Wetland,NULL
409,Grassland,Wetland,Wetland,NULL,Wetland,Grassland
410,Grassland,Wetland,Wetland,NULL,Wetland,Wetland
411,Grassland,Wetland,Wetland,NULL,Wetland,Water
412,Grassland,Wetland,Wetland,NULL,Wetland,Forest
413,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL
414,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland
415,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland
416,Grassland,Wetland,Wetland,Non_Water,Wetland,Water
417,Grassland,Wetland,Wetland,Non_Water,Wetland,Forest
418,Grassland,Wetland,Wetland,Water,Wetland,NULL
419,Grassland,Wetland,Wetland,Water,Wetland,Grassland
420,Grassland,Wetland,Wetland,Water,Wetland,Wetland
421,Grassland,Wetland,Wetland,Water,Wetland,Water
422,Grassland,Wetland,Wetland,Water,Wetland,Forest
423,Grassland,Wetland,Bareland,NULL,Non_Wetland,Grassland
424,Grassland,Wetland,Bareland,NULL,Non_Wetland,Wetland
425,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
426,Grassland,Wetland,Bareland,Water,Non_Wetland,Wetland
427,Grassland,Wetland,Built-up,NULL,Non_Wetland,Wetland
428,Grassland,Wetland,Water,NULL,Water,Grassland
429,Grassland,Wetland,Water,NULL,Water,Wetland
430,Grassland,Wetland,Water,NULL,Water,Forest
431,Grassland,Wetland,Water,Non_Water,Water,Wetland
432,Grassland,Wetland,Water,Non_Water,Water,Water
433,Grassland,Wetland,Water,Water,Water,Grassland
434,Grassland,Wetland,Water,Water,Water,Wetland
435,Grassland,Wetland,Water,Water,Water,Water
