Value,AFRICA_2024_DynamicWorld_2024_35PNK_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PNK_M_R,AFRICA_2024_GLC_FCS30D_2022_35PNK_M_R,AFRICA_2024_GSW_Yearly_2021_35PNK_M_R,AFRICA_2024_GWL_FCS30D_2022_35PNK_M_R,AFRICA_2024_WorldCover_2021_35PNK_M_R
121,NULL,NULL,Water,NULL,Water,Wetland
122,NULL,NULL,Water,NULL,Water,Forest
123,NULL,NULL,Water,Water,Water,Grassland
124,NULL,NULL,Water,Water,Water,Wetland
125,NULL,NULL,Water,Water,Water,Water
126,NULL,NULL,Water,Water,Water,Forest
127,NULL,NULL,Forest,NULL,Non_Wetland,NULL
128,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
129,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
130,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
131,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
132,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
133,NULL,NULL,Forest,NULL,Non_Wetland,Forest
134,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
135,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
136,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
137,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
138,NULL,NULL,Forest,Water,Non_Wetland,Grassland
139,NULL,NULL,Forest,Water,Non_Wetland,Cropland
140,NULL,NULL,Forest,Water,Non_Wetland,Wetland
141,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
142,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
143,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
144,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
145,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
146,NULL,Cropland,NULL,Water,Non_Wetland,Bareland
147,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
148,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
149,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
150,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
151,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
152,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
153,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
154,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
155,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
156,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
157,NULL,Cropland,Shrubland,Water,Non_Wetland,Wetland
158,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
159,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
160,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
161,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
162,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
163,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
164,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
165,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
166,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
167,NULL,Cropland,Wetland,NULL,Wetland,Grassland
168,NULL,Cropland,Wetland,NULL,Wetland,Wetland
169,NULL,Cropland,Wetland,Non_Water,Wetland,Grassland
170,NULL,Cropland,Wetland,Non_Water,Wetland,Wetland
171,NULL,Cropland,Wetland,Water,Wetland,Grassland
172,NULL,Cropland,Wetland,Water,Wetland,Wetland
173,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
174,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
175,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
176,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
177,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
178,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
179,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
180,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
181,NULL,Wetland,NULL,NULL,Non_Wetland,Cropland
182,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
183,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
184,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
185,NULL,Wetland,Shrubland,NULL,Non_Wetland,Cropland
186,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
187,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
188,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
189,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
190,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
191,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
192,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL
193,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
194,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
195,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
196,NULL,Wetland,Grassland,NULL,Non_Wetland,Cropland
197,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
198,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
199,NULL,Wetland,Grassland,NULL,Non_Wetland,Built-up
200,NULL,Wetland,Cropland,Water,Non_Wetland,Grassland
201,NULL,Wetland,Wetland,NULL,Wetland,NULL
202,NULL,Wetland,Wetland,NULL,Wetland,Grassland
203,NULL,Wetland,Wetland,NULL,Wetland,Wetland
204,NULL,Wetland,Wetland,NULL,Wetland,Forest
205,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
206,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
207,NULL,Wetland,Wetland,Water,Wetland,Grassland
208,NULL,Wetland,Wetland,Water,Wetland,Wetland
209,NULL,Wetland,Bareland,Water,Non_Wetland,Grassland
210,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
211,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
212,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
213,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
214,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
215,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
216,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
217,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
218,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
219,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland
220,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
221,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
222,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
223,NULL,Built-up,NULL,Non_Water,Non_Wetland,Grassland
224,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
225,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
226,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
227,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
228,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
229,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
230,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
231,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
232,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Wetland
233,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland
234,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
235,NULL,Built-up,Shrubland,Water,Non_Wetland,Wetland
236,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
237,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
238,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
239,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland
240,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
241,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
242,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
243,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland
244,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
245,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
246,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
247,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland
248,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
249,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
250,NULL,Built-up,Wetland,NULL,Wetland,Wetland
251,NULL,Built-up,Wetland,NULL,Wetland,Forest
252,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
253,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
254,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
255,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
256,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
257,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
258,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
259,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
260,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
261,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland
262,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
263,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
264,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
265,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
266,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
267,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
268,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
269,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
270,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
271,NULL,Water,NULL,NULL,Non_Wetland,Grassland
272,NULL,Water,NULL,Water,Non_Wetland,Wetland
273,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
274,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
275,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
276,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
277,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
278,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
279,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
280,NULL,Water,Cropland,Water,Non_Wetland,Bareland
281,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
282,NULL,Water,Water,Water,Water,Grassland
283,NULL,Forest,NULL,NULL,Non_Wetland,NULL
284,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
285,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
286,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
287,NULL,Forest,NULL,NULL,Non_Wetland,Forest
288,NULL,Forest,NULL,Water,Non_Wetland,Wetland
289,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
290,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
291,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
292,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
293,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
294,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
295,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
296,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
297,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
298,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
299,NULL,Forest,Shrubland,Water,Non_Wetland,Wetland
300,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
301,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
302,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
303,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland
304,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
305,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
306,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
307,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
308,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
309,NULL,Forest,Wetland,NULL,Wetland,NULL
310,NULL,Forest,Wetland,NULL,Wetland,Grassland
311,NULL,Forest,Wetland,NULL,Wetland,Wetland
312,NULL,Forest,Wetland,NULL,Wetland,Forest
313,NULL,Forest,Wetland,Non_Water,Wetland,NULL
314,NULL,Forest,Wetland,Non_Water,Wetland,Grassland
315,NULL,Forest,Wetland,Water,Wetland,Grassland
316,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
317,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
318,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
319,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
320,NULL,Forest,Built-up,NULL,Non_Wetland,Cropland
321,NULL,Forest,Built-up,NULL,Non_Wetland,Wetland
322,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
323,NULL,Forest,Forest,NULL,Non_Wetland,NULL
324,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
325,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
326,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
327,NULL,Forest,Forest,NULL,Non_Wetland,Forest
328,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
329,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
330,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
331,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
332,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
333,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL
334,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
335,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland
336,Grassland,NULL,NULL,Non_Water,Non_Wetland,Forest
337,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
338,Grassland,NULL,NULL,Water,Non_Wetland,Wetland
339,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
340,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
341,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
342,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
343,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
344,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
345,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
346,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
347,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
348,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
349,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
350,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
351,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
352,Grassland,NULL,Shrubland,Water,Non_Wetland,Forest
353,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
354,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
355,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
356,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
357,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
358,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland
359,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland
360,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
361,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
362,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
363,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
364,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Forest
365,Grassland,NULL,Wetland,NULL,Wetland,NULL
366,Grassland,NULL,Wetland,NULL,Wetland,Grassland
367,Grassland,NULL,Wetland,NULL,Wetland,Cropland
368,Grassland,NULL,Wetland,NULL,Wetland,Wetland
369,Grassland,NULL,Wetland,NULL,Wetland,Forest
370,Grassland,NULL,Wetland,Non_Water,Wetland,NULL
371,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
372,Grassland,NULL,Wetland,Non_Water,Wetland,Cropland
373,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
374,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
375,Grassland,NULL,Wetland,Water,Wetland,NULL
376,Grassland,NULL,Wetland,Water,Wetland,Grassland
377,Grassland,NULL,Wetland,Water,Wetland,Wetland
378,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
379,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
380,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
381,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
382,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
383,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
384,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Forest
385,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland
386,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland
387,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland
388,Grassland,NULL,Water,NULL,Water,Wetland
389,Grassland,NULL,Water,Non_Water,Water,Wetland
390,Grassland,NULL,Water,Non_Water,Water,Forest
391,Grassland,NULL,Water,Water,Water,Wetland
392,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
393,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
394,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
395,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
396,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
397,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL
398,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
399,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
400,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
401,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland
402,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Wetland
403,Grassland,Cropland,NULL,Water,Non_Wetland,Wetland
404,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
405,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
406,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
407,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
408,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
409,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
410,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
411,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
412,Grassland,Cropland,Shrubland,Water,Non_Wetland,Grassland
413,Grassland,Cropland,Shrubland,Water,Non_Wetland,Wetland
414,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
415,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
416,Grassland,Cropland,Grassland,NULL,Non_Wetland,Wetland
417,Grassland,Cropland,Cropland,Water,Non_Wetland,Wetland
418,Grassland,Cropland,Wetland,NULL,Wetland,Grassland
419,Grassland,Cropland,Wetland,NULL,Wetland,Cropland
420,Grassland,Cropland,Wetland,NULL,Wetland,Wetland
421,Grassland,Cropland,Wetland,NULL,Wetland,Forest
422,Grassland,Cropland,Wetland,Non_Water,Wetland,Grassland
423,Grassland,Cropland,Wetland,Non_Water,Wetland,Wetland
424,Grassland,Cropland,Wetland,Water,Wetland,Grassland
