Value,AFRICA_2024_DynamicWorld_2024_36PXS_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PXS_M_R,AFRICA_2024_GLC_FCS30D_2022_36PXS_M_R,AFRICA_2024_GSW_Yearly_2021_36PXS_M_R,AFRICA_2024_GWL_FCS30D_2022_36PXS_M_R,AFRICA_2024_WorldCover_2021_36PXS_M_R
120,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
121,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
122,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
123,NULL,Wetland,Wetland,Water,Wetland,Water
124,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
125,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
126,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
127,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
128,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
129,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
130,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
131,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
132,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
133,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
134,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
135,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
136,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
137,NULL,Built-up,Shrubland,Water,Non_Wetland,Forest
138,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
139,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
140,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
141,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
142,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
143,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
144,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
145,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
146,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
147,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
148,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
149,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
150,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Cropland
151,NULL,Built-up,Wetland,NULL,Wetland,Built-up
152,NULL,Built-up,Wetland,NULL,Wetland,Forest
153,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
154,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
155,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
156,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
157,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
158,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
159,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
160,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
161,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
162,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
163,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
164,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
165,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
166,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
167,NULL,Water,NULL,NULL,Non_Wetland,NULL
168,NULL,Water,NULL,NULL,Non_Wetland,Grassland
169,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
170,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
171,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
172,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
173,NULL,Water,Shrubland,NULL,Non_Wetland,Water
174,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
175,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
176,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
177,NULL,Water,Grassland,NULL,Non_Wetland,Forest
178,NULL,Water,Grassland,Water,Non_Wetland,Forest
179,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
180,NULL,Water,Cropland,NULL,Non_Wetland,Forest
181,NULL,Water,Cropland,Water,Non_Wetland,Grassland
182,NULL,Water,Wetland,NULL,Wetland,Forest
183,NULL,Water,Bareland,NULL,Non_Wetland,NULL
184,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
185,NULL,Water,Bareland,NULL,Non_Wetland,Forest
186,NULL,Water,Forest,NULL,Non_Wetland,NULL
187,NULL,Water,Forest,NULL,Non_Wetland,Grassland
188,NULL,Water,Forest,NULL,Non_Wetland,Cropland
189,NULL,Water,Forest,NULL,Non_Wetland,Bareland
190,NULL,Water,Forest,NULL,Non_Wetland,Forest
191,NULL,Forest,NULL,NULL,Non_Wetland,NULL
192,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
193,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
194,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
195,NULL,Forest,NULL,NULL,Non_Wetland,Forest
196,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
197,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
198,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
199,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
200,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
201,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
202,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
203,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
204,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
205,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
206,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
207,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
208,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
209,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
210,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
211,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
212,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
213,NULL,Forest,Wetland,NULL,Wetland,Cropland
214,NULL,Forest,Wetland,NULL,Wetland,Forest
215,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
216,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
217,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
218,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
219,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
220,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
221,NULL,Forest,Forest,NULL,Non_Wetland,NULL
222,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
223,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
224,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
225,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
226,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
227,NULL,Forest,Forest,NULL,Non_Wetland,Forest
228,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
229,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
230,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
231,NULL,Forest,Forest,Water,Non_Wetland,NULL
232,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
233,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
234,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
235,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
236,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
237,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
238,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
239,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
240,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
241,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
242,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
243,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water
244,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
245,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
246,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
247,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
248,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
249,Grassland,NULL,Shrubland,Water,Non_Wetland,Water
250,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
251,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
252,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
253,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
254,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
255,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland
256,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
257,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
258,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
259,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
260,Grassland,NULL,Wetland,NULL,Wetland,NULL
261,Grassland,NULL,Wetland,NULL,Wetland,Grassland
262,Grassland,NULL,Wetland,NULL,Wetland,Wetland
263,Grassland,NULL,Wetland,NULL,Wetland,Forest
264,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
265,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
266,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
267,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland
268,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland
269,Grassland,NULL,Bareland,Water,Non_Wetland,Water
270,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL
271,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
272,Grassland,NULL,Water,NULL,Water,Grassland
273,Grassland,NULL,Water,NULL,Water,Wetland
274,Grassland,NULL,Water,Water,Water,Wetland
275,Grassland,NULL,Water,Water,Water,Water
276,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
277,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
278,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
279,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
280,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
281,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL
282,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
283,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
284,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
285,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
286,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
287,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
288,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland
289,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest
290,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
291,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
292,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
293,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
294,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Water
295,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
296,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
297,Grassland,Cropland,Shrubland,Water,Non_Wetland,Grassland
298,Grassland,Cropland,Shrubland,Water,Non_Wetland,Wetland
299,Grassland,Cropland,Shrubland,Water,Non_Wetland,Water
300,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
301,Grassland,Cropland,Grassland,NULL,Non_Wetland,Wetland
302,Grassland,Cropland,Grassland,Water,Non_Wetland,Water
303,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
304,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
305,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland
306,Grassland,Cropland,Bareland,NULL,Non_Wetland,Wetland
307,Grassland,Cropland,Bareland,NULL,Non_Wetland,Water
308,Grassland,Cropland,Bareland,Water,Non_Wetland,Grassland
309,Grassland,Cropland,Bareland,Water,Non_Wetland,Water
310,Grassland,Cropland,Water,Water,Water,Water
311,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
312,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
313,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
314,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
315,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
316,Grassland,Cropland,Forest,Water,Non_Wetland,Wetland
317,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
318,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
319,Grassland,Wetland,Grassland,NULL,Non_Wetland,Wetland
320,Grassland,Wetland,Wetland,NULL,Wetland,Wetland
321,Grassland,Wetland,Wetland,NULL,Wetland,Forest
322,Grassland,Wetland,Wetland,Water,Wetland,Water
323,Grassland,Wetland,Bareland,Water,Non_Wetland,Water
324,Grassland,Wetland,Water,NULL,Water,Water
325,Grassland,Wetland,Water,Water,Water,Water
326,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest
327,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Grassland
328,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland
329,Grassland,Water,NULL,NULL,Non_Wetland,Forest
330,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland
331,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland
332,Grassland,Water,Shrubland,NULL,Non_Wetland,Forest
333,Grassland,Water,Bareland,NULL,Non_Wetland,Forest
334,Grassland,Water,Water,Water,Water,Water
335,Grassland,Water,Forest,NULL,Non_Wetland,Grassland
336,Grassland,Water,Forest,NULL,Non_Wetland,Forest
337,Grassland,Water,Forest,Water,Non_Wetland,Forest
338,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
339,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
340,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland
341,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
342,Grassland,Forest,NULL,Non_Water,Non_Wetland,Wetland
343,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
344,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
345,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland
346,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland
347,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
348,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
349,Grassland,Forest,Shrubland,Water,Non_Wetland,Wetland
350,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL
351,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
352,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest
353,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
354,Grassland,Forest,Wetland,NULL,Wetland,NULL
355,Grassland,Forest,Wetland,NULL,Wetland,Forest
356,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL
357,Grassland,Forest,Bareland,NULL,Non_Wetland,Grassland
358,Grassland,Forest,Bareland,NULL,Non_Wetland,Wetland
359,Grassland,Forest,Built-up,NULL,Non_Wetland,Grassland
360,Grassland,Forest,Built-up,NULL,Non_Wetland,Forest
361,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
362,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
363,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland
364,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
365,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
366,Grassland,Forest,Forest,Non_Water,Non_Wetland,Grassland
367,Grassland,Forest,Forest,Non_Water,Non_Wetland,Wetland
368,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
369,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
370,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
371,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland
372,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
373,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up
374,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
375,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland
376,Cropland,NULL,NULL,Non_Water,Non_Wetland,Wetland
377,Cropland,NULL,NULL,Non_Water,Non_Wetland,Forest
378,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
379,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
380,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
381,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
382,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
383,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
384,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
385,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
386,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
387,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
388,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
389,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Water
390,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
391,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
392,Cropland,NULL,Shrubland,Water,Non_Wetland,Water
393,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
394,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
395,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
396,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland
397,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
398,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
399,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
400,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
401,Cropland,NULL,Grassland,Water,Non_Wetland,Wetland
402,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
403,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
404,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
405,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
406,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
407,Cropland,NULL,Cropland,NULL,Non_Wetland,Water
408,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
409,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Forest
410,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
411,Cropland,NULL,Wetland,NULL,Wetland,Grassland
412,Cropland,NULL,Wetland,NULL,Wetland,Cropland
413,Cropland,NULL,Wetland,NULL,Wetland,Forest
414,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
415,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
416,Cropland,NULL,Bareland,NULL,Non_Wetland,Wetland
417,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
418,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
419,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Cropland
420,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
421,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
422,Cropland,NULL,Bareland,Water,Non_Wetland,Water
423,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
424,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
425,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
