Value,AFRICA_2024_DynamicWorld_2024_38PLB_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38PLB_M_R,AFRICA_2024_GLC_FCS30D_2022_38PLB_M_R,AFRICA_2024_GSW_Yearly_2021_38PLB_M_R,AFRICA_2024_GWL_FCS30D_2022_38PLB_M_R,AFRICA_2024_WorldCover_2021_38PLB_M_R
123,NULL,NULL,Forest,NULL,Non_Wetland,Forest
124,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
125,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
126,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
127,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
128,NULL,NULL,Forest,Water,Non_Wetland,NULL
129,NULL,NULL,Forest,Water,Non_Wetland,Grassland
130,NULL,NULL,Forest,Water,Non_Wetland,Cropland
131,NULL,NULL,Forest,Water,Non_Wetland,Water
132,NULL,NULL,Forest,Water,Non_Wetland,Forest
133,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
134,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
135,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
136,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
137,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
138,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
139,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
140,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
141,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
142,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
143,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
144,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
145,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
146,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
147,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
148,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
149,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
150,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
151,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
152,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
153,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
154,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Bareland
155,NULL,Cropland,Grassland,Water,Non_Wetland,Cropland
156,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
157,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
158,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
159,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
160,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
161,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
162,NULL,Cropland,Cropland,NULL,Non_Wetland,Water
163,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
164,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
165,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Bareland
166,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
167,NULL,Cropland,Cropland,Water,Non_Wetland,Wetland
168,NULL,Cropland,Wetland,NULL,Wetland,NULL
169,NULL,Cropland,Wetland,NULL,Wetland,Cropland
170,NULL,Cropland,Wetland,NULL,Wetland,Forest
171,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
172,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
173,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
174,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
175,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
176,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
177,NULL,Cropland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
178,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
179,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
180,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
181,NULL,Cropland,Bareland,NULL,Non_Wetland,Wetland
182,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
183,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
184,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
185,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
186,NULL,Cropland,Bareland,Water,Non_Wetland,Grassland
187,NULL,Cropland,Bareland,Water,Non_Wetland,Cropland
188,NULL,Cropland,Bareland,Water,Non_Wetland,Wetland
189,NULL,Cropland,Bareland,Water,Non_Wetland,Bareland
190,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
191,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
192,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
193,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
194,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
195,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
196,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Cropland
197,NULL,Cropland,Water,NULL,Water,Grassland
198,NULL,Cropland,Water,NULL,Water,Cropland
199,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
200,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
201,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
202,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
203,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
204,NULL,Cropland,Forest,Non_Water,Non_Wetland,Cropland
205,NULL,Cropland,Forest,Water,Non_Wetland,NULL
206,NULL,Cropland,Forest,Water,Non_Wetland,Forest
207,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
208,NULL,Bareland,NULL,NULL,Non_Wetland,Cropland
209,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland
210,NULL,Bareland,NULL,NULL,Non_Wetland,Built-up
211,NULL,Bareland,NULL,NULL,Non_Wetland,Forest
212,NULL,Bareland,Shrubland,NULL,Non_Wetland,Cropland
213,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
214,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
215,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
216,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
217,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
218,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
219,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
220,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
221,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
222,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
223,NULL,Bareland,Cropland,NULL,Non_Wetland,Built-up
224,NULL,Bareland,Cropland,NULL,Non_Wetland,Forest
225,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
226,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
227,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
228,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
229,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
230,NULL,Bareland,Bareland,NULL,Non_Wetland,Cropland
231,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
232,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
233,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
234,NULL,Bareland,Built-up,NULL,Non_Wetland,Cropland
235,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
236,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
237,NULL,Bareland,Water,NULL,Water,Bareland
238,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
239,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
240,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
241,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
242,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
243,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
244,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
245,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
246,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
247,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
248,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
249,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
250,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
251,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
252,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
253,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
254,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
255,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
256,NULL,Built-up,Grassland,Water,Non_Wetland,Bareland
257,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
258,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
259,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
260,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
261,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
262,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
263,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Bareland
264,NULL,Built-up,Cropland,Water,Non_Wetland,Cropland
265,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
266,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
267,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
268,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
269,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
270,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
271,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
272,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
273,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
274,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
275,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
276,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
277,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
278,NULL,Built-up,Bareland,Water,Non_Wetland,Grassland
279,NULL,Built-up,Bareland,Water,Non_Wetland,Built-up
280,NULL,Built-up,Bareland,Water,Non_Wetland,Water
281,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
282,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
283,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
284,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
285,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
286,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
287,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
288,NULL,Built-up,Water,NULL,Water,Water
289,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
290,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
291,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
292,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
293,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
294,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
295,NULL,Water,Grassland,NULL,Non_Wetland,Cropland
296,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
297,NULL,Water,Grassland,NULL,Non_Wetland,Forest
298,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
299,NULL,Water,Cropland,NULL,Non_Wetland,Wetland
300,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
301,NULL,Water,Cropland,NULL,Non_Wetland,Forest
302,NULL,Water,Wetland,Water,Wetland,Water
303,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
304,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
305,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
306,NULL,Water,Bareland,NULL,Non_Wetland,Cropland
307,NULL,Water,Bareland,NULL,Non_Wetland,Wetland
308,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
309,NULL,Water,Bareland,NULL,Non_Wetland,Water
310,NULL,Water,Bareland,NULL,Non_Wetland,Forest
311,NULL,Water,Bareland,Water,Non_Wetland,Water
312,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
313,NULL,Forest,NULL,NULL,Non_Wetland,NULL
314,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
315,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
316,NULL,Forest,NULL,NULL,Non_Wetland,Forest
317,NULL,Forest,NULL,Water,Non_Wetland,Forest
318,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
319,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
320,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
321,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
322,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
323,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
324,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
325,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
326,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
327,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
328,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
329,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
330,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
331,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
332,NULL,Forest,Cropland,NULL,Non_Wetland,Water
333,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
334,NULL,Forest,Wetland,NULL,Wetland,Cropland
335,NULL,Forest,Wetland,NULL,Wetland,Forest
336,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
337,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
338,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
339,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
340,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
341,NULL,Forest,Bareland,NULL,Non_Wetland,Cropland
342,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
343,NULL,Forest,Bareland,NULL,Non_Wetland,Water
344,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
345,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
346,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
347,NULL,Forest,Built-up,NULL,Non_Wetland,Cropland
348,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
349,NULL,Forest,Water,NULL,Water,NULL
350,NULL,Forest,Water,NULL,Water,Grassland
351,NULL,Forest,Water,NULL,Water,Forest
352,NULL,Forest,Water,Water,Water,Grassland
353,NULL,Forest,Water,Water,Water,Forest
354,NULL,Forest,Forest,NULL,Non_Wetland,NULL
355,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
356,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
357,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
358,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
359,NULL,Forest,Forest,NULL,Non_Wetland,Water
360,NULL,Forest,Forest,NULL,Non_Wetland,Forest
361,NULL,Forest,Forest,Water,Non_Wetland,Forest
362,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
363,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
364,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
365,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
366,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
367,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
368,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
369,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
370,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
371,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
372,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
373,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
374,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
375,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
376,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
377,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
378,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
379,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
380,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
381,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
382,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
383,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
384,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
385,Cropland,NULL,Wetland,NULL,Wetland,Cropland
386,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
387,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
388,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
389,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
390,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
391,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
392,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
393,Cropland,NULL,Bareland,NULL,Non_Wetland,Built-up
394,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
395,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
396,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
397,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
398,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
399,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
400,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
401,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
402,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
403,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
404,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
405,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
406,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
407,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland
408,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
409,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
410,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
411,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
412,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
413,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
414,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
415,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
416,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
417,Cropland,Cropland,Grassland,NULL,Non_Wetland,Built-up
418,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
419,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
420,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
421,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
422,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
423,Cropland,Cropland,Cropland,NULL,Non_Wetland,Wetland
