Value,AFRICA_2024_DynamicWorld_2024_35PPQ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PPQ_M_R,AFRICA_2024_GLC_FCS30D_2022_35PPQ_M_R,AFRICA_2024_GSW_Yearly_2021_35PPQ_M_R,AFRICA_2024_GWL_FCS30D_2022_35PPQ_M_R,AFRICA_2024_WorldCover_2021_35PPQ_M_R
119,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
120,NULL,Built-up,Wetland,NULL,Wetland,Water
121,NULL,Built-up,Wetland,NULL,Wetland,Forest
122,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
123,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
124,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
125,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
126,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
127,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
128,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
129,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
130,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
131,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
132,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
133,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
134,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland
135,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
136,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
137,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
138,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
139,NULL,Forest,NULL,NULL,Non_Wetland,NULL
140,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
141,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
142,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
143,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
144,NULL,Forest,NULL,NULL,Non_Wetland,Forest
145,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
146,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
147,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
148,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
149,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
150,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
151,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
152,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
153,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
154,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
155,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland
156,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
157,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
158,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
159,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
160,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
161,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
162,NULL,Forest,Forest,NULL,Non_Wetland,NULL
163,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
164,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
165,NULL,Forest,Forest,NULL,Non_Wetland,Forest
166,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
167,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
168,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
169,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
170,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up
171,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
172,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland
173,Cropland,NULL,NULL,Water,Non_Wetland,Grassland
174,Cropland,NULL,NULL,Water,Non_Wetland,Wetland
175,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
176,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
177,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
178,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
179,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
180,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
181,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
182,Cropland,NULL,Shrubland,Water,Non_Wetland,Wetland
183,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
184,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
185,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
186,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
187,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
188,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
189,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
190,Cropland,NULL,Grassland,Water,Non_Wetland,NULL
191,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
192,Cropland,NULL,Grassland,Water,Non_Wetland,Cropland
193,Cropland,NULL,Grassland,Water,Non_Wetland,Wetland
194,Cropland,NULL,Grassland,Water,Non_Wetland,Forest
195,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
196,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
197,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
198,Cropland,NULL,Wetland,NULL,Wetland,Forest
199,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
200,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
201,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
202,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
203,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
204,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
205,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
206,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
207,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
208,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
209,Cropland,NULL,Built-up,Water,Non_Wetland,Grassland
210,Cropland,NULL,Water,Water,Water,Grassland
211,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
212,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
213,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
214,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
215,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
216,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
217,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
218,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
219,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
220,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
221,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
222,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
223,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
224,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
225,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
226,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
227,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
228,Cropland,Bareland,NULL,NULL,Non_Wetland,Grassland
229,Cropland,Bareland,Built-up,NULL,Non_Wetland,Grassland
230,Cropland,Bareland,Built-up,NULL,Non_Wetland,Forest
231,Cropland,Built-up,NULL,NULL,Non_Wetland,Grassland
232,Cropland,Built-up,NULL,NULL,Non_Wetland,Cropland
233,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL
234,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
235,Cropland,Built-up,Grassland,NULL,Non_Wetland,Cropland
236,Cropland,Built-up,Grassland,NULL,Non_Wetland,Bareland
237,Cropland,Built-up,Grassland,NULL,Non_Wetland,Built-up
238,Cropland,Built-up,Grassland,NULL,Non_Wetland,Forest
239,Cropland,Built-up,Built-up,NULL,Non_Wetland,Grassland
240,Cropland,Built-up,Built-up,NULL,Non_Wetland,Cropland
241,Cropland,Built-up,Built-up,NULL,Non_Wetland,Built-up
242,Cropland,Built-up,Built-up,NULL,Non_Wetland,Forest
243,Cropland,Built-up,Forest,NULL,Non_Wetland,Built-up
244,Cropland,Built-up,Forest,NULL,Non_Wetland,Forest
245,Cropland,Forest,NULL,NULL,Non_Wetland,NULL
246,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland
247,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
248,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
249,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL
250,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
251,Cropland,Forest,Grassland,NULL,Non_Wetland,Cropland
252,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
253,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
254,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
255,Wetland,NULL,NULL,NULL,Non_Wetland,Forest
256,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL
257,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland
258,Wetland,NULL,Grassland,NULL,Non_Wetland,Forest
259,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
260,Wetland,NULL,Grassland,Water,Non_Wetland,Grassland
261,Wetland,NULL,Grassland,Water,Non_Wetland,Wetland
262,Wetland,NULL,Grassland,Water,Non_Wetland,Forest
263,Wetland,NULL,Wetland,NULL,Wetland,Forest
264,Wetland,NULL,Forest,NULL,Non_Wetland,Forest
265,Bareland,NULL,NULL,NULL,Non_Wetland,NULL
266,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
267,Bareland,NULL,NULL,NULL,Non_Wetland,Cropland
268,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland
269,Bareland,NULL,NULL,NULL,Non_Wetland,Built-up
270,Bareland,NULL,NULL,NULL,Non_Wetland,Forest
271,Bareland,NULL,NULL,Non_Water,Non_Wetland,Grassland
272,Bareland,NULL,NULL,Water,Non_Wetland,Grassland
273,Bareland,NULL,NULL,Water,Non_Wetland,Wetland
274,Bareland,NULL,NULL,Water,Non_Wetland,Bareland
275,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
276,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
277,Bareland,NULL,Shrubland,NULL,Non_Wetland,Cropland
278,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
279,Bareland,NULL,Shrubland,NULL,Non_Wetland,Built-up
280,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
281,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
282,Bareland,NULL,Shrubland,Water,Non_Wetland,Grassland
283,Bareland,NULL,Shrubland,Water,Non_Wetland,Wetland
284,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
285,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
286,Bareland,NULL,Grassland,NULL,Non_Wetland,Cropland
287,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
288,Bareland,NULL,Grassland,NULL,Non_Wetland,Built-up
289,Bareland,NULL,Grassland,NULL,Non_Wetland,Water
290,Bareland,NULL,Grassland,NULL,Non_Wetland,Forest
291,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
292,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
293,Bareland,NULL,Grassland,Water,Non_Wetland,Grassland
294,Bareland,NULL,Grassland,Water,Non_Wetland,Cropland
295,Bareland,NULL,Grassland,Water,Non_Wetland,Wetland
296,Bareland,NULL,Grassland,Water,Non_Wetland,Bareland
297,Bareland,NULL,Grassland,Water,Non_Wetland,Forest
298,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL
299,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
300,Bareland,NULL,Cropland,NULL,Non_Wetland,Cropland
301,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland
302,Bareland,NULL,Cropland,Water,Non_Wetland,Forest
303,Bareland,NULL,Wetland,Water,Wetland,Grassland
304,Bareland,NULL,Wetland,Water,Wetland,Wetland
305,Bareland,NULL,Wetland,Water,Wetland,Water
306,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
307,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
308,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
309,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL
310,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
311,Bareland,NULL,Bareland,NULL,Non_Wetland,Cropland
312,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
313,Bareland,NULL,Bareland,NULL,Non_Wetland,Built-up
314,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
315,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Cropland
316,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
317,Bareland,NULL,Bareland,Water,Non_Wetland,Grassland
318,Bareland,NULL,Bareland,Water,Non_Wetland,Cropland
319,Bareland,NULL,Bareland,Water,Non_Wetland,Bareland
320,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL
321,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland
322,Bareland,NULL,Built-up,NULL,Non_Wetland,Cropland
323,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland
324,Bareland,NULL,Built-up,NULL,Non_Wetland,Built-up
325,Bareland,NULL,Forest,NULL,Non_Wetland,NULL
326,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland
327,Bareland,NULL,Forest,NULL,Non_Wetland,Cropland
328,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland
329,Bareland,NULL,Forest,NULL,Non_Wetland,Forest
330,Bareland,NULL,Forest,Non_Water,Non_Wetland,NULL
331,Bareland,Cropland,NULL,NULL,Non_Wetland,Grassland
332,Bareland,Cropland,NULL,NULL,Non_Wetland,Cropland
333,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL
334,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
335,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
336,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL
337,Bareland,Cropland,Grassland,NULL,Non_Wetland,Grassland
338,Bareland,Cropland,Grassland,NULL,Non_Wetland,Cropland
339,Bareland,Cropland,Grassland,NULL,Non_Wetland,Bareland
340,Bareland,Cropland,Cropland,NULL,Non_Wetland,Grassland
341,Bareland,Cropland,Bareland,NULL,Non_Wetland,Grassland
342,Bareland,Bareland,NULL,NULL,Non_Wetland,Bareland
343,Bareland,Bareland,Shrubland,Water,Non_Wetland,Bareland
344,Bareland,Bareland,Grassland,NULL,Non_Wetland,Grassland
345,Bareland,Bareland,Grassland,NULL,Non_Wetland,Bareland
346,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
347,Bareland,Bareland,Grassland,Water,Non_Wetland,Bareland
348,Bareland,Bareland,Bareland,NULL,Non_Wetland,Grassland
349,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland
350,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
351,Bareland,Bareland,Bareland,Water,Non_Wetland,Bareland
352,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland
353,Bareland,Built-up,NULL,NULL,Non_Wetland,NULL
354,Bareland,Built-up,NULL,NULL,Non_Wetland,Grassland
355,Bareland,Built-up,NULL,NULL,Non_Wetland,Cropland
356,Bareland,Built-up,NULL,NULL,Non_Wetland,Bareland
357,Bareland,Built-up,NULL,NULL,Non_Wetland,Built-up
358,Bareland,Built-up,Shrubland,NULL,Non_Wetland,NULL
359,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
360,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Cropland
361,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Bareland
362,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Built-up
363,Bareland,Built-up,Grassland,NULL,Non_Wetland,NULL
364,Bareland,Built-up,Grassland,NULL,Non_Wetland,Grassland
365,Bareland,Built-up,Grassland,NULL,Non_Wetland,Cropland
366,Bareland,Built-up,Grassland,NULL,Non_Wetland,Bareland
367,Bareland,Built-up,Grassland,NULL,Non_Wetland,Built-up
368,Bareland,Built-up,Cropland,NULL,Non_Wetland,Grassland
369,Bareland,Built-up,Cropland,NULL,Non_Wetland,Cropland
370,Bareland,Built-up,Cropland,NULL,Non_Wetland,Built-up
371,Bareland,Built-up,Bareland,NULL,Non_Wetland,Grassland
372,Bareland,Built-up,Bareland,NULL,Non_Wetland,Bareland
373,Bareland,Built-up,Bareland,NULL,Non_Wetland,Built-up
374,Bareland,Built-up,Built-up,NULL,Non_Wetland,NULL
375,Bareland,Built-up,Built-up,NULL,Non_Wetland,Grassland
376,Bareland,Built-up,Built-up,NULL,Non_Wetland,Cropland
377,Bareland,Built-up,Built-up,NULL,Non_Wetland,Bareland
378,Bareland,Built-up,Built-up,NULL,Non_Wetland,Built-up
379,Bareland,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
380,Bareland,Built-up,Forest,NULL,Non_Wetland,Grassland
381,Bareland,Forest,NULL,NULL,Non_Wetland,NULL
382,Bareland,Forest,NULL,NULL,Non_Wetland,Grassland
383,Bareland,Forest,NULL,NULL,Non_Wetland,Forest
384,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL
385,Bareland,Forest,Shrubland,NULL,Non_Wetland,Grassland
386,Bareland,Forest,Shrubland,NULL,Non_Wetland,Forest
387,Bareland,Forest,Grassland,NULL,Non_Wetland,NULL
388,Bareland,Forest,Grassland,NULL,Non_Wetland,Grassland
389,Bareland,Forest,Grassland,NULL,Non_Wetland,Forest
390,Bareland,Forest,Cropland,NULL,Non_Wetland,NULL
391,Bareland,Forest,Cropland,NULL,Non_Wetland,Grassland
392,Bareland,Forest,Forest,NULL,Non_Wetland,NULL
393,Bareland,Forest,Forest,NULL,Non_Wetland,Grassland
394,Bareland,Forest,Forest,NULL,Non_Wetland,Forest
395,Water,NULL,NULL,NULL,Non_Wetland,Grassland
396,Water,NULL,NULL,NULL,Non_Wetland,Wetland
397,Water,NULL,NULL,NULL,Non_Wetland,Water
398,Water,NULL,NULL,Water,Non_Wetland,Wetland
399,Water,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
400,Water,NULL,Shrubland,Water,Non_Wetland,Wetland
401,Water,NULL,Grassland,NULL,Non_Wetland,Grassland
402,Water,NULL,Grassland,NULL,Non_Wetland,Wetland
403,Water,NULL,Grassland,NULL,Non_Wetland,Bareland
404,Water,NULL,Grassland,NULL,Non_Wetland,Water
405,Water,NULL,Grassland,NULL,Non_Wetland,Forest
406,Water,NULL,Grassland,Non_Water,Non_Wetland,Grassland
407,Water,NULL,Grassland,Non_Water,Non_Wetland,Forest
408,Water,NULL,Grassland,Water,Non_Wetland,Grassland
409,Water,NULL,Grassland,Water,Non_Wetland,Wetland
410,Water,NULL,Grassland,Water,Non_Wetland,Bareland
411,Water,NULL,Grassland,Water,Non_Wetland,Water
412,Water,NULL,Grassland,Water,Non_Wetland,Forest
413,Water,NULL,Wetland,NULL,Wetland,Water
414,Water,NULL,Wetland,NULL,Wetland,Forest
415,Water,NULL,Wetland,Non_Water,Wetland,Forest
416,Water,NULL,Wetland,Water,Wetland,Grassland
417,Water,NULL,Wetland,Water,Wetland,Wetland
418,Water,NULL,Wetland,Water,Wetland,Water
419,Water,NULL,Wetland,Water,Wetland,Forest
420,Water,NULL,Bareland,NULL,Non_Wetland,Bareland
