Value,AFRICA_2024_DynamicWorld_2024_35PRQ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PRQ_M_R,AFRICA_2024_GLC_FCS30D_2022_35PRQ_M_R,AFRICA_2024_GSW_Yearly_2021_35PRQ_M_R,AFRICA_2024_GWL_FCS30D_2022_35PRQ_M_R,AFRICA_2024_WorldCover_2021_35PRQ_M_R
118,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Wetland
119,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Forest
120,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
121,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
122,NULL,Cropland,Cropland,Water,Non_Wetland,Wetland
123,NULL,Cropland,Cropland,Water,Non_Wetland,Forest
124,NULL,Cropland,Wetland,Non_Water,Wetland,Wetland
125,NULL,Cropland,Wetland,Non_Water,Wetland,Forest
126,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
127,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Forest
128,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
129,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
130,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
131,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
132,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
133,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL
134,NULL,Cropland,Forest,Non_Water,Non_Wetland,Cropland
135,NULL,Cropland,Forest,Non_Water,Non_Wetland,Wetland
136,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
137,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL
138,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
139,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
140,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
141,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
142,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
143,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
144,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL
145,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
146,NULL,Wetland,Cropland,NULL,Non_Wetland,Forest
147,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL
148,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
149,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Forest
150,NULL,Wetland,Wetland,NULL,Wetland,Forest
151,NULL,Wetland,Wetland,Non_Water,Wetland,NULL
152,NULL,Wetland,Wetland,Non_Water,Wetland,Forest
153,NULL,Wetland,Bareland,Water,Non_Wetland,Water
154,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
155,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
156,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
157,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
158,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
159,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
160,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
161,NULL,Bareland,Built-up,NULL,Non_Wetland,Cropland
162,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
163,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
164,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
165,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
166,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
167,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
168,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
169,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
170,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
171,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
172,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
173,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
174,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
175,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
176,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
177,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
178,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
179,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
180,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
181,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
182,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Bareland
183,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Built-up
184,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest
185,NULL,Built-up,Grassland,Water,Non_Wetland,Bareland
186,NULL,Built-up,Grassland,Water,Non_Wetland,Built-up
187,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
188,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
189,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
190,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
191,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
192,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
193,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
194,NULL,Built-up,Cropland,Water,Non_Wetland,Forest
195,NULL,Built-up,Wetland,NULL,Wetland,Forest
196,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
197,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
198,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
199,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
200,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
201,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
202,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
203,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
204,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
205,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
206,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
207,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
208,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
209,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
210,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
211,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
212,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
213,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland
214,NULL,Built-up,Forest,NULL,Non_Wetland,Water
215,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
216,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
217,NULL,Forest,NULL,NULL,Non_Wetland,NULL
218,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
219,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
220,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
221,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
222,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
223,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
224,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
225,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
226,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
227,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
228,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL
229,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland
230,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
231,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
232,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
233,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL
234,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
235,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
236,NULL,Forest,Forest,NULL,Non_Wetland,NULL
237,NULL,Forest,Forest,NULL,Non_Wetland,Forest
238,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
239,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
240,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
241,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
242,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
243,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
244,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
245,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL
246,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
247,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
248,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Forest
249,Grassland,NULL,Grassland,Water,Non_Wetland,Cropland
250,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland
251,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
252,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
253,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Forest
254,Grassland,NULL,Cropland,Water,Non_Wetland,Cropland
255,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland
256,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
257,Grassland,NULL,Wetland,Non_Water,Wetland,Water
258,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
259,Grassland,NULL,Wetland,Water,Wetland,Wetland
260,Grassland,NULL,Wetland,Water,Wetland,Water
261,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
262,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
263,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Wetland
264,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
265,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
266,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
267,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
268,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
269,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,Wetland
270,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,Forest
271,Grassland,Cropland,Grassland,Water,Non_Wetland,Wetland
272,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,NULL
273,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
274,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
275,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Wetland
276,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Forest
277,Grassland,Cropland,Cropland,Water,Non_Wetland,Wetland
278,Grassland,Cropland,Wetland,Non_Water,Wetland,Wetland
279,Grassland,Cropland,Wetland,Non_Water,Wetland,Forest
280,Grassland,Cropland,Forest,Non_Water,Non_Wetland,NULL
281,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Cropland
282,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Wetland
283,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Forest
284,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Wetland
285,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
286,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
287,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Cropland
288,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
289,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
290,Grassland,Wetland,Shrubland,Water,Non_Wetland,Wetland
291,Grassland,Wetland,Shrubland,Water,Non_Wetland,Water
292,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
293,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Forest
294,Grassland,Wetland,Grassland,Water,Non_Wetland,Wetland
295,Grassland,Wetland,Grassland,Water,Non_Wetland,Water
296,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,NULL
297,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
298,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Cropland
299,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
300,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Water
301,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Forest
302,Grassland,Wetland,Cropland,Water,Non_Wetland,Wetland
303,Grassland,Wetland,Cropland,Water,Non_Wetland,Water
304,Grassland,Wetland,Cropland,Water,Non_Wetland,Forest
305,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL
306,Grassland,Wetland,Wetland,Non_Water,Wetland,Cropland
307,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland
308,Grassland,Wetland,Wetland,Non_Water,Wetland,Water
309,Grassland,Wetland,Wetland,Non_Water,Wetland,Forest
310,Grassland,Wetland,Wetland,Water,Wetland,Wetland
311,Grassland,Wetland,Wetland,Water,Wetland,Water
312,Grassland,Wetland,Wetland,Water,Wetland,Forest
313,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,NULL
314,Grassland,Wetland,Bareland,Water,Non_Wetland,Water
315,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL
316,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Cropland
317,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland
318,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Forest
319,Grassland,Wetland,Forest,Water,Non_Wetland,Wetland
320,Grassland,Water,Wetland,Water,Wetland,Water
321,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
322,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
323,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
324,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
325,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
326,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL
327,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland
328,Cropland,NULL,NULL,Non_Water,Non_Wetland,Cropland
329,Cropland,NULL,NULL,Non_Water,Non_Wetland,Forest
330,Cropland,NULL,NULL,Water,Non_Wetland,Grassland
331,Cropland,NULL,NULL,Water,Non_Wetland,Water
332,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
333,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
334,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
335,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
336,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
337,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
338,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
339,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
340,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
341,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
342,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
343,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL
344,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
345,Cropland,NULL,Shrubland,Water,Non_Wetland,Cropland
346,Cropland,NULL,Shrubland,Water,Non_Wetland,Wetland
347,Cropland,NULL,Shrubland,Water,Non_Wetland,Water
348,Cropland,NULL,Shrubland,Water,Non_Wetland,Forest
349,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
350,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
351,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
352,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland
353,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
354,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
355,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
356,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL
357,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
358,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
359,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
360,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
361,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Built-up
362,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Forest
363,Cropland,NULL,Grassland,Water,Non_Wetland,NULL
364,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
365,Cropland,NULL,Grassland,Water,Non_Wetland,Cropland
366,Cropland,NULL,Grassland,Water,Non_Wetland,Wetland
367,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
368,Cropland,NULL,Grassland,Water,Non_Wetland,Water
369,Cropland,NULL,Grassland,Water,Non_Wetland,Forest
370,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
371,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
372,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
373,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
374,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
375,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL
376,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
377,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
378,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
379,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Water
380,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Forest
381,Cropland,NULL,Cropland,Water,Non_Wetland,NULL
382,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
383,Cropland,NULL,Cropland,Water,Non_Wetland,Cropland
384,Cropland,NULL,Cropland,Water,Non_Wetland,Wetland
385,Cropland,NULL,Cropland,Water,Non_Wetland,Water
386,Cropland,NULL,Cropland,Water,Non_Wetland,Forest
387,Cropland,NULL,Wetland,NULL,Wetland,NULL
388,Cropland,NULL,Wetland,NULL,Wetland,Grassland
389,Cropland,NULL,Wetland,NULL,Wetland,Forest
390,Cropland,NULL,Wetland,Non_Water,Wetland,NULL
391,Cropland,NULL,Wetland,Non_Water,Wetland,Grassland
392,Cropland,NULL,Wetland,Non_Water,Wetland,Wetland
393,Cropland,NULL,Wetland,Non_Water,Wetland,Forest
394,Cropland,NULL,Wetland,Water,Wetland,Forest
395,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
396,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
397,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
398,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
399,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
400,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
401,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
402,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL
403,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
404,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
405,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
406,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
407,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
408,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
409,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
410,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
411,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Bareland
412,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Forest
