Value,AFRICA_2024_DynamicWorld_2024_36PTV_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PTV_M_R,AFRICA_2024_GLC_FCS30D_2022_36PTV_M_R,AFRICA_2024_GSW_Yearly_2021_36PTV_M_R,AFRICA_2024_GWL_FCS30D_2022_36PTV_M_R,AFRICA_2024_WorldCover_2021_36PTV_M_R
119,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
120,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Forest
121,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland
122,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
123,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
124,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
125,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
126,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
127,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL
128,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
129,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
130,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Wetland
131,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Forest
132,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
133,NULL,Cropland,Cropland,Water,Non_Wetland,Forest
134,NULL,Cropland,Wetland,NULL,Wetland,NULL
135,NULL,Cropland,Wetland,NULL,Wetland,Forest
136,NULL,Cropland,Wetland,Non_Water,Wetland,Wetland
137,NULL,Cropland,Wetland,Non_Water,Wetland,Forest
138,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Forest
139,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
140,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
141,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
142,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
143,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
144,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
145,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL
146,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
147,NULL,Cropland,Forest,Non_Water,Non_Wetland,Wetland
148,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
149,NULL,Wetland,NULL,Non_Water,Non_Wetland,Grassland
150,NULL,Wetland,NULL,Non_Water,Non_Wetland,Forest
151,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
152,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
153,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
154,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
155,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
156,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
157,NULL,Wetland,Cropland,NULL,Non_Wetland,Forest
158,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL
159,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
160,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Forest
161,NULL,Wetland,Wetland,NULL,Wetland,Forest
162,NULL,Wetland,Wetland,Non_Water,Wetland,Forest
163,NULL,Wetland,Bareland,Water,Non_Wetland,Water
164,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
165,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
166,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
167,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
168,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
169,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
170,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
171,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
172,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
173,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
174,NULL,Built-up,Shrubland,Water,Non_Wetland,Forest
175,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
176,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
177,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
178,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
179,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
180,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
181,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
182,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Bareland
183,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
184,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
185,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
186,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
187,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
188,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
189,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
190,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Cropland
191,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Built-up
192,NULL,Built-up,Wetland,NULL,Wetland,Forest
193,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
194,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
195,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
196,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
197,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
198,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
199,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
200,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
201,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
202,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
203,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
204,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
205,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
206,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
207,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland
208,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
209,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
210,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
211,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL
212,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
213,NULL,Water,Grassland,NULL,Non_Wetland,NULL
214,NULL,Water,Grassland,NULL,Non_Wetland,Forest
215,NULL,Water,Cropland,Non_Water,Non_Wetland,Wetland
216,NULL,Water,Cropland,Water,Non_Wetland,Cropland
217,NULL,Water,Cropland,Water,Non_Wetland,Wetland
218,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland
219,NULL,Forest,NULL,NULL,Non_Wetland,NULL
220,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
221,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
222,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
223,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
224,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
225,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
226,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
227,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
228,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
229,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
230,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
231,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL
232,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland
233,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
234,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
235,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
236,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
237,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL
238,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland
239,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
240,NULL,Forest,Forest,NULL,Non_Wetland,NULL
241,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
242,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
243,NULL,Forest,Forest,NULL,Non_Wetland,Forest
244,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
245,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
246,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
247,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
248,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
249,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
250,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
251,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
252,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
253,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
254,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
255,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
256,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
257,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
258,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
259,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
260,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
261,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
262,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
263,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL
264,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
265,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
266,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Forest
267,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland
268,Grassland,NULL,Cropland,Water,Non_Wetland,Forest
269,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
270,Grassland,NULL,Wetland,Non_Water,Wetland,Water
271,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
272,Grassland,NULL,Wetland,Water,Wetland,Wetland
273,Grassland,NULL,Wetland,Water,Wetland,Water
274,Grassland,NULL,Wetland,Water,Wetland,Forest
275,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
276,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
277,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
278,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
279,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
280,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
281,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
282,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Wetland
283,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
284,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
285,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
286,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
287,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
288,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
289,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
290,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
291,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
292,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL
293,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
294,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
295,Grassland,Cropland,Grassland,NULL,Non_Wetland,Wetland
296,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
297,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,Wetland
298,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,Forest
299,Grassland,Cropland,Grassland,Water,Non_Wetland,Wetland
300,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
301,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
302,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
303,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland
304,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,NULL
305,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
306,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
307,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Wetland
308,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Forest
309,Grassland,Cropland,Wetland,Non_Water,Wetland,NULL
310,Grassland,Cropland,Wetland,Non_Water,Wetland,Wetland
311,Grassland,Cropland,Wetland,Non_Water,Wetland,Forest
312,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
313,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
314,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
315,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
316,Grassland,Cropland,Forest,Non_Water,Non_Wetland,NULL
317,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Grassland
318,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Cropland
319,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Wetland
320,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Forest
321,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Wetland
322,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
323,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
324,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
325,Grassland,Wetland,Shrubland,Water,Non_Wetland,Wetland
326,Grassland,Wetland,Shrubland,Water,Non_Wetland,Water
327,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
328,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Cropland
329,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
330,Grassland,Wetland,Grassland,Water,Non_Wetland,Wetland
331,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,NULL
332,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
333,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Cropland
334,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
335,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Water
336,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Forest
337,Grassland,Wetland,Cropland,Water,Non_Wetland,Wetland
338,Grassland,Wetland,Cropland,Water,Non_Wetland,Water
339,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL
340,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland
341,Grassland,Wetland,Wetland,Non_Water,Wetland,Cropland
342,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland
343,Grassland,Wetland,Wetland,Non_Water,Wetland,Water
344,Grassland,Wetland,Wetland,Non_Water,Wetland,Forest
345,Grassland,Wetland,Wetland,Water,Wetland,Wetland
346,Grassland,Wetland,Wetland,Water,Wetland,Water
347,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
348,Grassland,Wetland,Bareland,Water,Non_Wetland,Water
349,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL
350,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Cropland
351,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland
352,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Forest
353,Grassland,Wetland,Forest,Water,Non_Wetland,Wetland
354,Grassland,Water,Wetland,Water,Wetland,Water
355,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
356,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
357,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
358,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland
359,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
360,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up
361,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
362,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL
363,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland
364,Cropland,NULL,NULL,Non_Water,Non_Wetland,Cropland
365,Cropland,NULL,NULL,Non_Water,Non_Wetland,Forest
366,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
367,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
368,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
369,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
370,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
371,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water
372,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
373,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
374,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
375,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
376,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
377,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
378,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL
379,Cropland,NULL,Shrubland,Water,Non_Wetland,Cropland
380,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
381,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
382,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
383,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland
384,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
385,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
386,Cropland,NULL,Grassland,NULL,Non_Wetland,Water
387,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
388,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL
389,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
390,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
391,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
392,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
393,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Built-up
394,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Water
395,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Forest
396,Cropland,NULL,Grassland,Water,Non_Wetland,NULL
397,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
398,Cropland,NULL,Grassland,Water,Non_Wetland,Cropland
399,Cropland,NULL,Grassland,Water,Non_Wetland,Wetland
400,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
401,Cropland,NULL,Grassland,Water,Non_Wetland,Water
402,Cropland,NULL,Grassland,Water,Non_Wetland,Forest
403,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
404,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
405,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
406,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland
407,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
408,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
409,Cropland,NULL,Cropland,NULL,Non_Wetland,Water
410,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
411,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL
412,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
413,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
