Value,AFRICA_2024_DynamicWorld_2024_36PYU_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PYU_M_R,AFRICA_2024_GLC_FCS30D_2022_36PYU_M_R,AFRICA_2024_GSW_Yearly_2021_36PYU_M_R,AFRICA_2024_GWL_FCS30D_2022_36PYU_M_R,AFRICA_2024_WorldCover_2021_36PYU_M_R
121,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
122,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
123,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
124,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
125,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
126,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
127,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
128,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
129,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
130,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
131,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
132,NULL,Cropland,Shrubland,Water,Non_Wetland,Wetland
133,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
134,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
135,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
136,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
137,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
138,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
139,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
140,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
141,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
142,NULL,Cropland,Wetland,NULL,Wetland,Wetland
143,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
144,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
145,NULL,Cropland,Bareland,NULL,Non_Wetland,Wetland
146,NULL,Cropland,Bareland,NULL,Non_Wetland,Water
147,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
148,NULL,Cropland,Bareland,Water,Non_Wetland,Wetland
149,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
150,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
151,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
152,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
153,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
154,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
155,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
156,NULL,Cropland,Forest,Water,Non_Wetland,Forest
157,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
158,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
159,NULL,Wetland,NULL,NULL,Non_Wetland,Water
160,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
161,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
162,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
163,NULL,Wetland,Shrubland,NULL,Non_Wetland,Cropland
164,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
165,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
166,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
167,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
168,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
169,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
170,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
171,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
172,NULL,Wetland,Cropland,NULL,Non_Wetland,Forest
173,NULL,Wetland,Wetland,NULL,Wetland,Forest
174,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
175,NULL,Wetland,Wetland,Water,Wetland,Wetland
176,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
177,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
178,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
179,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
180,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
181,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL
182,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
183,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
184,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
185,NULL,Wetland,Forest,Water,Non_Wetland,NULL
186,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
187,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
188,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
189,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
190,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
191,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
192,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Grassland
193,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
194,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
195,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
196,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
197,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Grassland
198,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Cropland
199,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Bareland
200,NULL,Bareland,Cropland,Water,Non_Wetland,Bareland
201,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
202,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
203,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
204,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
205,NULL,Bareland,Forest,Non_Water,Non_Wetland,Grassland
206,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
207,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
208,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
209,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
210,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
211,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
212,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
213,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
214,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
215,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
216,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
217,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
218,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
219,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
220,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
221,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
222,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
223,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
224,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
225,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
226,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
227,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
228,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
229,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
230,NULL,Water,NULL,NULL,Non_Wetland,Grassland
231,NULL,Water,NULL,NULL,Non_Wetland,Cropland
232,NULL,Water,NULL,NULL,Non_Wetland,Bareland
233,NULL,Water,NULL,NULL,Non_Wetland,Forest
234,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
235,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
236,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
237,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
238,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
239,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
240,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
241,NULL,Water,Shrubland,Water,Non_Wetland,Wetland
242,NULL,Water,Shrubland,Water,Non_Wetland,Forest
243,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
244,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
245,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
246,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
247,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
248,NULL,Water,Cropland,NULL,Non_Wetland,Forest
249,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland
250,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
251,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
252,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
253,NULL,Water,Bareland,NULL,Non_Wetland,Forest
254,NULL,Water,Bareland,Non_Water,Non_Wetland,Bareland
255,NULL,Water,Bareland,Non_Water,Non_Wetland,Forest
256,NULL,Water,Bareland,Water,Non_Wetland,Grassland
257,NULL,Water,Bareland,Water,Non_Wetland,Forest
258,NULL,Water,Forest,NULL,Non_Wetland,Grassland
259,NULL,Water,Forest,NULL,Non_Wetland,Cropland
260,NULL,Water,Forest,NULL,Non_Wetland,Bareland
261,NULL,Water,Forest,NULL,Non_Wetland,Forest
262,NULL,Water,Forest,Water,Non_Wetland,Forest
263,NULL,Forest,NULL,NULL,Non_Wetland,NULL
264,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
265,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
266,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
267,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
268,NULL,Forest,NULL,NULL,Non_Wetland,Forest
269,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL
270,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland
271,NULL,Forest,NULL,Non_Water,Non_Wetland,Forest
272,NULL,Forest,NULL,Water,Non_Wetland,Wetland
273,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
274,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
275,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
276,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
277,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
278,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
279,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
280,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
281,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Cropland
282,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
283,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
284,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
285,NULL,Forest,Shrubland,Water,Non_Wetland,Wetland
286,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
287,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
288,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
289,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
290,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
291,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
292,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland
293,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
294,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
295,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
296,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
297,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
298,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland
299,NULL,Forest,Cropland,Water,Non_Wetland,Grassland
300,NULL,Forest,Wetland,NULL,Wetland,NULL
301,NULL,Forest,Wetland,NULL,Wetland,Grassland
302,NULL,Forest,Wetland,NULL,Wetland,Forest
303,NULL,Forest,Wetland,Non_Water,Wetland,Grassland
304,NULL,Forest,Wetland,Water,Wetland,Grassland
305,NULL,Forest,Wetland,Water,Wetland,Wetland
306,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
307,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
308,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
309,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
310,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
311,NULL,Forest,Bareland,NULL,Non_Wetland,Cropland
312,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
313,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
314,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
315,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland
316,NULL,Forest,Water,Water,Water,Wetland
317,NULL,Forest,Forest,NULL,Non_Wetland,NULL
318,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
319,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
320,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
321,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
322,NULL,Forest,Forest,NULL,Non_Wetland,Forest
323,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
324,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
325,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
326,NULL,Forest,Forest,Water,Non_Wetland,Grassland
327,NULL,Forest,Forest,Water,Non_Wetland,Wetland
328,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
329,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
330,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
331,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
332,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
333,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL
334,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
335,Grassland,NULL,NULL,Non_Water,Non_Wetland,Cropland
336,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland
337,Grassland,NULL,NULL,Non_Water,Non_Wetland,Forest
338,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
339,Grassland,NULL,NULL,Water,Non_Wetland,Wetland
340,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
341,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
342,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
343,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
344,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water
345,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
346,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
347,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
348,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
349,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
350,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
351,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL
352,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
353,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
354,Grassland,NULL,Shrubland,Water,Non_Wetland,Water
355,Grassland,NULL,Shrubland,Water,Non_Wetland,Forest
356,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
357,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
358,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
359,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
360,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Forest
361,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland
362,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
363,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
364,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
365,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
366,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
367,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
368,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
369,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Forest
370,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
371,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland
372,Grassland,NULL,Wetland,NULL,Wetland,NULL
373,Grassland,NULL,Wetland,NULL,Wetland,Grassland
374,Grassland,NULL,Wetland,NULL,Wetland,Wetland
375,Grassland,NULL,Wetland,NULL,Wetland,Forest
376,Grassland,NULL,Wetland,Non_Water,Wetland,NULL
377,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
378,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
379,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
380,Grassland,NULL,Wetland,Water,Wetland,NULL
381,Grassland,NULL,Wetland,Water,Wetland,Grassland
382,Grassland,NULL,Wetland,Water,Wetland,Wetland
383,Grassland,NULL,Wetland,Water,Wetland,Forest
384,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
385,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
386,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
387,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
388,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland
389,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland
390,Grassland,NULL,Bareland,Water,Non_Wetland,Forest
391,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
392,Grassland,NULL,Built-up,Water,Non_Wetland,Grassland
393,Grassland,NULL,Built-up,Water,Non_Wetland,Wetland
394,Grassland,NULL,Water,Non_Water,Water,Wetland
395,Grassland,NULL,Water,Non_Water,Water,Forest
396,Grassland,NULL,Water,Water,Water,Grassland
397,Grassland,NULL,Water,Water,Water,Wetland
398,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
399,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
400,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
401,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
402,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
403,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL
404,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
405,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
406,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
407,Grassland,NULL,Forest,Water,Non_Wetland,NULL
408,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
409,Grassland,NULL,Forest,Water,Non_Wetland,Cropland
410,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
411,Grassland,NULL,Forest,Water,Non_Wetland,Water
412,Grassland,NULL,Forest,Water,Non_Wetland,Forest
413,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
414,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland
415,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
416,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
417,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
418,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
419,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
420,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
421,Grassland,Cropland,Shrubland,Water,Non_Wetland,Grassland
422,Grassland,Cropland,Shrubland,Water,Non_Wetland,Wetland
423,Grassland,Cropland,Shrubland,Water,Non_Wetland,Forest
424,Grassland,Cropland,Wetland,NULL,Wetland,Wetland
