Value,AFRICA_2024_DynamicWorld_2024_37NEF_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NEF_M_R,AFRICA_2024_GLC_FCS30D_2022_37NEF_M_R,AFRICA_2024_GSW_Yearly_2021_37NEF_M_R,AFRICA_2024_GWL_FCS30D_2022_37NEF_M_R,AFRICA_2024_WorldCover_2021_37NEF_M_R
122,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
123,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
124,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
125,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
126,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
127,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
128,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
129,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland
130,NULL,Cropland,Shrubland,Water,Non_Wetland,Water
131,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
132,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
133,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
134,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
135,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
136,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
137,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
138,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
139,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
140,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
141,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
142,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
143,NULL,Cropland,Bareland,Water,Non_Wetland,Cropland
144,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
145,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
146,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
147,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
148,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
149,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
150,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
151,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
152,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
153,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
154,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
155,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
156,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
157,NULL,Bareland,Grassland,NULL,Non_Wetland,Water
158,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
159,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
160,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
161,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
162,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
163,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
164,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
165,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
166,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
167,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
168,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
169,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
170,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
171,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
172,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
173,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
174,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
175,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
176,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
177,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
178,NULL,Built-up,Grassland,NULL,Non_Wetland,Water
179,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
180,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
181,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
182,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
183,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
184,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
185,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
186,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
187,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
188,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
189,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
190,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
191,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
192,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
193,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
194,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
195,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
196,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
197,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
198,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
199,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
200,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
201,NULL,Water,NULL,NULL,Non_Wetland,NULL
202,NULL,Water,NULL,NULL,Non_Wetland,Grassland
203,NULL,Water,NULL,NULL,Non_Wetland,Cropland
204,NULL,Water,NULL,NULL,Non_Wetland,Bareland
205,NULL,Water,NULL,NULL,Non_Wetland,Water
206,NULL,Water,NULL,NULL,Non_Wetland,Forest
207,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
208,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
209,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
210,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
211,NULL,Water,Shrubland,NULL,Non_Wetland,Water
212,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
213,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL
214,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
215,NULL,Water,Shrubland,Water,Non_Wetland,NULL
216,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
217,NULL,Water,Shrubland,Water,Non_Wetland,Forest
218,NULL,Water,Grassland,NULL,Non_Wetland,NULL
219,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
220,NULL,Water,Grassland,NULL,Non_Wetland,Cropland
221,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
222,NULL,Water,Grassland,NULL,Non_Wetland,Forest
223,NULL,Water,Grassland,Non_Water,Non_Wetland,Grassland
224,NULL,Water,Grassland,Non_Water,Non_Wetland,Forest
225,NULL,Water,Grassland,Water,Non_Wetland,NULL
226,NULL,Water,Grassland,Water,Non_Wetland,Grassland
227,NULL,Water,Grassland,Water,Non_Wetland,Forest
228,NULL,Water,Cropland,NULL,Non_Wetland,NULL
229,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
230,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
231,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
232,NULL,Water,Cropland,NULL,Non_Wetland,Forest
233,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland
234,NULL,Water,Cropland,Water,Non_Wetland,Grassland
235,NULL,Water,Cropland,Water,Non_Wetland,Cropland
236,NULL,Water,Cropland,Water,Non_Wetland,Bareland
237,NULL,Water,Cropland,Water,Non_Wetland,Water
238,NULL,Water,Wetland,NULL,Wetland,NULL
239,NULL,Water,Wetland,NULL,Wetland,Grassland
240,NULL,Water,Wetland,NULL,Wetland,Forest
241,NULL,Water,Wetland,Non_Water,Wetland,NULL
242,NULL,Water,Wetland,Water,Wetland,NULL
243,NULL,Water,Wetland,Water,Wetland,Grassland
244,NULL,Water,Wetland,Water,Wetland,Bareland
245,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Forest
246,NULL,Water,Bareland,NULL,Non_Wetland,NULL
247,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
248,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
249,NULL,Water,Bareland,NULL,Non_Wetland,Water
250,NULL,Water,Bareland,NULL,Non_Wetland,Forest
251,NULL,Water,Bareland,Non_Water,Non_Wetland,Grassland
252,NULL,Water,Bareland,Non_Water,Non_Wetland,Cropland
253,NULL,Water,Bareland,Non_Water,Non_Wetland,Forest
254,NULL,Water,Bareland,Water,Non_Wetland,NULL
255,NULL,Water,Bareland,Water,Non_Wetland,Grassland
256,NULL,Water,Bareland,Water,Non_Wetland,Bareland
257,NULL,Water,Bareland,Water,Non_Wetland,Water
258,NULL,Water,Bareland,Water,Non_Wetland,Forest
259,NULL,Water,Built-up,NULL,Non_Wetland,NULL
260,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
261,NULL,Water,Built-up,NULL,Non_Wetland,Water
262,NULL,Water,Built-up,NULL,Non_Wetland,Forest
263,NULL,Water,Forest,NULL,Non_Wetland,NULL
264,NULL,Water,Forest,NULL,Non_Wetland,Grassland
265,NULL,Water,Forest,NULL,Non_Wetland,Cropland
266,NULL,Water,Forest,NULL,Non_Wetland,Bareland
267,NULL,Water,Forest,NULL,Non_Wetland,Water
268,NULL,Water,Forest,NULL,Non_Wetland,Forest
269,NULL,Water,Forest,Water,Non_Wetland,Water
270,NULL,Water,Forest,Water,Non_Wetland,Forest
271,NULL,Forest,NULL,NULL,Non_Wetland,NULL
272,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
273,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
274,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
275,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
276,NULL,Forest,NULL,NULL,Non_Wetland,Forest
277,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
278,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
279,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
280,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
281,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
282,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
283,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
284,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
285,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
286,NULL,Forest,Shrubland,Water,Non_Wetland,NULL
287,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
288,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
289,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
290,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
291,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
292,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
293,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
294,NULL,Forest,Grassland,NULL,Non_Wetland,Water
295,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
296,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
297,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
298,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
299,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
300,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
301,NULL,Forest,Cropland,Water,Non_Wetland,Grassland
302,NULL,Forest,Cropland,Water,Non_Wetland,Forest
303,NULL,Forest,Wetland,NULL,Wetland,Forest
304,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
305,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
306,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
307,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
308,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
309,NULL,Forest,Bareland,NULL,Non_Wetland,Cropland
310,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
311,NULL,Forest,Bareland,Water,Non_Wetland,NULL
312,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
313,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
314,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland
315,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
316,NULL,Forest,Forest,NULL,Non_Wetland,NULL
317,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
318,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
319,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
320,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
321,NULL,Forest,Forest,NULL,Non_Wetland,Forest
322,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
323,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
324,NULL,Forest,Forest,Water,Non_Wetland,NULL
325,NULL,Forest,Forest,Water,Non_Wetland,Grassland
326,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
327,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
328,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
329,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
330,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water
331,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
332,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
333,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
334,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
335,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
336,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
337,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland
338,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
339,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
340,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
341,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
342,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
343,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
344,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
345,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
346,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
347,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
348,Grassland,Cropland,Shrubland,Water,Non_Wetland,Cropland
349,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
350,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
351,Grassland,Cropland,Bareland,NULL,Non_Wetland,Cropland
352,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
353,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
354,Grassland,Water,NULL,NULL,Non_Wetland,Grassland
355,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
356,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
357,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland
358,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
359,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
360,Grassland,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
361,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL
362,Grassland,Forest,Bareland,NULL,Non_Wetland,Grassland
363,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
364,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
365,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
366,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
367,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
368,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
369,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
370,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland
371,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
372,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
373,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
374,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
375,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
376,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water
377,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
378,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
379,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
380,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
381,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
382,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL
383,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
384,Cropland,NULL,Shrubland,Water,Non_Wetland,Cropland
385,Cropland,NULL,Shrubland,Water,Non_Wetland,Bareland
386,Cropland,NULL,Shrubland,Water,Non_Wetland,Water
387,Cropland,NULL,Shrubland,Water,Non_Wetland,Forest
388,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
389,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
390,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
391,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
392,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
393,Cropland,NULL,Grassland,NULL,Non_Wetland,Water
394,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
395,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
396,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Forest
397,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
398,Cropland,NULL,Grassland,Water,Non_Wetland,Cropland
399,Cropland,NULL,Grassland,Water,Non_Wetland,Water
400,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
401,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
402,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
403,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
404,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
405,Cropland,NULL,Cropland,NULL,Non_Wetland,Water
406,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
407,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
408,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
409,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Forest
410,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
411,Cropland,NULL,Cropland,Water,Non_Wetland,Cropland
412,Cropland,NULL,Cropland,Water,Non_Wetland,Bareland
413,Cropland,NULL,Wetland,NULL,Wetland,NULL
414,Cropland,NULL,Wetland,NULL,Wetland,Cropland
415,Cropland,NULL,Wetland,NULL,Wetland,Forest
416,Cropland,NULL,Wetland,Non_Water,Wetland,Cropland
417,Cropland,NULL,Wetland,Water,Wetland,Cropland
418,Cropland,NULL,Wetland,Water,Wetland,Water
419,Cropland,NULL,Wetland,Water,Wetland,Forest
420,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
421,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
422,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
423,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
424,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
425,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
426,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
427,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
