Value,AFRICA_2024_DynamicWorld_2024_36NUP_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NUP_M_R,AFRICA_2024_GLC_FCS30D_2022_36NUP_M_R,AFRICA_2024_GSW_Yearly_2021_36NUP_M_R,AFRICA_2024_GWL_FCS30D_2022_36NUP_M_R,AFRICA_2024_WorldCover_2021_36NUP_M_R
121,NULL,Wetland,Built-up,NULL,Non_Wetland,Built-up
122,NULL,Wetland,Built-up,NULL,Non_Wetland,Forest
123,NULL,Wetland,Water,NULL,Water,Wetland
124,NULL,Wetland,Water,Water,Water,Wetland
125,NULL,Wetland,Water,Water,Water,Bareland
126,NULL,Wetland,Water,Water,Water,Water
127,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
128,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
129,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
130,NULL,Bareland,Grassland,Water,Non_Wetland,Built-up
131,NULL,Bareland,Cropland,NULL,Non_Wetland,Built-up
132,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
133,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
134,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland
135,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
136,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
137,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
138,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
139,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
140,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
141,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
142,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
143,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
144,NULL,Built-up,Shrubland,Water,Non_Wetland,Wetland
145,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland
146,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up
147,NULL,Built-up,Shrubland,Water,Non_Wetland,Water
148,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
149,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland
150,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
151,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
152,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
153,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland
154,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
155,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland
156,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
157,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
158,NULL,Built-up,Wetland,NULL,Wetland,Grassland
159,NULL,Built-up,Wetland,NULL,Wetland,Wetland
160,NULL,Built-up,Wetland,NULL,Wetland,Forest
161,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
162,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland
163,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
164,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
165,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
166,NULL,Built-up,Bareland,Water,Non_Wetland,Wetland
167,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
168,NULL,Built-up,Bareland,Water,Non_Wetland,Built-up
169,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
170,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
171,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland
172,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
173,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
174,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
175,NULL,Built-up,Built-up,Water,Non_Wetland,Wetland
176,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland
177,NULL,Built-up,Water,NULL,Water,Wetland
178,NULL,Built-up,Water,Water,Water,Wetland
179,NULL,Built-up,Water,Water,Water,Water
180,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
181,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
182,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
183,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
184,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
185,NULL,Water,Forest,NULL,Non_Wetland,Forest
186,NULL,Forest,NULL,NULL,Non_Wetland,NULL
187,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
188,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
189,NULL,Forest,NULL,NULL,Non_Wetland,Forest
190,NULL,Forest,NULL,Water,Non_Wetland,Grassland
191,NULL,Forest,NULL,Water,Non_Wetland,Wetland
192,NULL,Forest,NULL,Water,Non_Wetland,Forest
193,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
194,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
195,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
196,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
197,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
198,NULL,Forest,Shrubland,NULL,Non_Wetland,Water
199,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
200,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
201,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
202,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
203,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
204,NULL,Forest,Shrubland,Water,Non_Wetland,Wetland
205,NULL,Forest,Shrubland,Water,Non_Wetland,Bareland
206,NULL,Forest,Shrubland,Water,Non_Wetland,Built-up
207,NULL,Forest,Shrubland,Water,Non_Wetland,Water
208,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
209,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
210,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland
211,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
212,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
213,NULL,Forest,Wetland,NULL,Wetland,Grassland
214,NULL,Forest,Wetland,NULL,Wetland,Wetland
215,NULL,Forest,Wetland,NULL,Wetland,Water
216,NULL,Forest,Wetland,NULL,Wetland,Forest
217,NULL,Forest,Wetland,Water,Wetland,Wetland
218,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
219,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
220,NULL,Forest,Built-up,NULL,Non_Wetland,Wetland
221,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
222,NULL,Forest,Water,NULL,Water,Wetland
223,NULL,Forest,Water,NULL,Water,Forest
224,NULL,Forest,Water,Water,Water,Grassland
225,NULL,Forest,Water,Water,Water,Wetland
226,NULL,Forest,Water,Water,Water,Forest
227,NULL,Forest,Forest,NULL,Non_Wetland,NULL
228,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
229,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
230,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
231,NULL,Forest,Forest,NULL,Non_Wetland,Forest
232,NULL,Forest,Forest,Non_Water,Non_Wetland,Wetland
233,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
234,NULL,Forest,Forest,Water,Non_Wetland,Grassland
235,NULL,Forest,Forest,Water,Non_Wetland,Wetland
236,NULL,Forest,Forest,Water,Non_Wetland,Bareland
237,NULL,Forest,Forest,Water,Non_Wetland,Forest
238,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
239,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
240,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
241,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
242,Grassland,NULL,NULL,Water,Non_Wetland,Wetland
243,Grassland,NULL,NULL,Water,Non_Wetland,Forest
244,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
245,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
246,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
247,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
248,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water
249,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
250,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
251,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
252,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
253,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
254,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
255,Grassland,NULL,Shrubland,Water,Non_Wetland,Water
256,Grassland,NULL,Shrubland,Water,Non_Wetland,Forest
257,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
258,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
259,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland
260,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland
261,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
262,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
263,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
264,Grassland,NULL,Wetland,NULL,Wetland,Grassland
265,Grassland,NULL,Wetland,NULL,Wetland,Wetland
266,Grassland,NULL,Wetland,NULL,Wetland,Forest
267,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
268,Grassland,NULL,Wetland,Water,Wetland,Forest
269,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
270,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
271,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
272,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
273,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland
274,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland
275,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Wetland
276,Grassland,NULL,Water,NULL,Water,Grassland
277,Grassland,NULL,Water,NULL,Water,Wetland
278,Grassland,NULL,Water,NULL,Water,Water
279,Grassland,NULL,Water,Non_Water,Water,Grassland
280,Grassland,NULL,Water,Water,Water,Grassland
281,Grassland,NULL,Water,Water,Water,Wetland
282,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
283,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
284,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
285,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland
286,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
287,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
288,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
289,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
290,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
291,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
292,Grassland,NULL,Forest,Water,Non_Wetland,Forest
293,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
294,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland
295,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
296,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
297,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
298,Grassland,Cropland,Wetland,NULL,Wetland,Wetland
299,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland
300,Grassland,Cropland,Bareland,NULL,Non_Wetland,Wetland
301,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
302,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
303,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
304,Grassland,Wetland,NULL,NULL,Non_Wetland,Wetland
305,Grassland,Wetland,NULL,NULL,Non_Wetland,Forest
306,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Wetland
307,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL
308,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
309,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
310,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Forest
311,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
312,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
313,Grassland,Wetland,Shrubland,Water,Non_Wetland,Wetland
314,Grassland,Wetland,Cropland,NULL,Non_Wetland,Wetland
315,Grassland,Wetland,Wetland,NULL,Wetland,Wetland
316,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland
317,Grassland,Wetland,Bareland,NULL,Non_Wetland,Wetland
318,Grassland,Wetland,Water,NULL,Water,Wetland
319,Grassland,Wetland,Water,Water,Water,Wetland
320,Grassland,Wetland,Water,Water,Water,Water
321,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland
322,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland
323,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest
324,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland
325,Grassland,Wetland,Forest,Water,Non_Wetland,Wetland
326,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland
327,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
328,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland
329,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
330,Grassland,Forest,NULL,Non_Water,Non_Wetland,Wetland
331,Grassland,Forest,NULL,Water,Non_Wetland,Grassland
332,Grassland,Forest,NULL,Water,Non_Wetland,Wetland
333,Grassland,Forest,NULL,Water,Non_Wetland,Forest
334,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
335,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
336,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland
337,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
338,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
339,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
340,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Forest
341,Grassland,Forest,Shrubland,Water,Non_Wetland,Grassland
342,Grassland,Forest,Shrubland,Water,Non_Wetland,Wetland
343,Grassland,Forest,Shrubland,Water,Non_Wetland,Water
344,Grassland,Forest,Shrubland,Water,Non_Wetland,Forest
345,Grassland,Forest,Grassland,NULL,Non_Wetland,Wetland
346,Grassland,Forest,Wetland,NULL,Wetland,Grassland
347,Grassland,Forest,Wetland,NULL,Wetland,Wetland
348,Grassland,Forest,Wetland,NULL,Wetland,Forest
349,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland
350,Grassland,Forest,Wetland,Non_Water,Wetland,Forest
351,Grassland,Forest,Wetland,Water,Wetland,Wetland
352,Grassland,Forest,Bareland,NULL,Non_Wetland,Grassland
353,Grassland,Forest,Bareland,NULL,Non_Wetland,Wetland
354,Grassland,Forest,Bareland,NULL,Non_Wetland,Forest
355,Grassland,Forest,Built-up,NULL,Non_Wetland,Wetland
356,Grassland,Forest,Water,NULL,Water,Grassland
357,Grassland,Forest,Water,NULL,Water,Wetland
358,Grassland,Forest,Water,Water,Water,Grassland
359,Grassland,Forest,Water,Water,Water,Wetland
360,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
361,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
362,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
363,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
364,Grassland,Forest,Forest,Non_Water,Non_Wetland,Wetland
365,Grassland,Forest,Forest,Non_Water,Non_Wetland,Forest
366,Grassland,Forest,Forest,Water,Non_Wetland,Grassland
367,Grassland,Forest,Forest,Water,Non_Wetland,Wetland
368,Grassland,Forest,Forest,Water,Non_Wetland,Forest
369,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
370,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland
371,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
372,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up
373,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
374,Cropland,NULL,NULL,Water,Non_Wetland,Grassland
375,Cropland,NULL,NULL,Water,Non_Wetland,Forest
376,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
377,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
378,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
379,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
380,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
381,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water
382,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
383,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
384,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
385,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
386,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
387,Cropland,NULL,Shrubland,Water,Non_Wetland,Wetland
388,Cropland,NULL,Shrubland,Water,Non_Wetland,Bareland
389,Cropland,NULL,Shrubland,Water,Non_Wetland,Built-up
390,Cropland,NULL,Shrubland,Water,Non_Wetland,Forest
391,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
392,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland
393,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
394,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
395,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
396,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
397,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
398,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
399,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
400,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
401,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
402,Cropland,NULL,Wetland,NULL,Wetland,Grassland
403,Cropland,NULL,Wetland,NULL,Wetland,Wetland
404,Cropland,NULL,Wetland,NULL,Wetland,Forest
405,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
406,Cropland,NULL,Bareland,NULL,Non_Wetland,Wetland
407,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
408,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
409,Cropland,NULL,Bareland,Water,Non_Wetland,Wetland
410,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
411,Cropland,NULL,Built-up,NULL,Non_Wetland,Wetland
412,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
413,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
414,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
415,Cropland,NULL,Built-up,Water,Non_Wetland,Grassland
416,Cropland,NULL,Water,NULL,Water,Wetland
417,Cropland,NULL,Water,Non_Water,Water,Grassland
418,Cropland,NULL,Water,Water,Water,Grassland
419,Cropland,NULL,Water,Water,Water,Wetland
420,Cropland,NULL,Water,Water,Water,Water
421,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
422,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
423,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
424,Cropland,NULL,Forest,Non_Water,Non_Wetland,Forest
425,Cropland,NULL,Forest,Water,Non_Wetland,Grassland
426,Cropland,NULL,Forest,Water,Non_Wetland,Wetland
427,Cropland,NULL,Forest,Water,Non_Wetland,Forest
428,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
429,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
430,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
