Value,AFRICA_2024_DynamicWorld_2024_36PWC_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PWC_M_R,AFRICA_2024_GLC_FCS30D_2022_36PWC_M_R,AFRICA_2024_GSW_Yearly_2021_36PWC_M_R,AFRICA_2024_GWL_FCS30D_2022_36PWC_M_R,AFRICA_2024_WorldCover_2021_36PWC_M_R
117,Cropland,NULL,Grassland,Water,Non_Wetland,Water
118,Cropland,NULL,Grassland,Water,Non_Wetland,Forest
119,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
120,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
121,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
122,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
123,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
124,Cropland,NULL,Cropland,NULL,Non_Wetland,Water
125,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
126,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
127,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
128,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Bareland
129,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Forest
130,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
131,Cropland,NULL,Cropland,Water,Non_Wetland,Cropland
132,Cropland,NULL,Cropland,Water,Non_Wetland,Bareland
133,Cropland,NULL,Cropland,Water,Non_Wetland,Water
134,Cropland,NULL,Wetland,NULL,Wetland,Cropland
135,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
136,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
137,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
138,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
139,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
140,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
141,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
142,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
143,Cropland,NULL,Bareland,NULL,Non_Wetland,Built-up
144,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Cropland
145,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
146,Cropland,NULL,Bareland,Water,Non_Wetland,Cropland
147,Cropland,NULL,Bareland,Water,Non_Wetland,Bareland
148,Cropland,NULL,Bareland,Water,Non_Wetland,Water
149,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
150,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
151,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
152,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
153,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
154,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
155,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Bareland
156,Cropland,NULL,Built-up,Water,Non_Wetland,Cropland
157,Cropland,NULL,Built-up,Water,Non_Wetland,Bareland
158,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
159,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
160,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
161,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland
162,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
163,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
164,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
165,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland
166,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
167,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
168,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
169,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
170,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
171,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
172,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
173,Cropland,Cropland,Grassland,NULL,Non_Wetland,Built-up
174,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
175,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
176,Cropland,Cropland,Grassland,Water,Non_Wetland,Cropland
177,Cropland,Cropland,Grassland,Water,Non_Wetland,Bareland
178,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
179,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
180,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
181,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland
182,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
183,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
184,Cropland,Cropland,Cropland,Water,Non_Wetland,Cropland
185,Cropland,Cropland,Wetland,Water,Wetland,Cropland
186,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
187,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
188,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
189,Cropland,Cropland,Bareland,NULL,Non_Wetland,Cropland
190,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
191,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
192,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
193,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland
194,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland
195,Cropland,Cropland,Built-up,NULL,Non_Wetland,Forest
196,Cropland,Cropland,Built-up,Non_Water,Non_Wetland,Cropland
197,Cropland,Cropland,Built-up,Non_Water,Non_Wetland,Bareland
198,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
199,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland
200,Cropland,Bareland,NULL,NULL,Non_Wetland,Grassland
201,Cropland,Bareland,NULL,NULL,Non_Wetland,Cropland
202,Cropland,Bareland,NULL,NULL,Non_Wetland,Bareland
203,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
204,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Cropland
205,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
206,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL
207,Cropland,Bareland,Grassland,NULL,Non_Wetland,Grassland
208,Cropland,Bareland,Grassland,NULL,Non_Wetland,Cropland
209,Cropland,Bareland,Grassland,NULL,Non_Wetland,Bareland
210,Cropland,Bareland,Grassland,Non_Water,Non_Wetland,Grassland
211,Cropland,Bareland,Grassland,Non_Water,Non_Wetland,Cropland
212,Cropland,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
213,Cropland,Bareland,Grassland,Water,Non_Wetland,Cropland
214,Cropland,Bareland,Grassland,Water,Non_Wetland,Wetland
215,Cropland,Bareland,Grassland,Water,Non_Wetland,Bareland
216,Cropland,Bareland,Grassland,Water,Non_Wetland,Water
217,Cropland,Bareland,Cropland,NULL,Non_Wetland,NULL
218,Cropland,Bareland,Cropland,NULL,Non_Wetland,Grassland
219,Cropland,Bareland,Cropland,NULL,Non_Wetland,Cropland
220,Cropland,Bareland,Cropland,NULL,Non_Wetland,Bareland
221,Cropland,Bareland,Cropland,Non_Water,Non_Wetland,Cropland
222,Cropland,Bareland,Cropland,Water,Non_Wetland,Cropland
223,Cropland,Bareland,Cropland,Water,Non_Wetland,Bareland
224,Cropland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
225,Cropland,Bareland,Bareland,NULL,Non_Wetland,Grassland
226,Cropland,Bareland,Bareland,NULL,Non_Wetland,Cropland
227,Cropland,Bareland,Bareland,NULL,Non_Wetland,Bareland
228,Cropland,Bareland,Built-up,NULL,Non_Wetland,Grassland
229,Cropland,Bareland,Built-up,NULL,Non_Wetland,Cropland
230,Cropland,Bareland,Built-up,NULL,Non_Wetland,Bareland
231,Cropland,Built-up,NULL,NULL,Non_Wetland,Cropland
232,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Cropland
233,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL
234,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
235,Cropland,Built-up,Grassland,NULL,Non_Wetland,Cropland
236,Cropland,Built-up,Grassland,NULL,Non_Wetland,Bareland
237,Cropland,Built-up,Grassland,NULL,Non_Wetland,Built-up
238,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
239,Cropland,Built-up,Cropland,NULL,Non_Wetland,Cropland
240,Cropland,Built-up,Cropland,NULL,Non_Wetland,Built-up
241,Cropland,Built-up,Bareland,NULL,Non_Wetland,Grassland
242,Cropland,Built-up,Bareland,NULL,Non_Wetland,Bareland
243,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL
244,Cropland,Built-up,Built-up,NULL,Non_Wetland,Grassland
245,Cropland,Built-up,Built-up,NULL,Non_Wetland,Cropland
246,Cropland,Built-up,Built-up,NULL,Non_Wetland,Bareland
247,Cropland,Built-up,Built-up,NULL,Non_Wetland,Built-up
248,Cropland,Built-up,Built-up,NULL,Non_Wetland,Forest
249,Cropland,Water,Grassland,Water,Non_Wetland,Cropland
250,Bareland,NULL,NULL,NULL,Non_Wetland,NULL
251,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
252,Bareland,NULL,NULL,NULL,Non_Wetland,Cropland
253,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland
254,Bareland,NULL,NULL,NULL,Non_Wetland,Built-up
255,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
256,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
257,Bareland,NULL,Shrubland,NULL,Non_Wetland,Cropland
258,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
259,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
260,Bareland,NULL,Shrubland,Water,Non_Wetland,Cropland
261,Bareland,NULL,Shrubland,Water,Non_Wetland,Bareland
262,Bareland,NULL,Shrubland,Water,Non_Wetland,Water
263,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
264,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
265,Bareland,NULL,Grassland,NULL,Non_Wetland,Cropland
266,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
267,Bareland,NULL,Grassland,NULL,Non_Wetland,Built-up
268,Bareland,NULL,Grassland,NULL,Non_Wetland,Water
269,Bareland,NULL,Grassland,NULL,Non_Wetland,Forest
270,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
271,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
272,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
273,Bareland,NULL,Grassland,Water,Non_Wetland,NULL
274,Bareland,NULL,Grassland,Water,Non_Wetland,Grassland
275,Bareland,NULL,Grassland,Water,Non_Wetland,Cropland
276,Bareland,NULL,Grassland,Water,Non_Wetland,Wetland
277,Bareland,NULL,Grassland,Water,Non_Wetland,Bareland
278,Bareland,NULL,Grassland,Water,Non_Wetland,Water
279,Bareland,NULL,Grassland,Water,Non_Wetland,Forest
280,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL
281,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
282,Bareland,NULL,Cropland,NULL,Non_Wetland,Cropland
283,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland
284,Bareland,NULL,Cropland,NULL,Non_Wetland,Built-up
285,Bareland,NULL,Cropland,NULL,Non_Wetland,Water
286,Bareland,NULL,Cropland,NULL,Non_Wetland,Forest
287,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
288,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
289,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Bareland
290,Bareland,NULL,Cropland,Water,Non_Wetland,Grassland
291,Bareland,NULL,Cropland,Water,Non_Wetland,Cropland
292,Bareland,NULL,Cropland,Water,Non_Wetland,Wetland
293,Bareland,NULL,Cropland,Water,Non_Wetland,Bareland
294,Bareland,NULL,Cropland,Water,Non_Wetland,Water
295,Bareland,NULL,Cropland,Water,Non_Wetland,Forest
296,Bareland,NULL,Wetland,NULL,Wetland,Bareland
297,Bareland,NULL,Wetland,Water,Wetland,Bareland
298,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
299,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
300,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL
301,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
302,Bareland,NULL,Bareland,NULL,Non_Wetland,Cropland
303,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
304,Bareland,NULL,Bareland,NULL,Non_Wetland,Built-up
305,Bareland,NULL,Bareland,NULL,Non_Wetland,Water
306,Bareland,NULL,Bareland,NULL,Non_Wetland,Forest
307,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
308,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Cropland
309,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
310,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Water
311,Bareland,NULL,Bareland,Water,Non_Wetland,NULL
312,Bareland,NULL,Bareland,Water,Non_Wetland,Grassland
313,Bareland,NULL,Bareland,Water,Non_Wetland,Cropland
314,Bareland,NULL,Bareland,Water,Non_Wetland,Bareland
315,Bareland,NULL,Bareland,Water,Non_Wetland,Water
316,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL
317,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland
318,Bareland,NULL,Built-up,NULL,Non_Wetland,Cropland
319,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland
320,Bareland,NULL,Built-up,NULL,Non_Wetland,Built-up
321,Bareland,NULL,Built-up,NULL,Non_Wetland,Water
322,Bareland,NULL,Built-up,NULL,Non_Wetland,Forest
323,Bareland,NULL,Built-up,Water,Non_Wetland,Grassland
324,Bareland,NULL,Built-up,Water,Non_Wetland,Cropland
325,Bareland,NULL,Built-up,Water,Non_Wetland,Bareland
326,Bareland,NULL,Water,NULL,Water,Bareland
327,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland
328,Bareland,NULL,Forest,NULL,Non_Wetland,Cropland
329,Bareland,NULL,Forest,NULL,Non_Wetland,Forest
330,Bareland,Cropland,NULL,NULL,Non_Wetland,Grassland
331,Bareland,Cropland,NULL,NULL,Non_Wetland,Cropland
332,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
333,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
334,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
335,Bareland,Cropland,Grassland,NULL,Non_Wetland,Grassland
336,Bareland,Cropland,Grassland,NULL,Non_Wetland,Cropland
337,Bareland,Cropland,Grassland,NULL,Non_Wetland,Bareland
338,Bareland,Cropland,Grassland,NULL,Non_Wetland,Built-up
339,Bareland,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
340,Bareland,Cropland,Grassland,Water,Non_Wetland,Cropland
341,Bareland,Cropland,Cropland,NULL,Non_Wetland,Grassland
342,Bareland,Cropland,Cropland,NULL,Non_Wetland,Cropland
343,Bareland,Cropland,Cropland,NULL,Non_Wetland,Bareland
344,Bareland,Cropland,Cropland,Water,Non_Wetland,Bareland
345,Bareland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
346,Bareland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
347,Bareland,Cropland,Bareland,NULL,Non_Wetland,Grassland
348,Bareland,Cropland,Bareland,NULL,Non_Wetland,Cropland
349,Bareland,Cropland,Bareland,NULL,Non_Wetland,Bareland
350,Bareland,Cropland,Built-up,NULL,Non_Wetland,Grassland
351,Bareland,Cropland,Built-up,NULL,Non_Wetland,Cropland
352,Bareland,Cropland,Built-up,NULL,Non_Wetland,Bareland
353,Bareland,Cropland,Forest,NULL,Non_Wetland,Grassland
354,Bareland,Cropland,Forest,NULL,Non_Wetland,Cropland
355,Bareland,Bareland,NULL,NULL,Non_Wetland,Bareland
356,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
357,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
358,Bareland,Bareland,Shrubland,Water,Non_Wetland,Bareland
359,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL
360,Bareland,Bareland,Grassland,NULL,Non_Wetland,Grassland
361,Bareland,Bareland,Grassland,NULL,Non_Wetland,Cropland
362,Bareland,Bareland,Grassland,NULL,Non_Wetland,Bareland
363,Bareland,Bareland,Grassland,NULL,Non_Wetland,Built-up
364,Bareland,Bareland,Grassland,NULL,Non_Wetland,Water
365,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,Cropland
366,Bareland,Bareland,Grassland,Water,Non_Wetland,Cropland
367,Bareland,Bareland,Grassland,Water,Non_Wetland,Bareland
368,Bareland,Bareland,Cropland,NULL,Non_Wetland,Grassland
369,Bareland,Bareland,Cropland,NULL,Non_Wetland,Cropland
370,Bareland,Bareland,Cropland,NULL,Non_Wetland,Bareland
371,Bareland,Bareland,Cropland,NULL,Non_Wetland,Water
372,Bareland,Bareland,Cropland,Water,Non_Wetland,Cropland
373,Bareland,Bareland,Cropland,Water,Non_Wetland,Bareland
374,Bareland,Bareland,Cropland,Water,Non_Wetland,Water
375,Bareland,Bareland,Wetland,NULL,Wetland,Bareland
376,Bareland,Bareland,Wetland,Water,Wetland,Bareland
377,Bareland,Bareland,Wetland,Water,Wetland,Water
378,Bareland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
379,Bareland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
380,Bareland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
381,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL
382,Bareland,Bareland,Bareland,NULL,Non_Wetland,Grassland
383,Bareland,Bareland,Bareland,NULL,Non_Wetland,Cropland
384,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland
385,Bareland,Bareland,Bareland,NULL,Non_Wetland,Built-up
386,Bareland,Bareland,Bareland,Water,Non_Wetland,Cropland
387,Bareland,Bareland,Bareland,Water,Non_Wetland,Bareland
388,Bareland,Bareland,Bareland,Water,Non_Wetland,Water
389,Bareland,Bareland,Built-up,NULL,Non_Wetland,Grassland
390,Bareland,Bareland,Built-up,NULL,Non_Wetland,Cropland
391,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland
392,Bareland,Bareland,Built-up,Water,Non_Wetland,Bareland
393,Bareland,Built-up,NULL,NULL,Non_Wetland,Grassland
394,Bareland,Built-up,NULL,NULL,Non_Wetland,Bareland
395,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
396,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Cropland
397,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Bareland
398,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Built-up
399,Bareland,Built-up,Grassland,NULL,Non_Wetland,NULL
400,Bareland,Built-up,Grassland,NULL,Non_Wetland,Grassland
401,Bareland,Built-up,Grassland,NULL,Non_Wetland,Cropland
402,Bareland,Built-up,Grassland,NULL,Non_Wetland,Bareland
403,Bareland,Built-up,Grassland,NULL,Non_Wetland,Built-up
404,Bareland,Built-up,Grassland,Water,Non_Wetland,Bareland
405,Bareland,Built-up,Cropland,NULL,Non_Wetland,Cropland
406,Bareland,Built-up,Cropland,NULL,Non_Wetland,Bareland
407,Bareland,Built-up,Cropland,Water,Non_Wetland,Bareland
408,Bareland,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
