Value,AFRICA_2024_DynamicWorld_2024_37QEU_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37QEU_M_R,AFRICA_2024_GLC_FCS30D_2022_37QEU_M_R,AFRICA_2024_GSW_Yearly_2021_37QEU_M_R,AFRICA_2024_GWL_FCS30D_2022_37QEU_M_R,AFRICA_2024_WorldCover_2021_37QEU_M_R
124,NULL,Wetland,Wetland,NULL,Wetland,Cropland
125,NULL,Wetland,Wetland,NULL,Wetland,Wetland
126,NULL,Wetland,Wetland,NULL,Wetland,Bareland
127,NULL,Wetland,Wetland,NULL,Wetland,Water
128,NULL,Wetland,Wetland,NULL,Wetland,Forest
129,NULL,Wetland,Wetland,Non_Water,Wetland,NULL
130,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
131,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
132,NULL,Wetland,Wetland,Non_Water,Wetland,Bareland
133,NULL,Wetland,Wetland,Non_Water,Wetland,Water
134,NULL,Wetland,Wetland,Non_Water,Wetland,Forest
135,NULL,Wetland,Wetland,Water,Wetland,Wetland
136,NULL,Wetland,Wetland,Water,Wetland,Bareland
137,NULL,Wetland,Wetland,Water,Wetland,Water
138,NULL,Wetland,Wetland,Water,Wetland,Forest
139,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL
140,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
141,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland
142,NULL,Wetland,Bareland,NULL,Non_Wetland,Water
143,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland
144,NULL,Wetland,Bareland,Water,Non_Wetland,Bareland
145,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL
146,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland
147,NULL,Bareland,NULL,NULL,Non_Wetland,Grassland
148,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland
149,NULL,Bareland,NULL,NULL,Non_Wetland,Water
150,NULL,Bareland,NULL,Non_Water,Non_Wetland,Bareland
151,NULL,Bareland,NULL,Water,Non_Wetland,Bareland
152,NULL,Bareland,NULL,Water,Non_Wetland,Water
153,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
154,NULL,Bareland,Shrubland,NULL,Non_Wetland,Wetland
155,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
156,NULL,Bareland,Shrubland,NULL,Non_Wetland,Water
157,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
158,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
159,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
160,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
161,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
162,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
163,NULL,Bareland,Grassland,NULL,Non_Wetland,Wetland
164,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
165,NULL,Bareland,Grassland,NULL,Non_Wetland,Water
166,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Grassland
167,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
168,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Water
169,NULL,Bareland,Grassland,Water,Non_Wetland,NULL
170,NULL,Bareland,Grassland,Water,Non_Wetland,Grassland
171,NULL,Bareland,Grassland,Water,Non_Wetland,Wetland
172,NULL,Bareland,Grassland,Water,Non_Wetland,Bareland
173,NULL,Bareland,Grassland,Water,Non_Wetland,Water
174,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
175,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
176,NULL,Bareland,Cropland,NULL,Non_Wetland,Wetland
177,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
178,NULL,Bareland,Cropland,NULL,Non_Wetland,Water
179,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Bareland
180,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Water
181,NULL,Bareland,Cropland,Water,Non_Wetland,Bareland
182,NULL,Bareland,Cropland,Water,Non_Wetland,Water
183,NULL,Bareland,Wetland,NULL,NULL,NULL
184,NULL,Bareland,Wetland,NULL,NULL,Wetland
185,NULL,Bareland,Wetland,NULL,NULL,Bareland
186,NULL,Bareland,Wetland,NULL,NULL,Water
187,NULL,Bareland,Wetland,NULL,Wetland,NULL
188,NULL,Bareland,Wetland,NULL,Wetland,Grassland
189,NULL,Bareland,Wetland,NULL,Wetland,Cropland
190,NULL,Bareland,Wetland,NULL,Wetland,Wetland
191,NULL,Bareland,Wetland,NULL,Wetland,Bareland
192,NULL,Bareland,Wetland,NULL,Wetland,Water
193,NULL,Bareland,Wetland,NULL,Wetland,Forest
194,NULL,Bareland,Wetland,Non_Water,NULL,Bareland
195,NULL,Bareland,Wetland,Non_Water,Wetland,NULL
196,NULL,Bareland,Wetland,Non_Water,Wetland,Grassland
197,NULL,Bareland,Wetland,Non_Water,Wetland,Wetland
198,NULL,Bareland,Wetland,Non_Water,Wetland,Bareland
199,NULL,Bareland,Wetland,Non_Water,Wetland,Water
200,NULL,Bareland,Wetland,Non_Water,Wetland,Forest
201,NULL,Bareland,Wetland,Water,NULL,Grassland
202,NULL,Bareland,Wetland,Water,NULL,Wetland
203,NULL,Bareland,Wetland,Water,NULL,Bareland
204,NULL,Bareland,Wetland,Water,NULL,Water
205,NULL,Bareland,Wetland,Water,Wetland,NULL
206,NULL,Bareland,Wetland,Water,Wetland,Grassland
207,NULL,Bareland,Wetland,Water,Wetland,Wetland
208,NULL,Bareland,Wetland,Water,Wetland,Bareland
209,NULL,Bareland,Wetland,Water,Wetland,Water
210,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
211,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
212,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
213,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
214,NULL,Bareland,Bareland,NULL,Non_Wetland,Cropland
215,NULL,Bareland,Bareland,NULL,Non_Wetland,Wetland
216,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
217,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
218,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL
219,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
220,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
221,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Built-up
222,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water
223,NULL,Bareland,Bareland,Water,Non_Wetland,NULL
224,NULL,Bareland,Bareland,Water,Non_Wetland,Grassland
225,NULL,Bareland,Bareland,Water,Non_Wetland,Wetland
226,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
227,NULL,Bareland,Bareland,Water,Non_Wetland,Water
228,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL
229,NULL,Bareland,Built-up,NULL,Non_Wetland,Wetland
230,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
231,NULL,Bareland,Built-up,NULL,Non_Wetland,Water
232,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Grassland
233,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Wetland
234,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
235,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Water
236,NULL,Bareland,Built-up,Water,Non_Wetland,Bareland
237,NULL,Bareland,Built-up,Water,Non_Wetland,Water
238,NULL,Bareland,Water,NULL,NULL,Bareland
239,NULL,Bareland,Water,NULL,NULL,Water
240,NULL,Bareland,Water,NULL,Water,Bareland
241,NULL,Bareland,Water,Non_Water,NULL,Bareland
242,NULL,Bareland,Water,Non_Water,Water,Bareland
243,NULL,Bareland,Water,Water,NULL,Bareland
244,NULL,Bareland,Water,Water,NULL,Water
245,NULL,Bareland,Water,Water,Water,Bareland
246,NULL,Bareland,Water,Water,Water,Water
247,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
248,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
249,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland
250,NULL,Built-up,Wetland,NULL,Wetland,NULL
251,NULL,Built-up,Wetland,NULL,Wetland,Wetland
252,NULL,Built-up,Wetland,NULL,Wetland,Bareland
253,NULL,Built-up,Wetland,Water,Wetland,Wetland
254,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
255,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
256,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
257,NULL,Water,NULL,Water,Non_Wetland,Water
258,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
259,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
260,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
261,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
262,NULL,Water,Shrubland,NULL,Non_Wetland,Water
263,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland
264,NULL,Water,Shrubland,Water,Non_Wetland,Wetland
265,NULL,Water,Shrubland,Water,Non_Wetland,Bareland
266,NULL,Water,Shrubland,Water,Non_Wetland,Water
267,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
268,NULL,Water,Grassland,NULL,Non_Wetland,Wetland
269,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
270,NULL,Water,Grassland,NULL,Non_Wetland,Water
271,NULL,Water,Grassland,Non_Water,Non_Wetland,Bareland
272,NULL,Water,Grassland,Water,Non_Wetland,Bareland
273,NULL,Water,Grassland,Water,Non_Wetland,Water
274,NULL,Water,Cropland,NULL,Non_Wetland,NULL
275,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
276,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
277,NULL,Water,Cropland,NULL,Non_Wetland,Wetland
278,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
279,NULL,Water,Cropland,NULL,Non_Wetland,Water
280,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland
281,NULL,Water,Cropland,Non_Water,Non_Wetland,Water
282,NULL,Water,Cropland,Water,Non_Wetland,Wetland
283,NULL,Water,Cropland,Water,Non_Wetland,Bareland
284,NULL,Water,Cropland,Water,Non_Wetland,Water
285,NULL,Water,Wetland,NULL,NULL,NULL
286,NULL,Water,Wetland,NULL,NULL,Bareland
287,NULL,Water,Wetland,NULL,NULL,Water
288,NULL,Water,Wetland,NULL,NULL,Forest
289,NULL,Water,Wetland,NULL,Wetland,NULL
290,NULL,Water,Wetland,NULL,Wetland,Grassland
291,NULL,Water,Wetland,NULL,Wetland,Cropland
292,NULL,Water,Wetland,NULL,Wetland,Wetland
293,NULL,Water,Wetland,NULL,Wetland,Bareland
294,NULL,Water,Wetland,NULL,Wetland,Water
295,NULL,Water,Wetland,NULL,Wetland,Forest
296,NULL,Water,Wetland,Non_Water,NULL,Bareland
297,NULL,Water,Wetland,Non_Water,NULL,Water
298,NULL,Water,Wetland,Non_Water,Wetland,NULL
299,NULL,Water,Wetland,Non_Water,Wetland,Wetland
300,NULL,Water,Wetland,Non_Water,Wetland,Bareland
301,NULL,Water,Wetland,Non_Water,Wetland,Water
302,NULL,Water,Wetland,Non_Water,Wetland,Forest
303,NULL,Water,Wetland,Water,NULL,Grassland
304,NULL,Water,Wetland,Water,NULL,Bareland
305,NULL,Water,Wetland,Water,NULL,Water
306,NULL,Water,Wetland,Water,Wetland,NULL
307,NULL,Water,Wetland,Water,Wetland,Grassland
308,NULL,Water,Wetland,Water,Wetland,Wetland
309,NULL,Water,Wetland,Water,Wetland,Bareland
310,NULL,Water,Wetland,Water,Wetland,Water
311,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
312,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Water
313,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Water
314,NULL,Water,Bareland,NULL,Non_Wetland,NULL
315,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
316,NULL,Water,Bareland,NULL,Non_Wetland,Wetland
317,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
318,NULL,Water,Bareland,NULL,Non_Wetland,Water
319,NULL,Water,Bareland,Non_Water,Non_Wetland,Wetland
320,NULL,Water,Bareland,Non_Water,Non_Wetland,Bareland
321,NULL,Water,Bareland,Non_Water,Non_Wetland,Water
322,NULL,Water,Bareland,Water,Non_Wetland,NULL
323,NULL,Water,Bareland,Water,Non_Wetland,Grassland
324,NULL,Water,Bareland,Water,Non_Wetland,Wetland
325,NULL,Water,Bareland,Water,Non_Wetland,Bareland
326,NULL,Water,Bareland,Water,Non_Wetland,Water
327,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
328,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
329,NULL,Water,Built-up,NULL,Non_Wetland,Built-up
330,NULL,Water,Built-up,NULL,Non_Wetland,Water
331,NULL,Water,Built-up,Non_Water,Non_Wetland,Bareland
332,NULL,Water,Built-up,Water,Non_Wetland,Grassland
333,NULL,Water,Built-up,Water,Non_Wetland,Bareland
334,NULL,Water,Built-up,Water,Non_Wetland,Water
335,NULL,Water,Water,NULL,NULL,Bareland
336,NULL,Water,Water,NULL,NULL,Water
337,NULL,Water,Water,NULL,Water,Bareland
338,NULL,Water,Water,NULL,Water,Water
339,NULL,Water,Water,Non_Water,NULL,Bareland
340,NULL,Water,Water,Non_Water,NULL,Water
341,NULL,Water,Water,Water,NULL,Bareland
342,NULL,Water,Water,Water,NULL,Water
343,NULL,Water,Water,Water,Water,Bareland
344,NULL,Water,Water,Water,Water,Water
345,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
346,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland
347,NULL,Forest,Wetland,NULL,Wetland,NULL
348,NULL,Forest,Wetland,NULL,Wetland,Cropland
349,NULL,Forest,Wetland,NULL,Wetland,Wetland
350,NULL,Forest,Wetland,NULL,Wetland,Bareland
351,NULL,Forest,Wetland,NULL,Wetland,Water
352,NULL,Forest,Wetland,NULL,Wetland,Forest
353,NULL,Forest,Wetland,Non_Water,Wetland,NULL
354,NULL,Forest,Wetland,Non_Water,Wetland,Wetland
355,NULL,Forest,Wetland,Non_Water,Wetland,Forest
356,NULL,Forest,Wetland,Water,Wetland,Wetland
357,NULL,Forest,Wetland,Water,Wetland,Water
358,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
359,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
360,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
361,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
362,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
363,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
364,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
365,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
366,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
367,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
368,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
369,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL
370,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
371,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
372,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
373,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
374,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland
375,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
376,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
377,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
378,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
379,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
380,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
381,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
382,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL
383,Cropland,Cropland,Bareland,NULL,Non_Wetland,Forest
384,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland
385,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
386,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL
387,Cropland,Forest,Grassland,NULL,Non_Wetland,Cropland
388,Cropland,Forest,Grassland,NULL,Non_Wetland,Forest
389,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL
390,Cropland,Forest,Cropland,NULL,Non_Wetland,Cropland
391,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest
392,Cropland,Forest,Bareland,NULL,Non_Wetland,Cropland
393,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL
394,Wetland,NULL,Grassland,NULL,Non_Wetland,Cropland
395,Wetland,NULL,Grassland,NULL,Non_Wetland,Forest
396,Wetland,NULL,Cropland,NULL,Non_Wetland,Cropland
397,Wetland,NULL,Cropland,NULL,Non_Wetland,Forest
398,Wetland,NULL,Wetland,NULL,Wetland,NULL
399,Wetland,NULL,Wetland,NULL,Wetland,Grassland
400,Wetland,NULL,Wetland,NULL,Wetland,Wetland
401,Wetland,NULL,Wetland,NULL,Wetland,Water
402,Wetland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
403,Wetland,Cropland,Grassland,NULL,Non_Wetland,Forest
404,Wetland,Cropland,Cropland,NULL,Non_Wetland,Forest
405,Wetland,Water,Grassland,NULL,Non_Wetland,Grassland
406,Wetland,Water,Cropland,NULL,Non_Wetland,Water
407,Wetland,Water,Wetland,NULL,NULL,Grassland
408,Wetland,Water,Wetland,NULL,NULL,Forest
409,Wetland,Water,Wetland,NULL,Wetland,NULL
410,Wetland,Water,Wetland,NULL,Wetland,Grassland
411,Wetland,Water,Wetland,NULL,Wetland,Wetland
412,Wetland,Water,Wetland,NULL,Wetland,Bareland
413,Wetland,Water,Wetland,NULL,Wetland,Water
414,Wetland,Water,Wetland,NULL,Wetland,Forest
415,Wetland,Water,Wetland,Non_Water,Wetland,Grassland
416,Wetland,Water,Wetland,Non_Water,Wetland,Water
417,Wetland,Water,Wetland,Non_Water,Wetland,Forest
418,Wetland,Water,Wetland,Water,Wetland,Wetland
419,Wetland,Water,Wetland,Water,Wetland,Water
420,Wetland,Water,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
421,Wetland,Water,Lichens_and_Mosses,NULL,Non_Wetland,Forest
422,Wetland,Forest,NULL,NULL,Non_Wetland,Forest
423,Wetland,Forest,Grassland,NULL,Non_Wetland,Cropland
424,Wetland,Forest,Grassland,NULL,Non_Wetland,Forest
425,Wetland,Forest,Cropland,NULL,Non_Wetland,NULL
426,Wetland,Forest,Cropland,NULL,Non_Wetland,Cropland
427,Wetland,Forest,Cropland,NULL,Non_Wetland,Forest
428,Wetland,Forest,Wetland,NULL,Wetland,NULL
429,Wetland,Forest,Wetland,NULL,Wetland,Grassland
430,Wetland,Forest,Wetland,NULL,Wetland,Wetland
431,Wetland,Forest,Wetland,NULL,Wetland,Forest
432,Bareland,NULL,NULL,NULL,Non_Wetland,NULL
433,Bareland,NULL,NULL,NULL,Non_Wetland,Cropland
434,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland
435,Bareland,NULL,NULL,Non_Water,Non_Wetland,Bareland
436,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
437,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
438,Bareland,NULL,Shrubland,NULL,Non_Wetland,Cropland
439,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
440,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
441,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
