Value,AFRICA_2024_DynamicWorld_2024_37PFR_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PFR_M_R,AFRICA_2024_GLC_FCS30D_2022_37PFR_M_R,AFRICA_2024_GSW_Yearly_2021_37PFR_M_R,AFRICA_2024_GWL_FCS30D_2022_37PFR_M_R,AFRICA_2024_WorldCover_2021_37PFR_M_R
119,Grassland,NULL,Wetland,NULL,Wetland,NULL
120,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
121,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
122,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL
123,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
124,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland
125,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland
126,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
127,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
128,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
129,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
130,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
131,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
132,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
133,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
134,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
135,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
136,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
137,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
138,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland
139,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
140,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
141,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
142,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
143,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
144,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland
145,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
146,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
147,Cropland,NULL,Wetland,NULL,Wetland,NULL
148,Cropland,NULL,Wetland,NULL,Wetland,Cropland
149,Cropland,NULL,Wetland,NULL,Wetland,Wetland
150,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
151,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
152,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
153,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
154,Cropland,NULL,Bareland,NULL,Non_Wetland,Wetland
155,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
156,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
157,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
158,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
159,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
160,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
161,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
162,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
163,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
164,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
165,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland
166,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
167,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
168,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
169,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
170,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
171,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
172,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
173,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
174,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
175,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
176,Cropland,Cropland,Grassland,NULL,Non_Wetland,Wetland
177,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
178,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
179,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
180,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
181,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
182,Cropland,Cropland,Cropland,NULL,Non_Wetland,Wetland
183,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland
184,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
185,Cropland,Cropland,Wetland,NULL,Wetland,Wetland
186,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
187,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL
188,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
189,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
190,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL
191,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland
192,Cropland,Cropland,Forest,NULL,Non_Wetland,Wetland
193,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
194,Cropland,Wetland,Grassland,NULL,Non_Wetland,Cropland
195,Cropland,Wetland,Grassland,NULL,Non_Wetland,Wetland
196,Cropland,Wetland,Wetland,NULL,Wetland,Wetland
197,Cropland,Bareland,NULL,NULL,Non_Wetland,Grassland
198,Cropland,Bareland,NULL,NULL,Non_Wetland,Cropland
199,Cropland,Bareland,NULL,NULL,Non_Wetland,Bareland
200,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Cropland
201,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
202,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL
203,Cropland,Bareland,Grassland,NULL,Non_Wetland,Bareland
204,Cropland,Bareland,Cropland,NULL,Non_Wetland,Grassland
205,Cropland,Bareland,Cropland,NULL,Non_Wetland,Cropland
206,Cropland,Bareland,Cropland,NULL,Non_Wetland,Bareland
207,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL
208,Cropland,Bareland,Bareland,NULL,Non_Wetland,Grassland
209,Cropland,Bareland,Bareland,NULL,Non_Wetland,Bareland
210,Cropland,Bareland,Built-up,NULL,Non_Wetland,Bareland
211,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL
212,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL
213,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
214,Cropland,Built-up,Grassland,NULL,Non_Wetland,Bareland
215,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL
216,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
217,Cropland,Built-up,Cropland,NULL,Non_Wetland,Bareland
218,Cropland,Built-up,Cropland,NULL,Non_Wetland,Built-up
219,Cropland,Built-up,Cropland,NULL,Non_Wetland,Forest
220,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL
221,Cropland,Built-up,Bareland,NULL,Non_Wetland,Grassland
222,Cropland,Built-up,Bareland,NULL,Non_Wetland,Bareland
223,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL
224,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland
225,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
226,Cropland,Forest,Shrubland,NULL,Non_Wetland,Wetland
227,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL
228,Cropland,Forest,Grassland,NULL,Non_Wetland,Cropland
229,Cropland,Forest,Grassland,NULL,Non_Wetland,Wetland
230,Cropland,Forest,Grassland,NULL,Non_Wetland,Forest
231,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL
232,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland
233,Cropland,Forest,Cropland,NULL,Non_Wetland,Cropland
234,Cropland,Forest,Cropland,NULL,Non_Wetland,Wetland
235,Cropland,Forest,Cropland,NULL,Non_Wetland,Bareland
236,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest
237,Cropland,Forest,Bareland,NULL,Non_Wetland,Cropland
238,Cropland,Forest,Built-up,NULL,Non_Wetland,Forest
239,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL
240,Wetland,NULL,Shrubland,NULL,Non_Wetland,Cropland
241,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland
242,Wetland,NULL,Shrubland,NULL,Non_Wetland,Bareland
243,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL
244,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland
245,Wetland,NULL,Grassland,NULL,Non_Wetland,Cropland
246,Wetland,NULL,Grassland,NULL,Non_Wetland,Wetland
247,Wetland,NULL,Grassland,NULL,Non_Wetland,Bareland
248,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL
249,Wetland,NULL,Cropland,NULL,Non_Wetland,Cropland
250,Wetland,NULL,Cropland,NULL,Non_Wetland,Wetland
251,Wetland,NULL,Cropland,NULL,Non_Wetland,Bareland
252,Wetland,NULL,Wetland,NULL,Wetland,NULL
253,Wetland,NULL,Wetland,NULL,Wetland,Cropland
254,Wetland,NULL,Wetland,NULL,Wetland,Wetland
255,Wetland,NULL,Wetland,NULL,Wetland,Bareland
256,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland
257,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL
258,Wetland,NULL,Bareland,NULL,Non_Wetland,Cropland
259,Wetland,NULL,Bareland,NULL,Non_Wetland,Wetland
260,Wetland,NULL,Bareland,NULL,Non_Wetland,Bareland
261,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
262,Wetland,NULL,Bareland,Water,Non_Wetland,NULL
263,Wetland,NULL,Bareland,Water,Non_Wetland,Bareland
264,Wetland,NULL,Built-up,NULL,Non_Wetland,NULL
265,Wetland,NULL,Built-up,NULL,Non_Wetland,Cropland
266,Wetland,NULL,Built-up,NULL,Non_Wetland,Wetland
267,Wetland,NULL,Built-up,NULL,Non_Wetland,Bareland
268,Wetland,NULL,Water,NULL,Water,Bareland
269,Wetland,Cropland,Grassland,NULL,Non_Wetland,NULL
270,Wetland,Cropland,Grassland,NULL,Non_Wetland,Cropland
271,Wetland,Cropland,Grassland,NULL,Non_Wetland,Wetland
272,Wetland,Cropland,Grassland,NULL,Non_Wetland,Bareland
273,Wetland,Cropland,Cropland,NULL,Non_Wetland,Cropland
274,Wetland,Cropland,Cropland,NULL,Non_Wetland,Bareland
275,Wetland,Cropland,Wetland,NULL,Wetland,NULL
276,Wetland,Cropland,Wetland,NULL,Wetland,Cropland
277,Wetland,Cropland,Wetland,NULL,Wetland,Wetland
278,Wetland,Cropland,Bareland,NULL,Non_Wetland,NULL
279,Wetland,Cropland,Bareland,NULL,Non_Wetland,Wetland
280,Wetland,Cropland,Bareland,NULL,Non_Wetland,Bareland
281,Wetland,Cropland,Built-up,NULL,Non_Wetland,NULL
282,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL
283,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
284,Wetland,Wetland,Grassland,NULL,Non_Wetland,NULL
285,Wetland,Wetland,Grassland,NULL,Non_Wetland,Cropland
286,Wetland,Wetland,Grassland,NULL,Non_Wetland,Wetland
287,Wetland,Wetland,Grassland,NULL,Non_Wetland,Bareland
288,Wetland,Wetland,Cropland,NULL,Non_Wetland,NULL
289,Wetland,Wetland,Cropland,NULL,Non_Wetland,Cropland
290,Wetland,Wetland,Cropland,NULL,Non_Wetland,Wetland
291,Wetland,Wetland,Wetland,NULL,Wetland,NULL
292,Wetland,Wetland,Wetland,NULL,Wetland,Cropland
293,Wetland,Wetland,Wetland,NULL,Wetland,Wetland
294,Wetland,Wetland,Wetland,NULL,Wetland,Bareland
295,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL
296,Wetland,Wetland,Bareland,NULL,Non_Wetland,NULL
297,Wetland,Wetland,Bareland,NULL,Non_Wetland,Cropland
298,Wetland,Wetland,Bareland,NULL,Non_Wetland,Wetland
299,Wetland,Wetland,Bareland,NULL,Non_Wetland,Bareland
300,Wetland,Wetland,Bareland,NULL,Non_Wetland,Water
301,Wetland,Wetland,Bareland,Non_Water,Non_Wetland,NULL
302,Wetland,Wetland,Bareland,Water,Non_Wetland,NULL
303,Wetland,Wetland,Built-up,NULL,Non_Wetland,Bareland
304,Wetland,Wetland,Water,NULL,Water,Wetland
305,Wetland,Wetland,Water,Water,Water,Bareland
306,Wetland,Bareland,Grassland,NULL,Non_Wetland,Bareland
307,Wetland,Bareland,Bareland,NULL,Non_Wetland,Bareland
308,Wetland,Bareland,Bareland,Water,Non_Wetland,Bareland
309,Wetland,Bareland,Built-up,NULL,Non_Wetland,Bareland
310,Wetland,Bareland,Water,NULL,Water,Bareland
311,Wetland,Water,Shrubland,NULL,Non_Wetland,Wetland
312,Wetland,Water,Grassland,NULL,Non_Wetland,NULL
313,Wetland,Water,Grassland,NULL,Non_Wetland,Cropland
314,Wetland,Water,Grassland,NULL,Non_Wetland,Wetland
315,Wetland,Water,Wetland,NULL,Wetland,NULL
316,Wetland,Water,Wetland,NULL,Wetland,Cropland
317,Wetland,Water,Wetland,NULL,Wetland,Wetland
318,Wetland,Water,Wetland,Non_Water,Wetland,Wetland
319,Wetland,Water,Wetland,Water,Wetland,Wetland
320,Wetland,Water,Bareland,NULL,Non_Wetland,NULL
321,Wetland,Water,Bareland,NULL,Non_Wetland,Cropland
322,Wetland,Water,Bareland,NULL,Non_Wetland,Wetland
323,Wetland,Water,Bareland,NULL,Non_Wetland,Bareland
324,Wetland,Water,Bareland,NULL,Non_Wetland,Water
325,Wetland,Water,Bareland,Water,Non_Wetland,NULL
326,Wetland,Water,Bareland,Water,Non_Wetland,Bareland
327,Wetland,Water,Built-up,NULL,Non_Wetland,NULL
328,Wetland,Water,Water,NULL,Water,Wetland
329,Wetland,Water,Water,NULL,Water,Bareland
330,Wetland,Forest,Grassland,NULL,Non_Wetland,Wetland
331,Wetland,Forest,Cropland,NULL,Non_Wetland,Wetland
332,Wetland,Forest,Wetland,NULL,Wetland,NULL
333,Wetland,Forest,Wetland,NULL,Wetland,Wetland
334,Wetland,Forest,Bareland,NULL,Non_Wetland,NULL
335,Wetland,Forest,Bareland,NULL,Non_Wetland,Wetland
336,Bareland,NULL,NULL,NULL,Non_Wetland,NULL
337,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
338,Bareland,NULL,NULL,NULL,Non_Wetland,Cropland
339,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland
340,Bareland,NULL,NULL,NULL,Non_Wetland,Built-up
341,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
342,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
343,Bareland,NULL,Shrubland,NULL,Non_Wetland,Cropland
344,Bareland,NULL,Shrubland,NULL,Non_Wetland,Wetland
345,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
346,Bareland,NULL,Shrubland,NULL,Non_Wetland,Forest
347,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
348,Bareland,NULL,Shrubland,Water,Non_Wetland,Bareland
349,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
350,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
351,Bareland,NULL,Grassland,NULL,Non_Wetland,Cropland
352,Bareland,NULL,Grassland,NULL,Non_Wetland,Wetland
353,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
354,Bareland,NULL,Grassland,NULL,Non_Wetland,Built-up
355,Bareland,NULL,Grassland,NULL,Non_Wetland,Water
356,Bareland,NULL,Grassland,NULL,Non_Wetland,Forest
357,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
358,Bareland,NULL,Grassland,Water,Non_Wetland,Bareland
359,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL
360,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
361,Bareland,NULL,Cropland,NULL,Non_Wetland,Cropland
362,Bareland,NULL,Cropland,NULL,Non_Wetland,Wetland
363,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland
364,Bareland,NULL,Cropland,NULL,Non_Wetland,Forest
365,Bareland,NULL,Wetland,NULL,Wetland,Cropland
366,Bareland,NULL,Wetland,NULL,Wetland,Wetland
367,Bareland,NULL,Wetland,NULL,Wetland,Bareland
368,Bareland,NULL,Wetland,NULL,Wetland,Water
369,Bareland,NULL,Wetland,Non_Water,Wetland,Bareland
370,Bareland,NULL,Wetland,Water,Wetland,Cropland
371,Bareland,NULL,Wetland,Water,Wetland,Wetland
372,Bareland,NULL,Wetland,Water,Wetland,Bareland
373,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
374,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
375,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
376,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
377,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL
378,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
379,Bareland,NULL,Bareland,NULL,Non_Wetland,Cropland
380,Bareland,NULL,Bareland,NULL,Non_Wetland,Wetland
381,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
382,Bareland,NULL,Bareland,NULL,Non_Wetland,Built-up
383,Bareland,NULL,Bareland,NULL,Non_Wetland,Water
384,Bareland,NULL,Bareland,NULL,Non_Wetland,Forest
385,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
386,Bareland,NULL,Bareland,Water,Non_Wetland,NULL
387,Bareland,NULL,Bareland,Water,Non_Wetland,Grassland
388,Bareland,NULL,Bareland,Water,Non_Wetland,Bareland
389,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL
390,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland
391,Bareland,NULL,Built-up,NULL,Non_Wetland,Cropland
392,Bareland,NULL,Built-up,NULL,Non_Wetland,Wetland
393,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland
394,Bareland,NULL,Built-up,NULL,Non_Wetland,Built-up
395,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Bareland
396,Bareland,NULL,Built-up,Water,Non_Wetland,Bareland
397,Bareland,NULL,Water,NULL,Water,Bareland
398,Bareland,NULL,Water,Non_Water,Water,Bareland
399,Bareland,NULL,Water,Water,Water,Bareland
400,Bareland,Cropland,NULL,NULL,Non_Wetland,Grassland
401,Bareland,Cropland,NULL,NULL,Non_Wetland,Bareland
402,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL
403,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
404,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
405,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL
406,Bareland,Cropland,Grassland,NULL,Non_Wetland,Grassland
407,Bareland,Cropland,Grassland,NULL,Non_Wetland,Cropland
408,Bareland,Cropland,Grassland,NULL,Non_Wetland,Bareland
409,Bareland,Cropland,Cropland,NULL,Non_Wetland,NULL
410,Bareland,Cropland,Cropland,NULL,Non_Wetland,Grassland
411,Bareland,Cropland,Cropland,NULL,Non_Wetland,Cropland
412,Bareland,Cropland,Cropland,NULL,Non_Wetland,Bareland
413,Bareland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
414,Bareland,Cropland,Bareland,NULL,Non_Wetland,NULL
415,Bareland,Cropland,Bareland,NULL,Non_Wetland,Grassland
416,Bareland,Cropland,Bareland,NULL,Non_Wetland,Cropland
417,Bareland,Cropland,Bareland,NULL,Non_Wetland,Bareland
418,Bareland,Cropland,Built-up,NULL,Non_Wetland,NULL
