Value,AFRICA_2024_DynamicWorld_2024_38NLM_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38NLM_M_R,AFRICA_2024_GLC_FCS30D_2022_38NLM_M_R,AFRICA_2024_GSW_Yearly_2021_38NLM_M_R,AFRICA_2024_GWL_FCS30D_2022_38NLM_M_R,AFRICA_2024_WorldCover_2021_38NLM_M_R
124,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
125,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
126,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
127,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
128,NULL,Cropland,NULL,Non_Water,Non_Wetland,Forest
129,NULL,Cropland,NULL,Water,Non_Wetland,Forest
130,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
131,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
132,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
133,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
134,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
135,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
136,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
137,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
138,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
139,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
140,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland
141,NULL,Cropland,Shrubland,Water,Non_Wetland,Bareland
142,NULL,Cropland,Shrubland,Water,Non_Wetland,Forest
143,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
144,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
145,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
146,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
147,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
148,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
149,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
150,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
151,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
152,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Wetland
153,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Bareland
154,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Forest
155,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland
156,NULL,Cropland,Grassland,Water,Non_Wetland,Cropland
157,NULL,Cropland,Grassland,Water,Non_Wetland,Wetland
158,NULL,Cropland,Grassland,Water,Non_Wetland,Bareland
159,NULL,Cropland,Grassland,Water,Non_Wetland,Forest
160,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
161,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
162,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
163,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
164,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
165,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
166,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
167,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
168,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Wetland
169,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Bareland
170,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Forest
171,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
172,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
173,NULL,Cropland,Cropland,Water,Non_Wetland,Wetland
174,NULL,Cropland,Cropland,Water,Non_Wetland,Bareland
175,NULL,Cropland,Cropland,Water,Non_Wetland,Forest
176,NULL,Cropland,Wetland,NULL,Wetland,NULL
177,NULL,Cropland,Wetland,NULL,Wetland,Grassland
178,NULL,Cropland,Wetland,NULL,Wetland,Wetland
179,NULL,Cropland,Wetland,NULL,Wetland,Bareland
180,NULL,Cropland,Wetland,NULL,Wetland,Forest
181,NULL,Cropland,Wetland,Non_Water,Wetland,Cropland
182,NULL,Cropland,Wetland,Non_Water,Wetland,Wetland
183,NULL,Cropland,Wetland,Non_Water,Wetland,Bareland
184,NULL,Cropland,Wetland,Non_Water,Wetland,Forest
185,NULL,Cropland,Wetland,Water,Wetland,Grassland
186,NULL,Cropland,Wetland,Water,Wetland,Cropland
187,NULL,Cropland,Wetland,Water,Wetland,Wetland
188,NULL,Cropland,Wetland,Water,Wetland,Bareland
189,NULL,Cropland,Wetland,Water,Wetland,Water
190,NULL,Cropland,Wetland,Water,Wetland,Forest
191,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
192,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
193,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
194,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
195,NULL,Cropland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
196,NULL,Cropland,Lichens_and_Mosses,Non_Water,Non_Wetland,Cropland
197,NULL,Cropland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
198,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
199,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
200,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
201,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
202,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
203,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
204,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
205,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
206,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Forest
207,NULL,Cropland,Bareland,Water,Non_Wetland,Grassland
208,NULL,Cropland,Bareland,Water,Non_Wetland,Cropland
209,NULL,Cropland,Bareland,Water,Non_Wetland,Wetland
210,NULL,Cropland,Bareland,Water,Non_Wetland,Bareland
211,NULL,Cropland,Bareland,Water,Non_Wetland,Forest
212,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
213,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
214,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
215,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
216,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
217,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
218,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Forest
219,NULL,Cropland,Built-up,Water,Non_Wetland,Grassland
220,NULL,Cropland,Built-up,Water,Non_Wetland,Cropland
221,NULL,Cropland,Water,NULL,Water,Grassland
222,NULL,Cropland,Water,NULL,Water,Cropland
223,NULL,Cropland,Water,NULL,Water,Wetland
224,NULL,Cropland,Water,NULL,Water,Bareland
225,NULL,Cropland,Water,NULL,Water,Forest
226,NULL,Cropland,Water,Non_Water,Water,Grassland
227,NULL,Cropland,Water,Non_Water,Water,Cropland
228,NULL,Cropland,Water,Non_Water,Water,Wetland
229,NULL,Cropland,Water,Non_Water,Water,Bareland
230,NULL,Cropland,Water,Non_Water,Water,Forest
231,NULL,Cropland,Water,Water,Water,Grassland
232,NULL,Cropland,Water,Water,Water,Cropland
233,NULL,Cropland,Water,Water,Water,Wetland
234,NULL,Cropland,Water,Water,Water,Bareland
235,NULL,Cropland,Water,Water,Water,Forest
236,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
237,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
238,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
239,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
240,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
241,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
242,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
243,NULL,Cropland,Forest,Non_Water,Non_Wetland,Cropland
244,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
245,NULL,Cropland,Forest,Water,Non_Wetland,Bareland
246,NULL,Cropland,Forest,Water,Non_Wetland,Forest
247,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
248,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
249,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
250,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
251,NULL,Wetland,Shrubland,Water,Non_Wetland,Cropland
252,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
253,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL
254,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
255,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
256,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL
257,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
258,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Bareland
259,NULL,Wetland,Grassland,Water,Non_Wetland,Cropland
260,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland
261,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL
262,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
263,NULL,Wetland,Cropland,NULL,Non_Wetland,Cropland
264,NULL,Wetland,Cropland,NULL,Non_Wetland,Wetland
265,NULL,Wetland,Cropland,NULL,Non_Wetland,Forest
266,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL
267,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
268,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Cropland
269,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
270,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Bareland
271,NULL,Wetland,Cropland,Water,Non_Wetland,Cropland
272,NULL,Wetland,Cropland,Water,Non_Wetland,Wetland
273,NULL,Wetland,Wetland,NULL,Wetland,Wetland
274,NULL,Wetland,Wetland,Water,Wetland,Wetland
275,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL
276,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland
277,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
278,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
279,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
280,NULL,Bareland,Shrubland,NULL,Non_Wetland,Built-up
281,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Grassland
282,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
283,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
284,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
285,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
286,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
287,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
288,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Grassland
289,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Cropland
290,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Wetland
291,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
292,NULL,Bareland,Grassland,Water,Non_Wetland,Cropland
293,NULL,Bareland,Grassland,Water,Non_Wetland,Bareland
294,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
295,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
296,NULL,Bareland,Cropland,NULL,Non_Wetland,Wetland
297,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
298,NULL,Bareland,Cropland,NULL,Non_Wetland,Forest
299,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Bareland
300,NULL,Bareland,Cropland,Water,Non_Wetland,Grassland
301,NULL,Bareland,Cropland,Water,Non_Wetland,Wetland
302,NULL,Bareland,Cropland,Water,Non_Wetland,Bareland
303,NULL,Bareland,Wetland,Water,Wetland,Bareland
304,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
305,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
306,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
307,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
308,NULL,Bareland,Bareland,Water,Non_Wetland,Cropland
309,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
310,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL
311,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
312,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
313,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
314,NULL,Bareland,Water,NULL,Water,Bareland
315,NULL,Bareland,Water,Non_Water,Water,Cropland
316,NULL,Bareland,Water,Non_Water,Water,Bareland
317,NULL,Bareland,Water,Non_Water,Water,Forest
318,NULL,Bareland,Water,Water,Water,Cropland
319,NULL,Bareland,Water,Water,Water,Wetland
320,NULL,Bareland,Water,Water,Water,Bareland
321,NULL,Bareland,Water,Water,Water,Forest
322,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
323,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
324,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
325,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
326,NULL,Built-up,NULL,Non_Water,Non_Wetland,Forest
327,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
328,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
329,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
330,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
331,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
332,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
333,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
334,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
335,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
336,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
337,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
338,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
339,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
340,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
341,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
342,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
343,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
344,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
345,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
346,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
347,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
348,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
349,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
350,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
351,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
352,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
353,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
354,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
355,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
356,NULL,Built-up,Water,NULL,Water,Forest
357,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
358,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
359,NULL,Water,NULL,NULL,Non_Wetland,Grassland
360,NULL,Water,NULL,NULL,Non_Wetland,Cropland
361,NULL,Water,NULL,NULL,Non_Wetland,Wetland
362,NULL,Water,NULL,NULL,Non_Wetland,Forest
363,NULL,Water,NULL,Non_Water,Non_Wetland,Grassland
364,NULL,Water,NULL,Non_Water,Non_Wetland,Cropland
365,NULL,Water,NULL,Non_Water,Non_Wetland,Forest
366,NULL,Water,NULL,Water,Non_Wetland,Forest
367,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
368,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
369,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
370,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
371,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
372,NULL,Water,Shrubland,Non_Water,Non_Wetland,Wetland
373,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland
374,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
375,NULL,Water,Shrubland,Water,Non_Wetland,Cropland
376,NULL,Water,Shrubland,Water,Non_Wetland,Wetland
377,NULL,Water,Shrubland,Water,Non_Wetland,Bareland
378,NULL,Water,Shrubland,Water,Non_Wetland,Forest
379,NULL,Water,Grassland,NULL,Non_Wetland,NULL
380,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
381,NULL,Water,Grassland,NULL,Non_Wetland,Cropland
382,NULL,Water,Grassland,NULL,Non_Wetland,Wetland
383,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
384,NULL,Water,Grassland,NULL,Non_Wetland,Forest
385,NULL,Water,Grassland,Non_Water,Non_Wetland,Grassland
386,NULL,Water,Grassland,Non_Water,Non_Wetland,Cropland
387,NULL,Water,Grassland,Non_Water,Non_Wetland,Wetland
388,NULL,Water,Grassland,Non_Water,Non_Wetland,Bareland
389,NULL,Water,Grassland,Non_Water,Non_Wetland,Forest
390,NULL,Water,Grassland,Water,Non_Wetland,Grassland
391,NULL,Water,Grassland,Water,Non_Wetland,Cropland
392,NULL,Water,Grassland,Water,Non_Wetland,Wetland
393,NULL,Water,Grassland,Water,Non_Wetland,Bareland
394,NULL,Water,Grassland,Water,Non_Wetland,Forest
395,NULL,Water,Cropland,NULL,Non_Wetland,NULL
396,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
397,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
398,NULL,Water,Cropland,NULL,Non_Wetland,Wetland
399,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
400,NULL,Water,Cropland,NULL,Non_Wetland,Forest
401,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland
402,NULL,Water,Cropland,Non_Water,Non_Wetland,Cropland
403,NULL,Water,Cropland,Non_Water,Non_Wetland,Wetland
404,NULL,Water,Cropland,Non_Water,Non_Wetland,Bareland
405,NULL,Water,Cropland,Non_Water,Non_Wetland,Forest
406,NULL,Water,Cropland,Water,Non_Wetland,Grassland
407,NULL,Water,Cropland,Water,Non_Wetland,Cropland
408,NULL,Water,Cropland,Water,Non_Wetland,Wetland
409,NULL,Water,Cropland,Water,Non_Wetland,Bareland
410,NULL,Water,Cropland,Water,Non_Wetland,Forest
411,NULL,Water,Wetland,NULL,Wetland,Grassland
412,NULL,Water,Wetland,NULL,Wetland,Cropland
413,NULL,Water,Wetland,NULL,Wetland,Wetland
414,NULL,Water,Wetland,NULL,Wetland,Bareland
415,NULL,Water,Wetland,NULL,Wetland,Forest
416,NULL,Water,Wetland,Non_Water,Wetland,Grassland
417,NULL,Water,Wetland,Non_Water,Wetland,Cropland
418,NULL,Water,Wetland,Non_Water,Wetland,Wetland
419,NULL,Water,Wetland,Non_Water,Wetland,Bareland
420,NULL,Water,Wetland,Non_Water,Wetland,Forest
421,NULL,Water,Wetland,Water,Wetland,Grassland
422,NULL,Water,Wetland,Water,Wetland,Cropland
423,NULL,Water,Wetland,Water,Wetland,Wetland
424,NULL,Water,Wetland,Water,Wetland,Bareland
425,NULL,Water,Wetland,Water,Wetland,Forest
426,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
427,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
428,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Forest
429,NULL,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
