Value,AFRICA_2024_DynamicWorld_2024_36PXA_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PXA_M_R,AFRICA_2024_GLC_FCS30D_2022_36PXA_M_R,AFRICA_2024_GSW_Yearly_2021_36PXA_M_R,AFRICA_2024_GWL_FCS30D_2022_36PXA_M_R,AFRICA_2024_WorldCover_2021_36PXA_M_R
123,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
124,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
125,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
126,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL
127,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland
128,NULL,Cropland,NULL,Non_Water,Non_Wetland,Cropland
129,NULL,Cropland,NULL,Non_Water,Non_Wetland,Forest
130,NULL,Cropland,NULL,Water,Non_Wetland,Cropland
131,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
132,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
133,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
134,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
135,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
136,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
137,NULL,Cropland,Shrubland,NULL,Non_Wetland,Water
138,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
139,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
140,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
141,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
142,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
143,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
144,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
145,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland
146,NULL,Cropland,Shrubland,Water,Non_Wetland,Wetland
147,NULL,Cropland,Shrubland,Water,Non_Wetland,Forest
148,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
149,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
150,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
151,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
152,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
153,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
154,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
155,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
156,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Forest
157,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland
158,NULL,Cropland,Grassland,Water,Non_Wetland,Cropland
159,NULL,Cropland,Grassland,Water,Non_Wetland,Bareland
160,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
161,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
162,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
163,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
164,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
165,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
166,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
167,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL
168,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
169,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
170,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Wetland
171,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Bareland
172,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Water
173,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Forest
174,NULL,Cropland,Cropland,Water,Non_Wetland,NULL
175,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
176,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
177,NULL,Cropland,Cropland,Water,Non_Wetland,Wetland
178,NULL,Cropland,Cropland,Water,Non_Wetland,Bareland
179,NULL,Cropland,Cropland,Water,Non_Wetland,Water
180,NULL,Cropland,Cropland,Water,Non_Wetland,Forest
181,NULL,Cropland,Wetland,NULL,Wetland,NULL
182,NULL,Cropland,Wetland,NULL,Wetland,Grassland
183,NULL,Cropland,Wetland,NULL,Wetland,Cropland
184,NULL,Cropland,Wetland,NULL,Wetland,Wetland
185,NULL,Cropland,Wetland,NULL,Wetland,Forest
186,NULL,Cropland,Wetland,Non_Water,Wetland,NULL
187,NULL,Cropland,Wetland,Non_Water,Wetland,Grassland
188,NULL,Cropland,Wetland,Non_Water,Wetland,Wetland
189,NULL,Cropland,Wetland,Non_Water,Wetland,Water
190,NULL,Cropland,Wetland,Non_Water,Wetland,Forest
191,NULL,Cropland,Wetland,Water,Wetland,Grassland
192,NULL,Cropland,Wetland,Water,Wetland,Cropland
193,NULL,Cropland,Wetland,Water,Wetland,Wetland
194,NULL,Cropland,Wetland,Water,Wetland,Water
195,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
196,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
197,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
198,NULL,Cropland,Bareland,Water,Non_Wetland,Cropland
199,NULL,Cropland,Bareland,Water,Non_Wetland,Bareland
200,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
201,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
202,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
203,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
204,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
205,NULL,Cropland,Water,Non_Water,Water,Grassland
206,NULL,Cropland,Water,Non_Water,Water,Cropland
207,NULL,Cropland,Water,Non_Water,Water,Forest
208,NULL,Cropland,Water,Water,Water,Cropland
209,NULL,Cropland,Water,Water,Water,Water
210,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
211,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
212,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
213,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
214,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
215,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
216,NULL,Cropland,Forest,Non_Water,Non_Wetland,Cropland
217,NULL,Cropland,Forest,Non_Water,Non_Wetland,Wetland
218,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
219,NULL,Cropland,Forest,Water,Non_Wetland,Grassland
220,NULL,Cropland,Forest,Water,Non_Wetland,Cropland
221,NULL,Cropland,Forest,Water,Non_Wetland,Forest
222,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
223,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
224,NULL,Bareland,NULL,NULL,Non_Wetland,Grassland
225,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
226,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
227,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
228,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
229,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
230,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
231,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
232,NULL,Bareland,Cropland,NULL,Non_Wetland,Built-up
233,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
234,NULL,Bareland,Built-up,NULL,Non_Wetland,Cropland
235,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
236,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
237,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
238,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
239,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
240,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
241,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
242,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
243,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
244,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
245,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
246,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
247,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
248,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
249,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
250,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
251,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
252,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
253,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
254,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
255,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Cropland
256,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Built-up
257,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland
258,NULL,Built-up,Grassland,Water,Non_Wetland,Cropland
259,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
260,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
261,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
262,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
263,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
264,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
265,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
266,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Cropland
267,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Built-up
268,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
269,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland
270,NULL,Built-up,Cropland,Water,Non_Wetland,Cropland
271,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland
272,NULL,Built-up,Cropland,Water,Non_Wetland,Built-up
273,NULL,Built-up,Cropland,Water,Non_Wetland,Water
274,NULL,Built-up,Wetland,NULL,Wetland,Cropland
275,NULL,Built-up,Wetland,NULL,Wetland,Forest
276,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
277,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
278,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
279,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
280,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
281,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
282,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
283,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
284,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
285,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
286,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
287,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
288,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
289,NULL,Built-up,Water,NULL,Water,Forest
290,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
291,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
292,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
293,NULL,Water,Shrubland,Water,Non_Wetland,Cropland
294,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
295,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
296,NULL,Water,Cropland,NULL,Non_Wetland,Forest
297,NULL,Water,Cropland,Water,Non_Wetland,Cropland
298,NULL,Water,Cropland,Water,Non_Wetland,Forest
299,NULL,Water,Wetland,NULL,Wetland,Forest
300,NULL,Water,Wetland,Water,Wetland,Cropland
301,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
302,NULL,Forest,NULL,NULL,Non_Wetland,Forest
303,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
304,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
305,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
306,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
307,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
308,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
309,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
310,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
311,NULL,Forest,Cropland,Non_Water,Non_Wetland,Forest
312,NULL,Forest,Wetland,NULL,Wetland,Cropland
313,NULL,Forest,Wetland,NULL,Wetland,Wetland
314,NULL,Forest,Wetland,NULL,Wetland,Forest
315,NULL,Forest,Wetland,Non_Water,Wetland,Forest
316,NULL,Forest,Forest,NULL,Non_Wetland,NULL
317,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
318,NULL,Forest,Forest,NULL,Non_Wetland,Forest
319,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
320,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
321,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
322,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
323,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
324,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
325,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
326,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
327,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
328,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
329,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
330,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
331,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
332,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
333,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
334,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
335,Grassland,NULL,Shrubland,Water,Non_Wetland,Cropland
336,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
337,Grassland,NULL,Shrubland,Water,Non_Wetland,Forest
338,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
339,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
340,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
341,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
342,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
343,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
344,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL
345,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
346,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
347,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
348,Grassland,NULL,Cropland,Water,Non_Wetland,NULL
349,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
350,Grassland,NULL,Cropland,Water,Non_Wetland,Cropland
351,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland
352,Grassland,NULL,Wetland,NULL,Wetland,Grassland
353,Grassland,NULL,Wetland,NULL,Wetland,Cropland
354,Grassland,NULL,Wetland,NULL,Wetland,Wetland
355,Grassland,NULL,Wetland,NULL,Wetland,Forest
356,Grassland,NULL,Wetland,Water,Wetland,Cropland
357,Grassland,NULL,Water,Water,Water,Cropland
358,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
359,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
360,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
361,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
362,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL
363,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
364,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
365,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
366,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
367,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland
368,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest
369,Grassland,Cropland,NULL,Non_Water,Non_Wetland,NULL
370,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Grassland
371,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Cropland
372,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Wetland
373,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Forest
374,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
375,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
376,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
377,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
378,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
379,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
380,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
381,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
382,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
383,Grassland,Cropland,Shrubland,Water,Non_Wetland,Grassland
384,Grassland,Cropland,Shrubland,Water,Non_Wetland,Cropland
385,Grassland,Cropland,Shrubland,Water,Non_Wetland,Wetland
386,Grassland,Cropland,Shrubland,Water,Non_Wetland,Bareland
387,Grassland,Cropland,Grassland,Water,Non_Wetland,Cropland
388,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
389,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
390,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland
391,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest
392,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,NULL
393,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
394,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
395,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Wetland
396,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Forest
397,Grassland,Cropland,Cropland,Water,Non_Wetland,Grassland
398,Grassland,Cropland,Cropland,Water,Non_Wetland,Cropland
399,Grassland,Cropland,Cropland,Water,Non_Wetland,Wetland
400,Grassland,Cropland,Cropland,Water,Non_Wetland,Bareland
401,Grassland,Cropland,Wetland,NULL,Wetland,Grassland
402,Grassland,Cropland,Wetland,NULL,Wetland,Cropland
403,Grassland,Cropland,Wetland,NULL,Wetland,Wetland
404,Grassland,Cropland,Wetland,NULL,Wetland,Forest
405,Grassland,Cropland,Wetland,Non_Water,Wetland,Wetland
406,Grassland,Cropland,Wetland,Non_Water,Wetland,Forest
407,Grassland,Cropland,Wetland,Water,Wetland,Cropland
408,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland
409,Grassland,Cropland,Bareland,NULL,Non_Wetland,Wetland
410,Grassland,Cropland,Water,Water,Water,Cropland
411,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
412,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
413,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
414,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
415,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
416,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Grassland
417,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Cropland
418,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Wetland
419,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Forest
420,Grassland,Cropland,Forest,Water,Non_Wetland,Cropland
421,Grassland,Cropland,Forest,Water,Non_Wetland,Wetland
422,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
423,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland
