Value,AFRICA_2024_DynamicWorld_2024_37QFU_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37QFU_M_R,AFRICA_2024_GLC_FCS30D_2022_37QFU_M_R,AFRICA_2024_GSW_Yearly_2021_37QFU_M_R,AFRICA_2024_GWL_FCS30D_2022_37QFU_M_R,AFRICA_2024_WorldCover_2021_37QFU_M_R
40,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland
41,NULL,Bareland,NULL,Non_Water,Non_Wetland,Bareland
42,NULL,Bareland,NULL,Non_Water,Non_Wetland,Water
43,NULL,Bareland,NULL,Water,Non_Wetland,Bareland
44,NULL,Bareland,NULL,Water,Non_Wetland,Water
45,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
46,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
47,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Water
48,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
49,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
50,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
51,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
52,NULL,Bareland,Grassland,Water,Non_Wetland,Bareland
53,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
54,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
55,NULL,Bareland,Cropland,NULL,Non_Wetland,Wetland
56,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
57,NULL,Bareland,Cropland,NULL,Non_Wetland,Built-up
58,NULL,Bareland,Cropland,NULL,Non_Wetland,Water
59,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Grassland
60,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Bareland
61,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Water
62,NULL,Bareland,Cropland,Water,Non_Wetland,NULL
63,NULL,Bareland,Cropland,Water,Non_Wetland,Grassland
64,NULL,Bareland,Cropland,Water,Non_Wetland,Wetland
65,NULL,Bareland,Cropland,Water,Non_Wetland,Bareland
66,NULL,Bareland,Cropland,Water,Non_Wetland,Water
67,NULL,Bareland,Wetland,NULL,NULL,Bareland
68,NULL,Bareland,Wetland,NULL,NULL,Water
69,NULL,Bareland,Wetland,NULL,Wetland,NULL
70,NULL,Bareland,Wetland,NULL,Wetland,Wetland
71,NULL,Bareland,Wetland,NULL,Wetland,Bareland
72,NULL,Bareland,Wetland,NULL,Wetland,Water
73,NULL,Bareland,Wetland,Non_Water,NULL,Bareland
74,NULL,Bareland,Wetland,Non_Water,Wetland,Wetland
75,NULL,Bareland,Wetland,Non_Water,Wetland,Bareland
76,NULL,Bareland,Wetland,Non_Water,Wetland,Water
77,NULL,Bareland,Wetland,Water,NULL,Bareland
78,NULL,Bareland,Wetland,Water,NULL,Water
79,NULL,Bareland,Wetland,Water,Wetland,Grassland
80,NULL,Bareland,Wetland,Water,Wetland,Wetland
81,NULL,Bareland,Wetland,Water,Wetland,Bareland
82,NULL,Bareland,Wetland,Water,Wetland,Water
83,NULL,Bareland,Wetland,Water,Wetland,Forest
84,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
85,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
86,NULL,Bareland,Bareland,NULL,Non_Wetland,Wetland
87,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
88,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
89,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
90,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
91,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water
92,NULL,Bareland,Bareland,Water,Non_Wetland,Grassland
93,NULL,Bareland,Bareland,Water,Non_Wetland,Wetland
94,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
95,NULL,Bareland,Bareland,Water,Non_Wetland,Water
96,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
97,NULL,Bareland,Built-up,NULL,Non_Wetland,Water
98,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
99,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Water
100,NULL,Bareland,Built-up,Water,Non_Wetland,Grassland
101,NULL,Bareland,Built-up,Water,Non_Wetland,Wetland
102,NULL,Bareland,Built-up,Water,Non_Wetland,Bareland
103,NULL,Bareland,Built-up,Water,Non_Wetland,Water
104,NULL,Bareland,Water,NULL,NULL,Bareland
105,NULL,Bareland,Water,NULL,Water,Water
106,NULL,Bareland,Water,Non_Water,NULL,Bareland
107,NULL,Bareland,Water,Non_Water,NULL,Water
108,NULL,Bareland,Water,Water,NULL,Bareland
109,NULL,Bareland,Water,Water,NULL,Water
110,NULL,Bareland,Water,Water,Water,Bareland
111,NULL,Bareland,Water,Water,Water,Water
112,NULL,Water,NULL,Water,Non_Wetland,Bareland
113,NULL,Water,NULL,Water,Non_Wetland,Water
114,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland
115,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
116,NULL,Water,Shrubland,Water,Non_Wetland,Bareland
117,NULL,Water,Shrubland,Water,Non_Wetland,Water
118,NULL,Water,Cropland,NULL,Non_Wetland,NULL
119,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
120,NULL,Water,Cropland,NULL,Non_Wetland,Wetland
121,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
122,NULL,Water,Cropland,NULL,Non_Wetland,Water
123,NULL,Water,Cropland,NULL,Non_Wetland,Forest
124,NULL,Water,Cropland,Non_Water,Non_Wetland,Wetland
125,NULL,Water,Cropland,Non_Water,Non_Wetland,Bareland
126,NULL,Water,Cropland,Non_Water,Non_Wetland,Water
127,NULL,Water,Cropland,Water,Non_Wetland,Grassland
128,NULL,Water,Cropland,Water,Non_Wetland,Bareland
129,NULL,Water,Cropland,Water,Non_Wetland,Water
130,NULL,Water,Wetland,NULL,NULL,Bareland
131,NULL,Water,Wetland,NULL,Wetland,NULL
132,NULL,Water,Wetland,NULL,Wetland,Grassland
133,NULL,Water,Wetland,NULL,Wetland,Wetland
134,NULL,Water,Wetland,NULL,Wetland,Bareland
135,NULL,Water,Wetland,NULL,Wetland,Water
136,NULL,Water,Wetland,NULL,Wetland,Forest
137,NULL,Water,Wetland,Non_Water,Wetland,NULL
138,NULL,Water,Wetland,Non_Water,Wetland,Wetland
139,NULL,Water,Wetland,Non_Water,Wetland,Bareland
140,NULL,Water,Wetland,Non_Water,Wetland,Water
141,NULL,Water,Wetland,Non_Water,Wetland,Forest
142,NULL,Water,Wetland,Water,NULL,Grassland
143,NULL,Water,Wetland,Water,NULL,Bareland
144,NULL,Water,Wetland,Water,NULL,Water
145,NULL,Water,Wetland,Water,Wetland,NULL
146,NULL,Water,Wetland,Water,Wetland,Wetland
147,NULL,Water,Wetland,Water,Wetland,Bareland
148,NULL,Water,Wetland,Water,Wetland,Water
149,NULL,Water,Wetland,Water,Wetland,Forest
150,NULL,Water,Bareland,NULL,Non_Wetland,NULL
151,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
152,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
153,NULL,Water,Bareland,NULL,Non_Wetland,Water
154,NULL,Water,Bareland,Non_Water,Non_Wetland,Grassland
155,NULL,Water,Bareland,Non_Water,Non_Wetland,Bareland
156,NULL,Water,Bareland,Non_Water,Non_Wetland,Water
157,NULL,Water,Bareland,Water,Non_Wetland,NULL
158,NULL,Water,Bareland,Water,Non_Wetland,Bareland
159,NULL,Water,Bareland,Water,Non_Wetland,Water
160,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
161,NULL,Water,Built-up,NULL,Non_Wetland,Water
162,NULL,Water,Built-up,Non_Water,Non_Wetland,Bareland
163,NULL,Water,Built-up,Non_Water,Non_Wetland,Water
164,NULL,Water,Built-up,Water,Non_Wetland,Bareland
165,NULL,Water,Built-up,Water,Non_Wetland,Water
166,NULL,Water,Water,NULL,Water,Water
167,NULL,Water,Water,Non_Water,Water,Water
168,NULL,Water,Water,Water,NULL,Bareland
169,NULL,Water,Water,Water,NULL,Water
170,NULL,Water,Water,Water,Water,Bareland
171,NULL,Water,Water,Water,Water,Water
172,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
173,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
174,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
175,NULL,Forest,Cropland,Non_Water,Non_Wetland,Forest
176,NULL,Forest,Wetland,NULL,Wetland,Wetland
177,NULL,Forest,Wetland,NULL,Wetland,Bareland
178,NULL,Forest,Wetland,NULL,Wetland,Forest
179,NULL,Forest,Wetland,Non_Water,Wetland,Wetland
180,NULL,Forest,Wetland,Non_Water,Wetland,Forest
181,NULL,Forest,Wetland,Water,Wetland,Wetland
182,NULL,Forest,Wetland,Water,Wetland,Bareland
183,NULL,Forest,Wetland,Water,Wetland,Forest
184,NULL,Forest,Bareland,Water,Non_Wetland,Grassland
185,Wetland,Water,Wetland,NULL,Wetland,Bareland
186,Wetland,Water,Wetland,Non_Water,Wetland,Grassland
187,Wetland,Water,Wetland,Non_Water,Wetland,Water
188,Wetland,Water,Wetland,Non_Water,Wetland,Forest
189,Wetland,Water,Wetland,Water,Wetland,Water
190,Wetland,Forest,Cropland,NULL,Non_Wetland,NULL
191,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland
192,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
193,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL
194,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
195,Bareland,NULL,Cropland,NULL,Non_Wetland,Wetland
196,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland
197,Bareland,NULL,Cropland,NULL,Non_Wetland,Water
198,Bareland,NULL,Cropland,Water,Non_Wetland,NULL
199,Bareland,NULL,Cropland,Water,Non_Wetland,Grassland
200,Bareland,NULL,Cropland,Water,Non_Wetland,Bareland
201,Bareland,NULL,Wetland,NULL,NULL,NULL
202,Bareland,NULL,Wetland,NULL,NULL,Grassland
203,Bareland,NULL,Wetland,NULL,NULL,Water
204,Bareland,NULL,Wetland,NULL,Wetland,NULL
205,Bareland,NULL,Wetland,NULL,Wetland,Grassland
206,Bareland,NULL,Wetland,NULL,Wetland,Bareland
207,Bareland,NULL,Wetland,NULL,Wetland,Water
208,Bareland,NULL,Wetland,Water,NULL,Grassland
209,Bareland,NULL,Wetland,Water,Wetland,Bareland
210,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
211,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL
212,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
213,Bareland,NULL,Bareland,NULL,Non_Wetland,Wetland
214,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
215,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland
216,Bareland,Bareland,NULL,NULL,Non_Wetland,Bareland
217,Bareland,Bareland,NULL,NULL,Non_Wetland,Water
218,Bareland,Bareland,NULL,Non_Water,Non_Wetland,Water
219,Bareland,Bareland,NULL,Water,Non_Wetland,Bareland
220,Bareland,Bareland,NULL,Water,Non_Wetland,Water
221,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
222,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Water
223,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
224,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,Water
225,Bareland,Bareland,Shrubland,Water,Non_Wetland,Bareland
226,Bareland,Bareland,Shrubland,Water,Non_Wetland,Water
227,Bareland,Bareland,Grassland,NULL,Non_Wetland,Bareland
228,Bareland,Bareland,Cropland,NULL,Non_Wetland,NULL
229,Bareland,Bareland,Cropland,NULL,Non_Wetland,Grassland
230,Bareland,Bareland,Cropland,NULL,Non_Wetland,Wetland
231,Bareland,Bareland,Cropland,NULL,Non_Wetland,Bareland
232,Bareland,Bareland,Cropland,NULL,Non_Wetland,Water
233,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,Bareland
234,Bareland,Bareland,Cropland,Water,Non_Wetland,Grassland
235,Bareland,Bareland,Cropland,Water,Non_Wetland,Wetland
236,Bareland,Bareland,Cropland,Water,Non_Wetland,Bareland
237,Bareland,Bareland,Cropland,Water,Non_Wetland,Water
238,Bareland,Bareland,Wetland,NULL,NULL,NULL
239,Bareland,Bareland,Wetland,NULL,NULL,Bareland
240,Bareland,Bareland,Wetland,NULL,NULL,Water
241,Bareland,Bareland,Wetland,NULL,Wetland,Grassland
242,Bareland,Bareland,Wetland,NULL,Wetland,Wetland
243,Bareland,Bareland,Wetland,NULL,Wetland,Bareland
244,Bareland,Bareland,Wetland,NULL,Wetland,Water
245,Bareland,Bareland,Wetland,Non_Water,NULL,Water
246,Bareland,Bareland,Wetland,Non_Water,Wetland,Bareland
247,Bareland,Bareland,Wetland,Water,NULL,Grassland
248,Bareland,Bareland,Wetland,Water,NULL,Bareland
249,Bareland,Bareland,Wetland,Water,NULL,Water
250,Bareland,Bareland,Wetland,Water,Wetland,Bareland
251,Bareland,Bareland,Wetland,Water,Wetland,Water
252,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL
253,Bareland,Bareland,Bareland,NULL,Non_Wetland,Grassland
254,Bareland,Bareland,Bareland,NULL,Non_Wetland,Wetland
255,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland
256,Bareland,Bareland,Bareland,NULL,Non_Wetland,Water
257,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
258,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
259,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Water
260,Bareland,Bareland,Bareland,Water,Non_Wetland,Grassland
261,Bareland,Bareland,Bareland,Water,Non_Wetland,Bareland
262,Bareland,Bareland,Bareland,Water,Non_Wetland,Water
263,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland
264,Bareland,Bareland,Built-up,NULL,Non_Wetland,Water
265,Bareland,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
266,Bareland,Bareland,Built-up,Non_Water,Non_Wetland,Water
267,Bareland,Bareland,Built-up,Water,Non_Wetland,Bareland
268,Bareland,Bareland,Built-up,Water,Non_Wetland,Water
269,Bareland,Bareland,Water,NULL,NULL,Bareland
270,Bareland,Bareland,Water,Non_Water,NULL,Water
271,Bareland,Bareland,Water,Water,NULL,Bareland
272,Bareland,Bareland,Water,Water,NULL,Water
273,Bareland,Bareland,Water,Water,Water,Bareland
274,Bareland,Bareland,Water,Water,Water,Water
275,Bareland,Water,Shrubland,Non_Water,Non_Wetland,Bareland
276,Bareland,Water,Shrubland,Non_Water,Non_Wetland,Water
277,Bareland,Water,Shrubland,Water,Non_Wetland,Water
278,Bareland,Water,Cropland,NULL,Non_Wetland,Bareland
279,Bareland,Water,Cropland,NULL,Non_Wetland,Water
280,Bareland,Water,Cropland,Water,Non_Wetland,Bareland
281,Bareland,Water,Cropland,Water,Non_Wetland,Water
282,Bareland,Water,Wetland,NULL,NULL,Bareland
283,Bareland,Water,Wetland,NULL,NULL,Water
284,Bareland,Water,Wetland,NULL,Wetland,Bareland
285,Bareland,Water,Wetland,NULL,Wetland,Water
286,Bareland,Water,Wetland,Water,NULL,Grassland
287,Bareland,Water,Wetland,Water,NULL,Bareland
288,Bareland,Water,Wetland,Water,NULL,Water
289,Bareland,Water,Wetland,Water,Wetland,Grassland
290,Bareland,Water,Wetland,Water,Wetland,Bareland
291,Bareland,Water,Wetland,Water,Wetland,Water
292,Bareland,Water,Bareland,NULL,Non_Wetland,Bareland
293,Bareland,Water,Bareland,NULL,Non_Wetland,Water
294,Bareland,Water,Bareland,Non_Water,Non_Wetland,Water
295,Bareland,Water,Bareland,Water,Non_Wetland,Grassland
296,Bareland,Water,Bareland,Water,Non_Wetland,Bareland
297,Bareland,Water,Bareland,Water,Non_Wetland,Water
298,Bareland,Water,Built-up,Water,Non_Wetland,Bareland
299,Bareland,Water,Built-up,Water,Non_Wetland,Water
300,Bareland,Water,Water,NULL,NULL,Bareland
301,Bareland,Water,Water,Water,NULL,Bareland
302,Bareland,Water,Water,Water,NULL,Water
303,Bareland,Forest,Cropland,NULL,Non_Wetland,NULL
304,Bareland,Forest,Cropland,NULL,Non_Wetland,Bareland
305,Bareland,Forest,Cropland,NULL,Non_Wetland,Forest
306,Bareland,Forest,Wetland,NULL,Wetland,NULL
307,Water,NULL,Cropland,NULL,Non_Wetland,Grassland
308,Water,NULL,Cropland,NULL,Non_Wetland,Water
309,Water,NULL,Water,NULL,NULL,NULL
310,Water,NULL,Water,NULL,NULL,Water
311,Water,NULL,Water,Water,NULL,Water
312,Water,Bareland,NULL,Water,Non_Wetland,Bareland
313,Water,Bareland,Shrubland,Water,Non_Wetland,Bareland
314,Water,Bareland,Cropland,NULL,Non_Wetland,Grassland
315,Water,Bareland,Cropland,NULL,Non_Wetland,Wetland
316,Water,Bareland,Cropland,NULL,Non_Wetland,Bareland
317,Water,Bareland,Cropland,NULL,Non_Wetland,Water
318,Water,Bareland,Cropland,Non_Water,Non_Wetland,Grassland
319,Water,Bareland,Cropland,Non_Water,Non_Wetland,Bareland
320,Water,Bareland,Cropland,Water,Non_Wetland,Grassland
321,Water,Bareland,Cropland,Water,Non_Wetland,Bareland
322,Water,Bareland,Cropland,Water,Non_Wetland,Water
323,Water,Bareland,Wetland,NULL,Wetland,Wetland
324,Water,Bareland,Wetland,NULL,Wetland,Bareland
325,Water,Bareland,Wetland,NULL,Wetland,Water
326,Water,Bareland,Wetland,Water,NULL,Bareland
327,Water,Bareland,Wetland,Water,NULL,Water
328,Water,Bareland,Wetland,Water,Wetland,Bareland
329,Water,Bareland,Wetland,Water,Wetland,Water
330,Water,Bareland,Bareland,NULL,Non_Wetland,Wetland
331,Water,Bareland,Bareland,NULL,Non_Wetland,Bareland
332,Water,Bareland,Bareland,NULL,Non_Wetland,Water
333,Water,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
334,Water,Bareland,Bareland,Water,Non_Wetland,Bareland
335,Water,Bareland,Bareland,Water,Non_Wetland,Water
336,Water,Bareland,Built-up,Water,Non_Wetland,Bareland
337,Water,Bareland,Water,NULL,Water,Water
338,Water,Bareland,Water,Water,Water,Water
339,Water,Water,NULL,NULL,Non_Wetland,Bareland
340,Water,Water,NULL,Water,Non_Wetland,Water
341,Water,Water,Shrubland,NULL,Non_Wetland,Bareland
342,Water,Water,Shrubland,NULL,Non_Wetland,Water
343,Water,Water,Shrubland,Water,Non_Wetland,Bareland
344,Water,Water,Shrubland,Water,Non_Wetland,Water
345,Water,Water,Cropland,NULL,Non_Wetland,Grassland
346,Water,Water,Cropland,NULL,Non_Wetland,Bareland
347,Water,Water,Cropland,NULL,Non_Wetland,Water
348,Water,Water,Cropland,Non_Water,Non_Wetland,Bareland
349,Water,Water,Cropland,Water,Non_Wetland,Bareland
350,Water,Water,Cropland,Water,Non_Wetland,Water
351,Water,Water,Wetland,NULL,NULL,Grassland
352,Water,Water,Wetland,NULL,NULL,Bareland
353,Water,Water,Wetland,NULL,NULL,Water
354,Water,Water,Wetland,NULL,Wetland,Bareland
355,Water,Water,Wetland,NULL,Wetland,Water
356,Water,Water,Wetland,Non_Water,Wetland,Bareland
357,Water,Water,Wetland,Non_Water,Wetland,Water
358,Water,Water,Wetland,Water,NULL,Grassland
359,Water,Water,Wetland,Water,NULL,Bareland
360,Water,Water,Wetland,Water,NULL,Water
361,Water,Water,Wetland,Water,Wetland,NULL
362,Water,Water,Wetland,Water,Wetland,Bareland
363,Water,Water,Wetland,Water,Wetland,Water
364,Water,Water,Bareland,NULL,Non_Wetland,Bareland
365,Water,Water,Bareland,NULL,Non_Wetland,Water
366,Water,Water,Bareland,Non_Water,Non_Wetland,Bareland
367,Water,Water,Bareland,Non_Water,Non_Wetland,Water
368,Water,Water,Bareland,Water,Non_Wetland,Bareland
369,Water,Water,Bareland,Water,Non_Wetland,Water
370,Water,Water,Built-up,Water,Non_Wetland,Bareland
371,Water,Water,Built-up,Water,Non_Wetland,Water
372,Water,Water,Water,NULL,NULL,Bareland
373,Water,Water,Water,NULL,NULL,Water
374,Water,Water,Water,NULL,Water,Bareland
375,Water,Water,Water,NULL,Water,Water
376,Water,Water,Water,Non_Water,NULL,Water
377,Water,Water,Water,Water,NULL,Bareland
378,Water,Water,Water,Water,NULL,Water
379,Water,Water,Water,Water,Water,Bareland
380,Water,Water,Water,Water,Water,Water
381,Permanent_ice_and_snow,Water,Wetland,Water,NULL,Water
382,Permanent_ice_and_snow,Water,Bareland,NULL,Non_Wetland,Bareland
383,Permanent_ice_and_snow,Water,Water,Water,NULL,Water
384,Forest,NULL,Cropland,NULL,Non_Wetland,NULL
385,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland
386,Forest,NULL,Cropland,NULL,Non_Wetland,Wetland
387,Forest,NULL,Cropland,NULL,Non_Wetland,Bareland
388,Forest,NULL,Cropland,Non_Water,Non_Wetland,Grassland
389,Forest,NULL,Cropland,Water,Non_Wetland,NULL
390,Forest,NULL,Cropland,Water,Non_Wetland,Forest
391,Forest,NULL,Wetland,NULL,Wetland,NULL
392,Forest,NULL,Wetland,NULL,Wetland,Grassland
393,Forest,NULL,Wetland,NULL,Wetland,Wetland
394,Forest,NULL,Wetland,NULL,Wetland,Forest
395,Forest,NULL,Wetland,Non_Water,Wetland,Forest
396,Forest,NULL,Wetland,Water,Wetland,Grassland
397,Forest,Bareland,Cropland,NULL,Non_Wetland,NULL
398,Forest,Bareland,Cropland,NULL,Non_Wetland,Grassland
399,Forest,Forest,Cropland,NULL,Non_Wetland,NULL
400,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland
401,Forest,Forest,Cropland,NULL,Non_Wetland,Wetland
402,Forest,Forest,Cropland,NULL,Non_Wetland,Forest
403,Forest,Forest,Cropland,Non_Water,Non_Wetland,Forest
404,Forest,Forest,Wetland,NULL,Wetland,NULL
405,Forest,Forest,Wetland,NULL,Wetland,Wetland
406,Forest,Forest,Wetland,NULL,Wetland,Forest
407,Forest,Forest,Wetland,Non_Water,Wetland,Wetland
408,Forest,Forest,Wetland,Non_Water,Wetland,Forest
