Value,AFRICA_2024_DynamicWorld_2024_37NFJ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NFJ_M_R,AFRICA_2024_GLC_FCS30D_2022_37NFJ_M_R,AFRICA_2024_GSW_Yearly_2021_37NFJ_M_R,AFRICA_2024_GWL_FCS30D_2022_37NFJ_M_R,AFRICA_2024_WorldCover_2021_37NFJ_M_R
123,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
124,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
125,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
126,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
127,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
128,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
129,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
130,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
131,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
132,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
133,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
134,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
135,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
136,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
137,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
138,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
139,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
140,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
141,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
142,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
143,NULL,Cropland,Built-up,NULL,Non_Wetland,Wetland
144,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
145,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
146,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
147,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
148,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
149,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
150,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
151,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
152,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
153,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
154,NULL,Bareland,NULL,NULL,Non_Wetland,Grassland
155,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
156,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
157,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
158,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
159,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
160,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
161,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
162,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
163,NULL,Bareland,Cropland,NULL,Non_Wetland,Built-up
164,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
165,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
166,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
167,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
168,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
169,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland
170,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
171,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
172,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
173,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
174,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
175,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
176,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
177,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
178,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
179,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
180,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
181,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
182,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
183,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland
184,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
185,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
186,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
187,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
188,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
189,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
190,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
191,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland
192,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
193,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
194,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
195,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
196,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
197,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
198,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
199,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
200,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
201,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
202,NULL,Built-up,Bareland,Water,Non_Wetland,Cropland
203,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
204,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
205,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
206,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland
207,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
208,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
209,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
210,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
211,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
212,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
213,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
214,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
215,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
216,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
217,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland
218,NULL,Water,NULL,NULL,Non_Wetland,NULL
219,NULL,Water,NULL,NULL,Non_Wetland,Grassland
220,NULL,Water,NULL,NULL,Non_Wetland,Built-up
221,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
222,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
223,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
224,NULL,Water,Grassland,NULL,Non_Wetland,NULL
225,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
226,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
227,NULL,Water,Cropland,NULL,Non_Wetland,NULL
228,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
229,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
230,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
231,NULL,Water,Cropland,NULL,Non_Wetland,Built-up
232,NULL,Water,Cropland,NULL,Non_Wetland,Forest
233,NULL,Water,Cropland,Non_Water,Non_Wetland,Cropland
234,NULL,Water,Cropland,Water,Non_Wetland,NULL
235,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
236,NULL,Water,Bareland,NULL,Non_Wetland,NULL
237,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
238,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
239,NULL,Water,Bareland,Non_Water,Non_Wetland,Grassland
240,NULL,Water,Built-up,NULL,Non_Wetland,NULL
241,NULL,Water,Water,NULL,Water,Cropland
242,NULL,Water,Water,Water,Water,Grassland
243,NULL,Water,Forest,NULL,Non_Wetland,NULL
244,NULL,Water,Forest,NULL,Non_Wetland,Grassland
245,NULL,Water,Forest,NULL,Non_Wetland,Cropland
246,NULL,Water,Forest,NULL,Non_Wetland,Forest
247,NULL,Forest,NULL,NULL,Non_Wetland,NULL
248,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
249,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
250,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
251,NULL,Forest,NULL,NULL,Non_Wetland,Forest
252,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
253,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
254,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
255,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
256,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
257,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
258,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
259,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
260,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
261,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
262,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
263,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
264,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
265,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
266,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
267,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
268,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
269,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
270,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
271,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
272,NULL,Forest,Bareland,NULL,Non_Wetland,Cropland
273,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
274,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
275,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
276,NULL,Forest,Built-up,NULL,Non_Wetland,Cropland
277,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland
278,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
279,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
280,NULL,Forest,Forest,NULL,Non_Wetland,NULL
281,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
282,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
283,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
284,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
285,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
286,NULL,Forest,Forest,NULL,Non_Wetland,Forest
287,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
288,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
289,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
290,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
291,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland
292,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
293,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
294,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
295,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
296,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
297,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
298,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
299,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
300,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
301,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
302,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
303,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
304,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
305,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland
306,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
307,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL
308,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
309,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
310,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
311,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
312,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
313,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland
314,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up
315,Grassland,NULL,Cropland,NULL,Non_Wetland,Water
316,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
317,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL
318,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
319,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
320,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
321,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
322,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
323,Grassland,NULL,Bareland,NULL,Non_Wetland,Cropland
324,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland
325,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
326,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
327,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Cropland
328,Grassland,NULL,Bareland,Water,Non_Wetland,Bareland
329,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL
330,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
331,Grassland,NULL,Built-up,NULL,Non_Wetland,Cropland
332,Grassland,NULL,Built-up,NULL,Non_Wetland,Forest
333,Grassland,NULL,Water,NULL,Water,NULL
334,Grassland,NULL,Water,NULL,Water,Cropland
335,Grassland,NULL,Water,NULL,Water,Wetland
336,Grassland,NULL,Water,Non_Water,Water,Cropland
337,Grassland,NULL,Water,Water,Water,Water
338,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
339,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
340,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
341,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
342,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland
343,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up
344,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
345,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL
346,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
347,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
348,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland
349,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest
350,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Grassland
351,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
352,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
353,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
354,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
355,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
356,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
357,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
358,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL
359,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
360,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
361,Grassland,Cropland,Grassland,NULL,Non_Wetland,Wetland
362,Grassland,Cropland,Grassland,NULL,Non_Wetland,Built-up
363,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
364,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
365,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
366,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland
367,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland
368,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up
369,Grassland,Cropland,Cropland,NULL,Non_Wetland,Water
370,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest
371,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
372,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
373,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Wetland
374,Grassland,Cropland,Wetland,NULL,Wetland,Grassland
375,Grassland,Cropland,Wetland,NULL,Wetland,Cropland
376,Grassland,Cropland,Wetland,NULL,Wetland,Wetland
377,Grassland,Cropland,Wetland,NULL,Wetland,Forest
378,Grassland,Cropland,Wetland,Non_Water,Wetland,Grassland
379,Grassland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
380,Grassland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
381,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland
382,Grassland,Cropland,Bareland,NULL,Non_Wetland,Cropland
383,Grassland,Cropland,Bareland,NULL,Non_Wetland,Bareland
384,Grassland,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
385,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland
386,Grassland,Cropland,Built-up,NULL,Non_Wetland,Cropland
387,Grassland,Cropland,Built-up,NULL,Non_Wetland,Built-up
388,Grassland,Cropland,Water,NULL,Water,Cropland
389,Grassland,Cropland,Water,Water,Water,Water
390,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
391,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
392,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
393,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
394,Grassland,Cropland,Forest,NULL,Non_Wetland,Built-up
395,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
396,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Grassland
397,Grassland,Bareland,Cropland,NULL,Non_Wetland,Cropland
398,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland
399,Grassland,Built-up,Grassland,NULL,Non_Wetland,Cropland
400,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL
401,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland
402,Grassland,Built-up,Cropland,NULL,Non_Wetland,Cropland
403,Grassland,Built-up,Cropland,NULL,Non_Wetland,Built-up
404,Grassland,Built-up,Cropland,NULL,Non_Wetland,Forest
405,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland
406,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL
407,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland
408,Grassland,Built-up,Forest,NULL,Non_Wetland,Cropland
409,Grassland,Water,NULL,NULL,Non_Wetland,NULL
410,Grassland,Water,Cropland,NULL,Non_Wetland,Cropland
411,Grassland,Water,Cropland,Non_Water,Non_Wetland,Cropland
412,Grassland,Water,Bareland,NULL,Non_Wetland,NULL
413,Grassland,Water,Bareland,NULL,Non_Wetland,Grassland
414,Grassland,Water,Forest,NULL,Non_Wetland,NULL
415,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
416,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
417,Grassland,Forest,NULL,NULL,Non_Wetland,Cropland
418,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
419,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
420,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
421,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland
422,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
423,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL
