Value,AFRICA_2024_DynamicWorld_2024_37PFS_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PFS_M_R,AFRICA_2024_GLC_FCS30D_2022_37PFS_M_R,AFRICA_2024_GSW_Yearly_2021_37PFS_M_R,AFRICA_2024_GWL_FCS30D_2022_37PFS_M_R,AFRICA_2024_WorldCover_2021_37PFS_M_R
236,Wetland,Wetland,Grassland,NULL,Non_Wetland,NULL
237,Wetland,Wetland,Grassland,NULL,Non_Wetland,Cropland
238,Wetland,Wetland,Grassland,NULL,Non_Wetland,Wetland
239,Wetland,Wetland,Grassland,NULL,Non_Wetland,Bareland
240,Wetland,Wetland,Cropland,NULL,Non_Wetland,NULL
241,Wetland,Wetland,Cropland,NULL,Non_Wetland,Grassland
242,Wetland,Wetland,Cropland,NULL,Non_Wetland,Cropland
243,Wetland,Wetland,Cropland,NULL,Non_Wetland,Wetland
244,Wetland,Wetland,Cropland,NULL,Non_Wetland,Bareland
245,Wetland,Wetland,Cropland,Non_Water,Non_Wetland,Cropland
246,Wetland,Wetland,Cropland,Water,Non_Wetland,NULL
247,Wetland,Wetland,Cropland,Water,Non_Wetland,Cropland
248,Wetland,Wetland,Cropland,Water,Non_Wetland,Bareland
249,Wetland,Wetland,Cropland,Water,Non_Wetland,Water
250,Wetland,Wetland,Wetland,NULL,Wetland,NULL
251,Wetland,Wetland,Wetland,NULL,Wetland,Cropland
252,Wetland,Wetland,Wetland,NULL,Wetland,Wetland
253,Wetland,Wetland,Wetland,NULL,Wetland,Bareland
254,Wetland,Wetland,Wetland,NULL,Wetland,Water
255,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL
256,Wetland,Wetland,Wetland,Non_Water,Wetland,Cropland
257,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland
258,Wetland,Wetland,Wetland,Water,Wetland,Cropland
259,Wetland,Wetland,Wetland,Water,Wetland,Wetland
260,Wetland,Wetland,Wetland,Water,Wetland,Bareland
261,Wetland,Wetland,Wetland,Water,Wetland,Water
262,Wetland,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
263,Wetland,Wetland,Bareland,NULL,Non_Wetland,NULL
264,Wetland,Wetland,Bareland,NULL,Non_Wetland,Cropland
265,Wetland,Wetland,Bareland,NULL,Non_Wetland,Bareland
266,Wetland,Wetland,Bareland,Non_Water,Non_Wetland,NULL
267,Wetland,Wetland,Bareland,Non_Water,Non_Wetland,Cropland
268,Wetland,Wetland,Bareland,Water,Non_Wetland,NULL
269,Wetland,Wetland,Bareland,Water,Non_Wetland,Cropland
270,Wetland,Wetland,Bareland,Water,Non_Wetland,Bareland
271,Wetland,Wetland,Built-up,NULL,Non_Wetland,NULL
272,Wetland,Wetland,Built-up,NULL,Non_Wetland,Bareland
273,Wetland,Bareland,Grassland,NULL,Non_Wetland,Wetland
274,Wetland,Bareland,Cropland,NULL,Non_Wetland,Bareland
275,Wetland,Bareland,Wetland,NULL,Wetland,Cropland
276,Wetland,Bareland,Wetland,NULL,Wetland,Wetland
277,Wetland,Bareland,Wetland,NULL,Wetland,Bareland
278,Wetland,Bareland,Wetland,Non_Water,NULL,Bareland
279,Wetland,Bareland,Wetland,Water,Wetland,NULL
280,Wetland,Bareland,Wetland,Water,Wetland,Wetland
281,Wetland,Bareland,Bareland,NULL,Non_Wetland,NULL
282,Wetland,Bareland,Bareland,NULL,Non_Wetland,Wetland
283,Wetland,Bareland,Bareland,NULL,Non_Wetland,Bareland
284,Wetland,Bareland,Bareland,Water,Non_Wetland,Bareland
285,Wetland,Water,NULL,NULL,Non_Wetland,NULL
286,Wetland,Water,Shrubland,NULL,Non_Wetland,Wetland
287,Wetland,Water,Grassland,NULL,Non_Wetland,NULL
288,Wetland,Water,Grassland,NULL,Non_Wetland,Grassland
289,Wetland,Water,Grassland,NULL,Non_Wetland,Cropland
290,Wetland,Water,Grassland,NULL,Non_Wetland,Wetland
291,Wetland,Water,Grassland,NULL,Non_Wetland,Bareland
292,Wetland,Water,Grassland,NULL,Non_Wetland,Water
293,Wetland,Water,Grassland,NULL,Non_Wetland,Forest
294,Wetland,Water,Grassland,Non_Water,Non_Wetland,NULL
295,Wetland,Water,Grassland,Non_Water,Non_Wetland,Wetland
296,Wetland,Water,Grassland,Non_Water,Non_Wetland,Bareland
297,Wetland,Water,Grassland,Water,Non_Wetland,Wetland
298,Wetland,Water,Cropland,NULL,Non_Wetland,NULL
299,Wetland,Water,Cropland,NULL,Non_Wetland,Cropland
300,Wetland,Water,Cropland,NULL,Non_Wetland,Wetland
301,Wetland,Water,Cropland,NULL,Non_Wetland,Bareland
302,Wetland,Water,Cropland,NULL,Non_Wetland,Water
303,Wetland,Water,Cropland,NULL,Non_Wetland,Forest
304,Wetland,Water,Cropland,Non_Water,Non_Wetland,Wetland
305,Wetland,Water,Cropland,Non_Water,Non_Wetland,Water
306,Wetland,Water,Cropland,Water,Non_Wetland,Wetland
307,Wetland,Water,Cropland,Water,Non_Wetland,Bareland
308,Wetland,Water,Wetland,NULL,NULL,Cropland
309,Wetland,Water,Wetland,NULL,NULL,Wetland
310,Wetland,Water,Wetland,NULL,NULL,Bareland
311,Wetland,Water,Wetland,NULL,NULL,Water
312,Wetland,Water,Wetland,NULL,Wetland,NULL
313,Wetland,Water,Wetland,NULL,Wetland,Grassland
314,Wetland,Water,Wetland,NULL,Wetland,Cropland
315,Wetland,Water,Wetland,NULL,Wetland,Wetland
316,Wetland,Water,Wetland,NULL,Wetland,Bareland
317,Wetland,Water,Wetland,NULL,Wetland,Water
318,Wetland,Water,Wetland,NULL,Wetland,Forest
319,Wetland,Water,Wetland,Non_Water,NULL,NULL
320,Wetland,Water,Wetland,Non_Water,NULL,Cropland
321,Wetland,Water,Wetland,Non_Water,NULL,Wetland
322,Wetland,Water,Wetland,Non_Water,NULL,Water
323,Wetland,Water,Wetland,Non_Water,Wetland,NULL
324,Wetland,Water,Wetland,Non_Water,Wetland,Cropland
325,Wetland,Water,Wetland,Non_Water,Wetland,Wetland
326,Wetland,Water,Wetland,Non_Water,Wetland,Bareland
327,Wetland,Water,Wetland,Non_Water,Wetland,Water
328,Wetland,Water,Wetland,Water,NULL,Water
329,Wetland,Water,Wetland,Water,Wetland,NULL
330,Wetland,Water,Wetland,Water,Wetland,Grassland
331,Wetland,Water,Wetland,Water,Wetland,Cropland
332,Wetland,Water,Wetland,Water,Wetland,Wetland
333,Wetland,Water,Wetland,Water,Wetland,Bareland
334,Wetland,Water,Wetland,Water,Wetland,Water
335,Wetland,Water,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
336,Wetland,Water,Bareland,NULL,Non_Wetland,NULL
337,Wetland,Water,Bareland,NULL,Non_Wetland,Grassland
338,Wetland,Water,Bareland,NULL,Non_Wetland,Cropland
339,Wetland,Water,Bareland,NULL,Non_Wetland,Wetland
340,Wetland,Water,Bareland,NULL,Non_Wetland,Bareland
341,Wetland,Water,Bareland,NULL,Non_Wetland,Water
342,Wetland,Water,Bareland,Non_Water,Non_Wetland,NULL
343,Wetland,Water,Bareland,Non_Water,Non_Wetland,Wetland
344,Wetland,Water,Bareland,Non_Water,Non_Wetland,Bareland
345,Wetland,Water,Bareland,Non_Water,Non_Wetland,Water
346,Wetland,Water,Bareland,Water,Non_Wetland,NULL
347,Wetland,Water,Bareland,Water,Non_Wetland,Grassland
348,Wetland,Water,Bareland,Water,Non_Wetland,Wetland
349,Wetland,Water,Bareland,Water,Non_Wetland,Bareland
350,Wetland,Water,Bareland,Water,Non_Wetland,Water
351,Wetland,Water,Built-up,NULL,Non_Wetland,NULL
352,Wetland,Water,Built-up,NULL,Non_Wetland,Wetland
353,Wetland,Water,Built-up,NULL,Non_Wetland,Bareland
354,Wetland,Water,Built-up,Non_Water,Non_Wetland,Wetland
355,Wetland,Water,Built-up,Water,Non_Wetland,Wetland
356,Wetland,Water,Built-up,Water,Non_Wetland,Water
357,Wetland,Water,Water,Water,Water,Wetland
358,Wetland,Water,Forest,NULL,Non_Wetland,Water
359,Wetland,Forest,Grassland,NULL,Non_Wetland,NULL
360,Wetland,Forest,Grassland,NULL,Non_Wetland,Cropland
361,Wetland,Forest,Grassland,NULL,Non_Wetland,Wetland
362,Wetland,Forest,Grassland,NULL,Non_Wetland,Bareland
363,Wetland,Forest,Grassland,Water,Non_Wetland,Wetland
364,Wetland,Forest,Cropland,NULL,Non_Wetland,NULL
365,Wetland,Forest,Cropland,NULL,Non_Wetland,Cropland
366,Wetland,Forest,Cropland,NULL,Non_Wetland,Wetland
367,Wetland,Forest,Cropland,NULL,Non_Wetland,Water
368,Wetland,Forest,Cropland,NULL,Non_Wetland,Forest
369,Wetland,Forest,Wetland,NULL,Wetland,NULL
370,Wetland,Forest,Wetland,NULL,Wetland,Wetland
371,Wetland,Forest,Wetland,NULL,Wetland,Water
372,Wetland,Forest,Wetland,Non_Water,Wetland,NULL
373,Wetland,Forest,Wetland,Non_Water,Wetland,Wetland
374,Wetland,Forest,Wetland,Water,Wetland,Wetland
375,Bareland,NULL,NULL,NULL,Non_Wetland,NULL
376,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
377,Bareland,NULL,NULL,NULL,Non_Wetland,Cropland
378,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland
379,Bareland,NULL,NULL,NULL,Non_Wetland,Forest
380,Bareland,NULL,NULL,Non_Water,Non_Wetland,Bareland
381,Bareland,NULL,NULL,Water,Non_Wetland,Bareland
382,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
383,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
384,Bareland,NULL,Shrubland,NULL,Non_Wetland,Cropland
385,Bareland,NULL,Shrubland,NULL,Non_Wetland,Wetland
386,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
387,Bareland,NULL,Shrubland,NULL,Non_Wetland,Water
388,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
389,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
390,Bareland,NULL,Shrubland,Water,Non_Wetland,Cropland
391,Bareland,NULL,Shrubland,Water,Non_Wetland,Bareland
392,Bareland,NULL,Shrubland,Water,Non_Wetland,Water
393,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
394,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
395,Bareland,NULL,Grassland,NULL,Non_Wetland,Cropland
396,Bareland,NULL,Grassland,NULL,Non_Wetland,Wetland
397,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
398,Bareland,NULL,Grassland,NULL,Non_Wetland,Water
399,Bareland,NULL,Grassland,NULL,Non_Wetland,Forest
400,Bareland,NULL,Grassland,Non_Water,Non_Wetland,NULL
401,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
402,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
403,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
404,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
405,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Water
406,Bareland,NULL,Grassland,Water,Non_Wetland,NULL
407,Bareland,NULL,Grassland,Water,Non_Wetland,Grassland
408,Bareland,NULL,Grassland,Water,Non_Wetland,Cropland
409,Bareland,NULL,Grassland,Water,Non_Wetland,Wetland
410,Bareland,NULL,Grassland,Water,Non_Wetland,Bareland
411,Bareland,NULL,Grassland,Water,Non_Wetland,Water
412,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL
413,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
414,Bareland,NULL,Cropland,NULL,Non_Wetland,Cropland
415,Bareland,NULL,Cropland,NULL,Non_Wetland,Wetland
416,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland
417,Bareland,NULL,Cropland,NULL,Non_Wetland,Built-up
418,Bareland,NULL,Cropland,NULL,Non_Wetland,Water
419,Bareland,NULL,Cropland,NULL,Non_Wetland,Forest
420,Bareland,NULL,Cropland,Non_Water,Non_Wetland,NULL
421,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
422,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
423,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Bareland
