Value,AFRICA_2024_DynamicWorld_2024_36PUA_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PUA_M_R,AFRICA_2024_GLC_FCS30D_2022_36PUA_M_R,AFRICA_2024_GSW_Yearly_2021_36PUA_M_R,AFRICA_2024_GWL_FCS30D_2022_36PUA_M_R,AFRICA_2024_WorldCover_2021_36PUA_M_R
119,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
120,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
121,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Cropland
122,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Bareland
123,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Built-up
124,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
125,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
126,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
127,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
128,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
129,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
130,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
131,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
132,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
133,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
134,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
135,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
136,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
137,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
138,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
139,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
140,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Cropland
141,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
142,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
143,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
144,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
145,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
146,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
147,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
148,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
149,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
150,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL
151,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland
152,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
153,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
154,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
155,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland
156,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
157,NULL,Forest,Forest,NULL,Non_Wetland,NULL
158,NULL,Forest,Forest,NULL,Non_Wetland,Forest
159,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
160,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
161,Grassland,NULL,Grassland,Water,Non_Wetland,Cropland
162,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Grassland
163,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
164,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
165,Grassland,Wetland,Wetland,NULL,Wetland,Wetland
166,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland
167,Grassland,Wetland,Wetland,Non_Water,Wetland,Cropland
168,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland
169,Grassland,Wetland,Wetland,Water,Wetland,Cropland
170,Grassland,Wetland,Wetland,Water,Wetland,Wetland
171,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Grassland
172,Grassland,Water,Wetland,Water,Wetland,Cropland
173,Grassland,Water,Wetland,Water,Wetland,Wetland
174,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
175,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
176,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
177,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
178,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
179,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland
180,Cropland,NULL,NULL,Non_Water,Non_Wetland,Cropland
181,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
182,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
183,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
184,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
185,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
186,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
187,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
188,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
189,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
190,Cropland,NULL,Shrubland,Water,Non_Wetland,Cropland
191,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
192,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
193,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
194,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
195,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
196,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
197,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL
198,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
199,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
200,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
201,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Built-up
202,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Forest
203,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
204,Cropland,NULL,Grassland,Water,Non_Wetland,Cropland
205,Cropland,NULL,Grassland,Water,Non_Wetland,Wetland
206,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
207,Cropland,NULL,Grassland,Water,Non_Wetland,Water
208,Cropland,NULL,Grassland,Water,Non_Wetland,Forest
209,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
210,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
211,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
212,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland
213,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
214,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
215,Cropland,NULL,Cropland,NULL,Non_Wetland,Water
216,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
217,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL
218,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
219,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
220,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Bareland
221,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Water
222,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Forest
223,Cropland,NULL,Cropland,Water,Non_Wetland,NULL
224,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
225,Cropland,NULL,Cropland,Water,Non_Wetland,Cropland
226,Cropland,NULL,Cropland,Water,Non_Wetland,Wetland
227,Cropland,NULL,Cropland,Water,Non_Wetland,Bareland
228,Cropland,NULL,Cropland,Water,Non_Wetland,Forest
229,Cropland,NULL,Wetland,NULL,Wetland,Grassland
230,Cropland,NULL,Wetland,NULL,Wetland,Cropland
231,Cropland,NULL,Wetland,NULL,Wetland,Wetland
232,Cropland,NULL,Wetland,NULL,Wetland,Forest
233,Cropland,NULL,Wetland,Non_Water,Wetland,Cropland
234,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
235,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
236,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
237,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
238,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
239,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
240,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Cropland
241,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
242,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
243,Cropland,NULL,Bareland,Water,Non_Wetland,Cropland
244,Cropland,NULL,Bareland,Water,Non_Wetland,Wetland
245,Cropland,NULL,Bareland,Water,Non_Wetland,Bareland
246,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
247,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
248,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
249,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
250,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
251,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
252,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
253,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Cropland
254,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Bareland
255,Cropland,NULL,Built-up,Water,Non_Wetland,Cropland
256,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
257,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
258,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
259,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
260,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
261,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
262,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
263,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland
264,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
265,Cropland,Cropland,NULL,Non_Water,Non_Wetland,Grassland
266,Cropland,Cropland,NULL,Non_Water,Non_Wetland,Cropland
267,Cropland,Cropland,NULL,Non_Water,Non_Wetland,Forest
268,Cropland,Cropland,NULL,Water,Non_Wetland,Cropland
269,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
270,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
271,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
272,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
273,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
274,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
275,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
276,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Bareland
277,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
278,Cropland,Cropland,Shrubland,Water,Non_Wetland,Cropland
279,Cropland,Cropland,Shrubland,Water,Non_Wetland,Forest
280,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
281,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
282,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
283,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
284,Cropland,Cropland,Grassland,NULL,Non_Wetland,Built-up
285,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
286,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL
287,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
288,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
289,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Wetland
290,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Bareland
291,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Built-up
292,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Forest
293,Cropland,Cropland,Grassland,Water,Non_Wetland,Grassland
294,Cropland,Cropland,Grassland,Water,Non_Wetland,Cropland
295,Cropland,Cropland,Grassland,Water,Non_Wetland,Wetland
296,Cropland,Cropland,Grassland,Water,Non_Wetland,Bareland
297,Cropland,Cropland,Grassland,Water,Non_Wetland,Forest
298,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
299,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
300,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
301,Cropland,Cropland,Cropland,NULL,Non_Wetland,Wetland
302,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland
303,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up
304,Cropland,Cropland,Cropland,NULL,Non_Wetland,Water
305,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
306,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL
307,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
308,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
309,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Wetland
310,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Bareland
311,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Forest
312,Cropland,Cropland,Cropland,Water,Non_Wetland,Grassland
313,Cropland,Cropland,Cropland,Water,Non_Wetland,Cropland
314,Cropland,Cropland,Cropland,Water,Non_Wetland,Wetland
315,Cropland,Cropland,Cropland,Water,Non_Wetland,Bareland
316,Cropland,Cropland,Cropland,Water,Non_Wetland,Forest
317,Cropland,Cropland,Wetland,NULL,Wetland,NULL
318,Cropland,Cropland,Wetland,NULL,Wetland,Grassland
319,Cropland,Cropland,Wetland,NULL,Wetland,Cropland
320,Cropland,Cropland,Wetland,NULL,Wetland,Forest
321,Cropland,Cropland,Wetland,Non_Water,Wetland,Grassland
322,Cropland,Cropland,Wetland,Non_Water,Wetland,Cropland
323,Cropland,Cropland,Wetland,Non_Water,Wetland,Wetland
324,Cropland,Cropland,Wetland,Non_Water,Wetland,Forest
325,Cropland,Cropland,Wetland,Water,Wetland,Cropland
326,Cropland,Cropland,Bareland,NULL,Non_Wetland,Cropland
327,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
328,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
329,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
330,Cropland,Cropland,Bareland,Water,Non_Wetland,Grassland
331,Cropland,Cropland,Bareland,Water,Non_Wetland,Cropland
332,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
333,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland
334,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland
335,Cropland,Cropland,Built-up,NULL,Non_Wetland,Built-up
336,Cropland,Cropland,Built-up,NULL,Non_Wetland,Forest
337,Cropland,Cropland,Built-up,Non_Water,Non_Wetland,Grassland
338,Cropland,Cropland,Built-up,Non_Water,Non_Wetland,Cropland
339,Cropland,Cropland,Built-up,Non_Water,Non_Wetland,Built-up
340,Cropland,Cropland,Built-up,Water,Non_Wetland,Cropland
341,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
342,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland
343,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
344,Cropland,Cropland,Forest,Non_Water,Non_Wetland,Cropland
345,Cropland,Cropland,Forest,Non_Water,Non_Wetland,Forest
346,Cropland,Wetland,NULL,NULL,Non_Wetland,NULL
347,Cropland,Wetland,NULL,NULL,Non_Wetland,Grassland
348,Cropland,Wetland,NULL,NULL,Non_Wetland,Cropland
349,Cropland,Wetland,NULL,NULL,Non_Wetland,Forest
350,Cropland,Wetland,NULL,Non_Water,Non_Wetland,Grassland
351,Cropland,Wetland,NULL,Non_Water,Non_Wetland,Cropland
352,Cropland,Wetland,Shrubland,NULL,Non_Wetland,NULL
353,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
354,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Cropland
355,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Forest
356,Cropland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
357,Cropland,Wetland,Shrubland,Non_Water,Non_Wetland,Cropland
358,Cropland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
359,Cropland,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
360,Cropland,Wetland,Grassland,NULL,Non_Wetland,NULL
361,Cropland,Wetland,Grassland,NULL,Non_Wetland,Grassland
362,Cropland,Wetland,Grassland,NULL,Non_Wetland,Cropland
363,Cropland,Wetland,Grassland,NULL,Non_Wetland,Bareland
364,Cropland,Wetland,Grassland,NULL,Non_Wetland,Forest
365,Cropland,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
366,Cropland,Wetland,Grassland,Non_Water,Non_Wetland,Cropland
367,Cropland,Wetland,Grassland,Non_Water,Non_Wetland,Forest
368,Cropland,Wetland,Cropland,NULL,Non_Wetland,NULL
369,Cropland,Wetland,Cropland,NULL,Non_Wetland,Grassland
370,Cropland,Wetland,Cropland,NULL,Non_Wetland,Cropland
371,Cropland,Wetland,Cropland,NULL,Non_Wetland,Forest
372,Cropland,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
373,Cropland,Wetland,Cropland,Non_Water,Non_Wetland,Cropland
374,Cropland,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
375,Cropland,Wetland,Cropland,Non_Water,Non_Wetland,Forest
376,Cropland,Wetland,Wetland,NULL,Wetland,Grassland
377,Cropland,Wetland,Wetland,NULL,Wetland,Cropland
378,Cropland,Wetland,Wetland,NULL,Wetland,Wetland
379,Cropland,Wetland,Wetland,NULL,Wetland,Forest
380,Cropland,Wetland,Wetland,Non_Water,Wetland,Grassland
381,Cropland,Wetland,Wetland,Non_Water,Wetland,Cropland
382,Cropland,Wetland,Wetland,Non_Water,Wetland,Wetland
383,Cropland,Wetland,Wetland,Non_Water,Wetland,Forest
384,Cropland,Wetland,Wetland,Water,Wetland,Forest
385,Cropland,Wetland,Bareland,NULL,Non_Wetland,Cropland
386,Cropland,Wetland,Built-up,NULL,Non_Wetland,NULL
387,Cropland,Wetland,Built-up,NULL,Non_Wetland,Forest
388,Cropland,Wetland,Built-up,Non_Water,Non_Wetland,Cropland
389,Cropland,Wetland,Forest,NULL,Non_Wetland,NULL
390,Cropland,Wetland,Forest,NULL,Non_Wetland,Grassland
391,Cropland,Wetland,Forest,NULL,Non_Wetland,Cropland
392,Cropland,Wetland,Forest,NULL,Non_Wetland,Wetland
393,Cropland,Wetland,Forest,NULL,Non_Wetland,Forest
394,Cropland,Wetland,Forest,Non_Water,Non_Wetland,Grassland
395,Cropland,Wetland,Forest,Non_Water,Non_Wetland,Cropland
396,Cropland,Wetland,Forest,Non_Water,Non_Wetland,Wetland
397,Cropland,Wetland,Forest,Non_Water,Non_Wetland,Forest
398,Cropland,Bareland,Grassland,NULL,Non_Wetland,Grassland
399,Cropland,Bareland,Grassland,NULL,Non_Wetland,Cropland
400,Cropland,Bareland,Grassland,NULL,Non_Wetland,Bareland
401,Cropland,Bareland,Grassland,Non_Water,Non_Wetland,Cropland
402,Cropland,Bareland,Grassland,Water,Non_Wetland,Cropland
403,Cropland,Bareland,Bareland,NULL,Non_Wetland,Bareland
404,Cropland,Built-up,NULL,NULL,Non_Wetland,Cropland
405,Cropland,Built-up,NULL,NULL,Non_Wetland,Forest
406,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
407,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Forest
408,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL
409,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
410,Cropland,Built-up,Grassland,NULL,Non_Wetland,Cropland
411,Cropland,Built-up,Grassland,NULL,Non_Wetland,Bareland
