Value,AFRICA_2024_DynamicWorld_2024_35NNF_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NNF_M_R,AFRICA_2024_GLC_FCS30D_2022_35NNF_M_R,AFRICA_2024_GSW_Yearly_2021_35NNF_M_R,AFRICA_2024_GWL_FCS30D_2022_35NNF_M_R,AFRICA_2024_WorldCover_2021_35NNF_M_R
120,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest
121,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
122,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
123,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
124,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
125,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
126,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
127,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
128,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
129,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
130,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
131,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
132,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
133,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
134,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
135,Cropland,NULL,Forest,NULL,Non_Wetland,Built-up
136,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
137,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
138,Cropland,Built-up,NULL,NULL,Non_Wetland,Grassland
139,Cropland,Built-up,NULL,NULL,Non_Wetland,Bareland
140,Cropland,Built-up,NULL,NULL,Non_Wetland,Forest
141,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
142,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Built-up
143,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Forest
144,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
145,Cropland,Built-up,Cropland,NULL,Non_Wetland,Built-up
146,Cropland,Built-up,Built-up,NULL,Non_Wetland,Grassland
147,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland
148,Cropland,Built-up,Forest,NULL,Non_Wetland,Built-up
149,Cropland,Built-up,Forest,NULL,Non_Wetland,Forest
150,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland
151,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
152,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
153,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
154,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
155,Wetland,NULL,NULL,NULL,Non_Wetland,Grassland
156,Wetland,NULL,NULL,NULL,Non_Wetland,Forest
157,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
158,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland
159,Wetland,NULL,Shrubland,NULL,Non_Wetland,Forest
160,Wetland,NULL,Forest,NULL,Non_Wetland,NULL
161,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland
162,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland
163,Wetland,NULL,Forest,NULL,Non_Wetland,Forest
164,Wetland,Wetland,Forest,NULL,Non_Wetland,Grassland
165,Wetland,Wetland,Forest,NULL,Non_Wetland,Forest
166,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
167,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
168,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland
169,Water,NULL,NULL,NULL,Non_Wetland,Grassland
170,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland
171,Water,NULL,Shrubland,NULL,Non_Wetland,Forest
172,Water,NULL,Wetland,NULL,Wetland,NULL
173,Water,NULL,Wetland,NULL,Wetland,Grassland
174,Water,NULL,Wetland,NULL,Wetland,Forest
175,Water,NULL,Forest,NULL,Non_Wetland,NULL
176,Water,NULL,Forest,NULL,Non_Wetland,Grassland
177,Water,NULL,Forest,NULL,Non_Wetland,Wetland
178,Water,NULL,Forest,NULL,Non_Wetland,Forest
179,Water,Water,Shrubland,NULL,Non_Wetland,Forest
180,Water,Water,Wetland,NULL,Wetland,Grassland
181,Water,Water,Wetland,NULL,Wetland,Forest
182,Water,Water,Forest,NULL,Non_Wetland,Forest
183,Water,Forest,Shrubland,NULL,Non_Wetland,Forest
184,Water,Forest,Forest,NULL,Non_Wetland,Grassland
185,Water,Forest,Forest,NULL,Non_Wetland,Forest
186,Forest,NULL,NULL,NULL,Non_Wetland,NULL
187,Forest,NULL,NULL,NULL,Non_Wetland,Grassland
188,Forest,NULL,NULL,NULL,Non_Wetland,Cropland
189,Forest,NULL,NULL,NULL,Non_Wetland,Wetland
190,Forest,NULL,NULL,NULL,Non_Wetland,Built-up
191,Forest,NULL,NULL,NULL,Non_Wetland,Forest
192,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
193,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland
194,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland
195,Forest,NULL,Shrubland,NULL,Non_Wetland,Built-up
196,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest
197,Forest,NULL,Grassland,NULL,Non_Wetland,NULL
198,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland
199,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland
200,Forest,NULL,Grassland,NULL,Non_Wetland,Forest
201,Forest,NULL,Cropland,NULL,Non_Wetland,NULL
202,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland
203,Forest,NULL,Cropland,NULL,Non_Wetland,Cropland
204,Forest,NULL,Cropland,NULL,Non_Wetland,Wetland
205,Forest,NULL,Cropland,NULL,Non_Wetland,Built-up
206,Forest,NULL,Cropland,NULL,Non_Wetland,Forest
207,Forest,NULL,Wetland,NULL,Wetland,Grassland
208,Forest,NULL,Wetland,NULL,Wetland,Wetland
209,Forest,NULL,Wetland,NULL,Wetland,Forest
210,Forest,NULL,Bareland,NULL,Non_Wetland,NULL
211,Forest,NULL,Bareland,NULL,Non_Wetland,Grassland
212,Forest,NULL,Bareland,NULL,Non_Wetland,Forest
213,Forest,NULL,Built-up,NULL,Non_Wetland,NULL
214,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland
215,Forest,NULL,Built-up,NULL,Non_Wetland,Built-up
216,Forest,NULL,Built-up,NULL,Non_Wetland,Forest
217,Forest,NULL,Forest,NULL,Non_Wetland,NULL
218,Forest,NULL,Forest,NULL,Non_Wetland,Grassland
219,Forest,NULL,Forest,NULL,Non_Wetland,Cropland
220,Forest,NULL,Forest,NULL,Non_Wetland,Wetland
221,Forest,NULL,Forest,NULL,Non_Wetland,Bareland
222,Forest,NULL,Forest,NULL,Non_Wetland,Built-up
223,Forest,NULL,Forest,NULL,Non_Wetland,Forest
224,Forest,NULL,Forest,Non_Water,Non_Wetland,Grassland
225,Forest,Cropland,Forest,NULL,Non_Wetland,Grassland
226,Forest,Wetland,Wetland,NULL,Wetland,Forest
227,Forest,Wetland,Forest,NULL,Non_Wetland,NULL
228,Forest,Wetland,Forest,NULL,Non_Wetland,Grassland
229,Forest,Wetland,Forest,NULL,Non_Wetland,Wetland
230,Forest,Wetland,Forest,NULL,Non_Wetland,Forest
231,Forest,Built-up,NULL,NULL,Non_Wetland,NULL
232,Forest,Built-up,NULL,NULL,Non_Wetland,Grassland
233,Forest,Built-up,NULL,NULL,Non_Wetland,Built-up
234,Forest,Built-up,NULL,NULL,Non_Wetland,Forest
235,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL
236,Forest,Built-up,Shrubland,NULL,Non_Wetland,Grassland
237,Forest,Built-up,Shrubland,NULL,Non_Wetland,Built-up
238,Forest,Built-up,Shrubland,NULL,Non_Wetland,Forest
239,Forest,Built-up,Grassland,NULL,Non_Wetland,Grassland
240,Forest,Built-up,Grassland,NULL,Non_Wetland,Forest
241,Forest,Built-up,Cropland,NULL,Non_Wetland,NULL
242,Forest,Built-up,Cropland,NULL,Non_Wetland,Grassland
243,Forest,Built-up,Cropland,NULL,Non_Wetland,Built-up
244,Forest,Built-up,Cropland,NULL,Non_Wetland,Forest
245,Forest,Built-up,Built-up,NULL,Non_Wetland,NULL
246,Forest,Built-up,Built-up,NULL,Non_Wetland,Grassland
247,Forest,Built-up,Built-up,NULL,Non_Wetland,Built-up
248,Forest,Built-up,Built-up,NULL,Non_Wetland,Forest
249,Forest,Built-up,Forest,NULL,Non_Wetland,NULL
250,Forest,Built-up,Forest,NULL,Non_Wetland,Grassland
251,Forest,Built-up,Forest,NULL,Non_Wetland,Built-up
252,Forest,Built-up,Forest,NULL,Non_Wetland,Forest
253,Forest,Water,NULL,NULL,Non_Wetland,Grassland
254,Forest,Water,Forest,NULL,Non_Wetland,Grassland
255,Forest,Forest,NULL,NULL,Non_Wetland,NULL
256,Forest,Forest,NULL,NULL,Non_Wetland,Grassland
257,Forest,Forest,NULL,NULL,Non_Wetland,Built-up
258,Forest,Forest,NULL,NULL,Non_Wetland,Forest
259,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL
260,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland
261,Forest,Forest,Shrubland,NULL,Non_Wetland,Wetland
262,Forest,Forest,Shrubland,NULL,Non_Wetland,Built-up
263,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest
264,Forest,Forest,Grassland,NULL,Non_Wetland,NULL
265,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland
266,Forest,Forest,Grassland,NULL,Non_Wetland,Forest
267,Forest,Forest,Cropland,NULL,Non_Wetland,NULL
268,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland
269,Forest,Forest,Cropland,NULL,Non_Wetland,Built-up
270,Forest,Forest,Cropland,NULL,Non_Wetland,Forest
271,Forest,Forest,Wetland,NULL,Wetland,Grassland
272,Forest,Forest,Wetland,NULL,Wetland,Forest
273,Forest,Forest,Bareland,NULL,Non_Wetland,NULL
274,Forest,Forest,Bareland,NULL,Non_Wetland,Grassland
275,Forest,Forest,Bareland,NULL,Non_Wetland,Forest
276,Forest,Forest,Built-up,NULL,Non_Wetland,NULL
277,Forest,Forest,Built-up,NULL,Non_Wetland,Grassland
278,Forest,Forest,Built-up,NULL,Non_Wetland,Built-up
279,Forest,Forest,Built-up,NULL,Non_Wetland,Forest
280,Forest,Forest,Water,NULL,Water,Forest
281,Forest,Forest,Forest,NULL,Non_Wetland,NULL
282,Forest,Forest,Forest,NULL,Non_Wetland,Grassland
283,Forest,Forest,Forest,NULL,Non_Wetland,Wetland
284,Forest,Forest,Forest,NULL,Non_Wetland,Built-up
285,Forest,Forest,Forest,NULL,Non_Wetland,Forest
286,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL
287,Forest,Forest,Forest,Non_Water,Non_Wetland,Grassland
288,Forest,Forest,Forest,Non_Water,Non_Wetland,Forest
