Value,AFRICA_2024_DynamicWorld_2024_35PML_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PML_M_R,AFRICA_2024_GLC_FCS30D_2022_35PML_M_R,AFRICA_2024_GSW_Yearly_2021_35PML_M_R,AFRICA_2024_GWL_FCS30D_2022_35PML_M_R,AFRICA_2024_WorldCover_2021_35PML_M_R
120,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
121,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
122,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
123,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
124,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
125,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
126,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
127,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
128,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
129,NULL,NULL,Built-up,Non_Water,Non_Wetland,Forest
130,NULL,NULL,Built-up,Water,Non_Wetland,NULL
131,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
132,NULL,NULL,Built-up,Water,Non_Wetland,Cropland
133,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
134,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
135,NULL,NULL,Water,NULL,Water,Grassland
136,NULL,NULL,Water,NULL,Water,Wetland
137,NULL,NULL,Water,NULL,Water,Bareland
138,NULL,NULL,Water,NULL,Water,Water
139,NULL,NULL,Water,NULL,Water,Forest
140,NULL,NULL,Water,Non_Water,Water,Grassland
141,NULL,NULL,Water,Non_Water,Water,Forest
142,NULL,NULL,Water,Water,Water,Grassland
143,NULL,NULL,Water,Water,Water,Wetland
144,NULL,NULL,Water,Water,Water,Bareland
145,NULL,NULL,Water,Water,Water,Water
146,NULL,NULL,Water,Water,Water,Forest
147,NULL,NULL,Forest,NULL,Non_Wetland,NULL
148,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
149,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
150,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
151,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
152,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
153,NULL,NULL,Forest,NULL,Non_Wetland,Forest
154,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
155,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
156,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
157,NULL,NULL,Forest,Water,Non_Wetland,Grassland
158,NULL,NULL,Forest,Water,Non_Wetland,Cropland
159,NULL,NULL,Forest,Water,Non_Wetland,Wetland
160,NULL,NULL,Forest,Water,Non_Wetland,Bareland
161,NULL,NULL,Forest,Water,Non_Wetland,Forest
162,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
163,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
164,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
165,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
166,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
167,NULL,Cropland,NULL,Water,Non_Wetland,Grassland
168,NULL,Cropland,NULL,Water,Non_Wetland,Cropland
169,NULL,Cropland,NULL,Water,Non_Wetland,Wetland
170,NULL,Cropland,NULL,Water,Non_Wetland,Bareland
171,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
172,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
173,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
174,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
175,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
176,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
177,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
178,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
179,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland
180,NULL,Cropland,Shrubland,Water,Non_Wetland,Wetland
181,NULL,Cropland,Shrubland,Water,Non_Wetland,Bareland
182,NULL,Cropland,Shrubland,Water,Non_Wetland,Water
183,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
184,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
185,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
186,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
187,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
188,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland
189,NULL,Cropland,Grassland,Water,Non_Wetland,Wetland
190,NULL,Cropland,Grassland,Water,Non_Wetland,Bareland
191,NULL,Cropland,Grassland,Water,Non_Wetland,Water
192,NULL,Cropland,Wetland,NULL,Wetland,NULL
193,NULL,Cropland,Wetland,NULL,Wetland,Grassland
194,NULL,Cropland,Wetland,NULL,Wetland,Cropland
195,NULL,Cropland,Wetland,NULL,Wetland,Wetland
196,NULL,Cropland,Wetland,NULL,Wetland,Forest
197,NULL,Cropland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
198,NULL,Cropland,Bareland,NULL,Non_Wetland,Wetland
199,NULL,Cropland,Built-up,Water,Non_Wetland,Wetland
200,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
201,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
202,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
203,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
204,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
205,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
206,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
207,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
208,NULL,Wetland,NULL,Water,Non_Wetland,Grassland
209,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
210,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
211,NULL,Wetland,Shrubland,NULL,Non_Wetland,Cropland
212,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
213,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
214,NULL,Wetland,Shrubland,NULL,Non_Wetland,Built-up
215,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
216,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
217,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
218,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
219,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
220,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
221,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
222,NULL,Wetland,Shrubland,Water,Non_Wetland,Cropland
223,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
224,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
225,NULL,Wetland,Shrubland,Water,Non_Wetland,Forest
226,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
227,NULL,Wetland,Wetland,NULL,Wetland,NULL
228,NULL,Wetland,Wetland,NULL,Wetland,Grassland
229,NULL,Wetland,Wetland,NULL,Wetland,Wetland
230,NULL,Wetland,Wetland,NULL,Wetland,Forest
231,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
232,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
233,NULL,Wetland,Wetland,Non_Water,Wetland,Forest
234,NULL,Wetland,Wetland,Water,Wetland,Grassland
235,NULL,Wetland,Wetland,Water,Wetland,Wetland
236,NULL,Wetland,Wetland,Water,Wetland,Forest
237,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
238,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
239,NULL,Wetland,Water,NULL,Water,Grassland
240,NULL,Wetland,Water,NULL,Water,Forest
241,NULL,Wetland,Water,Non_Water,Water,Wetland
242,NULL,Wetland,Water,Water,Water,Grassland
243,NULL,Wetland,Water,Water,Water,Bareland
244,NULL,Wetland,Water,Water,Water,Water
245,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
246,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
247,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
248,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
249,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
250,NULL,Bareland,NULL,NULL,Non_Wetland,Grassland
251,NULL,Bareland,NULL,Water,Non_Wetland,Grassland
252,NULL,Bareland,NULL,Water,Non_Wetland,Wetland
253,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
254,NULL,Bareland,Shrubland,NULL,Non_Wetland,Wetland
255,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
256,NULL,Bareland,Shrubland,Water,Non_Wetland,Wetland
257,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
258,NULL,Bareland,Grassland,Water,Non_Wetland,Wetland
259,NULL,Bareland,Grassland,Water,Non_Wetland,Bareland
260,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
261,NULL,Bareland,Cropland,Water,Non_Wetland,Wetland
262,NULL,Bareland,Cropland,Water,Non_Wetland,Bareland
263,NULL,Bareland,Wetland,Water,Wetland,Bareland
264,NULL,Bareland,Wetland,Water,Wetland,Water
265,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
266,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
267,NULL,Bareland,Bareland,Water,Non_Wetland,Wetland
268,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
269,NULL,Bareland,Bareland,Water,Non_Wetland,Water
270,NULL,Bareland,Water,Water,Water,Wetland
271,NULL,Bareland,Water,Water,Water,Bareland
272,NULL,Bareland,Water,Water,Water,Water
273,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
274,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
275,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
276,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
277,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
278,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
279,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
280,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
281,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
282,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
283,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
284,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
285,NULL,Built-up,Shrubland,Water,Non_Wetland,Forest
286,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
287,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
288,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
289,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
290,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
291,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
292,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
293,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
294,NULL,Built-up,Wetland,NULL,Wetland,Forest
295,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
296,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
297,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
298,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
299,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
300,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
301,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
302,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
303,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
304,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
305,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
306,NULL,Water,NULL,NULL,Non_Wetland,NULL
307,NULL,Water,NULL,NULL,Non_Wetland,Grassland
308,NULL,Water,NULL,NULL,Non_Wetland,Cropland
309,NULL,Water,NULL,NULL,Non_Wetland,Wetland
310,NULL,Water,NULL,NULL,Non_Wetland,Bareland
311,NULL,Water,NULL,NULL,Non_Wetland,Water
312,NULL,Water,NULL,NULL,Non_Wetland,Forest
313,NULL,Water,NULL,Non_Water,Non_Wetland,Grassland
314,NULL,Water,NULL,Non_Water,Non_Wetland,Wetland
315,NULL,Water,NULL,Non_Water,Non_Wetland,Bareland
316,NULL,Water,NULL,Non_Water,Non_Wetland,Water
317,NULL,Water,NULL,Non_Water,Non_Wetland,Forest
318,NULL,Water,NULL,Water,Non_Wetland,Grassland
319,NULL,Water,NULL,Water,Non_Wetland,Cropland
320,NULL,Water,NULL,Water,Non_Wetland,Wetland
321,NULL,Water,NULL,Water,Non_Wetland,Bareland
322,NULL,Water,NULL,Water,Non_Wetland,Water
323,NULL,Water,NULL,Water,Non_Wetland,Forest
324,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
325,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
326,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
327,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
328,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
329,NULL,Water,Shrubland,NULL,Non_Wetland,Water
330,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
331,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL
332,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
333,NULL,Water,Shrubland,Non_Water,Non_Wetland,Cropland
334,NULL,Water,Shrubland,Non_Water,Non_Wetland,Wetland
335,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland
336,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
337,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
338,NULL,Water,Shrubland,Water,Non_Wetland,NULL
339,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
340,NULL,Water,Shrubland,Water,Non_Wetland,Cropland
341,NULL,Water,Shrubland,Water,Non_Wetland,Wetland
342,NULL,Water,Shrubland,Water,Non_Wetland,Bareland
343,NULL,Water,Shrubland,Water,Non_Wetland,Water
344,NULL,Water,Shrubland,Water,Non_Wetland,Forest
345,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
346,NULL,Water,Grassland,NULL,Non_Wetland,Cropland
347,NULL,Water,Grassland,NULL,Non_Wetland,Wetland
348,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
349,NULL,Water,Grassland,NULL,Non_Wetland,Water
350,NULL,Water,Grassland,Non_Water,Non_Wetland,Grassland
351,NULL,Water,Grassland,Non_Water,Non_Wetland,Cropland
352,NULL,Water,Grassland,Non_Water,Non_Wetland,Wetland
353,NULL,Water,Grassland,Non_Water,Non_Wetland,Bareland
354,NULL,Water,Grassland,Non_Water,Non_Wetland,Water
355,NULL,Water,Grassland,Non_Water,Non_Wetland,Forest
356,NULL,Water,Grassland,Water,Non_Wetland,Grassland
357,NULL,Water,Grassland,Water,Non_Wetland,Wetland
358,NULL,Water,Grassland,Water,Non_Wetland,Bareland
359,NULL,Water,Grassland,Water,Non_Wetland,Water
360,NULL,Water,Grassland,Water,Non_Wetland,Forest
361,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
362,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
363,NULL,Water,Cropland,NULL,Non_Wetland,Wetland
364,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
365,NULL,Water,Cropland,NULL,Non_Wetland,Water
366,NULL,Water,Cropland,NULL,Non_Wetland,Forest
367,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland
368,NULL,Water,Cropland,Non_Water,Non_Wetland,Wetland
369,NULL,Water,Cropland,Non_Water,Non_Wetland,Bareland
370,NULL,Water,Cropland,Non_Water,Non_Wetland,Water
371,NULL,Water,Cropland,Non_Water,Non_Wetland,Forest
372,NULL,Water,Cropland,Water,Non_Wetland,Grassland
373,NULL,Water,Cropland,Water,Non_Wetland,Cropland
374,NULL,Water,Cropland,Water,Non_Wetland,Wetland
375,NULL,Water,Cropland,Water,Non_Wetland,Bareland
376,NULL,Water,Cropland,Water,Non_Wetland,Water
377,NULL,Water,Cropland,Water,Non_Wetland,Forest
378,NULL,Water,Wetland,NULL,Wetland,NULL
379,NULL,Water,Wetland,NULL,Wetland,Grassland
380,NULL,Water,Wetland,NULL,Wetland,Wetland
381,NULL,Water,Wetland,NULL,Wetland,Water
382,NULL,Water,Wetland,NULL,Wetland,Forest
383,NULL,Water,Wetland,Non_Water,Wetland,Grassland
384,NULL,Water,Wetland,Non_Water,Wetland,Wetland
385,NULL,Water,Wetland,Non_Water,Wetland,Water
386,NULL,Water,Wetland,Non_Water,Wetland,Forest
387,NULL,Water,Wetland,Water,Wetland,Grassland
388,NULL,Water,Wetland,Water,Wetland,Wetland
389,NULL,Water,Wetland,Water,Wetland,Water
390,NULL,Water,Wetland,Water,Wetland,Forest
391,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
392,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Grassland
393,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Wetland
394,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Bareland
395,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Water
396,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Forest
397,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
398,NULL,Water,Bareland,NULL,Non_Wetland,Wetland
399,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
400,NULL,Water,Bareland,NULL,Non_Wetland,Water
401,NULL,Water,Bareland,NULL,Non_Wetland,Forest
402,NULL,Water,Bareland,Non_Water,Non_Wetland,Grassland
403,NULL,Water,Bareland,Non_Water,Non_Wetland,Cropland
404,NULL,Water,Bareland,Non_Water,Non_Wetland,Wetland
405,NULL,Water,Bareland,Non_Water,Non_Wetland,Bareland
406,NULL,Water,Bareland,Non_Water,Non_Wetland,Water
407,NULL,Water,Bareland,Non_Water,Non_Wetland,Forest
408,NULL,Water,Bareland,Water,Non_Wetland,Grassland
409,NULL,Water,Bareland,Water,Non_Wetland,Cropland
410,NULL,Water,Bareland,Water,Non_Wetland,Wetland
411,NULL,Water,Bareland,Water,Non_Wetland,Bareland
412,NULL,Water,Bareland,Water,Non_Wetland,Water
413,NULL,Water,Bareland,Water,Non_Wetland,Forest
414,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
415,NULL,Water,Built-up,NULL,Non_Wetland,Wetland
416,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
417,NULL,Water,Built-up,NULL,Non_Wetland,Forest
418,NULL,Water,Built-up,Non_Water,Non_Wetland,Grassland
419,NULL,Water,Built-up,Water,Non_Wetland,Grassland
420,NULL,Water,Built-up,Water,Non_Wetland,Cropland
421,NULL,Water,Built-up,Water,Non_Wetland,Wetland
422,NULL,Water,Built-up,Water,Non_Wetland,Bareland
423,NULL,Water,Built-up,Water,Non_Wetland,Water
424,NULL,Water,Built-up,Water,Non_Wetland,Forest
425,NULL,Water,Water,NULL,Water,Grassland
426,NULL,Water,Water,NULL,Water,Wetland
427,NULL,Water,Water,NULL,Water,Bareland
428,NULL,Water,Water,NULL,Water,Water
429,NULL,Water,Water,NULL,Water,Forest
430,NULL,Water,Water,Non_Water,Water,Grassland
431,NULL,Water,Water,Non_Water,Water,Wetland
432,NULL,Water,Water,Non_Water,Water,Bareland
433,NULL,Water,Water,Non_Water,Water,Water
434,NULL,Water,Water,Non_Water,Water,Forest
435,NULL,Water,Water,Water,Water,Grassland
436,NULL,Water,Water,Water,Water,Cropland
437,NULL,Water,Water,Water,Water,Wetland
