Value,AFRICA_2024_DynamicWorld_2024_38NKN_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38NKN_M_R,AFRICA_2024_GLC_FCS30D_2022_38NKN_M_R,AFRICA_2024_GSW_Yearly_2021_38NKN_M_R,AFRICA_2024_GWL_FCS30D_2022_38NKN_M_R,AFRICA_2024_WorldCover_2021_38NKN_M_R
121,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
122,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
123,NULL,Cropland,Water,NULL,Water,Grassland
124,NULL,Cropland,Water,Non_Water,Water,Bareland
125,NULL,Cropland,Water,Non_Water,Water,Forest
126,NULL,Cropland,Water,Water,Water,Grassland
127,NULL,Cropland,Water,Water,Water,Bareland
128,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
129,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
130,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
131,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
132,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
133,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
134,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
135,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
136,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
137,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
138,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
139,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
140,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
141,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
142,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
143,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
144,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
145,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
146,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
147,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
148,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
149,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
150,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
151,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
152,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
153,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
154,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
155,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
156,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
157,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
158,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
159,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
160,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
161,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
162,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
163,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
164,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
165,NULL,Water,Grassland,NULL,Non_Wetland,NULL
166,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
167,NULL,Water,Cropland,NULL,Non_Wetland,NULL
168,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
169,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
170,NULL,Water,Cropland,Non_Water,Non_Wetland,Cropland
171,NULL,Water,Wetland,NULL,Wetland,Grassland
172,NULL,Water,Bareland,NULL,Non_Wetland,NULL
173,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
174,NULL,Water,Forest,NULL,Non_Wetland,NULL
175,NULL,Water,Forest,NULL,Non_Wetland,Grassland
176,NULL,Water,Forest,NULL,Non_Wetland,Forest
177,NULL,Forest,NULL,NULL,Non_Wetland,NULL
178,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
179,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
180,NULL,Forest,NULL,NULL,Non_Wetland,Water
181,NULL,Forest,NULL,NULL,Non_Wetland,Forest
182,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
183,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
184,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
185,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
186,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
187,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
188,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
189,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
190,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL
191,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland
192,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
193,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
194,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
195,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
196,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland
197,NULL,Forest,Cropland,Water,Non_Wetland,Grassland
198,NULL,Forest,Wetland,NULL,Wetland,NULL
199,NULL,Forest,Wetland,NULL,Wetland,Grassland
200,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
201,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
202,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
203,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
204,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
205,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
206,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
207,NULL,Forest,Forest,NULL,Non_Wetland,NULL
208,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
209,NULL,Forest,Forest,NULL,Non_Wetland,Water
210,NULL,Forest,Forest,NULL,Non_Wetland,Forest
211,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
212,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
213,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
214,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
215,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
216,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
217,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
218,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
219,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
220,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
221,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
222,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
223,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
224,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
225,Grassland,NULL,Wetland,NULL,Wetland,Grassland
226,Grassland,NULL,Wetland,NULL,Wetland,Cropland
227,Grassland,NULL,Wetland,Water,Wetland,Grassland
228,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
229,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
230,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
231,Grassland,Cropland,Grassland,NULL,Non_Wetland,Forest
232,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
233,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
234,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
235,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest
236,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
237,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
238,Grassland,Cropland,Wetland,NULL,Wetland,Grassland
239,Grassland,Cropland,Wetland,NULL,Wetland,Cropland
240,Grassland,Cropland,Wetland,NULL,Wetland,Forest
241,Grassland,Water,Grassland,NULL,Non_Wetland,Grassland
242,Grassland,Water,Grassland,NULL,Non_Wetland,Cropland
243,Grassland,Water,Cropland,NULL,Non_Wetland,Cropland
244,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
245,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland
246,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL
247,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
248,Grassland,Forest,Grassland,NULL,Non_Wetland,Cropland
249,Grassland,Forest,Grassland,Non_Water,Non_Wetland,Grassland
250,Grassland,Forest,Grassland,Non_Water,Non_Wetland,Cropland
251,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
252,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
253,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland
254,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
255,Grassland,Forest,Cropland,Non_Water,Non_Wetland,Grassland
256,Grassland,Forest,Cropland,Non_Water,Non_Wetland,Cropland
257,Grassland,Forest,Wetland,NULL,Wetland,Grassland
258,Grassland,Forest,Wetland,Non_Water,Wetland,Grassland
259,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
260,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
261,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
262,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
263,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
264,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland
265,Cropland,NULL,NULL,Non_Water,Non_Wetland,Forest
266,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
267,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
268,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
269,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
270,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
271,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
272,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
273,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
274,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
275,Cropland,NULL,Shrubland,Water,Non_Wetland,Cropland
276,Cropland,NULL,Shrubland,Water,Non_Wetland,Bareland
277,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
278,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
279,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
280,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
281,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
282,Cropland,NULL,Grassland,NULL,Non_Wetland,Water
283,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
284,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL
285,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
286,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
287,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
288,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Forest
289,Cropland,NULL,Grassland,Water,Non_Wetland,NULL
290,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
291,Cropland,NULL,Grassland,Water,Non_Wetland,Cropland
292,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
293,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
294,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
295,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
296,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
297,Cropland,NULL,Cropland,NULL,Non_Wetland,Water
298,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
299,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL
300,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
301,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
302,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Bareland
303,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Forest
304,Cropland,NULL,Cropland,Water,Non_Wetland,NULL
305,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
306,Cropland,NULL,Cropland,Water,Non_Wetland,Cropland
307,Cropland,NULL,Cropland,Water,Non_Wetland,Wetland
308,Cropland,NULL,Cropland,Water,Non_Wetland,Bareland
309,Cropland,NULL,Cropland,Water,Non_Wetland,Forest
310,Cropland,NULL,Wetland,NULL,Wetland,NULL
311,Cropland,NULL,Wetland,NULL,Wetland,Grassland
312,Cropland,NULL,Wetland,NULL,Wetland,Cropland
313,Cropland,NULL,Wetland,NULL,Wetland,Bareland
314,Cropland,NULL,Wetland,NULL,Wetland,Forest
315,Cropland,NULL,Wetland,Non_Water,Wetland,Grassland
316,Cropland,NULL,Wetland,Non_Water,Wetland,Cropland
317,Cropland,NULL,Wetland,Non_Water,Wetland,Wetland
318,Cropland,NULL,Wetland,Non_Water,Wetland,Bareland
319,Cropland,NULL,Wetland,Non_Water,Wetland,Forest
320,Cropland,NULL,Wetland,Water,Wetland,Grassland
321,Cropland,NULL,Wetland,Water,Wetland,Cropland
322,Cropland,NULL,Wetland,Water,Wetland,Wetland
323,Cropland,NULL,Wetland,Water,Wetland,Bareland
324,Cropland,NULL,Wetland,Water,Wetland,Forest
325,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
326,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
327,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
328,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
329,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
330,Cropland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
331,Cropland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
332,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
333,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
334,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
335,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
336,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
337,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
338,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Cropland
339,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
340,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
341,Cropland,NULL,Bareland,Water,Non_Wetland,Cropland
342,Cropland,NULL,Bareland,Water,Non_Wetland,Bareland
343,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
344,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
345,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
346,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
347,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
348,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Cropland
349,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Bareland
350,Cropland,NULL,Water,NULL,Water,Grassland
351,Cropland,NULL,Water,NULL,Water,Cropland
352,Cropland,NULL,Water,NULL,Water,Bareland
353,Cropland,NULL,Water,NULL,Water,Water
354,Cropland,NULL,Water,NULL,Water,Forest
355,Cropland,NULL,Water,Non_Water,Water,Grassland
356,Cropland,NULL,Water,Non_Water,Water,Cropland
357,Cropland,NULL,Water,Non_Water,Water,Bareland
358,Cropland,NULL,Water,Water,Water,Grassland
359,Cropland,NULL,Water,Water,Water,Cropland
360,Cropland,NULL,Water,Water,Water,Wetland
361,Cropland,NULL,Water,Water,Water,Bareland
362,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
363,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
364,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
365,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
366,Cropland,NULL,Forest,Water,Non_Wetland,Bareland
367,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
368,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
369,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
370,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
371,Cropland,Cropland,NULL,Non_Water,Non_Wetland,Grassland
372,Cropland,Cropland,NULL,Non_Water,Non_Wetland,Cropland
373,Cropland,Cropland,NULL,Non_Water,Non_Wetland,Forest
374,Cropland,Cropland,NULL,Water,Non_Wetland,Grassland
375,Cropland,Cropland,NULL,Water,Non_Wetland,Cropland
376,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
377,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
378,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
379,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
380,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
381,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
382,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
383,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Bareland
384,Cropland,Cropland,Shrubland,Water,Non_Wetland,Grassland
385,Cropland,Cropland,Shrubland,Water,Non_Wetland,Cropland
386,Cropland,Cropland,Shrubland,Water,Non_Wetland,Bareland
387,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
388,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
389,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
390,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
391,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
392,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL
393,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
394,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
395,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Bareland
396,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Forest
397,Cropland,Cropland,Grassland,Water,Non_Wetland,Grassland
398,Cropland,Cropland,Grassland,Water,Non_Wetland,Cropland
399,Cropland,Cropland,Grassland,Water,Non_Wetland,Bareland
400,Cropland,Cropland,Grassland,Water,Non_Wetland,Forest
401,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
402,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
403,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
404,Cropland,Cropland,Cropland,NULL,Non_Wetland,Wetland
405,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland
406,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
407,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
408,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
409,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Wetland
410,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Bareland
411,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Forest
412,Cropland,Cropland,Cropland,Water,Non_Wetland,Grassland
413,Cropland,Cropland,Cropland,Water,Non_Wetland,Cropland
414,Cropland,Cropland,Cropland,Water,Non_Wetland,Wetland
415,Cropland,Cropland,Cropland,Water,Non_Wetland,Bareland
416,Cropland,Cropland,Cropland,Water,Non_Wetland,Forest
417,Cropland,Cropland,Wetland,NULL,Wetland,Grassland
418,Cropland,Cropland,Wetland,NULL,Wetland,Cropland
419,Cropland,Cropland,Wetland,NULL,Wetland,Wetland
420,Cropland,Cropland,Wetland,NULL,Wetland,Bareland
421,Cropland,Cropland,Wetland,NULL,Wetland,Forest
