Value,AFRICA_2024_DynamicWorld_2024_36NTJ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NTJ_M_R,AFRICA_2024_GLC_FCS30D_2022_36NTJ_M_R,AFRICA_2024_GSW_Yearly_2021_36NTJ_M_R,AFRICA_2024_GWL_FCS30D_2022_36NTJ_M_R,AFRICA_2024_WorldCover_2021_36NTJ_M_R
121,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
122,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
123,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
124,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
125,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
126,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
127,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
128,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
129,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
130,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
131,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
132,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
133,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
134,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
135,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
136,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
137,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
138,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland
139,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
140,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
141,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
142,NULL,Built-up,Wetland,NULL,Wetland,NULL
143,NULL,Built-up,Wetland,NULL,Wetland,Forest
144,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
145,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
146,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
147,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
148,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
149,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
150,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
151,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
152,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
153,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
154,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
155,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
156,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
157,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
158,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
159,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
160,NULL,Built-up,Forest,Water,Non_Wetland,NULL
161,NULL,Water,NULL,NULL,Non_Wetland,NULL
162,NULL,Water,NULL,NULL,Non_Wetland,Grassland
163,NULL,Water,NULL,NULL,Non_Wetland,Bareland
164,NULL,Water,NULL,NULL,Non_Wetland,Water
165,NULL,Water,NULL,NULL,Non_Wetland,Forest
166,NULL,Water,NULL,Non_Water,Non_Wetland,NULL
167,NULL,Water,NULL,Water,Non_Wetland,NULL
168,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
169,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
170,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
171,NULL,Water,Shrubland,NULL,Non_Wetland,Water
172,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
173,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL
174,NULL,Water,Shrubland,Water,Non_Wetland,NULL
175,NULL,Water,Shrubland,Water,Non_Wetland,Water
176,NULL,Water,Grassland,NULL,Non_Wetland,NULL
177,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
178,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
179,NULL,Water,Grassland,NULL,Non_Wetland,Forest
180,NULL,Water,Grassland,Water,Non_Wetland,NULL
181,NULL,Water,Cropland,NULL,Non_Wetland,NULL
182,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
183,NULL,Water,Cropland,NULL,Non_Wetland,Wetland
184,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
185,NULL,Water,Cropland,NULL,Non_Wetland,Forest
186,NULL,Water,Cropland,Non_Water,Non_Wetland,NULL
187,NULL,Water,Cropland,Water,Non_Wetland,Forest
188,NULL,Water,Wetland,NULL,Wetland,NULL
189,NULL,Water,Wetland,NULL,Wetland,Grassland
190,NULL,Water,Wetland,NULL,Wetland,Wetland
191,NULL,Water,Wetland,NULL,Wetland,Bareland
192,NULL,Water,Wetland,NULL,Wetland,Forest
193,NULL,Water,Wetland,Non_Water,Wetland,NULL
194,NULL,Water,Wetland,Non_Water,Wetland,Bareland
195,NULL,Water,Wetland,Non_Water,Wetland,Forest
196,NULL,Water,Wetland,Water,Wetland,NULL
197,NULL,Water,Wetland,Water,Wetland,Forest
198,NULL,Water,Bareland,NULL,Non_Wetland,NULL
199,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
200,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
201,NULL,Water,Bareland,NULL,Non_Wetland,Water
202,NULL,Water,Bareland,NULL,Non_Wetland,Forest
203,NULL,Water,Bareland,Non_Water,Non_Wetland,NULL
204,NULL,Water,Bareland,Water,Non_Wetland,NULL
205,NULL,Water,Bareland,Water,Non_Wetland,Grassland
206,NULL,Water,Bareland,Water,Non_Wetland,Water
207,NULL,Water,Built-up,NULL,Non_Wetland,NULL
208,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
209,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
210,NULL,Water,Built-up,NULL,Non_Wetland,Forest
211,NULL,Water,Built-up,Non_Water,Non_Wetland,NULL
212,NULL,Water,Built-up,Non_Water,Non_Wetland,Forest
213,NULL,Water,Built-up,Water,Non_Wetland,NULL
214,NULL,Water,Water,NULL,Water,NULL
215,NULL,Water,Water,NULL,Water,Grassland
216,NULL,Water,Water,NULL,Water,Bareland
217,NULL,Water,Water,NULL,Water,Water
218,NULL,Water,Water,NULL,Water,Forest
219,NULL,Water,Water,Non_Water,Water,NULL
220,NULL,Water,Water,Water,Water,NULL
221,NULL,Water,Water,Water,Water,Bareland
222,NULL,Water,Water,Water,Water,Forest
223,NULL,Water,Forest,NULL,Non_Wetland,NULL
224,NULL,Water,Forest,NULL,Non_Wetland,Grassland
225,NULL,Water,Forest,NULL,Non_Wetland,Bareland
226,NULL,Water,Forest,NULL,Non_Wetland,Forest
227,NULL,Water,Forest,Non_Water,Non_Wetland,NULL
228,NULL,Water,Forest,Non_Water,Non_Wetland,Bareland
229,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
230,NULL,Water,Forest,Water,Non_Wetland,NULL
231,NULL,Water,Forest,Water,Non_Wetland,Forest
232,NULL,Forest,NULL,NULL,Non_Wetland,NULL
233,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
234,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
235,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
236,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
237,NULL,Forest,NULL,NULL,Non_Wetland,Forest
238,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL
239,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
240,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
241,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
242,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
243,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
244,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
245,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
246,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
247,NULL,Forest,Shrubland,Water,Non_Wetland,NULL
248,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
249,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
250,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
251,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
252,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
253,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
254,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
255,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
256,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
257,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
258,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
259,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL
260,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland
261,NULL,Forest,Cropland,Non_Water,Non_Wetland,Forest
262,NULL,Forest,Wetland,NULL,Wetland,NULL
263,NULL,Forest,Wetland,NULL,Wetland,Grassland
264,NULL,Forest,Wetland,NULL,Wetland,Wetland
265,NULL,Forest,Wetland,NULL,Wetland,Built-up
266,NULL,Forest,Wetland,NULL,Wetland,Forest
267,NULL,Forest,Wetland,Non_Water,Wetland,NULL
268,NULL,Forest,Wetland,Water,Wetland,NULL
269,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
270,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
271,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
272,NULL,Forest,Bareland,NULL,Non_Wetland,Built-up
273,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
274,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
275,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
276,NULL,Forest,Built-up,NULL,Non_Wetland,Cropland
277,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
278,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
279,NULL,Forest,Water,NULL,Water,NULL
280,NULL,Forest,Water,NULL,Water,Forest
281,NULL,Forest,Water,Water,Water,NULL
282,NULL,Forest,Forest,NULL,Non_Wetland,NULL
283,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
284,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
285,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
286,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
287,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
288,NULL,Forest,Forest,NULL,Non_Wetland,Forest
289,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
290,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
291,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
292,NULL,Forest,Forest,Water,Non_Wetland,NULL
293,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
294,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
295,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
296,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
297,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
298,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
299,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
300,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
301,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
302,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
303,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
304,Grassland,NULL,Wetland,NULL,Wetland,Grassland
305,Grassland,NULL,Wetland,NULL,Wetland,Wetland
306,Grassland,NULL,Wetland,NULL,Wetland,Forest
307,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
308,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
309,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
310,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
311,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
312,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
313,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
314,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
315,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
316,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
317,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
318,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
319,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
320,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
321,Grassland,Forest,Wetland,NULL,Wetland,Grassland
322,Grassland,Forest,Wetland,NULL,Wetland,Forest
323,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
324,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
325,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland
326,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
327,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
328,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
329,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
330,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
331,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
332,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
333,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
334,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
335,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
336,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
337,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
338,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
339,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
340,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
341,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
342,Cropland,NULL,Forest,NULL,Non_Wetland,Built-up
343,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
344,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
345,Cropland,Built-up,NULL,NULL,Non_Wetland,Built-up
346,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
347,Cropland,Forest,NULL,NULL,Non_Wetland,Cropland
348,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL
349,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland
350,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest
351,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
352,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
353,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
354,Water,NULL,NULL,NULL,Non_Wetland,NULL
355,Water,NULL,NULL,NULL,Non_Wetland,Grassland
356,Water,NULL,NULL,NULL,Non_Wetland,Cropland
357,Water,NULL,NULL,NULL,Non_Wetland,Built-up
358,Water,NULL,NULL,NULL,Non_Wetland,Forest
359,Water,NULL,NULL,Non_Water,Non_Wetland,NULL
360,Water,NULL,Shrubland,NULL,Non_Wetland,NULL
361,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland
362,Water,NULL,Shrubland,NULL,Non_Wetland,Cropland
363,Water,NULL,Shrubland,NULL,Non_Wetland,Built-up
364,Water,NULL,Shrubland,NULL,Non_Wetland,Forest
365,Water,NULL,Grassland,NULL,Non_Wetland,Grassland
366,Water,NULL,Grassland,NULL,Non_Wetland,Forest
367,Water,NULL,Cropland,NULL,Non_Wetland,NULL
368,Water,NULL,Cropland,NULL,Non_Wetland,Grassland
369,Water,NULL,Cropland,NULL,Non_Wetland,Cropland
370,Water,NULL,Cropland,NULL,Non_Wetland,Bareland
371,Water,NULL,Cropland,NULL,Non_Wetland,Built-up
372,Water,NULL,Cropland,NULL,Non_Wetland,Forest
373,Water,NULL,Wetland,NULL,Wetland,Forest
374,Water,NULL,Bareland,NULL,Non_Wetland,NULL
375,Water,NULL,Bareland,NULL,Non_Wetland,Forest
376,Water,NULL,Built-up,NULL,Non_Wetland,NULL
377,Water,NULL,Built-up,NULL,Non_Wetland,Grassland
378,Water,NULL,Built-up,NULL,Non_Wetland,Cropland
379,Water,NULL,Built-up,NULL,Non_Wetland,Built-up
380,Water,NULL,Built-up,NULL,Non_Wetland,Forest
381,Water,NULL,Forest,NULL,Non_Wetland,NULL
382,Water,NULL,Forest,NULL,Non_Wetland,Grassland
383,Water,NULL,Forest,NULL,Non_Wetland,Cropland
384,Water,NULL,Forest,NULL,Non_Wetland,Built-up
385,Water,NULL,Forest,NULL,Non_Wetland,Forest
386,Water,NULL,Forest,Non_Water,Non_Wetland,NULL
387,Water,NULL,Forest,Non_Water,Non_Wetland,Forest
388,Water,Cropland,NULL,NULL,Non_Wetland,NULL
389,Water,Cropland,NULL,NULL,Non_Wetland,Grassland
390,Water,Cropland,NULL,NULL,Non_Wetland,Cropland
391,Water,Cropland,NULL,NULL,Non_Wetland,Forest
392,Water,Cropland,Shrubland,NULL,Non_Wetland,NULL
393,Water,Cropland,Shrubland,NULL,Non_Wetland,Grassland
394,Water,Cropland,Shrubland,NULL,Non_Wetland,Cropland
395,Water,Cropland,Cropland,NULL,Non_Wetland,NULL
396,Water,Cropland,Cropland,NULL,Non_Wetland,Grassland
397,Water,Cropland,Cropland,NULL,Non_Wetland,Cropland
398,Water,Cropland,Cropland,NULL,Non_Wetland,Built-up
399,Water,Cropland,Cropland,NULL,Non_Wetland,Forest
400,Water,Cropland,Built-up,NULL,Non_Wetland,Grassland
401,Water,Cropland,Forest,NULL,Non_Wetland,NULL
402,Water,Cropland,Forest,NULL,Non_Wetland,Grassland
403,Water,Cropland,Forest,NULL,Non_Wetland,Cropland
404,Water,Cropland,Forest,NULL,Non_Wetland,Built-up
405,Water,Cropland,Forest,NULL,Non_Wetland,Forest
406,Water,Built-up,NULL,NULL,Non_Wetland,NULL
407,Water,Built-up,NULL,NULL,Non_Wetland,Grassland
408,Water,Built-up,NULL,NULL,Non_Wetland,Cropland
409,Water,Built-up,NULL,NULL,Non_Wetland,Built-up
410,Water,Built-up,NULL,NULL,Non_Wetland,Forest
411,Water,Built-up,Shrubland,NULL,Non_Wetland,NULL
412,Water,Built-up,Shrubland,NULL,Non_Wetland,Grassland
413,Water,Built-up,Shrubland,NULL,Non_Wetland,Cropland
414,Water,Built-up,Shrubland,NULL,Non_Wetland,Built-up
415,Water,Built-up,Shrubland,NULL,Non_Wetland,Forest
416,Water,Built-up,Grassland,NULL,Non_Wetland,Grassland
417,Water,Built-up,Grassland,NULL,Non_Wetland,Built-up
418,Water,Built-up,Cropland,NULL,Non_Wetland,NULL
419,Water,Built-up,Cropland,NULL,Non_Wetland,Grassland
420,Water,Built-up,Cropland,NULL,Non_Wetland,Cropland
421,Water,Built-up,Cropland,NULL,Non_Wetland,Built-up
422,Water,Built-up,Cropland,NULL,Non_Wetland,Forest
423,Water,Built-up,Built-up,NULL,Non_Wetland,NULL
424,Water,Built-up,Built-up,NULL,Non_Wetland,Grassland
425,Water,Built-up,Built-up,NULL,Non_Wetland,Cropland
426,Water,Built-up,Built-up,NULL,Non_Wetland,Built-up
427,Water,Built-up,Built-up,NULL,Non_Wetland,Forest
428,Water,Built-up,Forest,NULL,Non_Wetland,NULL
429,Water,Built-up,Forest,NULL,Non_Wetland,Grassland
430,Water,Built-up,Forest,NULL,Non_Wetland,Cropland
431,Water,Built-up,Forest,NULL,Non_Wetland,Built-up
432,Water,Built-up,Forest,NULL,Non_Wetland,Forest
433,Water,Water,Shrubland,NULL,Non_Wetland,Grassland
434,Water,Water,Shrubland,NULL,Non_Wetland,Wetland
435,Water,Water,Wetland,NULL,Wetland,Grassland
436,Water,Water,Built-up,NULL,Non_Wetland,Grassland
