Value,AFRICA_2024_DynamicWorld_2024_36NWJ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NWJ_M_R,AFRICA_2024_GLC_FCS30D_2022_36NWJ_M_R,AFRICA_2024_GSW_Yearly_2021_36NWJ_M_R,AFRICA_2024_GWL_FCS30D_2022_36NWJ_M_R,AFRICA_2024_WorldCover_2021_36NWJ_M_R
122,NULL,Cropland,Wetland,NULL,Wetland,NULL
123,NULL,Cropland,Wetland,NULL,Wetland,Wetland
124,NULL,Cropland,Wetland,NULL,Wetland,Forest
125,NULL,Cropland,Wetland,Non_Water,Wetland,NULL
126,NULL,Cropland,Wetland,Water,Wetland,Wetland
127,NULL,Cropland,Wetland,Water,Wetland,Bareland
128,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
129,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
130,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
131,NULL,Cropland,Bareland,NULL,Non_Wetland,Wetland
132,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
133,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
134,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
135,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
136,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
137,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
138,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
139,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
140,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
141,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
142,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
143,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
144,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
145,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
146,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
147,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
148,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL
149,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
150,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL
151,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
152,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
153,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL
154,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL
155,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL
156,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL
157,NULL,Wetland,Wetland,NULL,Wetland,NULL
158,NULL,Wetland,Wetland,Non_Water,Wetland,NULL
159,NULL,Wetland,Wetland,Water,Wetland,NULL
160,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL
161,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
162,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL
163,NULL,Wetland,Forest,Water,Non_Wetland,NULL
164,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
165,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
166,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
167,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
168,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
169,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
170,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
171,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
172,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
173,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
174,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
175,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
176,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
177,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
178,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
179,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
180,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
181,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
182,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
183,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
184,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
185,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
186,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
187,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
188,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
189,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
190,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
191,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
192,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
193,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
194,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
195,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
196,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
197,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
198,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
199,NULL,Water,NULL,NULL,Non_Wetland,Grassland
200,NULL,Water,NULL,Non_Water,Non_Wetland,Wetland
201,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
202,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
203,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
204,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
205,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
206,NULL,Water,Shrubland,NULL,Non_Wetland,Water
207,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL
208,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
209,NULL,Water,Shrubland,Non_Water,Non_Wetland,Wetland
210,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
211,NULL,Water,Shrubland,Water,Non_Wetland,NULL
212,NULL,Water,Shrubland,Water,Non_Wetland,Water
213,NULL,Water,Grassland,NULL,Non_Wetland,NULL
214,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
215,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
216,NULL,Water,Grassland,NULL,Non_Wetland,Water
217,NULL,Water,Grassland,Water,Non_Wetland,NULL
218,NULL,Water,Grassland,Water,Non_Wetland,Wetland
219,NULL,Water,Grassland,Water,Non_Wetland,Water
220,NULL,Water,Cropland,NULL,Non_Wetland,NULL
221,NULL,Water,Cropland,NULL,Non_Wetland,Wetland
222,NULL,Water,Wetland,NULL,Wetland,NULL
223,NULL,Water,Wetland,NULL,Wetland,Grassland
224,NULL,Water,Wetland,NULL,Wetland,Wetland
225,NULL,Water,Wetland,NULL,Wetland,Bareland
226,NULL,Water,Wetland,NULL,Wetland,Water
227,NULL,Water,Wetland,Non_Water,Wetland,NULL
228,NULL,Water,Wetland,Non_Water,Wetland,Grassland
229,NULL,Water,Wetland,Non_Water,Wetland,Wetland
230,NULL,Water,Wetland,Non_Water,Wetland,Water
231,NULL,Water,Wetland,Water,Wetland,NULL
232,NULL,Water,Wetland,Water,Wetland,Grassland
233,NULL,Water,Wetland,Water,Wetland,Wetland
234,NULL,Water,Wetland,Water,Wetland,Water
235,NULL,Water,Bareland,NULL,Non_Wetland,NULL
236,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
237,NULL,Water,Bareland,NULL,Non_Wetland,Wetland
238,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
239,NULL,Water,Bareland,NULL,Non_Wetland,Water
240,NULL,Water,Bareland,Non_Water,Non_Wetland,Wetland
241,NULL,Water,Bareland,Non_Water,Non_Wetland,Water
242,NULL,Water,Bareland,Water,Non_Wetland,NULL
243,NULL,Water,Bareland,Water,Non_Wetland,Water
244,NULL,Water,Built-up,NULL,Non_Wetland,NULL
245,NULL,Water,Water,NULL,Water,Water
246,NULL,Water,Water,Non_Water,Water,Wetland
247,NULL,Water,Water,Non_Water,Water,Water
248,NULL,Water,Water,Water,Water,NULL
249,NULL,Water,Water,Water,Water,Wetland
250,NULL,Water,Water,Water,Water,Bareland
251,NULL,Water,Water,Water,Water,Water
252,NULL,Water,Forest,NULL,Non_Wetland,NULL
253,NULL,Water,Forest,NULL,Non_Wetland,Grassland
254,NULL,Water,Forest,NULL,Non_Wetland,Wetland
255,NULL,Water,Forest,NULL,Non_Wetland,Bareland
256,NULL,Water,Forest,NULL,Non_Wetland,Water
257,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland
258,NULL,Water,Forest,Non_Water,Non_Wetland,Wetland
259,NULL,Water,Forest,Water,Non_Wetland,NULL
260,NULL,Forest,NULL,NULL,Non_Wetland,NULL
261,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
262,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
263,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
264,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
265,NULL,Forest,NULL,NULL,Non_Wetland,Forest
266,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL
267,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
268,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
269,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
270,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
271,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
272,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
273,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
274,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
275,NULL,Forest,Shrubland,Water,Non_Wetland,NULL
276,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
277,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
278,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
279,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
280,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
281,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
282,NULL,Forest,Grassland,Water,Non_Wetland,NULL
283,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
284,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
285,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
286,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
287,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
288,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
289,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
290,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL
291,NULL,Forest,Cropland,Non_Water,Non_Wetland,Wetland
292,NULL,Forest,Wetland,NULL,Wetland,NULL
293,NULL,Forest,Wetland,NULL,Wetland,Grassland
294,NULL,Forest,Wetland,NULL,Wetland,Wetland
295,NULL,Forest,Wetland,NULL,Wetland,Forest
296,NULL,Forest,Wetland,Non_Water,Wetland,NULL
297,NULL,Forest,Wetland,Water,Wetland,NULL
298,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
299,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
300,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland
301,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
302,NULL,Forest,Bareland,Non_Water,Non_Wetland,NULL
303,NULL,Forest,Bareland,Water,Non_Wetland,Grassland
304,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
305,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
306,NULL,Forest,Built-up,NULL,Non_Wetland,Cropland
307,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland
308,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
309,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
310,NULL,Forest,Water,NULL,Water,NULL
311,NULL,Forest,Water,NULL,Water,Grassland
312,NULL,Forest,Forest,NULL,Non_Wetland,NULL
313,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
314,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
315,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
316,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
317,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
318,NULL,Forest,Forest,NULL,Non_Wetland,Forest
319,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
320,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
321,NULL,Forest,Forest,Non_Water,Non_Wetland,Wetland
322,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
323,NULL,Forest,Forest,Water,Non_Wetland,NULL
324,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
325,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
326,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
327,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
328,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
329,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
330,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
331,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
332,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
333,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
334,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
335,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
336,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up
337,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
338,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
339,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
340,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
341,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up
342,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
343,Grassland,NULL,Wetland,NULL,Wetland,Grassland
344,Grassland,NULL,Wetland,NULL,Wetland,Wetland
345,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
346,Grassland,NULL,Bareland,NULL,Non_Wetland,Built-up
347,Grassland,NULL,Bareland,Water,Non_Wetland,Forest
348,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
349,Grassland,NULL,Built-up,NULL,Non_Wetland,Cropland
350,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up
351,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
352,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
353,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
354,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
355,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up
356,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
357,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL
358,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
359,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
360,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
361,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
362,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
363,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
364,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
365,Grassland,Cropland,Grassland,NULL,Non_Wetland,Built-up
366,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
367,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
368,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
369,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up
370,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland
371,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
372,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
373,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
374,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
375,Grassland,Built-up,NULL,NULL,Non_Wetland,Cropland
376,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
377,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland
378,Grassland,Built-up,Cropland,NULL,Non_Wetland,Cropland
379,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL
380,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland
381,Grassland,Built-up,Forest,NULL,Non_Wetland,Cropland
382,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
383,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
384,Grassland,Forest,NULL,NULL,Non_Wetland,Cropland
385,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland
386,Grassland,Forest,NULL,NULL,Non_Wetland,Built-up
387,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
388,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
389,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
390,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland
391,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland
392,Grassland,Forest,Shrubland,NULL,Non_Wetland,Built-up
393,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
394,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
395,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
396,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
397,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland
398,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland
399,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
400,Grassland,Forest,Wetland,NULL,Wetland,NULL
401,Grassland,Forest,Wetland,NULL,Wetland,Forest
402,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
403,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
404,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland
405,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
406,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
407,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
408,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
409,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
410,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
411,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
412,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
413,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
414,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
415,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
416,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
417,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
418,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
419,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
420,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
421,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
422,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
423,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
424,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
425,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
426,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
427,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
428,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
429,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
430,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
431,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
432,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
