Value,AFRICA_2024_DynamicWorld_2024_36PZC_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PZC_M_R,AFRICA_2024_GLC_FCS30D_2022_36PZC_M_R,AFRICA_2024_GSW_Yearly_2021_36PZC_M_R,AFRICA_2024_GWL_FCS30D_2022_36PZC_M_R,AFRICA_2024_WorldCover_2021_36PZC_M_R
118,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
119,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
120,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
121,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
122,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
123,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
124,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
125,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland
126,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
127,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
128,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
129,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
130,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
131,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
132,NULL,Built-up,Cropland,Water,Non_Wetland,Water
133,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
134,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
135,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
136,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
137,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
138,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
139,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
140,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
141,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
142,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
143,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
144,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
145,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
146,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
147,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
148,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
149,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
150,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
151,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
152,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
153,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
154,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
155,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
156,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
157,NULL,Water,Cropland,NULL,Non_Wetland,Forest
158,NULL,Forest,NULL,NULL,Non_Wetland,NULL
159,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
160,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
161,NULL,Forest,NULL,NULL,Non_Wetland,Forest
162,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
163,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
164,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
165,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
166,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
167,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
168,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
169,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
170,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
171,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
172,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
173,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
174,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
175,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
176,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
177,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
178,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
179,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
180,NULL,Forest,Forest,NULL,Non_Wetland,NULL
181,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
182,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
183,NULL,Forest,Forest,NULL,Non_Wetland,Forest
184,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
185,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
186,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
187,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland
188,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
189,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
190,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
191,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
192,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
193,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland
194,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
195,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
196,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
197,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
198,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland
199,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
200,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
201,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
202,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland
203,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
204,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
205,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
206,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
207,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest
208,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland
209,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
210,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
211,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
212,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
213,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
214,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
215,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up
216,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
217,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland
218,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
219,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
220,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
221,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
222,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
223,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
224,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
225,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
226,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
227,Cropland,NULL,Shrubland,Water,Non_Wetland,Cropland
228,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
229,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
230,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
231,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
232,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
233,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
234,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
235,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
236,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
237,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
238,Cropland,NULL,Grassland,Water,Non_Wetland,Cropland
239,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
240,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
241,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
242,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
243,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
244,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
245,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
246,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
247,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
248,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Bareland
249,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Forest
250,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
251,Cropland,NULL,Cropland,Water,Non_Wetland,Cropland
252,Cropland,NULL,Wetland,NULL,Wetland,Grassland
253,Cropland,NULL,Wetland,NULL,Wetland,Cropland
254,Cropland,NULL,Wetland,Water,Wetland,Cropland
255,Cropland,NULL,Wetland,Water,Wetland,Bareland
256,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
257,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
258,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
259,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
260,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
261,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
262,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
263,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
264,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
265,Cropland,NULL,Bareland,NULL,Non_Wetland,Built-up
266,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
267,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
268,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Cropland
269,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
270,Cropland,NULL,Bareland,Water,Non_Wetland,Cropland
271,Cropland,NULL,Bareland,Water,Non_Wetland,Bareland
272,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
273,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
274,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
275,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
276,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
277,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
278,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Cropland
279,Cropland,NULL,Built-up,Water,Non_Wetland,Grassland
280,Cropland,NULL,Built-up,Water,Non_Wetland,Cropland
281,Cropland,NULL,Water,NULL,Water,Grassland
282,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
283,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
284,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
285,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland
286,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
287,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
288,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
289,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
290,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland
291,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
292,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
293,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
294,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
295,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
296,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
297,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
298,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
299,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
300,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
301,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
302,Cropland,Cropland,Grassland,NULL,Non_Wetland,Built-up
303,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
304,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
305,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
306,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Bareland
307,Cropland,Cropland,Grassland,Water,Non_Wetland,Grassland
308,Cropland,Cropland,Grassland,Water,Non_Wetland,Cropland
309,Cropland,Cropland,Grassland,Water,Non_Wetland,Bareland
310,Cropland,Cropland,Grassland,Water,Non_Wetland,Forest
311,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
312,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
313,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
314,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland
315,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up
316,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
317,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL
318,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
319,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
320,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Forest
321,Cropland,Cropland,Cropland,Water,Non_Wetland,Grassland
322,Cropland,Cropland,Cropland,Water,Non_Wetland,Cropland
323,Cropland,Cropland,Wetland,Non_Water,Wetland,Bareland
324,Cropland,Cropland,Wetland,Water,Wetland,Water
325,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
326,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
327,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
328,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
329,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
330,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
331,Cropland,Cropland,Bareland,NULL,Non_Wetland,Cropland
332,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
333,Cropland,Cropland,Bareland,NULL,Non_Wetland,Built-up
334,Cropland,Cropland,Bareland,NULL,Non_Wetland,Forest
335,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
336,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,Forest
337,Cropland,Cropland,Bareland,Water,Non_Wetland,Cropland
338,Cropland,Cropland,Bareland,Water,Non_Wetland,Bareland
339,Cropland,Cropland,Bareland,Water,Non_Wetland,Water
340,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL
341,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
342,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland
343,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland
344,Cropland,Cropland,Built-up,NULL,Non_Wetland,Built-up
345,Cropland,Cropland,Built-up,NULL,Non_Wetland,Forest
346,Cropland,Cropland,Built-up,Non_Water,Non_Wetland,Cropland
347,Cropland,Cropland,Built-up,Water,Non_Wetland,Grassland
348,Cropland,Cropland,Built-up,Water,Non_Wetland,Cropland
349,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
350,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
351,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland
352,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland
353,Cropland,Cropland,Forest,NULL,Non_Wetland,Built-up
354,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
355,Cropland,Bareland,NULL,NULL,Non_Wetland,Grassland
356,Cropland,Bareland,NULL,NULL,Non_Wetland,Bareland
357,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
358,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Cropland
359,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
360,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL
361,Cropland,Bareland,Grassland,NULL,Non_Wetland,Grassland
362,Cropland,Bareland,Grassland,NULL,Non_Wetland,Cropland
363,Cropland,Bareland,Grassland,NULL,Non_Wetland,Bareland
364,Cropland,Bareland,Grassland,NULL,Non_Wetland,Built-up
365,Cropland,Bareland,Grassland,NULL,Non_Wetland,Forest
366,Cropland,Bareland,Cropland,NULL,Non_Wetland,Grassland
367,Cropland,Bareland,Cropland,NULL,Non_Wetland,Cropland
368,Cropland,Bareland,Cropland,NULL,Non_Wetland,Bareland
369,Cropland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
370,Cropland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
371,Cropland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
372,Cropland,Bareland,Bareland,NULL,Non_Wetland,Grassland
373,Cropland,Bareland,Bareland,NULL,Non_Wetland,Cropland
374,Cropland,Bareland,Bareland,NULL,Non_Wetland,Bareland
375,Cropland,Bareland,Bareland,NULL,Non_Wetland,Forest
376,Cropland,Bareland,Built-up,NULL,Non_Wetland,Grassland
377,Cropland,Bareland,Built-up,NULL,Non_Wetland,Bareland
378,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL
379,Cropland,Built-up,NULL,NULL,Non_Wetland,Grassland
380,Cropland,Built-up,NULL,NULL,Non_Wetland,Cropland
381,Cropland,Built-up,NULL,NULL,Non_Wetland,Bareland
382,Cropland,Built-up,NULL,NULL,Non_Wetland,Built-up
383,Cropland,Built-up,NULL,NULL,Non_Wetland,Forest
384,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL
385,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
386,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Cropland
387,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Forest
388,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL
389,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
390,Cropland,Built-up,Grassland,NULL,Non_Wetland,Cropland
391,Cropland,Built-up,Grassland,NULL,Non_Wetland,Bareland
392,Cropland,Built-up,Grassland,NULL,Non_Wetland,Built-up
393,Cropland,Built-up,Grassland,NULL,Non_Wetland,Forest
394,Cropland,Built-up,Grassland,Non_Water,Non_Wetland,Bareland
395,Cropland,Built-up,Grassland,Water,Non_Wetland,Grassland
396,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL
397,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
398,Cropland,Built-up,Cropland,NULL,Non_Wetland,Cropland
399,Cropland,Built-up,Cropland,NULL,Non_Wetland,Bareland
400,Cropland,Built-up,Cropland,NULL,Non_Wetland,Built-up
401,Cropland,Built-up,Cropland,NULL,Non_Wetland,Forest
402,Cropland,Built-up,Cropland,Non_Water,Non_Wetland,Cropland
403,Cropland,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
404,Cropland,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
405,Cropland,Built-up,Bareland,NULL,Non_Wetland,Grassland
406,Cropland,Built-up,Bareland,NULL,Non_Wetland,Bareland
407,Cropland,Built-up,Bareland,NULL,Non_Wetland,Built-up
408,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL
409,Cropland,Built-up,Built-up,NULL,Non_Wetland,Grassland
