Value,AFRICA_2024_DynamicWorld_2024_36PVB_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PVB_M_R,AFRICA_2024_GLC_FCS30D_2022_36PVB_M_R,AFRICA_2024_GSW_Yearly_2021_36PVB_M_R,AFRICA_2024_GWL_FCS30D_2022_36PVB_M_R,AFRICA_2024_WorldCover_2021_36PVB_M_R
120,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
121,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
122,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
123,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
124,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
125,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
126,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
127,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
128,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
129,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland
130,NULL,Cropland,NULL,Non_Water,Non_Wetland,Cropland
131,NULL,Cropland,NULL,Water,Non_Wetland,Grassland
132,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
133,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
134,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
135,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
136,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
137,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
138,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
139,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
140,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
141,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
142,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
143,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
144,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
145,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland
146,NULL,Cropland,Shrubland,Water,Non_Wetland,Water
147,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
148,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
149,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
150,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
151,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
152,NULL,Cropland,Grassland,NULL,Non_Wetland,Water
153,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
154,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL
155,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
156,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
157,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Bareland
158,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Forest
159,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland
160,NULL,Cropland,Grassland,Water,Non_Wetland,Cropland
161,NULL,Cropland,Grassland,Water,Non_Wetland,Bareland
162,NULL,Cropland,Grassland,Water,Non_Wetland,Water
163,NULL,Cropland,Grassland,Water,Non_Wetland,Forest
164,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
165,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
166,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
167,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
168,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
169,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
170,NULL,Cropland,Cropland,NULL,Non_Wetland,Water
171,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
172,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL
173,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
174,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
175,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Wetland
176,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Forest
177,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
178,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
179,NULL,Cropland,Cropland,Water,Non_Wetland,Water
180,NULL,Cropland,Cropland,Water,Non_Wetland,Forest
181,NULL,Cropland,Wetland,NULL,Wetland,NULL
182,NULL,Cropland,Wetland,NULL,Wetland,Grassland
183,NULL,Cropland,Wetland,NULL,Wetland,Cropland
184,NULL,Cropland,Wetland,NULL,Wetland,Forest
185,NULL,Cropland,Wetland,Non_Water,Wetland,NULL
186,NULL,Cropland,Wetland,Non_Water,Wetland,Cropland
187,NULL,Cropland,Wetland,Non_Water,Wetland,Wetland
188,NULL,Cropland,Wetland,Water,Wetland,Cropland
189,NULL,Cropland,Wetland,Water,Wetland,Forest
190,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
191,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
192,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
193,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
194,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
195,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
196,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
197,NULL,Cropland,Bareland,NULL,Non_Wetland,Water
198,NULL,Cropland,Bareland,Water,Non_Wetland,Cropland
199,NULL,Cropland,Bareland,Water,Non_Wetland,Water
200,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
201,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
202,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
203,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
204,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
205,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
206,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Grassland
207,NULL,Cropland,Built-up,Water,Non_Wetland,Cropland
208,NULL,Cropland,Water,NULL,Water,Grassland
209,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
210,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
211,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
212,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
213,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
214,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
215,NULL,Wetland,NULL,NULL,Non_Wetland,Cropland
216,NULL,Wetland,NULL,Non_Water,Non_Wetland,Cropland
217,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
218,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
219,NULL,Wetland,Shrubland,NULL,Non_Wetland,Cropland
220,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
221,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
222,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
223,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
224,NULL,Wetland,Shrubland,Water,Non_Wetland,Cropland
225,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
226,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL
227,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
228,NULL,Wetland,Grassland,NULL,Non_Wetland,Cropland
229,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
230,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
231,NULL,Wetland,Grassland,NULL,Non_Wetland,Built-up
232,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
233,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Cropland
234,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
235,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
236,NULL,Wetland,Grassland,Water,Non_Wetland,Cropland
237,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL
238,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
239,NULL,Wetland,Cropland,NULL,Non_Wetland,Cropland
240,NULL,Wetland,Cropland,NULL,Non_Wetland,Wetland
241,NULL,Wetland,Cropland,NULL,Non_Wetland,Forest
242,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL
243,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
244,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Cropland
245,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
246,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Forest
247,NULL,Wetland,Cropland,Water,Non_Wetland,Grassland
248,NULL,Wetland,Cropland,Water,Non_Wetland,Cropland
249,NULL,Wetland,Wetland,NULL,Wetland,NULL
250,NULL,Wetland,Wetland,NULL,Wetland,Grassland
251,NULL,Wetland,Wetland,NULL,Wetland,Cropland
252,NULL,Wetland,Wetland,NULL,Wetland,Wetland
253,NULL,Wetland,Wetland,NULL,Wetland,Forest
254,NULL,Wetland,Wetland,Non_Water,Wetland,NULL
255,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
256,NULL,Wetland,Wetland,Non_Water,Wetland,Cropland
257,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
258,NULL,Wetland,Wetland,Non_Water,Wetland,Forest
259,NULL,Wetland,Wetland,Water,Wetland,Grassland
260,NULL,Wetland,Wetland,Water,Wetland,Cropland
261,NULL,Wetland,Bareland,Water,Non_Wetland,Cropland
262,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
263,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
264,NULL,Wetland,Forest,NULL,Non_Wetland,Cropland
265,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
266,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
267,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
268,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
269,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
270,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
271,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
272,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
273,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Cropland
274,NULL,Bareland,Grassland,Water,Non_Wetland,Cropland
275,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
276,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
277,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
278,NULL,Bareland,Cropland,NULL,Non_Wetland,Built-up
279,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Forest
280,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
281,NULL,Bareland,Bareland,NULL,Non_Wetland,Cropland
282,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
283,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
284,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
285,NULL,Bareland,Built-up,NULL,Non_Wetland,Cropland
286,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
287,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
288,NULL,Bareland,Built-up,NULL,Non_Wetland,Forest
289,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
290,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
291,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
292,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
293,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
294,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
295,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
296,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
297,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
298,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
299,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
300,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
301,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Cropland
302,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
303,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland
304,NULL,Built-up,Shrubland,Water,Non_Wetland,Water
305,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
306,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
307,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
308,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
309,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
310,NULL,Built-up,Grassland,NULL,Non_Wetland,Water
311,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
312,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL
313,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
314,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Cropland
315,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Bareland
316,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Built-up
317,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest
318,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland
319,NULL,Built-up,Grassland,Water,Non_Wetland,Cropland
320,NULL,Built-up,Grassland,Water,Non_Wetland,Bareland
321,NULL,Built-up,Grassland,Water,Non_Wetland,Built-up
322,NULL,Built-up,Grassland,Water,Non_Wetland,Water
323,NULL,Built-up,Grassland,Water,Non_Wetland,Forest
324,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
325,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
326,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
327,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
328,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
329,NULL,Built-up,Cropland,NULL,Non_Wetland,Water
330,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
331,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL
332,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
333,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Cropland
334,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Bareland
335,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Built-up
336,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Water
337,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
338,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland
339,NULL,Built-up,Cropland,Water,Non_Wetland,Cropland
340,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland
341,NULL,Built-up,Cropland,Water,Non_Wetland,Built-up
342,NULL,Built-up,Cropland,Water,Non_Wetland,Water
343,NULL,Built-up,Cropland,Water,Non_Wetland,Forest
344,NULL,Built-up,Wetland,NULL,Wetland,Cropland
345,NULL,Built-up,Wetland,NULL,Wetland,Bareland
346,NULL,Built-up,Wetland,NULL,Wetland,Water
347,NULL,Built-up,Wetland,NULL,Wetland,Forest
348,NULL,Built-up,Wetland,Non_Water,Wetland,Cropland
349,NULL,Built-up,Wetland,Non_Water,Wetland,Forest
350,NULL,Built-up,Wetland,Water,Wetland,Water
351,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
352,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
353,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
354,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
355,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
356,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
357,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
358,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
359,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
360,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
361,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
362,NULL,Built-up,Bareland,Water,Non_Wetland,Cropland
363,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
364,NULL,Built-up,Bareland,Water,Non_Wetland,Built-up
365,NULL,Built-up,Bareland,Water,Non_Wetland,Water
366,NULL,Built-up,Bareland,Water,Non_Wetland,Forest
367,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
368,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
369,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
370,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
371,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
372,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
373,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
374,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Cropland
375,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
376,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
377,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
378,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland
379,NULL,Built-up,Built-up,Water,Non_Wetland,Cropland
380,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland
381,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
382,NULL,Built-up,Built-up,Water,Non_Wetland,Forest
383,NULL,Built-up,Water,NULL,Water,Bareland
384,NULL,Built-up,Water,NULL,Water,Forest
385,NULL,Built-up,Water,Water,Water,Water
386,NULL,Built-up,Water,Water,Water,Forest
387,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
388,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
389,NULL,Water,Cropland,Non_Water,Non_Wetland,Forest
390,NULL,Water,Cropland,Water,Non_Wetland,Forest
391,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
392,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
393,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
394,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
395,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
396,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
397,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
398,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
399,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
400,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
401,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
402,NULL,Forest,Wetland,NULL,Wetland,Cropland
403,NULL,Forest,Wetland,NULL,Wetland,Forest
404,NULL,Forest,Forest,NULL,Non_Wetland,Forest
405,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
406,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
407,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
408,Grassland,NULL,NULL,Non_Water,Non_Wetland,Cropland
409,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland
410,Grassland,NULL,NULL,Water,Non_Wetland,Wetland
411,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
412,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
413,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
414,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
415,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
416,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
417,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
418,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
419,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
420,Grassland,NULL,Shrubland,Water,Non_Wetland,Cropland
