Value,AFRICA_2024_DynamicWorld_2024_37NED_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NED_M_R,AFRICA_2024_GLC_FCS30D_2022_37NED_M_R,AFRICA_2024_GSW_Yearly_2021_37NED_M_R,AFRICA_2024_GWL_FCS30D_2022_37NED_M_R,AFRICA_2024_WorldCover_2021_37NED_M_R
122,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
123,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
124,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
125,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
126,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
127,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
128,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
129,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL
130,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL
131,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL
132,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
133,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
134,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
135,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
136,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
137,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL
138,NULL,Bareland,Grassland,Water,Non_Wetland,Bareland
139,NULL,Bareland,Cropland,Water,Non_Wetland,NULL
140,NULL,Bareland,Cropland,Water,Non_Wetland,Bareland
141,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
142,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL
143,NULL,Bareland,Bareland,Water,Non_Wetland,NULL
144,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
145,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL
146,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
147,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
148,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
149,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
150,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
151,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
152,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
153,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
154,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
155,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
156,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
157,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
158,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
159,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
160,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
161,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
162,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
163,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL
164,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
165,NULL,Built-up,Grassland,Water,Non_Wetland,NULL
166,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
167,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
168,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
169,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
170,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
171,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
172,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
173,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
174,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
175,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
176,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
177,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
178,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
179,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
180,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
181,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
182,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
183,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
184,NULL,Water,NULL,NULL,Non_Wetland,Grassland
185,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
186,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
187,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
188,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
189,NULL,Water,Shrubland,NULL,Non_Wetland,Water
190,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
191,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL
192,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
193,NULL,Water,Shrubland,Water,Non_Wetland,NULL
194,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
195,NULL,Water,Shrubland,Water,Non_Wetland,Cropland
196,NULL,Water,Shrubland,Water,Non_Wetland,Wetland
197,NULL,Water,Shrubland,Water,Non_Wetland,Bareland
198,NULL,Water,Shrubland,Water,Non_Wetland,Water
199,NULL,Water,Grassland,NULL,Non_Wetland,NULL
200,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
201,NULL,Water,Grassland,NULL,Non_Wetland,Cropland
202,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
203,NULL,Water,Grassland,NULL,Non_Wetland,Water
204,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL
205,NULL,Water,Grassland,Non_Water,Non_Wetland,Grassland
206,NULL,Water,Grassland,Non_Water,Non_Wetland,Cropland
207,NULL,Water,Grassland,Water,Non_Wetland,NULL
208,NULL,Water,Grassland,Water,Non_Wetland,Grassland
209,NULL,Water,Grassland,Water,Non_Wetland,Cropland
210,NULL,Water,Grassland,Water,Non_Wetland,Bareland
211,NULL,Water,Grassland,Water,Non_Wetland,Water
212,NULL,Water,Cropland,NULL,Non_Wetland,NULL
213,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
214,NULL,Water,Wetland,NULL,Wetland,Grassland
215,NULL,Water,Wetland,Non_Water,Wetland,Grassland
216,NULL,Water,Wetland,Water,Wetland,NULL
217,NULL,Water,Wetland,Water,Wetland,Grassland
218,NULL,Water,Wetland,Water,Wetland,Bareland
219,NULL,Water,Wetland,Water,Wetland,Water
220,NULL,Water,Bareland,NULL,Non_Wetland,NULL
221,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
222,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
223,NULL,Water,Bareland,NULL,Non_Wetland,Water
224,NULL,Water,Bareland,Non_Water,Non_Wetland,NULL
225,NULL,Water,Bareland,Non_Water,Non_Wetland,Grassland
226,NULL,Water,Bareland,Water,Non_Wetland,NULL
227,NULL,Water,Bareland,Water,Non_Wetland,Grassland
228,NULL,Water,Bareland,Water,Non_Wetland,Cropland
229,NULL,Water,Bareland,Water,Non_Wetland,Bareland
230,NULL,Water,Bareland,Water,Non_Wetland,Water
231,NULL,Water,Built-up,NULL,Non_Wetland,NULL
232,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
233,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
234,NULL,Water,Built-up,Non_Water,Non_Wetland,NULL
235,NULL,Water,Built-up,Water,Non_Wetland,NULL
236,NULL,Water,Built-up,Water,Non_Wetland,Grassland
237,NULL,Water,Water,NULL,Water,Water
238,NULL,Water,Water,Non_Water,Water,Grassland
239,NULL,Water,Water,Water,Water,Grassland
240,NULL,Water,Water,Water,Water,Bareland
241,NULL,Water,Water,Water,Water,Water
242,NULL,Forest,NULL,NULL,Non_Wetland,NULL
243,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
244,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
245,NULL,Forest,NULL,NULL,Non_Wetland,Forest
246,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
247,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
248,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
249,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
250,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
251,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
252,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
253,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
254,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Bareland
255,NULL,Forest,Shrubland,Water,Non_Wetland,NULL
256,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
257,NULL,Forest,Shrubland,Water,Non_Wetland,Bareland
258,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
259,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
260,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
261,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
262,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL
263,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland
264,NULL,Forest,Grassland,Non_Water,Non_Wetland,Bareland
265,NULL,Forest,Grassland,Water,Non_Wetland,NULL
266,NULL,Forest,Grassland,Water,Non_Wetland,Grassland
267,NULL,Forest,Grassland,Water,Non_Wetland,Bareland
268,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
269,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
270,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
271,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
272,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
273,NULL,Forest,Wetland,Water,Wetland,Cropland
274,NULL,Forest,Wetland,Water,Wetland,Bareland
275,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
276,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
277,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
278,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
279,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
280,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
281,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
282,NULL,Forest,Bareland,Water,Non_Wetland,Bareland
283,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
284,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
285,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
286,NULL,Forest,Water,NULL,Water,NULL
287,NULL,Forest,Water,Non_Water,Water,Grassland
288,NULL,Forest,Forest,NULL,Non_Wetland,NULL
289,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
290,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
291,NULL,Forest,Forest,NULL,Non_Wetland,Forest
292,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
293,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
294,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
295,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
296,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
297,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
298,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
299,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
300,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
301,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
302,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
303,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
304,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
305,Grassland,NULL,Bareland,NULL,Non_Wetland,Cropland
306,Grassland,NULL,Built-up,NULL,Non_Wetland,Cropland
307,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
308,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
309,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
310,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
311,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
312,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
313,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
314,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
315,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL
316,Grassland,Forest,Bareland,NULL,Non_Wetland,Grassland
317,Grassland,Forest,Built-up,NULL,Non_Wetland,Grassland
318,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
319,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
320,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
321,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
322,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
323,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
324,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
325,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
326,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
327,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
328,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
329,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
330,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
331,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
332,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL
333,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
334,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
335,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
336,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
337,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
338,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
339,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
340,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
341,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
342,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
343,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
344,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
345,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
346,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
347,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Forest
348,Cropland,NULL,Cropland,Water,Non_Wetland,NULL
349,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
350,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
351,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
352,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
353,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
354,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
355,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
356,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
357,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
358,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
359,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
360,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
361,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
362,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
363,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
364,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
365,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
366,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
367,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
368,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL
369,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
370,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Cropland
371,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
372,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL
373,Cropland,Water,Shrubland,NULL,Non_Wetland,Grassland
374,Cropland,Forest,NULL,NULL,Non_Wetland,NULL
375,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland
376,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
377,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
378,Cropland,Forest,Shrubland,NULL,Non_Wetland,Cropland
379,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
380,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL
381,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland
382,Cropland,Forest,Cropland,NULL,Non_Wetland,Cropland
383,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest
384,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
385,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
386,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
387,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
388,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland
389,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
390,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
391,Bareland,NULL,Shrubland,NULL,Non_Wetland,Cropland
392,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
393,Bareland,NULL,Shrubland,NULL,Non_Wetland,Forest
394,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
395,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
396,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
397,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL
398,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
399,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
400,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
401,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland
402,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland
403,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland
404,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
405,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
406,Bareland,Bareland,Grassland,NULL,Non_Wetland,Grassland
407,Bareland,Bareland,Grassland,NULL,Non_Wetland,Bareland
408,Bareland,Bareland,Bareland,NULL,Non_Wetland,Grassland
409,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland
410,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
411,Bareland,Built-up,Grassland,NULL,Non_Wetland,Grassland
412,Bareland,Built-up,Bareland,NULL,Non_Wetland,Grassland
413,Bareland,Water,Shrubland,NULL,Non_Wetland,Grassland
414,Bareland,Water,Grassland,NULL,Non_Wetland,Grassland
415,Bareland,Water,Grassland,Water,Non_Wetland,Grassland
416,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL
417,Bareland,Forest,Shrubland,NULL,Non_Wetland,Grassland
418,Bareland,Forest,Grassland,NULL,Non_Wetland,NULL
419,Bareland,Forest,Grassland,NULL,Non_Wetland,Grassland
420,Bareland,Forest,Cropland,NULL,Non_Wetland,Grassland
421,Water,NULL,NULL,NULL,Non_Wetland,NULL
422,Water,NULL,NULL,NULL,Non_Wetland,Grassland
423,Water,NULL,NULL,NULL,Non_Wetland,Cropland
424,Water,NULL,NULL,NULL,Non_Wetland,Forest
425,Water,NULL,Shrubland,NULL,Non_Wetland,NULL
426,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland
