Value,AFRICA_2024_DynamicWorld_2024_36PVQ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PVQ_M_R,AFRICA_2024_GLC_FCS30D_2022_36PVQ_M_R,AFRICA_2024_GSW_Yearly_2021_36PVQ_M_R,AFRICA_2024_GWL_FCS30D_2022_36PVQ_M_R,AFRICA_2024_WorldCover_2021_36PVQ_M_R
119,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Built-up
120,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland
121,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
122,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
123,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland
124,NULL,Built-up,Wetland,NULL,Wetland,Grassland
125,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
126,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
127,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
128,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland
129,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
130,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
131,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
132,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
133,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
134,NULL,Built-up,Built-up,Water,Non_Wetland,Forest
135,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
136,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
137,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
138,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
139,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
140,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
141,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
142,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
143,NULL,Water,Grassland,NULL,Non_Wetland,Water
144,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
145,NULL,Forest,NULL,NULL,Non_Wetland,NULL
146,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
147,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
148,NULL,Forest,NULL,NULL,Non_Wetland,Forest
149,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland
150,NULL,Forest,NULL,Non_Water,Non_Wetland,Forest
151,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
152,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
153,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
154,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
155,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
156,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
157,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
158,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
159,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
160,NULL,Forest,Shrubland,Water,Non_Wetland,Wetland
161,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
162,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
163,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland
164,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
165,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
166,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
167,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
168,NULL,Forest,Cropland,Water,Non_Wetland,Grassland
169,NULL,Forest,Wetland,NULL,Wetland,Grassland
170,NULL,Forest,Wetland,NULL,Wetland,Wetland
171,NULL,Forest,Wetland,NULL,Wetland,Forest
172,NULL,Forest,Wetland,Non_Water,Wetland,Grassland
173,NULL,Forest,Wetland,Non_Water,Wetland,Wetland
174,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
175,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
176,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland
177,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
178,NULL,Forest,Bareland,Non_Water,Non_Wetland,Grassland
179,NULL,Forest,Bareland,Water,Non_Wetland,Grassland
180,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
181,NULL,Forest,Water,NULL,Water,Wetland
182,NULL,Forest,Forest,NULL,Non_Wetland,NULL
183,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
184,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
185,NULL,Forest,Forest,NULL,Non_Wetland,Forest
186,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
187,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
188,NULL,Forest,Forest,Non_Water,Non_Wetland,Wetland
189,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
190,NULL,Forest,Forest,Water,Non_Wetland,Grassland
191,NULL,Forest,Forest,Water,Non_Wetland,Wetland
192,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
193,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
194,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
195,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
196,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
197,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland
198,Grassland,NULL,NULL,Non_Water,Non_Wetland,Forest
199,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
200,Grassland,NULL,NULL,Water,Non_Wetland,Wetland
201,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
202,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
203,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
204,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water
205,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
206,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
207,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
208,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
209,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Water
210,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
211,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
212,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
213,Grassland,NULL,Shrubland,Water,Non_Wetland,Water
214,Grassland,NULL,Shrubland,Water,Non_Wetland,Forest
215,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
216,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
217,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
218,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
219,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
220,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
221,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
222,Grassland,NULL,Cropland,Water,Non_Wetland,Forest
223,Grassland,NULL,Wetland,NULL,Wetland,Grassland
224,Grassland,NULL,Wetland,NULL,Wetland,Wetland
225,Grassland,NULL,Wetland,NULL,Wetland,Water
226,Grassland,NULL,Wetland,NULL,Wetland,Forest
227,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
228,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
229,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
230,Grassland,NULL,Wetland,Water,Wetland,Grassland
231,Grassland,NULL,Wetland,Water,Wetland,Wetland
232,Grassland,NULL,Wetland,Water,Wetland,Water
233,Grassland,NULL,Wetland,Water,Wetland,Forest
234,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
235,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
236,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
237,Grassland,NULL,Bareland,NULL,Non_Wetland,Water
238,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
239,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
240,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
241,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Forest
242,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland
243,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland
244,Grassland,NULL,Bareland,Water,Non_Wetland,Water
245,Grassland,NULL,Bareland,Water,Non_Wetland,Forest
246,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
247,Grassland,NULL,Water,NULL,Water,Grassland
248,Grassland,NULL,Water,NULL,Water,Wetland
249,Grassland,NULL,Water,Non_Water,Water,Grassland
250,Grassland,NULL,Water,Non_Water,Water,Wetland
251,Grassland,NULL,Water,Non_Water,Water,Water
252,Grassland,NULL,Water,Non_Water,Water,Forest
253,Grassland,NULL,Water,Water,Water,Wetland
254,Grassland,NULL,Water,Water,Water,Water
255,Grassland,NULL,Water,Water,Water,Forest
256,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
257,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
258,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
259,Grassland,NULL,Forest,NULL,Non_Wetland,Water
260,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
261,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
262,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
263,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
264,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
265,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
266,Grassland,NULL,Forest,Water,Non_Wetland,Water
267,Grassland,NULL,Forest,Water,Non_Wetland,Forest
268,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
269,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland
270,Grassland,Cropland,NULL,Water,Non_Wetland,Wetland
271,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
272,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
273,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
274,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
275,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
276,Grassland,Cropland,Shrubland,Water,Non_Wetland,Wetland
277,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
278,Grassland,Cropland,Wetland,NULL,Wetland,Wetland
279,Grassland,Cropland,Wetland,Non_Water,Wetland,Forest
280,Grassland,Cropland,Wetland,Water,Wetland,Wetland
281,Grassland,Cropland,Wetland,Water,Wetland,Water
282,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland
283,Grassland,Cropland,Bareland,NULL,Non_Wetland,Wetland
284,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
285,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
286,Grassland,Cropland,Forest,NULL,Non_Wetland,Water
287,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Wetland
288,Grassland,Cropland,Forest,Water,Non_Wetland,Wetland
289,Grassland,Cropland,Forest,Water,Non_Wetland,Water
290,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland
291,Grassland,Wetland,NULL,NULL,Non_Wetland,Wetland
292,Grassland,Wetland,NULL,NULL,Non_Wetland,Forest
293,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Grassland
294,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Wetland
295,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Water
296,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Forest
297,Grassland,Wetland,NULL,Water,Non_Wetland,Grassland
298,Grassland,Wetland,NULL,Water,Non_Wetland,Wetland
299,Grassland,Wetland,NULL,Water,Non_Wetland,Water
300,Grassland,Wetland,NULL,Water,Non_Wetland,Forest
301,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL
302,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
303,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
304,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Forest
305,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
306,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
307,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Water
308,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
309,Grassland,Wetland,Shrubland,Water,Non_Wetland,NULL
310,Grassland,Wetland,Shrubland,Water,Non_Wetland,Grassland
311,Grassland,Wetland,Shrubland,Water,Non_Wetland,Wetland
312,Grassland,Wetland,Shrubland,Water,Non_Wetland,Water
313,Grassland,Wetland,Shrubland,Water,Non_Wetland,Forest
314,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland
315,Grassland,Wetland,Cropland,NULL,Non_Wetland,Wetland
316,Grassland,Wetland,Cropland,NULL,Non_Wetland,Forest
317,Grassland,Wetland,Wetland,NULL,Wetland,Grassland
318,Grassland,Wetland,Wetland,NULL,Wetland,Wetland
319,Grassland,Wetland,Wetland,NULL,Wetland,Water
320,Grassland,Wetland,Wetland,NULL,Wetland,Forest
321,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland
322,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland
323,Grassland,Wetland,Wetland,Non_Water,Wetland,Water
324,Grassland,Wetland,Wetland,Non_Water,Wetland,Forest
325,Grassland,Wetland,Wetland,Water,Wetland,Grassland
326,Grassland,Wetland,Wetland,Water,Wetland,Wetland
327,Grassland,Wetland,Wetland,Water,Wetland,Water
328,Grassland,Wetland,Wetland,Water,Wetland,Forest
329,Grassland,Wetland,Bareland,NULL,Non_Wetland,Grassland
330,Grassland,Wetland,Bareland,NULL,Non_Wetland,Wetland
331,Grassland,Wetland,Bareland,NULL,Non_Wetland,Water
332,Grassland,Wetland,Bareland,NULL,Non_Wetland,Forest
333,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
334,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
335,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Forest
336,Grassland,Wetland,Bareland,Water,Non_Wetland,Grassland
337,Grassland,Wetland,Bareland,Water,Non_Wetland,Wetland
338,Grassland,Wetland,Bareland,Water,Non_Wetland,Forest
339,Grassland,Wetland,Built-up,NULL,Non_Wetland,Grassland
340,Grassland,Wetland,Built-up,NULL,Non_Wetland,Wetland
341,Grassland,Wetland,Built-up,NULL,Non_Wetland,Forest
342,Grassland,Wetland,Water,NULL,Water,Grassland
343,Grassland,Wetland,Water,NULL,Water,Wetland
344,Grassland,Wetland,Water,Non_Water,Water,Grassland
345,Grassland,Wetland,Water,Non_Water,Water,Wetland
346,Grassland,Wetland,Water,Non_Water,Water,Water
347,Grassland,Wetland,Water,Non_Water,Water,Forest
348,Grassland,Wetland,Water,Water,Water,Grassland
349,Grassland,Wetland,Water,Water,Water,Wetland
350,Grassland,Wetland,Water,Water,Water,Water
351,Grassland,Wetland,Water,Water,Water,Forest
352,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL
353,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland
354,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland
355,Grassland,Wetland,Forest,NULL,Non_Wetland,Water
356,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest
357,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Grassland
358,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland
359,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Water
360,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Forest
361,Grassland,Wetland,Forest,Water,Non_Wetland,Grassland
362,Grassland,Wetland,Forest,Water,Non_Wetland,Wetland
363,Grassland,Wetland,Forest,Water,Non_Wetland,Water
364,Grassland,Wetland,Forest,Water,Non_Wetland,Forest
365,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
366,Grassland,Water,NULL,NULL,Non_Wetland,Wetland
367,Grassland,Water,NULL,NULL,Non_Wetland,Forest
368,Grassland,Water,NULL,Non_Water,Non_Wetland,Forest
369,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland
370,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland
371,Grassland,Water,Shrubland,NULL,Non_Wetland,Forest
372,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Wetland
373,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Forest
374,Grassland,Water,Shrubland,Water,Non_Wetland,Grassland
375,Grassland,Water,Shrubland,Water,Non_Wetland,Wetland
376,Grassland,Water,Shrubland,Water,Non_Wetland,Water
377,Grassland,Water,Shrubland,Water,Non_Wetland,Forest
378,Grassland,Water,Wetland,NULL,Wetland,Wetland
379,Grassland,Water,Wetland,NULL,Wetland,Forest
380,Grassland,Water,Wetland,Non_Water,Wetland,Wetland
381,Grassland,Water,Wetland,Non_Water,Wetland,Forest
382,Grassland,Water,Wetland,Water,Wetland,Wetland
383,Grassland,Water,Wetland,Water,Wetland,Forest
384,Grassland,Water,Bareland,NULL,Non_Wetland,Wetland
385,Grassland,Water,Bareland,NULL,Non_Wetland,Forest
386,Grassland,Water,Bareland,Water,Non_Wetland,Wetland
387,Grassland,Water,Water,NULL,Water,Forest
388,Grassland,Water,Water,Non_Water,Water,Wetland
389,Grassland,Water,Water,Non_Water,Water,Forest
390,Grassland,Water,Water,Water,Water,Wetland
391,Grassland,Water,Water,Water,Water,Forest
392,Grassland,Water,Forest,NULL,Non_Wetland,Grassland
393,Grassland,Water,Forest,NULL,Non_Wetland,Wetland
394,Grassland,Water,Forest,NULL,Non_Wetland,Forest
395,Grassland,Water,Forest,Non_Water,Non_Wetland,Wetland
396,Grassland,Water,Forest,Non_Water,Non_Wetland,Water
397,Grassland,Water,Forest,Non_Water,Non_Wetland,Forest
398,Grassland,Water,Forest,Water,Non_Wetland,Grassland
399,Grassland,Water,Forest,Water,Non_Wetland,Wetland
400,Grassland,Water,Forest,Water,Non_Wetland,Water
401,Grassland,Water,Forest,Water,Non_Wetland,Forest
402,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
403,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland
404,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
405,Grassland,Forest,NULL,Non_Water,Non_Wetland,Grassland
406,Grassland,Forest,NULL,Non_Water,Non_Wetland,Wetland
407,Grassland,Forest,NULL,Water,Non_Wetland,Grassland
408,Grassland,Forest,NULL,Water,Non_Wetland,Wetland
409,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
410,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
411,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland
412,Grassland,Forest,Shrubland,NULL,Non_Wetland,Water
413,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
414,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
415,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
416,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Forest
417,Grassland,Forest,Shrubland,Water,Non_Wetland,Grassland
418,Grassland,Forest,Shrubland,Water,Non_Wetland,Wetland
419,Grassland,Forest,Shrubland,Water,Non_Wetland,Water
420,Grassland,Forest,Shrubland,Water,Non_Wetland,Forest
421,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
422,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland
423,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
424,Grassland,Forest,Wetland,NULL,Wetland,NULL
425,Grassland,Forest,Wetland,NULL,Wetland,Grassland
426,Grassland,Forest,Wetland,NULL,Wetland,Wetland
427,Grassland,Forest,Wetland,NULL,Wetland,Forest
