Value,AFRICA_2024_DynamicWorld_2024_35NRH_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NRH_M_R,AFRICA_2024_GLC_FCS30D_2022_35NRH_M_R,AFRICA_2024_GSW_Yearly_2021_35NRH_M_R,AFRICA_2024_GWL_FCS30D_2022_35NRH_M_R,AFRICA_2024_WorldCover_2021_35NRH_M_R
121,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
122,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
123,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
124,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
125,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
126,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
127,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
128,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
129,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
130,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
131,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
132,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
133,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL
134,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
135,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
136,NULL,Cropland,Forest,Water,Non_Wetland,Grassland
137,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
138,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
139,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
140,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
141,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
142,NULL,Wetland,Shrubland,NULL,Non_Wetland,Cropland
143,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
144,NULL,Wetland,Shrubland,NULL,Non_Wetland,Built-up
145,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
146,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
147,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
148,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
149,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
150,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
151,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
152,NULL,Wetland,Cropland,NULL,Non_Wetland,Wetland
153,NULL,Wetland,Wetland,NULL,Wetland,NULL
154,NULL,Wetland,Wetland,NULL,Wetland,Grassland
155,NULL,Wetland,Wetland,NULL,Wetland,Cropland
156,NULL,Wetland,Wetland,NULL,Wetland,Wetland
157,NULL,Wetland,Wetland,NULL,Wetland,Forest
158,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL
159,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
160,NULL,Wetland,Water,NULL,Water,Grassland
161,NULL,Wetland,Water,Non_Water,Water,Grassland
162,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
163,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
164,NULL,Wetland,Forest,NULL,Non_Wetland,Cropland
165,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
166,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
167,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
168,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
169,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
170,NULL,Bareland,NULL,NULL,Non_Wetland,Grassland
171,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
172,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
173,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
174,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
175,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland
176,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
177,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
178,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
179,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
180,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
181,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
182,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
183,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
184,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
185,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
186,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
187,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland
188,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
189,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
190,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
191,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
192,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
193,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
194,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
195,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
196,NULL,Built-up,Wetland,NULL,Wetland,Grassland
197,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
198,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
199,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
200,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
201,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
202,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
203,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
204,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
205,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
206,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
207,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
208,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
209,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
210,NULL,Water,NULL,NULL,Non_Wetland,Grassland
211,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
212,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
213,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
214,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
215,NULL,Water,Shrubland,NULL,Non_Wetland,Built-up
216,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
217,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
218,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
219,NULL,Water,Wetland,NULL,Wetland,Wetland
220,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
221,NULL,Water,Bareland,Non_Water,Non_Wetland,Grassland
222,NULL,Water,Built-up,NULL,Non_Wetland,Forest
223,NULL,Water,Water,NULL,Water,Grassland
224,NULL,Water,Water,Non_Water,Water,Wetland
225,NULL,Water,Forest,NULL,Non_Wetland,Grassland
226,NULL,Water,Forest,NULL,Non_Wetland,Wetland
227,NULL,Water,Forest,NULL,Non_Wetland,Forest
228,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland
229,NULL,Forest,NULL,NULL,Non_Wetland,NULL
230,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
231,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
232,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
233,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
234,NULL,Forest,NULL,NULL,Non_Wetland,Forest
235,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL
236,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland
237,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
238,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
239,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
240,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
241,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
242,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
243,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
244,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
245,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
246,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
247,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
248,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
249,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
250,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
251,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland
252,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
253,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
254,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
255,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
256,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
257,NULL,Forest,Wetland,NULL,Wetland,NULL
258,NULL,Forest,Wetland,NULL,Wetland,Grassland
259,NULL,Forest,Wetland,NULL,Wetland,Wetland
260,NULL,Forest,Wetland,NULL,Wetland,Forest
261,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
262,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
263,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
264,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
265,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
266,NULL,Forest,Forest,NULL,Non_Wetland,NULL
267,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
268,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
269,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
270,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
271,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
272,NULL,Forest,Forest,NULL,Non_Wetland,Forest
273,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
274,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
275,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
276,NULL,Forest,Forest,Water,Non_Wetland,NULL
277,NULL,Forest,Forest,Water,Non_Wetland,Grassland
278,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
279,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
280,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
281,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
282,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL
283,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
284,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland
285,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
286,Grassland,NULL,NULL,Water,Non_Wetland,Wetland
287,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
288,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
289,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
290,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
291,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
292,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
293,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
294,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
295,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
296,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
297,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL
298,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
299,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
300,Grassland,NULL,Shrubland,Water,Non_Wetland,Forest
301,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
302,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
303,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
304,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
305,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
306,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
307,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
308,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
309,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
310,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
311,Grassland,NULL,Wetland,NULL,Wetland,NULL
312,Grassland,NULL,Wetland,NULL,Wetland,Grassland
313,Grassland,NULL,Wetland,NULL,Wetland,Wetland
314,Grassland,NULL,Wetland,NULL,Wetland,Forest
315,Grassland,NULL,Wetland,Non_Water,Wetland,NULL
316,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
317,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
318,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
319,Grassland,NULL,Wetland,Water,Wetland,Wetland
320,Grassland,NULL,Wetland,Water,Wetland,Forest
321,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
322,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
323,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
324,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
325,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL
326,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
327,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
328,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland
329,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
330,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland
331,Grassland,NULL,Built-up,Water,Non_Wetland,Grassland
332,Grassland,NULL,Water,NULL,Water,NULL
333,Grassland,NULL,Water,NULL,Water,Grassland
334,Grassland,NULL,Water,NULL,Water,Wetland
335,Grassland,NULL,Water,Non_Water,Water,Wetland
336,Grassland,NULL,Water,Non_Water,Water,Forest
337,Grassland,NULL,Water,Water,Water,Wetland
338,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
339,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
340,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
341,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
342,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
343,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL
344,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
345,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
346,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
347,Grassland,NULL,Forest,Water,Non_Wetland,NULL
348,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
349,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
350,Grassland,NULL,Forest,Water,Non_Wetland,Forest
351,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL
352,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
353,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland
354,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
355,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
356,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
357,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
358,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
359,Grassland,Cropland,Shrubland,Water,Non_Wetland,Grassland
360,Grassland,Cropland,Shrubland,Water,Non_Wetland,Wetland
361,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
362,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
363,Grassland,Cropland,Wetland,NULL,Wetland,NULL
364,Grassland,Cropland,Wetland,NULL,Wetland,Grassland
365,Grassland,Cropland,Wetland,NULL,Wetland,Wetland
366,Grassland,Cropland,Wetland,NULL,Wetland,Forest
367,Grassland,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
368,Grassland,Cropland,Bareland,Non_Water,Non_Wetland,Wetland
369,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
370,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
371,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
372,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
373,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL
374,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland
375,Grassland,Wetland,NULL,NULL,Non_Wetland,Wetland
376,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Grassland
377,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Wetland
378,Grassland,Wetland,NULL,Water,Non_Wetland,Wetland
379,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL
380,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
381,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
382,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Forest
383,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
384,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
385,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
386,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
387,Grassland,Wetland,Shrubland,Water,Non_Wetland,Grassland
388,Grassland,Wetland,Shrubland,Water,Non_Wetland,Wetland
389,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland
390,Grassland,Wetland,Cropland,NULL,Non_Wetland,Wetland
391,Grassland,Wetland,Wetland,NULL,Wetland,NULL
392,Grassland,Wetland,Wetland,NULL,Wetland,Grassland
393,Grassland,Wetland,Wetland,NULL,Wetland,Wetland
394,Grassland,Wetland,Wetland,NULL,Wetland,Forest
395,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland
396,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland
397,Grassland,Wetland,Wetland,Water,Wetland,Grassland
398,Grassland,Wetland,Wetland,Water,Wetland,Wetland
399,Grassland,Wetland,Bareland,NULL,Non_Wetland,NULL
400,Grassland,Wetland,Bareland,NULL,Non_Wetland,Grassland
401,Grassland,Wetland,Bareland,NULL,Non_Wetland,Wetland
402,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
403,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
404,Grassland,Wetland,Bareland,Water,Non_Wetland,Grassland
405,Grassland,Wetland,Water,Water,Water,Wetland
406,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL
407,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland
408,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland
409,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest
410,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL
411,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Grassland
412,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland
413,Grassland,Wetland,Forest,Water,Non_Wetland,NULL
414,Grassland,Wetland,Forest,Water,Non_Wetland,Grassland
415,Grassland,Wetland,Forest,Water,Non_Wetland,Wetland
416,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
417,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland
418,Grassland,Built-up,Forest,NULL,Non_Wetland,Forest
419,Grassland,Water,NULL,NULL,Non_Wetland,Grassland
420,Grassland,Water,NULL,NULL,Non_Wetland,Wetland
421,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL
422,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland
423,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland
424,Grassland,Water,Shrubland,NULL,Non_Wetland,Forest
