Value,AFRICA_2024_DynamicWorld_2024_35PQN_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PQN_M_R,AFRICA_2024_GLC_FCS30D_2022_35PQN_M_R,AFRICA_2024_GSW_Yearly_2021_35PQN_M_R,AFRICA_2024_GWL_FCS30D_2022_35PQN_M_R,AFRICA_2024_WorldCover_2021_35PQN_M_R
122,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
123,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
124,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
125,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL
126,NULL,Cropland,NULL,Non_Water,Non_Wetland,Forest
127,NULL,Cropland,NULL,Water,Non_Wetland,Grassland
128,NULL,Cropland,NULL,Water,Non_Wetland,Wetland
129,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
130,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
131,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
132,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
133,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
134,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
135,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
136,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
137,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
138,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
139,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
140,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
141,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
142,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
143,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
144,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
145,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
146,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL
147,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
148,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
149,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
150,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
151,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
152,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
153,NULL,Cropland,Wetland,Non_Water,Wetland,NULL
154,NULL,Cropland,Wetland,Non_Water,Wetland,Cropland
155,NULL,Cropland,Wetland,Non_Water,Wetland,Forest
156,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
157,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
158,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
159,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
160,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
161,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
162,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
163,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
164,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
165,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
166,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL
167,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
168,NULL,Cropland,Forest,Non_Water,Non_Wetland,Cropland
169,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
170,NULL,Cropland,Forest,Water,Non_Wetland,Grassland
171,NULL,Cropland,Forest,Water,Non_Wetland,Cropland
172,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
173,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
174,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
175,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
176,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
177,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
178,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
179,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
180,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
181,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
182,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
183,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
184,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
185,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
186,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
187,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
188,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
189,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
190,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
191,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
192,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
193,NULL,Built-up,Wetland,NULL,Wetland,Forest
194,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
195,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
196,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
197,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
198,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
199,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
200,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
201,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
202,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
203,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
204,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
205,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
206,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
207,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
208,NULL,Water,NULL,NULL,Non_Wetland,Grassland
209,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
210,NULL,Water,Forest,NULL,Non_Wetland,Grassland
211,NULL,Forest,NULL,NULL,Non_Wetland,NULL
212,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
213,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
214,NULL,Forest,NULL,NULL,Non_Wetland,Forest
215,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
216,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
217,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
218,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
219,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
220,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
221,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
222,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
223,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
224,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
225,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
226,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
227,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
228,NULL,Forest,Wetland,NULL,Wetland,Grassland
229,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
230,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
231,NULL,Forest,Forest,NULL,Non_Wetland,NULL
232,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
233,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
234,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
235,NULL,Forest,Forest,NULL,Non_Wetland,Forest
236,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
237,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
238,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
239,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
240,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
241,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL
242,Grassland,NULL,NULL,Non_Water,Non_Wetland,Cropland
243,Grassland,NULL,NULL,Non_Water,Non_Wetland,Forest
244,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
245,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
246,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
247,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
248,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
249,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
250,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
251,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
252,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
253,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
254,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
255,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
256,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
257,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
258,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
259,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
260,Grassland,NULL,Wetland,NULL,Wetland,Wetland
261,Grassland,NULL,Wetland,Non_Water,Wetland,NULL
262,Grassland,NULL,Wetland,Non_Water,Wetland,Cropland
263,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
264,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
265,Grassland,NULL,Wetland,Water,Wetland,Wetland
266,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
267,Grassland,NULL,Water,NULL,Water,Grassland
268,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
269,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
270,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
271,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
272,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
273,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL
274,Grassland,NULL,Forest,Non_Water,Non_Wetland,Cropland
275,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
276,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
277,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
278,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
279,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
280,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
281,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
282,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
283,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
284,Grassland,Cropland,Wetland,Non_Water,Wetland,Cropland
285,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
286,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
287,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland
288,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
289,Grassland,Forest,Wetland,NULL,Wetland,Wetland
290,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland
291,Grassland,Forest,Wetland,Water,Wetland,Wetland
292,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
293,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
294,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
295,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
296,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland
297,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
298,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up
299,Cropland,NULL,NULL,NULL,Non_Wetland,Water
300,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
301,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL
302,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland
303,Cropland,NULL,NULL,Non_Water,Non_Wetland,Cropland
304,Cropland,NULL,NULL,Non_Water,Non_Wetland,Wetland
305,Cropland,NULL,NULL,Non_Water,Non_Wetland,Forest
306,Cropland,NULL,NULL,Water,Non_Wetland,NULL
307,Cropland,NULL,NULL,Water,Non_Wetland,Grassland
308,Cropland,NULL,NULL,Water,Non_Wetland,Cropland
309,Cropland,NULL,NULL,Water,Non_Wetland,Wetland
310,Cropland,NULL,NULL,Water,Non_Wetland,Bareland
311,Cropland,NULL,NULL,Water,Non_Wetland,Forest
312,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
313,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
314,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
315,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
316,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
317,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
318,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
319,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
320,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
321,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
322,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
323,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
324,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
325,Cropland,NULL,Shrubland,Water,Non_Wetland,Cropland
326,Cropland,NULL,Shrubland,Water,Non_Wetland,Wetland
327,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
328,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
329,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
330,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland
331,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
332,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
333,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
334,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL
335,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
336,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
337,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
338,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
339,Cropland,NULL,Grassland,Water,Non_Wetland,Wetland
340,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
341,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
342,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
343,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
344,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland
345,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
346,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
347,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
348,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
349,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
350,Cropland,NULL,Cropland,Water,Non_Wetland,NULL
351,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
352,Cropland,NULL,Cropland,Water,Non_Wetland,Cropland
353,Cropland,NULL,Cropland,Water,Non_Wetland,Wetland
354,Cropland,NULL,Wetland,NULL,Wetland,Grassland
355,Cropland,NULL,Wetland,NULL,Wetland,Cropland
356,Cropland,NULL,Wetland,NULL,Wetland,Wetland
357,Cropland,NULL,Wetland,NULL,Wetland,Water
358,Cropland,NULL,Wetland,NULL,Wetland,Forest
359,Cropland,NULL,Wetland,Non_Water,Wetland,Grassland
360,Cropland,NULL,Wetland,Non_Water,Wetland,Cropland
361,Cropland,NULL,Wetland,Non_Water,Wetland,Wetland
362,Cropland,NULL,Wetland,Non_Water,Wetland,Forest
363,Cropland,NULL,Wetland,Water,Wetland,Grassland
364,Cropland,NULL,Wetland,Water,Wetland,Cropland
365,Cropland,NULL,Wetland,Water,Wetland,Wetland
366,Cropland,NULL,Wetland,Water,Wetland,Bareland
367,Cropland,NULL,Wetland,Water,Wetland,Water
368,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
369,Cropland,NULL,Bareland,Water,Non_Wetland,NULL
370,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
371,Cropland,NULL,Bareland,Water,Non_Wetland,Water
372,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
373,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
374,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
375,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
376,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
377,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
378,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
379,Cropland,NULL,Water,NULL,Water,Forest
380,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
381,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
382,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
383,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
384,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland
385,Cropland,NULL,Forest,NULL,Non_Wetland,Built-up
386,Cropland,NULL,Forest,NULL,Non_Wetland,Water
387,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
388,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL
389,Cropland,NULL,Forest,Non_Water,Non_Wetland,Grassland
390,Cropland,NULL,Forest,Non_Water,Non_Wetland,Cropland
391,Cropland,NULL,Forest,Non_Water,Non_Wetland,Wetland
392,Cropland,NULL,Forest,Non_Water,Non_Wetland,Water
393,Cropland,NULL,Forest,Non_Water,Non_Wetland,Forest
394,Cropland,NULL,Forest,Water,Non_Wetland,Grassland
395,Cropland,NULL,Forest,Water,Non_Wetland,Cropland
396,Cropland,NULL,Forest,Water,Non_Wetland,Wetland
397,Cropland,NULL,Forest,Water,Non_Wetland,Forest
398,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
399,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
400,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
401,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland
402,Cropland,Cropland,NULL,NULL,Non_Wetland,Built-up
403,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
404,Cropland,Cropland,NULL,Non_Water,Non_Wetland,Grassland
405,Cropland,Cropland,NULL,Non_Water,Non_Wetland,Cropland
406,Cropland,Cropland,NULL,Non_Water,Non_Wetland,Forest
407,Cropland,Cropland,NULL,Water,Non_Wetland,Cropland
408,Cropland,Cropland,NULL,Water,Non_Wetland,Bareland
409,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
410,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
411,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
412,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
413,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
414,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
415,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
416,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
417,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
418,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
419,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
420,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
421,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
422,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
