Value,AFRICA_2024_DynamicWorld_2024_37PCM_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PCM_M_R,AFRICA_2024_GLC_FCS30D_2022_37PCM_M_R,AFRICA_2024_GSW_Yearly_2021_37PCM_M_R,AFRICA_2024_GWL_FCS30D_2022_37PCM_M_R,AFRICA_2024_WorldCover_2021_37PCM_M_R
121,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
122,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
123,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
124,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
125,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
126,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
127,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
128,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
129,NULL,Cropland,Shrubland,NULL,Non_Wetland,Water
130,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
131,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
132,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland
133,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
134,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
135,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
136,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
137,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
138,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
139,NULL,Cropland,Grassland,NULL,Non_Wetland,Water
140,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
141,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
142,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
143,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
144,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
145,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
146,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
147,NULL,Cropland,Cropland,NULL,Non_Wetland,Water
148,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
149,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
150,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
151,NULL,Cropland,Wetland,NULL,Wetland,Cropland
152,NULL,Cropland,Wetland,NULL,Wetland,Forest
153,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
154,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
155,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
156,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
157,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
158,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
159,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
160,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
161,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
162,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
163,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
164,NULL,Cropland,Bareland,Water,Non_Wetland,Grassland
165,NULL,Cropland,Bareland,Water,Non_Wetland,Cropland
166,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
167,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
168,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
169,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
170,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
171,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
172,NULL,Cropland,Built-up,Water,Non_Wetland,Grassland
173,NULL,Cropland,Water,NULL,Water,Grassland
174,NULL,Cropland,Water,NULL,Water,Cropland
175,NULL,Cropland,Water,Water,Water,Bareland
176,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
177,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
178,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
179,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
180,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
181,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
182,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
183,NULL,Cropland,Forest,Non_Water,Non_Wetland,Cropland
184,NULL,Cropland,Forest,Water,Non_Wetland,Cropland
185,NULL,Cropland,Forest,Water,Non_Wetland,Bareland
186,NULL,Bareland,Shrubland,NULL,Non_Wetland,Cropland
187,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
188,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
189,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
190,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
191,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
192,NULL,Bareland,Forest,NULL,Non_Wetland,Cropland
193,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
194,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
195,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
196,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland
197,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
198,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
199,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
200,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
201,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
202,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
203,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
204,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
205,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
206,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
207,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
208,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
209,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
210,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland
211,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
212,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
213,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
214,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
215,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
216,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
217,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland
218,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
219,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
220,NULL,Built-up,Cropland,NULL,Non_Wetland,Water
221,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
222,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Cropland
223,NULL,Built-up,Cropland,Water,Non_Wetland,Cropland
224,NULL,Built-up,Wetland,NULL,Wetland,Cropland
225,NULL,Built-up,Wetland,NULL,Wetland,Forest
226,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
227,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
228,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
229,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
230,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
231,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
232,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
233,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
234,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
235,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
236,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
237,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
238,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
239,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
240,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland
241,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
242,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
243,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
244,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
245,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
246,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
247,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
248,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
249,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
250,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
251,NULL,Built-up,Forest,Non_Water,Non_Wetland,Cropland
252,NULL,Water,NULL,NULL,Non_Wetland,NULL
253,NULL,Water,NULL,NULL,Non_Wetland,Grassland
254,NULL,Water,NULL,NULL,Non_Wetland,Cropland
255,NULL,Water,NULL,NULL,Non_Wetland,Forest
256,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
257,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
258,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
259,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
260,NULL,Water,Shrubland,NULL,Non_Wetland,Water
261,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
262,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
263,NULL,Water,Shrubland,Non_Water,Non_Wetland,Cropland
264,NULL,Water,Shrubland,Water,Non_Wetland,NULL
265,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
266,NULL,Water,Shrubland,Water,Non_Wetland,Cropland
267,NULL,Water,Grassland,NULL,Non_Wetland,NULL
268,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
269,NULL,Water,Grassland,NULL,Non_Wetland,Cropland
270,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
271,NULL,Water,Cropland,NULL,Non_Wetland,NULL
272,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
273,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
274,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
275,NULL,Water,Cropland,NULL,Non_Wetland,Water
276,NULL,Water,Cropland,NULL,Non_Wetland,Forest
277,NULL,Water,Cropland,Non_Water,Non_Wetland,NULL
278,NULL,Water,Cropland,Non_Water,Non_Wetland,Water
279,NULL,Water,Cropland,Water,Non_Wetland,Grassland
280,NULL,Water,Cropland,Water,Non_Wetland,Cropland
281,NULL,Water,Cropland,Water,Non_Wetland,Bareland
282,NULL,Water,Cropland,Water,Non_Wetland,Water
283,NULL,Water,Wetland,NULL,Wetland,Forest
284,NULL,Water,Wetland,Water,Wetland,Forest
285,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
286,NULL,Water,Bareland,NULL,Non_Wetland,NULL
287,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
288,NULL,Water,Bareland,NULL,Non_Wetland,Cropland
289,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
290,NULL,Water,Bareland,NULL,Non_Wetland,Water
291,NULL,Water,Bareland,NULL,Non_Wetland,Forest
292,NULL,Water,Bareland,Non_Water,Non_Wetland,NULL
293,NULL,Water,Bareland,Non_Water,Non_Wetland,Bareland
294,NULL,Water,Bareland,Water,Non_Wetland,NULL
295,NULL,Water,Bareland,Water,Non_Wetland,Grassland
296,NULL,Water,Bareland,Water,Non_Wetland,Bareland
297,NULL,Water,Bareland,Water,Non_Wetland,Water
298,NULL,Water,Bareland,Water,Non_Wetland,Forest
299,NULL,Water,Built-up,NULL,Non_Wetland,NULL
300,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
301,NULL,Water,Built-up,NULL,Non_Wetland,Cropland
302,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
303,NULL,Water,Built-up,Water,Non_Wetland,Grassland
304,NULL,Water,Forest,NULL,Non_Wetland,NULL
305,NULL,Water,Forest,NULL,Non_Wetland,Grassland
306,NULL,Water,Forest,NULL,Non_Wetland,Cropland
307,NULL,Water,Forest,NULL,Non_Wetland,Bareland
308,NULL,Water,Forest,NULL,Non_Wetland,Forest
309,NULL,Water,Forest,Water,Non_Wetland,NULL
310,NULL,Water,Forest,Water,Non_Wetland,Cropland
311,NULL,Water,Forest,Water,Non_Wetland,Water
312,NULL,Forest,NULL,NULL,Non_Wetland,NULL
313,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
314,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
315,NULL,Forest,NULL,NULL,Non_Wetland,Forest
316,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
317,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
318,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
319,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
320,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
321,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
322,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
323,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Cropland
324,NULL,Forest,Shrubland,Water,Non_Wetland,NULL
325,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
326,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
327,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
328,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
329,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
330,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
331,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
332,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
333,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
334,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
335,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
336,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
337,NULL,Forest,Cropland,Non_Water,Non_Wetland,Cropland
338,NULL,Forest,Cropland,Water,Non_Wetland,Cropland
339,NULL,Forest,Cropland,Water,Non_Wetland,Forest
340,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
341,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
342,NULL,Forest,Bareland,NULL,Non_Wetland,Cropland
343,NULL,Forest,Bareland,NULL,Non_Wetland,Built-up
344,NULL,Forest,Bareland,NULL,Non_Wetland,Water
345,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
346,NULL,Forest,Bareland,Non_Water,Non_Wetland,NULL
347,NULL,Forest,Bareland,Water,Non_Wetland,NULL
348,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
349,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
350,NULL,Forest,Built-up,NULL,Non_Wetland,Cropland
351,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
352,NULL,Forest,Water,NULL,Water,Grassland
353,NULL,Forest,Water,NULL,Water,Forest
354,NULL,Forest,Forest,NULL,Non_Wetland,NULL
355,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
356,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
357,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
358,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
359,NULL,Forest,Forest,NULL,Non_Wetland,Forest
360,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
361,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
362,NULL,Forest,Forest,Non_Water,Non_Wetland,Cropland
363,NULL,Forest,Forest,Water,Non_Wetland,NULL
364,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
365,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
366,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
367,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
368,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland
369,Grassland,NULL,NULL,NULL,Non_Wetland,Built-up
370,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
371,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL
372,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
373,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
374,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
375,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
376,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
377,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
378,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
379,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
380,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
381,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
382,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
383,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland
384,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up
385,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
386,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL
387,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
388,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
389,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
390,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
391,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland
392,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up
393,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
394,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL
395,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
396,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
397,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
398,Grassland,NULL,Bareland,NULL,Non_Wetland,Cropland
399,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland
400,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
401,Grassland,NULL,Built-up,NULL,Non_Wetland,Cropland
402,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up
403,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
404,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
405,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
406,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
407,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland
408,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up
409,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
410,Grassland,NULL,Forest,Non_Water,Non_Wetland,Cropland
411,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
412,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
413,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL
414,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
415,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
416,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland
417,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland
418,Grassland,Cropland,NULL,NULL,Non_Wetland,Built-up
419,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest
420,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Cropland
421,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
422,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
423,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
424,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
425,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
