Value,AFRICA_2024_DynamicWorld_2024_35PMK_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PMK_M_R,AFRICA_2024_GLC_FCS30D_2022_35PMK_M_R,AFRICA_2024_GSW_Yearly_2021_35PMK_M_R,AFRICA_2024_GWL_FCS30D_2022_35PMK_M_R,AFRICA_2024_WorldCover_2021_35PMK_M_R
124,NULL,NULL,Forest,NULL,Non_Wetland,NULL
125,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
126,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
127,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
128,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
129,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
130,NULL,NULL,Forest,NULL,Non_Wetland,Forest
131,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
132,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
133,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
134,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
135,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
136,NULL,NULL,Forest,Water,Non_Wetland,NULL
137,NULL,NULL,Forest,Water,Non_Wetland,Grassland
138,NULL,NULL,Forest,Water,Non_Wetland,Wetland
139,NULL,NULL,Forest,Water,Non_Wetland,Bareland
140,NULL,NULL,Forest,Water,Non_Wetland,Forest
141,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
142,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
143,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
144,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
145,NULL,Cropland,NULL,Water,Non_Wetland,Wetland
146,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
147,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
148,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
149,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
150,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
151,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
152,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
153,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
154,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
155,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
156,NULL,Cropland,Shrubland,Water,Non_Wetland,Wetland
157,NULL,Cropland,Shrubland,Water,Non_Wetland,Bareland
158,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
159,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
160,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
161,NULL,Cropland,Grassland,Water,Non_Wetland,Cropland
162,NULL,Cropland,Grassland,Water,Non_Wetland,Wetland
163,NULL,Cropland,Grassland,Water,Non_Wetland,Bareland
164,NULL,Cropland,Wetland,NULL,Wetland,NULL
165,NULL,Cropland,Wetland,NULL,Wetland,Grassland
166,NULL,Cropland,Wetland,NULL,Wetland,Wetland
167,NULL,Cropland,Wetland,NULL,Wetland,Forest
168,NULL,Cropland,Wetland,Non_Water,Wetland,Wetland
169,NULL,Cropland,Wetland,Non_Water,Wetland,Forest
170,NULL,Cropland,Wetland,Water,Wetland,Grassland
171,NULL,Cropland,Wetland,Water,Wetland,Wetland
172,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
173,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
174,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
175,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
176,NULL,Cropland,Water,NULL,Water,Grassland
177,NULL,Cropland,Water,Water,Water,Grassland
178,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
179,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
180,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
181,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
182,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
183,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
184,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
185,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
186,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
187,NULL,Wetland,NULL,Non_Water,Non_Wetland,Grassland
188,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland
189,NULL,Wetland,NULL,Non_Water,Non_Wetland,Forest
190,NULL,Wetland,NULL,Water,Non_Wetland,NULL
191,NULL,Wetland,NULL,Water,Non_Wetland,Grassland
192,NULL,Wetland,NULL,Water,Non_Wetland,Wetland
193,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
194,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
195,NULL,Wetland,Shrubland,NULL,Non_Wetland,Cropland
196,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
197,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
198,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
199,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
200,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
201,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
202,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
203,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Water
204,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL
205,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
206,NULL,Wetland,Shrubland,Water,Non_Wetland,Cropland
207,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
208,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
209,NULL,Wetland,Shrubland,Water,Non_Wetland,Forest
210,NULL,Wetland,Cropland,Water,Non_Wetland,Grassland
211,NULL,Wetland,Wetland,NULL,Wetland,NULL
212,NULL,Wetland,Wetland,NULL,Wetland,Grassland
213,NULL,Wetland,Wetland,NULL,Wetland,Cropland
214,NULL,Wetland,Wetland,NULL,Wetland,Wetland
215,NULL,Wetland,Wetland,NULL,Wetland,Forest
216,NULL,Wetland,Wetland,Non_Water,Wetland,NULL
217,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
218,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
219,NULL,Wetland,Wetland,Non_Water,Wetland,Forest
220,NULL,Wetland,Wetland,Water,Wetland,Grassland
221,NULL,Wetland,Wetland,Water,Wetland,Wetland
222,NULL,Wetland,Wetland,Water,Wetland,Forest
223,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
224,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
225,NULL,Wetland,Bareland,NULL,Non_Wetland,Water
226,NULL,Wetland,Bareland,NULL,Non_Wetland,Forest
227,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland
228,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland
229,NULL,Wetland,Water,NULL,Water,Grassland
230,NULL,Wetland,Water,NULL,Water,Wetland
231,NULL,Wetland,Water,NULL,Water,Forest
232,NULL,Wetland,Water,Non_Water,Water,Wetland
233,NULL,Wetland,Water,Water,Water,Grassland
234,NULL,Wetland,Water,Water,Water,Wetland
235,NULL,Wetland,Water,Water,Water,Bareland
236,NULL,Wetland,Water,Water,Water,Water
237,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
238,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
239,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
240,NULL,Wetland,Forest,NULL,Non_Wetland,Water
241,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
242,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL
243,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
244,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
245,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
246,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
247,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
248,NULL,Bareland,NULL,Water,Non_Wetland,Wetland
249,NULL,Bareland,Shrubland,NULL,Non_Wetland,Wetland
250,NULL,Bareland,Shrubland,Water,Non_Wetland,Grassland
251,NULL,Bareland,Shrubland,Water,Non_Wetland,Cropland
252,NULL,Bareland,Shrubland,Water,Non_Wetland,Wetland
253,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
254,NULL,Bareland,Grassland,Water,Non_Wetland,Grassland
255,NULL,Bareland,Grassland,Water,Non_Wetland,Wetland
256,NULL,Bareland,Grassland,Water,Non_Wetland,Bareland
257,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
258,NULL,Bareland,Bareland,Water,Non_Wetland,Wetland
259,NULL,Bareland,Water,Water,Water,Wetland
260,NULL,Bareland,Forest,Water,Non_Wetland,Wetland
261,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
262,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
263,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
264,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
265,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
266,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
267,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
268,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
269,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
270,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
271,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
272,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
273,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
274,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
275,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
276,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
277,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
278,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
279,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
280,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
281,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
282,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
283,NULL,Water,NULL,NULL,Non_Wetland,NULL
284,NULL,Water,NULL,NULL,Non_Wetland,Grassland
285,NULL,Water,NULL,NULL,Non_Wetland,Cropland
286,NULL,Water,NULL,NULL,Non_Wetland,Wetland
287,NULL,Water,NULL,NULL,Non_Wetland,Bareland
288,NULL,Water,NULL,NULL,Non_Wetland,Water
289,NULL,Water,NULL,NULL,Non_Wetland,Forest
290,NULL,Water,NULL,Non_Water,Non_Wetland,Grassland
291,NULL,Water,NULL,Non_Water,Non_Wetland,Wetland
292,NULL,Water,NULL,Non_Water,Non_Wetland,Water
293,NULL,Water,NULL,Non_Water,Non_Wetland,Forest
294,NULL,Water,NULL,Water,Non_Wetland,NULL
295,NULL,Water,NULL,Water,Non_Wetland,Grassland
296,NULL,Water,NULL,Water,Non_Wetland,Cropland
297,NULL,Water,NULL,Water,Non_Wetland,Wetland
298,NULL,Water,NULL,Water,Non_Wetland,Bareland
299,NULL,Water,NULL,Water,Non_Wetland,Water
300,NULL,Water,NULL,Water,Non_Wetland,Forest
301,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
302,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
303,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
304,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
305,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
306,NULL,Water,Shrubland,NULL,Non_Wetland,Water
307,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
308,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL
309,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
310,NULL,Water,Shrubland,Non_Water,Non_Wetland,Cropland
311,NULL,Water,Shrubland,Non_Water,Non_Wetland,Wetland
312,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland
313,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
314,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
315,NULL,Water,Shrubland,Water,Non_Wetland,NULL
316,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
317,NULL,Water,Shrubland,Water,Non_Wetland,Cropland
318,NULL,Water,Shrubland,Water,Non_Wetland,Wetland
319,NULL,Water,Shrubland,Water,Non_Wetland,Bareland
320,NULL,Water,Shrubland,Water,Non_Wetland,Water
321,NULL,Water,Shrubland,Water,Non_Wetland,Forest
322,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
323,NULL,Water,Grassland,NULL,Non_Wetland,Wetland
324,NULL,Water,Grassland,NULL,Non_Wetland,Forest
325,NULL,Water,Grassland,Non_Water,Non_Wetland,Grassland
326,NULL,Water,Grassland,Non_Water,Non_Wetland,Bareland
327,NULL,Water,Grassland,Water,Non_Wetland,Grassland
328,NULL,Water,Grassland,Water,Non_Wetland,Cropland
329,NULL,Water,Grassland,Water,Non_Wetland,Wetland
330,NULL,Water,Grassland,Water,Non_Wetland,Bareland
331,NULL,Water,Grassland,Water,Non_Wetland,Water
332,NULL,Water,Grassland,Water,Non_Wetland,Forest
333,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
334,NULL,Water,Cropland,NULL,Non_Wetland,Wetland
335,NULL,Water,Cropland,NULL,Non_Wetland,Water
336,NULL,Water,Cropland,NULL,Non_Wetland,Forest
337,NULL,Water,Cropland,Non_Water,Non_Wetland,Wetland
338,NULL,Water,Cropland,Non_Water,Non_Wetland,Forest
339,NULL,Water,Cropland,Water,Non_Wetland,Grassland
340,NULL,Water,Cropland,Water,Non_Wetland,Cropland
341,NULL,Water,Cropland,Water,Non_Wetland,Wetland
342,NULL,Water,Cropland,Water,Non_Wetland,Bareland
343,NULL,Water,Cropland,Water,Non_Wetland,Water
344,NULL,Water,Cropland,Water,Non_Wetland,Forest
345,NULL,Water,Wetland,NULL,Wetland,NULL
346,NULL,Water,Wetland,NULL,Wetland,Grassland
347,NULL,Water,Wetland,NULL,Wetland,Cropland
348,NULL,Water,Wetland,NULL,Wetland,Wetland
349,NULL,Water,Wetland,NULL,Wetland,Bareland
350,NULL,Water,Wetland,NULL,Wetland,Water
351,NULL,Water,Wetland,NULL,Wetland,Forest
352,NULL,Water,Wetland,Non_Water,Wetland,NULL
353,NULL,Water,Wetland,Non_Water,Wetland,Grassland
354,NULL,Water,Wetland,Non_Water,Wetland,Wetland
355,NULL,Water,Wetland,Non_Water,Wetland,Water
356,NULL,Water,Wetland,Non_Water,Wetland,Forest
357,NULL,Water,Wetland,Water,Wetland,Grassland
358,NULL,Water,Wetland,Water,Wetland,Wetland
359,NULL,Water,Wetland,Water,Wetland,Bareland
360,NULL,Water,Wetland,Water,Wetland,Water
361,NULL,Water,Wetland,Water,Wetland,Forest
362,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Grassland
363,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Wetland
364,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Bareland
365,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
366,NULL,Water,Bareland,NULL,Non_Wetland,Wetland
367,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
368,NULL,Water,Bareland,NULL,Non_Wetland,Water
369,NULL,Water,Bareland,NULL,Non_Wetland,Forest
370,NULL,Water,Bareland,Non_Water,Non_Wetland,Grassland
371,NULL,Water,Bareland,Non_Water,Non_Wetland,Wetland
372,NULL,Water,Bareland,Non_Water,Non_Wetland,Bareland
373,NULL,Water,Bareland,Non_Water,Non_Wetland,Water
374,NULL,Water,Bareland,Non_Water,Non_Wetland,Forest
375,NULL,Water,Bareland,Water,Non_Wetland,Grassland
376,NULL,Water,Bareland,Water,Non_Wetland,Wetland
377,NULL,Water,Bareland,Water,Non_Wetland,Bareland
378,NULL,Water,Bareland,Water,Non_Wetland,Water
379,NULL,Water,Bareland,Water,Non_Wetland,Forest
380,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
381,NULL,Water,Built-up,NULL,Non_Wetland,Water
382,NULL,Water,Built-up,NULL,Non_Wetland,Forest
383,NULL,Water,Built-up,Non_Water,Non_Wetland,Grassland
384,NULL,Water,Built-up,Non_Water,Non_Wetland,Water
385,NULL,Water,Built-up,Water,Non_Wetland,Grassland
386,NULL,Water,Built-up,Water,Non_Wetland,Cropland
387,NULL,Water,Built-up,Water,Non_Wetland,Wetland
388,NULL,Water,Built-up,Water,Non_Wetland,Bareland
389,NULL,Water,Built-up,Water,Non_Wetland,Water
390,NULL,Water,Built-up,Water,Non_Wetland,Forest
391,NULL,Water,Water,NULL,Water,Grassland
392,NULL,Water,Water,NULL,Water,Wetland
393,NULL,Water,Water,NULL,Water,Bareland
394,NULL,Water,Water,NULL,Water,Water
395,NULL,Water,Water,NULL,Water,Forest
396,NULL,Water,Water,Non_Water,Water,Grassland
397,NULL,Water,Water,Non_Water,Water,Wetland
398,NULL,Water,Water,Non_Water,Water,Water
399,NULL,Water,Water,Non_Water,Water,Forest
400,NULL,Water,Water,Water,Water,Grassland
401,NULL,Water,Water,Water,Water,Wetland
402,NULL,Water,Water,Water,Water,Bareland
403,NULL,Water,Water,Water,Water,Water
404,NULL,Water,Water,Water,Water,Forest
405,NULL,Water,Forest,NULL,Non_Wetland,NULL
406,NULL,Water,Forest,NULL,Non_Wetland,Grassland
407,NULL,Water,Forest,NULL,Non_Wetland,Wetland
408,NULL,Water,Forest,NULL,Non_Wetland,Water
409,NULL,Water,Forest,NULL,Non_Wetland,Forest
410,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland
411,NULL,Water,Forest,Non_Water,Non_Wetland,Wetland
412,NULL,Water,Forest,Non_Water,Non_Wetland,Water
413,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
414,NULL,Water,Forest,Water,Non_Wetland,NULL
415,NULL,Water,Forest,Water,Non_Wetland,Grassland
416,NULL,Water,Forest,Water,Non_Wetland,Wetland
417,NULL,Water,Forest,Water,Non_Wetland,Bareland
418,NULL,Water,Forest,Water,Non_Wetland,Water
419,NULL,Water,Forest,Water,Non_Wetland,Forest
420,NULL,Forest,NULL,NULL,Non_Wetland,NULL
421,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
422,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
423,NULL,Forest,NULL,NULL,Non_Wetland,Forest
424,NULL,Forest,NULL,Non_Water,Non_Wetland,Forest
425,NULL,Forest,NULL,Water,Non_Wetland,NULL
426,NULL,Forest,NULL,Water,Non_Wetland,Forest
427,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
428,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
429,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
430,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
431,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
432,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
433,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
434,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
435,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
436,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Cropland
437,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
438,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
439,NULL,Forest,Shrubland,Water,Non_Wetland,NULL
440,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
441,NULL,Forest,Shrubland,Water,Non_Wetland,Cropland
