Value,AFRICA_2024_DynamicWorld_2024_37PDT_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PDT_M_R,AFRICA_2024_GLC_FCS30D_2022_37PDT_M_R,AFRICA_2024_GSW_Yearly_2021_37PDT_M_R,AFRICA_2024_GWL_FCS30D_2022_37PDT_M_R,AFRICA_2024_WorldCover_2021_37PDT_M_R
122,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
123,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
124,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
125,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
126,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
127,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
128,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
129,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
130,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
131,NULL,Cropland,Grassland,NULL,Non_Wetland,Water
132,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
133,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
134,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
135,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
136,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
137,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
138,NULL,Cropland,Cropland,NULL,Non_Wetland,Water
139,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
140,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
141,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
142,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
143,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
144,NULL,Cropland,Bareland,NULL,Non_Wetland,Water
145,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
146,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
147,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
148,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
149,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
150,NULL,Cropland,Built-up,Water,Non_Wetland,NULL
151,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
152,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
153,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
154,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
155,NULL,Bareland,NULL,NULL,Non_Wetland,Grassland
156,NULL,Bareland,NULL,NULL,Non_Wetland,Cropland
157,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
158,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
159,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
160,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
161,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
162,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
163,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
164,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
165,NULL,Bareland,Forest,NULL,Non_Wetland,Cropland
166,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
167,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
168,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
169,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
170,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
171,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
172,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
173,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
174,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
175,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
176,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
177,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
178,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
179,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
180,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
181,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
182,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
183,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
184,NULL,Built-up,Grassland,Water,Non_Wetland,Bareland
185,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
186,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
187,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
188,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
189,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
190,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
191,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Cropland
192,NULL,Built-up,Cropland,Water,Non_Wetland,Cropland
193,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland
194,NULL,Built-up,Wetland,NULL,Wetland,Cropland
195,NULL,Built-up,Wetland,NULL,Wetland,Bareland
196,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
197,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
198,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
199,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
200,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
201,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
202,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
203,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
204,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
205,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
206,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL
207,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
208,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
209,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
210,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
211,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
212,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
213,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
214,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
215,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
216,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
217,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
218,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
219,NULL,Water,NULL,NULL,Non_Wetland,NULL
220,NULL,Water,NULL,NULL,Non_Wetland,Grassland
221,NULL,Water,NULL,NULL,Non_Wetland,Cropland
222,NULL,Water,NULL,Water,Non_Wetland,Cropland
223,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
224,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
225,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
226,NULL,Water,Shrubland,NULL,Non_Wetland,Built-up
227,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
228,NULL,Water,Grassland,NULL,Non_Wetland,NULL
229,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
230,NULL,Water,Grassland,NULL,Non_Wetland,Cropland
231,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
232,NULL,Water,Cropland,NULL,Non_Wetland,NULL
233,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
234,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
235,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
236,NULL,Water,Cropland,NULL,Non_Wetland,Forest
237,NULL,Water,Cropland,Water,Non_Wetland,NULL
238,NULL,Water,Cropland,Water,Non_Wetland,Cropland
239,NULL,Water,Cropland,Water,Non_Wetland,Forest
240,NULL,Water,Bareland,NULL,Non_Wetland,NULL
241,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
242,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
243,NULL,Water,Bareland,Non_Water,Non_Wetland,Bareland
244,NULL,Water,Built-up,NULL,Non_Wetland,NULL
245,NULL,Water,Forest,NULL,Non_Wetland,NULL
246,NULL,Water,Forest,NULL,Non_Wetland,Grassland
247,NULL,Water,Forest,NULL,Non_Wetland,Cropland
248,NULL,Water,Forest,NULL,Non_Wetland,Forest
249,NULL,Forest,NULL,NULL,Non_Wetland,NULL
250,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
251,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
252,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
253,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
254,NULL,Forest,NULL,NULL,Non_Wetland,Forest
255,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
256,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
257,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
258,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
259,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
260,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
261,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
262,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
263,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
264,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
265,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
266,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
267,NULL,Forest,Grassland,Water,Non_Wetland,Grassland
268,NULL,Forest,Grassland,Water,Non_Wetland,Cropland
269,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
270,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
271,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
272,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
273,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
274,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
275,NULL,Forest,Cropland,Water,Non_Wetland,Cropland
276,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
277,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
278,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
279,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
280,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
281,NULL,Forest,Bareland,NULL,Non_Wetland,Cropland
282,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
283,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
284,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
285,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
286,NULL,Forest,Built-up,NULL,Non_Wetland,Cropland
287,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
288,NULL,Forest,Forest,NULL,Non_Wetland,NULL
289,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
290,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
291,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
292,NULL,Forest,Forest,NULL,Non_Wetland,Forest
293,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
294,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
295,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
296,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
297,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
298,Grassland,NULL,NULL,Non_Water,Non_Wetland,Cropland
299,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
300,Grassland,NULL,NULL,Water,Non_Wetland,Wetland
301,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
302,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
303,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
304,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
305,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
306,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
307,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
308,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up
309,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
310,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland
311,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
312,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
313,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
314,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
315,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL
316,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
317,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
318,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
319,Grassland,NULL,Cropland,Water,Non_Wetland,Cropland
320,Grassland,NULL,Cropland,Water,Non_Wetland,Forest
321,Grassland,NULL,Wetland,Non_Water,Wetland,Cropland
322,Grassland,NULL,Wetland,Water,Wetland,NULL
323,Grassland,NULL,Wetland,Water,Wetland,Grassland
324,Grassland,NULL,Wetland,Water,Wetland,Cropland
325,Grassland,NULL,Wetland,Water,Wetland,Water
326,Grassland,NULL,Wetland,Water,Wetland,Forest
327,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
328,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
329,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
330,Grassland,NULL,Bareland,Water,Non_Wetland,Cropland
331,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland
332,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
333,Grassland,NULL,Built-up,NULL,Non_Wetland,Cropland
334,Grassland,NULL,Built-up,NULL,Non_Wetland,Forest
335,Grassland,NULL,Water,Non_Water,Water,Cropland
336,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
337,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
338,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
339,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
340,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL
341,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
342,Grassland,NULL,Forest,Non_Water,Non_Wetland,Cropland
343,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
344,Grassland,NULL,Forest,Water,Non_Wetland,Cropland
345,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
346,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
347,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
348,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
349,Grassland,Cropland,Shrubland,Water,Non_Wetland,Cropland
350,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
351,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
352,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
353,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up
354,Grassland,Cropland,Cropland,Water,Non_Wetland,Cropland
355,Grassland,Cropland,Wetland,Water,Wetland,Grassland
356,Grassland,Cropland,Wetland,Water,Wetland,Cropland
357,Grassland,Cropland,Bareland,NULL,Non_Wetland,Cropland
358,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
359,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
360,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
361,Grassland,Cropland,Forest,Water,Non_Wetland,Cropland
362,Grassland,Built-up,NULL,NULL,Non_Wetland,NULL
363,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland
364,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL
365,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
366,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Cropland
367,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL
368,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland
369,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL
370,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland
371,Grassland,Built-up,Cropland,NULL,Non_Wetland,Cropland
372,Grassland,Built-up,Cropland,NULL,Non_Wetland,Forest
373,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL
374,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland
375,Grassland,Built-up,Forest,NULL,Non_Wetland,Cropland
376,Grassland,Built-up,Forest,NULL,Non_Wetland,Forest
377,Grassland,Water,NULL,NULL,Non_Wetland,Grassland
378,Grassland,Water,NULL,NULL,Non_Wetland,Cropland
379,Grassland,Water,NULL,Non_Water,Non_Wetland,Grassland
380,Grassland,Water,NULL,Non_Water,Non_Wetland,Cropland
381,Grassland,Water,NULL,Water,Non_Wetland,Cropland
382,Grassland,Water,Cropland,NULL,Non_Wetland,Grassland
383,Grassland,Water,Cropland,NULL,Non_Wetland,Cropland
384,Grassland,Water,Cropland,Non_Water,Non_Wetland,Grassland
385,Grassland,Water,Cropland,Non_Water,Non_Wetland,Cropland
386,Grassland,Water,Cropland,Water,Non_Wetland,Cropland
387,Grassland,Water,Wetland,Non_Water,Wetland,Cropland
388,Grassland,Water,Wetland,Water,Wetland,Cropland
389,Grassland,Water,Wetland,Water,Wetland,Water
390,Grassland,Water,Bareland,Non_Water,Non_Wetland,Grassland
391,Grassland,Water,Forest,NULL,Non_Wetland,Grassland
392,Grassland,Water,Forest,NULL,Non_Wetland,Forest
393,Grassland,Water,Forest,Non_Water,Non_Wetland,Grassland
394,Grassland,Water,Forest,Non_Water,Non_Wetland,Cropland
395,Grassland,Water,Forest,Water,Non_Wetland,Cropland
396,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
397,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
398,Grassland,Forest,NULL,NULL,Non_Wetland,Cropland
399,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
400,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
401,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
402,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL
403,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
404,Grassland,Forest,Grassland,NULL,Non_Wetland,Cropland
405,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
406,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
407,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland
408,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
409,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL
410,Grassland,Forest,Bareland,NULL,Non_Wetland,Grassland
411,Grassland,Forest,Bareland,NULL,Non_Wetland,Cropland
412,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
413,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
414,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland
415,Grassland,Forest,Forest,NULL,Non_Wetland,Bareland
416,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
417,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
418,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
419,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
420,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
421,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up
422,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
423,Cropland,NULL,NULL,Non_Water,Non_Wetland,Cropland
424,Cropland,NULL,NULL,Water,Non_Wetland,Cropland
425,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
