Value,AFRICA_2024_DynamicWorld_2024_35PPR_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PPR_M_R,AFRICA_2024_GLC_FCS30D_2022_35PPR_M_R,AFRICA_2024_GSW_Yearly_2021_35PPR_M_R,AFRICA_2024_GWL_FCS30D_2022_35PPR_M_R,AFRICA_2024_WorldCover_2021_35PPR_M_R
121,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
122,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
123,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
124,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
125,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
126,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
127,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
128,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
129,NULL,Water,NULL,NULL,Non_Wetland,Grassland
130,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
131,NULL,Water,Grassland,NULL,Non_Wetland,Forest
132,NULL,Water,Grassland,Non_Water,Non_Wetland,Grassland
133,NULL,Forest,NULL,NULL,Non_Wetland,NULL
134,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
135,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
136,NULL,Forest,NULL,NULL,Non_Wetland,Forest
137,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL
138,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland
139,NULL,Forest,NULL,Non_Water,Non_Wetland,Forest
140,NULL,Forest,NULL,Water,Non_Wetland,Grassland
141,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
142,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
143,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
144,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
145,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
146,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland
147,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
148,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
149,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL
150,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland
151,NULL,Forest,Grassland,Non_Water,Non_Wetland,Cropland
152,NULL,Forest,Grassland,Non_Water,Non_Wetland,Forest
153,NULL,Forest,Grassland,Water,Non_Wetland,NULL
154,NULL,Forest,Grassland,Water,Non_Wetland,Grassland
155,NULL,Forest,Grassland,Water,Non_Wetland,Forest
156,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
157,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
158,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
159,NULL,Forest,Cropland,Non_Water,Non_Wetland,Forest
160,NULL,Forest,Cropland,Water,Non_Wetland,Grassland
161,NULL,Forest,Wetland,NULL,Wetland,NULL
162,NULL,Forest,Wetland,NULL,Wetland,Forest
163,NULL,Forest,Wetland,Non_Water,Wetland,Forest
164,NULL,Forest,Wetland,Water,Wetland,Forest
165,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
166,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
167,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
168,NULL,Forest,Water,NULL,Water,Forest
169,NULL,Forest,Forest,NULL,Non_Wetland,NULL
170,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
171,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
172,NULL,Forest,Forest,NULL,Non_Wetland,Forest
173,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
174,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
175,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
176,NULL,Forest,Forest,Water,Non_Wetland,Forest
177,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
178,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
179,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
180,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
181,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
182,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
183,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
184,Grassland,Forest,Wetland,NULL,Wetland,NULL
185,Grassland,Forest,Wetland,NULL,Wetland,Forest
186,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
187,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
188,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
189,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
190,Cropland,NULL,NULL,NULL,Non_Wetland,Water
191,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
192,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL
193,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland
194,Cropland,NULL,NULL,Non_Water,Non_Wetland,Bareland
195,Cropland,NULL,NULL,Non_Water,Non_Wetland,Forest
196,Cropland,NULL,NULL,Water,Non_Wetland,Grassland
197,Cropland,NULL,NULL,Water,Non_Wetland,Cropland
198,Cropland,NULL,NULL,Water,Non_Wetland,Wetland
199,Cropland,NULL,NULL,Water,Non_Wetland,Bareland
200,Cropland,NULL,NULL,Water,Non_Wetland,Water
201,Cropland,NULL,NULL,Water,Non_Wetland,Forest
202,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
203,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
204,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
205,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
206,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
207,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
208,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
209,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
210,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
211,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
212,Cropland,NULL,Shrubland,Water,Non_Wetland,Cropland
213,Cropland,NULL,Shrubland,Water,Non_Wetland,Wetland
214,Cropland,NULL,Shrubland,Water,Non_Wetland,Bareland
215,Cropland,NULL,Shrubland,Water,Non_Wetland,Water
216,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
217,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
218,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
219,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
220,Cropland,NULL,Grassland,NULL,Non_Wetland,Water
221,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
222,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL
223,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
224,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
225,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
226,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Forest
227,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
228,Cropland,NULL,Grassland,Water,Non_Wetland,Cropland
229,Cropland,NULL,Grassland,Water,Non_Wetland,Wetland
230,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
231,Cropland,NULL,Grassland,Water,Non_Wetland,Water
232,Cropland,NULL,Grassland,Water,Non_Wetland,Forest
233,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
234,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
235,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
236,Cropland,NULL,Wetland,NULL,Wetland,Grassland
237,Cropland,NULL,Wetland,NULL,Wetland,Bareland
238,Cropland,NULL,Wetland,NULL,Wetland,Forest
239,Cropland,NULL,Wetland,Non_Water,Wetland,NULL
240,Cropland,NULL,Wetland,Non_Water,Wetland,Water
241,Cropland,NULL,Wetland,Non_Water,Wetland,Forest
242,Cropland,NULL,Wetland,Water,Wetland,Grassland
243,Cropland,NULL,Wetland,Water,Wetland,Cropland
244,Cropland,NULL,Wetland,Water,Wetland,Wetland
245,Cropland,NULL,Wetland,Water,Wetland,Bareland
246,Cropland,NULL,Wetland,Water,Wetland,Water
247,Cropland,NULL,Wetland,Water,Wetland,Forest
248,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
249,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
250,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
251,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
252,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
253,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
254,Cropland,NULL,Bareland,NULL,Non_Wetland,Water
255,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
256,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
257,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
258,Cropland,NULL,Bareland,Water,Non_Wetland,Wetland
259,Cropland,NULL,Bareland,Water,Non_Wetland,Bareland
260,Cropland,NULL,Bareland,Water,Non_Wetland,Forest
261,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
262,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
263,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
264,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
265,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
266,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Bareland
267,Cropland,NULL,Built-up,Water,Non_Wetland,Grassland
268,Cropland,NULL,Built-up,Water,Non_Wetland,Bareland
269,Cropland,NULL,Water,Water,Water,Grassland
270,Cropland,NULL,Water,Water,Water,Bareland
271,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
272,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
273,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland
274,Cropland,NULL,Forest,NULL,Non_Wetland,Water
275,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
276,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL
277,Cropland,NULL,Forest,Non_Water,Non_Wetland,Grassland
278,Cropland,NULL,Forest,Non_Water,Non_Wetland,Cropland
279,Cropland,NULL,Forest,Non_Water,Non_Wetland,Forest
280,Cropland,NULL,Forest,Water,Non_Wetland,Grassland
281,Cropland,NULL,Forest,Water,Non_Wetland,Cropland
282,Cropland,NULL,Forest,Water,Non_Wetland,Forest
283,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
284,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
285,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
286,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland
287,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
288,Cropland,Cropland,NULL,Non_Water,Non_Wetland,Grassland
289,Cropland,Cropland,NULL,Non_Water,Non_Wetland,Bareland
290,Cropland,Cropland,NULL,Non_Water,Non_Wetland,Forest
291,Cropland,Cropland,NULL,Water,Non_Wetland,Grassland
292,Cropland,Cropland,NULL,Water,Non_Wetland,Wetland
293,Cropland,Cropland,NULL,Water,Non_Wetland,Bareland
294,Cropland,Cropland,NULL,Water,Non_Wetland,Water
295,Cropland,Cropland,NULL,Water,Non_Wetland,Forest
296,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
297,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
298,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
299,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Bareland
300,Cropland,Cropland,Shrubland,Water,Non_Wetland,Grassland
301,Cropland,Cropland,Shrubland,Water,Non_Wetland,Bareland
302,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
303,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
304,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
305,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
306,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
307,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
308,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Bareland
309,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Water
310,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Forest
311,Cropland,Cropland,Grassland,Water,Non_Wetland,Grassland
312,Cropland,Cropland,Grassland,Water,Non_Wetland,Wetland
313,Cropland,Cropland,Grassland,Water,Non_Wetland,Bareland
314,Cropland,Cropland,Grassland,Water,Non_Wetland,Water
315,Cropland,Cropland,Wetland,NULL,Wetland,Forest
316,Cropland,Cropland,Wetland,Non_Water,Wetland,Water
317,Cropland,Cropland,Wetland,Water,Wetland,Grassland
318,Cropland,Cropland,Wetland,Water,Wetland,Bareland
319,Cropland,Cropland,Wetland,Water,Wetland,Water
320,Cropland,Cropland,Wetland,Water,Wetland,Forest
321,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
322,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
323,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
324,Cropland,Cropland,Bareland,Water,Non_Wetland,Wetland
325,Cropland,Cropland,Bareland,Water,Non_Wetland,Bareland
326,Cropland,Cropland,Bareland,Water,Non_Wetland,Water
327,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
328,Cropland,Cropland,Built-up,NULL,Non_Wetland,Forest
329,Cropland,Cropland,Built-up,Non_Water,Non_Wetland,Grassland
330,Cropland,Cropland,Built-up,Water,Non_Wetland,Water
331,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
332,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
333,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland
334,Cropland,Cropland,Forest,NULL,Non_Wetland,Water
335,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
336,Cropland,Cropland,Forest,Non_Water,Non_Wetland,Grassland
337,Cropland,Cropland,Forest,Non_Water,Non_Wetland,Forest
338,Cropland,Wetland,Grassland,NULL,Non_Wetland,Grassland
339,Cropland,Wetland,Grassland,Water,Non_Wetland,Forest
340,Cropland,Wetland,Wetland,Water,Wetland,Forest
341,Cropland,Bareland,NULL,NULL,Non_Wetland,Water
342,Cropland,Bareland,Grassland,NULL,Non_Wetland,Grassland
343,Cropland,Bareland,Grassland,NULL,Non_Wetland,Bareland
344,Cropland,Bareland,Grassland,NULL,Non_Wetland,Water
345,Cropland,Bareland,Grassland,Water,Non_Wetland,Water
346,Cropland,Bareland,Wetland,Water,Wetland,Bareland
347,Cropland,Bareland,Wetland,Water,Wetland,Water
348,Cropland,Bareland,Bareland,Water,Non_Wetland,Bareland
349,Cropland,Bareland,Bareland,Water,Non_Wetland,Water
350,Cropland,Bareland,Forest,NULL,Non_Wetland,Forest
351,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL
352,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
353,Cropland,Built-up,Grassland,NULL,Non_Wetland,Bareland
354,Cropland,Water,NULL,NULL,Non_Wetland,Bareland
355,Cropland,Water,NULL,NULL,Non_Wetland,Water
356,Cropland,Water,Shrubland,Water,Non_Wetland,Bareland
357,Cropland,Water,Grassland,NULL,Non_Wetland,Grassland
358,Cropland,Water,Grassland,NULL,Non_Wetland,Water
359,Cropland,Water,Grassland,Non_Water,Non_Wetland,Grassland
360,Cropland,Water,Grassland,Water,Non_Wetland,Grassland
361,Cropland,Water,Wetland,NULL,Wetland,Bareland
362,Cropland,Water,Wetland,Water,Wetland,Grassland
363,Cropland,Water,Wetland,Water,Wetland,Cropland
364,Cropland,Water,Wetland,Water,Wetland,Bareland
365,Cropland,Water,Wetland,Water,Wetland,Water
366,Cropland,Water,Wetland,Water,Wetland,Forest
367,Cropland,Water,Bareland,NULL,Non_Wetland,Bareland
368,Cropland,Water,Bareland,Water,Non_Wetland,Bareland
369,Cropland,Water,Bareland,Water,Non_Wetland,Water
370,Cropland,Water,Water,Water,Water,Bareland
371,Cropland,Water,Water,Water,Water,Water
372,Cropland,Water,Forest,Water,Non_Wetland,Forest
373,Cropland,Forest,NULL,NULL,Non_Wetland,NULL
374,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland
375,Cropland,Forest,NULL,NULL,Non_Wetland,Bareland
376,Cropland,Forest,NULL,NULL,Non_Wetland,Forest
377,Cropland,Forest,NULL,Non_Water,Non_Wetland,Grassland
378,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
379,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
380,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest
381,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
382,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL
383,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
384,Cropland,Forest,Grassland,NULL,Non_Wetland,Bareland
385,Cropland,Forest,Grassland,NULL,Non_Wetland,Forest
386,Cropland,Forest,Grassland,Non_Water,Non_Wetland,NULL
387,Cropland,Forest,Grassland,Non_Water,Non_Wetland,Grassland
388,Cropland,Forest,Grassland,Non_Water,Non_Wetland,Cropland
389,Cropland,Forest,Grassland,Non_Water,Non_Wetland,Forest
390,Cropland,Forest,Grassland,Water,Non_Wetland,Grassland
391,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL
392,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest
393,Cropland,Forest,Cropland,Non_Water,Non_Wetland,Grassland
394,Cropland,Forest,Wetland,NULL,Wetland,Forest
395,Cropland,Forest,Wetland,Water,Wetland,Grassland
396,Cropland,Forest,Wetland,Water,Wetland,Forest
397,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
398,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
399,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
400,Cropland,Forest,Forest,Non_Water,Non_Wetland,NULL
401,Cropland,Forest,Forest,Non_Water,Non_Wetland,Grassland
402,Cropland,Forest,Forest,Non_Water,Non_Wetland,Cropland
403,Cropland,Forest,Forest,Non_Water,Non_Wetland,Forest
404,Wetland,NULL,NULL,NULL,Non_Wetland,NULL
405,Wetland,NULL,NULL,NULL,Non_Wetland,Grassland
406,Wetland,NULL,NULL,NULL,Non_Wetland,Forest
407,Wetland,NULL,NULL,Non_Water,Non_Wetland,Grassland
408,Wetland,NULL,NULL,Water,Non_Wetland,Forest
409,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL
410,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland
411,Wetland,NULL,Grassland,NULL,Non_Wetland,Water
412,Wetland,NULL,Grassland,NULL,Non_Wetland,Forest
413,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
414,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Forest
415,Wetland,NULL,Grassland,Water,Non_Wetland,Grassland
416,Wetland,NULL,Grassland,Water,Non_Wetland,Wetland
417,Wetland,NULL,Grassland,Water,Non_Wetland,Bareland
418,Wetland,NULL,Grassland,Water,Non_Wetland,Water
419,Wetland,NULL,Grassland,Water,Non_Wetland,Forest
420,Wetland,NULL,Wetland,NULL,Wetland,Bareland
421,Wetland,NULL,Wetland,NULL,Wetland,Forest
422,Wetland,NULL,Wetland,Water,Wetland,Grassland
423,Wetland,NULL,Wetland,Water,Wetland,Wetland
424,Wetland,NULL,Wetland,Water,Wetland,Bareland
425,Wetland,NULL,Wetland,Water,Wetland,Forest
426,Wetland,NULL,Bareland,Water,Non_Wetland,Grassland
