Value,AFRICA_2024_DynamicWorld_2024_36NVN_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NVN_M_R,AFRICA_2024_GLC_FCS30D_2022_36NVN_M_R,AFRICA_2024_GSW_Yearly_2021_36NVN_M_R,AFRICA_2024_GWL_FCS30D_2022_36NVN_M_R,AFRICA_2024_WorldCover_2021_36NVN_M_R
120,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland
121,Grassland,NULL,NULL,Non_Water,Non_Wetland,Forest
122,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
123,Grassland,NULL,NULL,Water,Non_Wetland,Wetland
124,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
125,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
126,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water
127,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
128,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
129,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
130,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Water
131,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
132,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
133,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
134,Grassland,NULL,Shrubland,Water,Non_Wetland,Water
135,Grassland,NULL,Shrubland,Water,Non_Wetland,Forest
136,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
137,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
138,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
139,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
140,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
141,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
142,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland
143,Grassland,NULL,Wetland,NULL,Wetland,Grassland
144,Grassland,NULL,Wetland,NULL,Wetland,Wetland
145,Grassland,NULL,Wetland,NULL,Wetland,Forest
146,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
147,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
148,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
149,Grassland,NULL,Wetland,Water,Wetland,Grassland
150,Grassland,NULL,Wetland,Water,Wetland,Wetland
151,Grassland,NULL,Wetland,Water,Wetland,Water
152,Grassland,NULL,Wetland,Water,Wetland,Forest
153,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
154,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
155,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
156,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
157,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland
158,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
159,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland
160,Grassland,NULL,Water,NULL,Water,Grassland
161,Grassland,NULL,Water,NULL,Water,Wetland
162,Grassland,NULL,Water,Non_Water,Water,Wetland
163,Grassland,NULL,Water,Water,Water,Grassland
164,Grassland,NULL,Water,Water,Water,Wetland
165,Grassland,NULL,Water,Water,Water,Water
166,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
167,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
168,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
169,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
170,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
171,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
172,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
173,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
174,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
175,Grassland,NULL,Forest,Water,Non_Wetland,Water
176,Grassland,NULL,Forest,Water,Non_Wetland,Forest
177,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
178,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland
179,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Grassland
180,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
181,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
182,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
183,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
184,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
185,Grassland,Cropland,Shrubland,Water,Non_Wetland,Grassland
186,Grassland,Cropland,Wetland,NULL,Wetland,Grassland
187,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland
188,Grassland,Cropland,Bareland,NULL,Non_Wetland,Wetland
189,Grassland,Cropland,Water,NULL,Water,Grassland
190,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
191,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
192,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
193,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Grassland
194,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Wetland
195,Grassland,Water,NULL,Water,Non_Wetland,Grassland
196,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland
197,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland
198,Grassland,Water,Shrubland,NULL,Non_Wetland,Forest
199,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Wetland
200,Grassland,Water,Shrubland,Water,Non_Wetland,Grassland
201,Grassland,Water,Shrubland,Water,Non_Wetland,Wetland
202,Grassland,Water,Shrubland,Water,Non_Wetland,Forest
203,Grassland,Water,Wetland,NULL,Wetland,Forest
204,Grassland,Water,Wetland,Water,Wetland,Grassland
205,Grassland,Water,Wetland,Water,Wetland,Wetland
206,Grassland,Water,Bareland,Water,Non_Wetland,Grassland
207,Grassland,Water,Forest,NULL,Non_Wetland,Grassland
208,Grassland,Water,Forest,NULL,Non_Wetland,Wetland
209,Grassland,Water,Forest,NULL,Non_Wetland,Forest
210,Grassland,Water,Forest,Non_Water,Non_Wetland,Grassland
211,Grassland,Water,Forest,Non_Water,Non_Wetland,Wetland
212,Grassland,Water,Forest,Water,Non_Wetland,Grassland
213,Grassland,Water,Forest,Water,Non_Wetland,Wetland
214,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
215,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland
216,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
217,Grassland,Forest,NULL,Non_Water,Non_Wetland,Grassland
218,Grassland,Forest,NULL,Non_Water,Non_Wetland,Wetland
219,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
220,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland
221,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
222,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
223,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
224,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Forest
225,Grassland,Forest,Shrubland,Water,Non_Wetland,Grassland
226,Grassland,Forest,Shrubland,Water,Non_Wetland,Wetland
227,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
228,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland
229,Grassland,Forest,Wetland,NULL,Wetland,Grassland
230,Grassland,Forest,Wetland,NULL,Wetland,Wetland
231,Grassland,Forest,Wetland,NULL,Wetland,Forest
232,Grassland,Forest,Wetland,Non_Water,Wetland,Grassland
233,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland
234,Grassland,Forest,Bareland,NULL,Non_Wetland,Grassland
235,Grassland,Forest,Bareland,NULL,Non_Wetland,Wetland
236,Grassland,Forest,Bareland,NULL,Non_Wetland,Forest
237,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
238,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
239,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
240,Grassland,Forest,Forest,Non_Water,Non_Wetland,Grassland
241,Grassland,Forest,Forest,Non_Water,Non_Wetland,Wetland
242,Grassland,Forest,Forest,Non_Water,Non_Wetland,Forest
243,Grassland,Forest,Forest,Water,Non_Wetland,Grassland
244,Grassland,Forest,Forest,Water,Non_Wetland,Wetland
245,Grassland,Forest,Forest,Water,Non_Wetland,Water
246,Grassland,Forest,Forest,Water,Non_Wetland,Forest
247,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
248,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland
249,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
250,Cropland,NULL,NULL,Water,Non_Wetland,Grassland
251,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
252,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
253,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
254,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
255,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
256,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
257,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
258,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
259,Cropland,NULL,Shrubland,Water,Non_Wetland,Wetland
260,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
261,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
262,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland
263,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
264,Cropland,NULL,Wetland,NULL,Wetland,Grassland
265,Cropland,NULL,Wetland,NULL,Wetland,Wetland
266,Cropland,NULL,Wetland,Water,Wetland,Wetland
267,Cropland,NULL,Wetland,Water,Wetland,Forest
268,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
269,Cropland,NULL,Bareland,NULL,Non_Wetland,Wetland
270,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
271,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
272,Cropland,NULL,Water,Water,Water,Grassland
273,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
274,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
275,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
276,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
277,Cropland,NULL,Forest,Non_Water,Non_Wetland,Grassland
278,Cropland,NULL,Forest,Non_Water,Non_Wetland,Wetland
279,Cropland,NULL,Forest,Non_Water,Non_Wetland,Forest
280,Cropland,NULL,Forest,Water,Non_Wetland,Grassland
281,Cropland,NULL,Forest,Water,Non_Wetland,Wetland
282,Cropland,NULL,Forest,Water,Non_Wetland,Forest
283,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
284,Cropland,Cropland,NULL,NULL,Non_Wetland,Wetland
285,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
286,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
287,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
288,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
289,Cropland,Cropland,Shrubland,Water,Non_Wetland,Grassland
290,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
291,Cropland,Cropland,Bareland,NULL,Non_Wetland,Wetland
292,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
293,Cropland,Cropland,Forest,NULL,Non_Wetland,Wetland
294,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
295,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
296,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
297,Cropland,Wetland,Bareland,NULL,Non_Wetland,Grassland
298,Cropland,Wetland,Forest,NULL,Non_Wetland,Grassland
299,Cropland,Wetland,Forest,NULL,Non_Wetland,Forest
300,Cropland,Built-up,NULL,NULL,Non_Wetland,Grassland
301,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
302,Cropland,Built-up,Built-up,NULL,Non_Wetland,Grassland
303,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland
304,Cropland,Water,Shrubland,Water,Non_Wetland,Wetland
305,Cropland,Water,Wetland,Water,Wetland,Wetland
306,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland
307,Cropland,Forest,NULL,NULL,Non_Wetland,Forest
308,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
309,Cropland,Forest,Shrubland,NULL,Non_Wetland,Wetland
310,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest
311,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
312,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,Forest
313,Cropland,Forest,Shrubland,Water,Non_Wetland,Grassland
314,Cropland,Forest,Shrubland,Water,Non_Wetland,Wetland
315,Cropland,Forest,Wetland,NULL,Wetland,Grassland
316,Cropland,Forest,Wetland,NULL,Wetland,Wetland
317,Cropland,Forest,Wetland,Water,Wetland,Wetland
318,Cropland,Forest,Wetland,Water,Wetland,Water
319,Cropland,Forest,Bareland,NULL,Non_Wetland,Grassland
320,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
321,Cropland,Forest,Forest,NULL,Non_Wetland,Wetland
322,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
323,Wetland,NULL,NULL,NULL,Non_Wetland,Grassland
324,Wetland,NULL,NULL,NULL,Non_Wetland,Wetland
325,Wetland,NULL,NULL,NULL,Non_Wetland,Forest
326,Wetland,NULL,NULL,Water,Non_Wetland,Grassland
327,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
328,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland
329,Wetland,NULL,Shrubland,NULL,Non_Wetland,Forest
330,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
331,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
332,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
333,Wetland,NULL,Shrubland,Water,Non_Wetland,Grassland
334,Wetland,NULL,Shrubland,Water,Non_Wetland,Wetland
335,Wetland,NULL,Shrubland,Water,Non_Wetland,Water
336,Wetland,NULL,Shrubland,Water,Non_Wetland,Forest
337,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland
338,Wetland,NULL,Cropland,NULL,Non_Wetland,Grassland
339,Wetland,NULL,Wetland,NULL,Wetland,Grassland
340,Wetland,NULL,Wetland,NULL,Wetland,Wetland
341,Wetland,NULL,Wetland,Water,Wetland,Grassland
342,Wetland,NULL,Wetland,Water,Wetland,Wetland
343,Wetland,NULL,Bareland,NULL,Non_Wetland,Grassland
344,Wetland,NULL,Bareland,NULL,Non_Wetland,Wetland
345,Wetland,NULL,Bareland,NULL,Non_Wetland,Forest
346,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
347,Wetland,NULL,Water,NULL,Water,Wetland
348,Wetland,NULL,Water,Water,Water,Wetland
349,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland
350,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland
351,Wetland,NULL,Forest,NULL,Non_Wetland,Forest
352,Wetland,NULL,Forest,Non_Water,Non_Wetland,Grassland
353,Wetland,NULL,Forest,Non_Water,Non_Wetland,Wetland
354,Wetland,NULL,Forest,Non_Water,Non_Wetland,Forest
355,Wetland,NULL,Forest,Water,Non_Wetland,Grassland
356,Wetland,NULL,Forest,Water,Non_Wetland,Wetland
357,Wetland,NULL,Forest,Water,Non_Wetland,Forest
358,Wetland,Cropland,NULL,NULL,Non_Wetland,Grassland
359,Wetland,Cropland,NULL,NULL,Non_Wetland,Wetland
360,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
361,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
362,Wetland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
363,Wetland,Cropland,Shrubland,Water,Non_Wetland,Grassland
364,Wetland,Cropland,Bareland,NULL,Non_Wetland,Grassland
365,Wetland,Cropland,Bareland,NULL,Non_Wetland,Wetland
366,Wetland,Cropland,Forest,NULL,Non_Wetland,Grassland
367,Wetland,Cropland,Forest,NULL,Non_Wetland,Wetland
368,Wetland,Cropland,Forest,NULL,Non_Wetland,Forest
369,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
370,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
371,Wetland,Wetland,Forest,NULL,Non_Wetland,Grassland
372,Wetland,Wetland,Forest,NULL,Non_Wetland,Wetland
373,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Grassland
374,Wetland,Water,NULL,NULL,Non_Wetland,Forest
375,Wetland,Water,Shrubland,NULL,Non_Wetland,Grassland
376,Wetland,Water,Shrubland,NULL,Non_Wetland,Wetland
377,Wetland,Water,Shrubland,NULL,Non_Wetland,Water
378,Wetland,Water,Shrubland,NULL,Non_Wetland,Forest
379,Wetland,Water,Shrubland,Non_Water,Non_Wetland,Wetland
380,Wetland,Water,Shrubland,Water,Non_Wetland,Grassland
381,Wetland,Water,Shrubland,Water,Non_Wetland,Wetland
382,Wetland,Water,Shrubland,Water,Non_Wetland,Forest
383,Wetland,Water,Wetland,NULL,Wetland,Water
384,Wetland,Water,Wetland,NULL,Wetland,Forest
385,Wetland,Water,Wetland,Non_Water,Wetland,Grassland
386,Wetland,Water,Wetland,Water,Wetland,Grassland
387,Wetland,Water,Wetland,Water,Wetland,Wetland
388,Wetland,Water,Wetland,Water,Wetland,Water
389,Wetland,Water,Wetland,Water,Wetland,Forest
390,Wetland,Water,Bareland,NULL,Non_Wetland,Forest
391,Wetland,Water,Water,NULL,Water,Forest
392,Wetland,Water,Water,Water,Water,Wetland
393,Wetland,Water,Forest,NULL,Non_Wetland,Wetland
394,Wetland,Water,Forest,NULL,Non_Wetland,Forest
395,Wetland,Water,Forest,Non_Water,Non_Wetland,Grassland
396,Wetland,Water,Forest,Non_Water,Non_Wetland,Wetland
397,Wetland,Water,Forest,Non_Water,Non_Wetland,Forest
398,Wetland,Water,Forest,Water,Non_Wetland,Grassland
399,Wetland,Water,Forest,Water,Non_Wetland,Wetland
400,Wetland,Water,Forest,Water,Non_Wetland,Forest
401,Wetland,Forest,NULL,NULL,Non_Wetland,Grassland
402,Wetland,Forest,NULL,NULL,Non_Wetland,Forest
403,Wetland,Forest,NULL,Water,Non_Wetland,Wetland
404,Wetland,Forest,Shrubland,NULL,Non_Wetland,Grassland
405,Wetland,Forest,Shrubland,NULL,Non_Wetland,Wetland
406,Wetland,Forest,Shrubland,NULL,Non_Wetland,Forest
407,Wetland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
408,Wetland,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
409,Wetland,Forest,Shrubland,Non_Water,Non_Wetland,Forest
410,Wetland,Forest,Shrubland,Water,Non_Wetland,Grassland
411,Wetland,Forest,Shrubland,Water,Non_Wetland,Wetland
412,Wetland,Forest,Shrubland,Water,Non_Wetland,Water
413,Wetland,Forest,Shrubland,Water,Non_Wetland,Forest
414,Wetland,Forest,Wetland,NULL,Wetland,Grassland
415,Wetland,Forest,Wetland,NULL,Wetland,Wetland
416,Wetland,Forest,Wetland,NULL,Wetland,Forest
417,Wetland,Forest,Wetland,Non_Water,Wetland,Wetland
418,Wetland,Forest,Wetland,Non_Water,Wetland,Forest
419,Wetland,Forest,Wetland,Water,Wetland,Grassland
420,Wetland,Forest,Wetland,Water,Wetland,Wetland
421,Wetland,Forest,Wetland,Water,Wetland,Forest
422,Wetland,Forest,Bareland,NULL,Non_Wetland,Grassland
423,Wetland,Forest,Bareland,NULL,Non_Wetland,Wetland
424,Wetland,Forest,Bareland,NULL,Non_Wetland,Forest
425,Wetland,Forest,Bareland,Non_Water,Non_Wetland,Wetland
