Value,AFRICA_2024_DynamicWorld_2024_37PGR_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PGR_M_R,AFRICA_2024_GLC_FCS30D_2022_37PGR_M_R,AFRICA_2024_GSW_Yearly_2021_37PGR_M_R,AFRICA_2024_GWL_FCS30D_2022_37PGR_M_R,AFRICA_2024_WorldCover_2021_37PGR_M_R
119,Wetland,Water,Built-up,NULL,Non_Wetland,Wetland
120,Bareland,NULL,NULL,NULL,Non_Wetland,NULL
121,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
122,Bareland,NULL,NULL,NULL,Non_Wetland,Cropland
123,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland
124,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
125,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
126,Bareland,NULL,Shrubland,NULL,Non_Wetland,Cropland
127,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
128,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
129,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL
130,Bareland,NULL,Shrubland,Water,Non_Wetland,Bareland
131,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
132,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
133,Bareland,NULL,Grassland,NULL,Non_Wetland,Cropland
134,Bareland,NULL,Grassland,NULL,Non_Wetland,Wetland
135,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
136,Bareland,NULL,Grassland,NULL,Non_Wetland,Built-up
137,Bareland,NULL,Grassland,NULL,Non_Wetland,Forest
138,Bareland,NULL,Grassland,Water,Non_Wetland,NULL
139,Bareland,NULL,Grassland,Water,Non_Wetland,Bareland
140,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL
141,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
142,Bareland,NULL,Cropland,NULL,Non_Wetland,Cropland
143,Bareland,NULL,Cropland,NULL,Non_Wetland,Wetland
144,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland
145,Bareland,NULL,Cropland,NULL,Non_Wetland,Forest
146,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Bareland
147,Bareland,NULL,Cropland,Water,Non_Wetland,Cropland
148,Bareland,NULL,Wetland,NULL,Wetland,NULL
149,Bareland,NULL,Wetland,NULL,Wetland,Bareland
150,Bareland,NULL,Wetland,Non_Water,Wetland,Cropland
151,Bareland,NULL,Wetland,Water,Wetland,Wetland
152,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
153,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
154,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
155,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
156,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL
157,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
158,Bareland,NULL,Bareland,NULL,Non_Wetland,Cropland
159,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
160,Bareland,NULL,Bareland,NULL,Non_Wetland,Built-up
161,Bareland,NULL,Bareland,NULL,Non_Wetland,Water
162,Bareland,NULL,Bareland,NULL,Non_Wetland,Forest
163,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
164,Bareland,NULL,Bareland,Water,Non_Wetland,NULL
165,Bareland,NULL,Bareland,Water,Non_Wetland,Bareland
166,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL
167,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland
168,Bareland,NULL,Built-up,NULL,Non_Wetland,Cropland
169,Bareland,NULL,Built-up,NULL,Non_Wetland,Wetland
170,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland
171,Bareland,NULL,Built-up,Water,Non_Wetland,Bareland
172,Bareland,NULL,Water,NULL,Water,Bareland
173,Bareland,Cropland,Bareland,NULL,Non_Wetland,Bareland
174,Bareland,Wetland,Grassland,NULL,Non_Wetland,NULL
175,Bareland,Wetland,Grassland,NULL,Non_Wetland,Bareland
176,Bareland,Wetland,Bareland,NULL,Non_Wetland,Bareland
177,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL
178,Bareland,Bareland,NULL,NULL,Non_Wetland,Bareland
179,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL
180,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
181,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
182,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
183,Bareland,Bareland,Shrubland,Water,Non_Wetland,Bareland
184,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL
185,Bareland,Bareland,Grassland,NULL,Non_Wetland,Grassland
186,Bareland,Bareland,Grassland,NULL,Non_Wetland,Cropland
187,Bareland,Bareland,Grassland,NULL,Non_Wetland,Bareland
188,Bareland,Bareland,Grassland,NULL,Non_Wetland,Forest
189,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
190,Bareland,Bareland,Grassland,Water,Non_Wetland,Bareland
191,Bareland,Bareland,Cropland,NULL,Non_Wetland,NULL
192,Bareland,Bareland,Cropland,NULL,Non_Wetland,Cropland
193,Bareland,Bareland,Cropland,NULL,Non_Wetland,Bareland
194,Bareland,Bareland,Wetland,NULL,NULL,Bareland
195,Bareland,Bareland,Wetland,NULL,Wetland,Bareland
196,Bareland,Bareland,Wetland,NULL,Wetland,Water
197,Bareland,Bareland,Wetland,Non_Water,NULL,Bareland
198,Bareland,Bareland,Wetland,Water,NULL,Bareland
199,Bareland,Bareland,Wetland,Water,NULL,Water
200,Bareland,Bareland,Wetland,Water,Wetland,Bareland
201,Bareland,Bareland,Wetland,Water,Wetland,Water
202,Bareland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
203,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL
204,Bareland,Bareland,Bareland,NULL,Non_Wetland,Grassland
205,Bareland,Bareland,Bareland,NULL,Non_Wetland,Cropland
206,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland
207,Bareland,Bareland,Bareland,NULL,Non_Wetland,Built-up
208,Bareland,Bareland,Bareland,NULL,Non_Wetland,Water
209,Bareland,Bareland,Bareland,NULL,Non_Wetland,Forest
210,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
211,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Water
212,Bareland,Bareland,Bareland,Water,Non_Wetland,NULL
213,Bareland,Bareland,Bareland,Water,Non_Wetland,Bareland
214,Bareland,Bareland,Bareland,Water,Non_Wetland,Water
215,Bareland,Bareland,Built-up,NULL,Non_Wetland,NULL
216,Bareland,Bareland,Built-up,NULL,Non_Wetland,Grassland
217,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland
218,Bareland,Bareland,Built-up,NULL,Non_Wetland,Built-up
219,Bareland,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
220,Bareland,Bareland,Built-up,Water,Non_Wetland,Bareland
221,Bareland,Bareland,Water,NULL,NULL,Bareland
222,Bareland,Bareland,Water,NULL,NULL,Water
223,Bareland,Bareland,Water,NULL,Water,Bareland
224,Bareland,Bareland,Water,NULL,Water,Water
225,Bareland,Bareland,Water,Non_Water,NULL,Bareland
226,Bareland,Bareland,Water,Non_Water,Water,Bareland
227,Bareland,Bareland,Water,Water,NULL,Bareland
228,Bareland,Bareland,Water,Water,NULL,Water
229,Bareland,Bareland,Water,Water,Water,Bareland
230,Bareland,Bareland,Water,Water,Water,Water
231,Bareland,Built-up,Shrubland,NULL,Non_Wetland,NULL
232,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Bareland
233,Bareland,Built-up,Grassland,NULL,Non_Wetland,NULL
234,Bareland,Built-up,Grassland,NULL,Non_Wetland,Bareland
235,Bareland,Built-up,Bareland,NULL,Non_Wetland,NULL
236,Bareland,Built-up,Bareland,NULL,Non_Wetland,Grassland
237,Bareland,Built-up,Bareland,NULL,Non_Wetland,Bareland
238,Bareland,Built-up,Built-up,NULL,Non_Wetland,NULL
239,Bareland,Built-up,Built-up,NULL,Non_Wetland,Bareland
240,Bareland,Water,Shrubland,NULL,Non_Wetland,Grassland
241,Bareland,Water,Shrubland,NULL,Non_Wetland,Cropland
242,Bareland,Water,Shrubland,NULL,Non_Wetland,Bareland
243,Bareland,Water,Shrubland,Non_Water,Non_Wetland,Bareland
244,Bareland,Water,Shrubland,Non_Water,Non_Wetland,Water
245,Bareland,Water,Shrubland,Water,Non_Wetland,Bareland
246,Bareland,Water,Shrubland,Water,Non_Wetland,Water
247,Bareland,Water,Grassland,NULL,Non_Wetland,NULL
248,Bareland,Water,Grassland,NULL,Non_Wetland,Grassland
249,Bareland,Water,Grassland,NULL,Non_Wetland,Cropland
250,Bareland,Water,Grassland,NULL,Non_Wetland,Wetland
251,Bareland,Water,Grassland,NULL,Non_Wetland,Bareland
252,Bareland,Water,Grassland,Non_Water,Non_Wetland,NULL
253,Bareland,Water,Grassland,Water,Non_Wetland,Cropland
254,Bareland,Water,Grassland,Water,Non_Wetland,Wetland
255,Bareland,Water,Cropland,NULL,Non_Wetland,Wetland
256,Bareland,Water,Wetland,NULL,Wetland,NULL
257,Bareland,Water,Wetland,NULL,Wetland,Grassland
258,Bareland,Water,Wetland,NULL,Wetland,Cropland
259,Bareland,Water,Wetland,NULL,Wetland,Wetland
260,Bareland,Water,Wetland,NULL,Wetland,Bareland
261,Bareland,Water,Wetland,Non_Water,NULL,Water
262,Bareland,Water,Wetland,Non_Water,Wetland,Cropland
263,Bareland,Water,Wetland,Non_Water,Wetland,Wetland
264,Bareland,Water,Wetland,Non_Water,Wetland,Bareland
265,Bareland,Water,Wetland,Non_Water,Wetland,Water
266,Bareland,Water,Wetland,Water,NULL,Bareland
267,Bareland,Water,Wetland,Water,NULL,Water
268,Bareland,Water,Wetland,Water,Wetland,Cropland
269,Bareland,Water,Wetland,Water,Wetland,Wetland
270,Bareland,Water,Wetland,Water,Wetland,Bareland
271,Bareland,Water,Wetland,Water,Wetland,Water
272,Bareland,Water,Bareland,NULL,Non_Wetland,NULL
273,Bareland,Water,Bareland,NULL,Non_Wetland,Grassland
274,Bareland,Water,Bareland,NULL,Non_Wetland,Wetland
275,Bareland,Water,Bareland,NULL,Non_Wetland,Bareland
276,Bareland,Water,Bareland,Non_Water,Non_Wetland,Bareland
277,Bareland,Water,Bareland,Non_Water,Non_Wetland,Water
278,Bareland,Water,Bareland,Water,Non_Wetland,NULL
279,Bareland,Water,Bareland,Water,Non_Wetland,Bareland
280,Bareland,Water,Bareland,Water,Non_Wetland,Water
281,Bareland,Water,Built-up,NULL,Non_Wetland,Bareland
282,Bareland,Water,Built-up,Non_Water,Non_Wetland,Cropland
283,Bareland,Water,Built-up,Non_Water,Non_Wetland,Wetland
284,Bareland,Water,Built-up,Non_Water,Non_Wetland,Water
285,Bareland,Water,Built-up,Water,Non_Wetland,Bareland
286,Bareland,Water,Built-up,Water,Non_Wetland,Water
287,Bareland,Water,Water,NULL,NULL,Bareland
288,Bareland,Water,Water,NULL,NULL,Water
289,Bareland,Water,Water,NULL,Water,Bareland
290,Bareland,Water,Water,NULL,Water,Water
291,Bareland,Water,Water,Non_Water,NULL,Bareland
292,Bareland,Water,Water,Non_Water,NULL,Water
293,Bareland,Water,Water,Non_Water,Water,Bareland
294,Bareland,Water,Water,Non_Water,Water,Water
295,Bareland,Water,Water,Water,NULL,Bareland
296,Bareland,Water,Water,Water,NULL,Water
297,Bareland,Water,Water,Water,Water,Bareland
298,Bareland,Water,Water,Water,Water,Water
299,Bareland,Forest,Bareland,NULL,Non_Wetland,NULL
300,Bareland,Forest,Bareland,NULL,Non_Wetland,Grassland
301,Water,NULL,Shrubland,NULL,Non_Wetland,Wetland
302,Water,NULL,Shrubland,NULL,Non_Wetland,Bareland
303,Water,NULL,Grassland,NULL,Non_Wetland,Cropland
304,Water,NULL,Grassland,NULL,Non_Wetland,Wetland
305,Water,NULL,Grassland,NULL,Non_Wetland,Bareland
306,Water,NULL,Wetland,Water,NULL,Bareland
307,Water,NULL,Wetland,Water,Wetland,NULL
308,Water,NULL,Bareland,NULL,Non_Wetland,NULL
309,Water,NULL,Bareland,NULL,Non_Wetland,Bareland
310,Water,NULL,Bareland,NULL,Non_Wetland,Water
311,Water,NULL,Bareland,Water,Non_Wetland,Grassland
312,Water,NULL,Bareland,Water,Non_Wetland,Bareland
313,Water,NULL,Built-up,NULL,Non_Wetland,Wetland
314,Water,NULL,Built-up,NULL,Non_Wetland,Bareland
315,Water,NULL,Water,NULL,NULL,NULL
316,Water,NULL,Water,NULL,NULL,Water
317,Water,NULL,Water,NULL,Water,Bareland
318,Water,NULL,Water,Water,NULL,Water
319,Water,Wetland,Bareland,NULL,Non_Wetland,Bareland
320,Water,Bareland,Shrubland,NULL,Non_Wetland,Bareland
321,Water,Bareland,Grassland,Non_Water,Non_Wetland,NULL
322,Water,Bareland,Wetland,NULL,NULL,Bareland
323,Water,Bareland,Wetland,NULL,NULL,Water
324,Water,Bareland,Wetland,NULL,Wetland,Bareland
325,Water,Bareland,Wetland,NULL,Wetland,Water
326,Water,Bareland,Wetland,Water,NULL,Bareland
327,Water,Bareland,Wetland,Water,NULL,Water
328,Water,Bareland,Wetland,Water,Wetland,Wetland
329,Water,Bareland,Wetland,Water,Wetland,Bareland
330,Water,Bareland,Wetland,Water,Wetland,Water
331,Water,Bareland,Bareland,NULL,Non_Wetland,NULL
332,Water,Bareland,Bareland,NULL,Non_Wetland,Grassland
333,Water,Bareland,Bareland,NULL,Non_Wetland,Bareland
334,Water,Bareland,Bareland,NULL,Non_Wetland,Water
335,Water,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
336,Water,Bareland,Bareland,Water,Non_Wetland,Bareland
337,Water,Bareland,Bareland,Water,Non_Wetland,Water
338,Water,Bareland,Built-up,NULL,Non_Wetland,Bareland
339,Water,Bareland,Built-up,Water,Non_Wetland,Bareland
340,Water,Bareland,Water,NULL,NULL,Bareland
341,Water,Bareland,Water,NULL,NULL,Water
342,Water,Bareland,Water,NULL,Water,Bareland
343,Water,Bareland,Water,NULL,Water,Water
344,Water,Bareland,Water,Water,NULL,Bareland
345,Water,Bareland,Water,Water,NULL,Water
346,Water,Bareland,Water,Water,Water,Bareland
347,Water,Bareland,Water,Water,Water,Water
348,Water,Built-up,Bareland,NULL,Non_Wetland,Bareland
349,Water,Water,Wetland,NULL,NULL,Water
350,Water,Water,Wetland,NULL,Wetland,Wetland
351,Water,Water,Wetland,NULL,Wetland,Bareland
352,Water,Water,Wetland,NULL,Wetland,Water
353,Water,Water,Wetland,Non_Water,Wetland,Wetland
354,Water,Water,Wetland,Non_Water,Wetland,Water
355,Water,Water,Wetland,Water,NULL,Bareland
356,Water,Water,Wetland,Water,NULL,Water
357,Water,Water,Wetland,Water,Wetland,Wetland
358,Water,Water,Wetland,Water,Wetland,Bareland
359,Water,Water,Wetland,Water,Wetland,Water
360,Water,Water,Bareland,NULL,Non_Wetland,Bareland
361,Water,Water,Bareland,NULL,Non_Wetland,Water
362,Water,Water,Bareland,Non_Water,Non_Wetland,Water
363,Water,Water,Bareland,Water,Non_Wetland,Bareland
364,Water,Water,Bareland,Water,Non_Wetland,Water
365,Water,Water,Built-up,NULL,Non_Wetland,Bareland
366,Water,Water,Built-up,Water,Non_Wetland,Bareland
367,Water,Water,Built-up,Water,Non_Wetland,Water
368,Water,Water,Water,NULL,NULL,Bareland
369,Water,Water,Water,NULL,NULL,Water
370,Water,Water,Water,NULL,Water,Bareland
371,Water,Water,Water,NULL,Water,Water
372,Water,Water,Water,Non_Water,NULL,Water
373,Water,Water,Water,Water,NULL,Bareland
374,Water,Water,Water,Water,NULL,Water
375,Water,Water,Water,Water,Water,Bareland
376,Water,Water,Water,Water,Water,Water
377,Forest,NULL,NULL,NULL,Non_Wetland,NULL
378,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
379,Forest,NULL,Grassland,NULL,Non_Wetland,NULL
380,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland
381,Forest,NULL,Grassland,NULL,Non_Wetland,Cropland
382,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland
383,Forest,NULL,Grassland,NULL,Non_Wetland,Forest
384,Forest,NULL,Cropland,NULL,Non_Wetland,NULL
385,Forest,NULL,Cropland,NULL,Non_Wetland,Bareland
386,Forest,NULL,Cropland,NULL,Non_Wetland,Forest
387,Forest,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
388,Forest,NULL,Bareland,NULL,Non_Wetland,NULL
389,Forest,NULL,Bareland,NULL,Non_Wetland,Grassland
390,Forest,NULL,Bareland,NULL,Non_Wetland,Cropland
391,Forest,NULL,Bareland,NULL,Non_Wetland,Bareland
392,Forest,NULL,Built-up,NULL,Non_Wetland,NULL
393,Forest,Water,Wetland,NULL,Wetland,Wetland
394,Forest,Water,Wetland,NULL,Wetland,Water
395,Forest,Water,Wetland,Non_Water,Wetland,Wetland
396,Forest,Water,Wetland,Non_Water,Wetland,Water
397,Forest,Forest,Grassland,NULL,Non_Wetland,NULL
398,Forest,Forest,Grassland,NULL,Non_Wetland,Wetland
399,Forest,Forest,Grassland,NULL,Non_Wetland,Forest
400,Forest,Forest,Cropland,NULL,Non_Wetland,NULL
401,Forest,Forest,Cropland,NULL,Non_Wetland,Wetland
402,Forest,Forest,Cropland,NULL,Non_Wetland,Forest
403,Forest,Forest,Wetland,NULL,Wetland,Forest
