Value,AFRICA_2024_DynamicWorld_2024_37PEM_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PEM_M_R,AFRICA_2024_GLC_FCS30D_2022_37PEM_M_R,AFRICA_2024_GSW_Yearly_2021_37PEM_M_R,AFRICA_2024_GWL_FCS30D_2022_37PEM_M_R,AFRICA_2024_WorldCover_2021_37PEM_M_R
123,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
124,NULL,Cropland,NULL,Water,Non_Wetland,Grassland
125,NULL,Cropland,NULL,Water,Non_Wetland,Forest
126,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
127,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
128,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
129,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
130,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
131,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
132,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
133,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
134,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL
135,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
136,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland
137,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
138,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
139,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
140,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
141,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
142,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
143,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
144,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland
145,NULL,Cropland,Grassland,Water,Non_Wetland,Cropland
146,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
147,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
148,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
149,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
150,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
151,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
152,NULL,Cropland,Cropland,NULL,Non_Wetland,Water
153,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
154,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
155,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Bareland
156,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
157,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
158,NULL,Cropland,Wetland,NULL,Wetland,NULL
159,NULL,Cropland,Wetland,NULL,Wetland,Cropland
160,NULL,Cropland,Wetland,NULL,Wetland,Wetland
161,NULL,Cropland,Wetland,NULL,Wetland,Built-up
162,NULL,Cropland,Wetland,NULL,Wetland,Forest
163,NULL,Cropland,Wetland,Water,Wetland,Cropland
164,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
165,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
166,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
167,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
168,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
169,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
170,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
171,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
172,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
173,NULL,Cropland,Bareland,NULL,Non_Wetland,Wetland
174,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
175,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
176,NULL,Cropland,Bareland,NULL,Non_Wetland,Water
177,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
178,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
179,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
180,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
181,NULL,Cropland,Bareland,Water,Non_Wetland,NULL
182,NULL,Cropland,Bareland,Water,Non_Wetland,Grassland
183,NULL,Cropland,Bareland,Water,Non_Wetland,Water
184,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
185,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
186,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
187,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
188,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
189,NULL,Cropland,Built-up,NULL,Non_Wetland,Water
190,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
191,NULL,Cropland,Built-up,Water,Non_Wetland,Grassland
192,NULL,Cropland,Water,NULL,Water,NULL
193,NULL,Cropland,Water,NULL,Water,Grassland
194,NULL,Cropland,Water,NULL,Water,Cropland
195,NULL,Cropland,Water,NULL,Water,Bareland
196,NULL,Cropland,Water,Water,Water,Grassland
197,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
198,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
199,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
200,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
201,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
202,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
203,NULL,Cropland,Forest,NULL,Non_Wetland,Water
204,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
205,NULL,Cropland,Forest,Non_Water,Non_Wetland,Cropland
206,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
207,NULL,Wetland,Shrubland,NULL,Non_Wetland,Cropland
208,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL
209,NULL,Wetland,Cropland,NULL,Non_Wetland,Cropland
210,NULL,Wetland,Cropland,NULL,Non_Wetland,Bareland
211,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland
212,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
213,NULL,Wetland,Forest,NULL,Non_Wetland,Cropland
214,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
215,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
216,NULL,Bareland,Shrubland,NULL,Non_Wetland,Cropland
217,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
218,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
219,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
220,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
221,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
222,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
223,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
224,NULL,Bareland,Bareland,NULL,Non_Wetland,Cropland
225,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
226,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
227,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
228,NULL,Bareland,Forest,NULL,Non_Wetland,NULL
229,NULL,Bareland,Forest,NULL,Non_Wetland,Cropland
230,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
231,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
232,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
233,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland
234,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
235,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
236,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
237,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
238,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
239,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
240,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
241,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
242,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
243,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
244,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
245,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
246,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
247,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
248,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland
249,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
250,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
251,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
252,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Cropland
253,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
254,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
255,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
256,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland
257,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
258,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
259,NULL,Built-up,Cropland,NULL,Non_Wetland,Water
260,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
261,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Cropland
262,NULL,Built-up,Cropland,Water,Non_Wetland,Cropland
263,NULL,Built-up,Wetland,NULL,Wetland,NULL
264,NULL,Built-up,Wetland,NULL,Wetland,Cropland
265,NULL,Built-up,Wetland,NULL,Wetland,Bareland
266,NULL,Built-up,Wetland,NULL,Wetland,Built-up
267,NULL,Built-up,Wetland,NULL,Wetland,Forest
268,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
269,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
270,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
271,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
272,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
273,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
274,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
275,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
276,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
277,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
278,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
279,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
280,NULL,Built-up,Bareland,Water,Non_Wetland,Forest
281,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
282,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
283,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
284,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
285,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
286,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
287,NULL,Built-up,Water,NULL,Water,NULL
288,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
289,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
290,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
291,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
292,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
293,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
294,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
295,NULL,Water,NULL,NULL,Non_Wetland,NULL
296,NULL,Water,NULL,NULL,Non_Wetland,Bareland
297,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
298,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
299,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
300,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
301,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
302,NULL,Water,Grassland,NULL,Non_Wetland,NULL
303,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
304,NULL,Water,Grassland,NULL,Non_Wetland,Cropland
305,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
306,NULL,Water,Grassland,NULL,Non_Wetland,Forest
307,NULL,Water,Grassland,Water,Non_Wetland,Cropland
308,NULL,Water,Cropland,NULL,Non_Wetland,NULL
309,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
310,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
311,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
312,NULL,Water,Cropland,NULL,Non_Wetland,Forest
313,NULL,Water,Wetland,NULL,Wetland,Cropland
314,NULL,Water,Bareland,NULL,Non_Wetland,NULL
315,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
316,NULL,Water,Bareland,NULL,Non_Wetland,Cropland
317,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
318,NULL,Water,Bareland,NULL,Non_Wetland,Forest
319,NULL,Water,Bareland,Water,Non_Wetland,Grassland
320,NULL,Water,Bareland,Water,Non_Wetland,Bareland
321,NULL,Water,Built-up,NULL,Non_Wetland,NULL
322,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
323,NULL,Water,Water,Water,Water,Bareland
324,NULL,Water,Forest,NULL,Non_Wetland,NULL
325,NULL,Water,Forest,NULL,Non_Wetland,Bareland
326,NULL,Water,Forest,Water,Non_Wetland,Grassland
327,NULL,Forest,NULL,NULL,Non_Wetland,NULL
328,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
329,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
330,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
331,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
332,NULL,Forest,NULL,NULL,Non_Wetland,Forest
333,NULL,Forest,NULL,Water,Non_Wetland,NULL
334,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
335,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
336,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
337,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
338,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
339,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
340,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
341,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
342,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
343,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland
344,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
345,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
346,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
347,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
348,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
349,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
350,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
351,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
352,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
353,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
354,NULL,Forest,Wetland,NULL,Wetland,Forest
355,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
356,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
357,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
358,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
359,NULL,Forest,Bareland,NULL,Non_Wetland,Cropland
360,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
361,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
362,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
363,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
364,NULL,Forest,Built-up,NULL,Non_Wetland,Cropland
365,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland
366,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
367,NULL,Forest,Forest,NULL,Non_Wetland,NULL
368,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
369,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
370,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
371,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
372,NULL,Forest,Forest,NULL,Non_Wetland,Forest
373,NULL,Forest,Forest,Water,Non_Wetland,NULL
374,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
375,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
376,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
377,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
378,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland
379,Grassland,NULL,NULL,NULL,Non_Wetland,Built-up
380,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
381,Grassland,NULL,NULL,Water,Non_Wetland,Cropland
382,Grassland,NULL,NULL,Water,Non_Wetland,Wetland
383,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
384,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
385,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
386,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
387,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
388,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
389,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
390,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
391,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
392,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
393,Grassland,NULL,Shrubland,Water,Non_Wetland,Cropland
394,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
395,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
396,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
397,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
398,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
399,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland
400,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up
401,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
402,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
403,Grassland,NULL,Grassland,Water,Non_Wetland,Cropland
404,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland
405,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
406,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
407,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
408,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
409,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland
410,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up
411,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
412,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
413,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
414,Grassland,NULL,Cropland,Water,Non_Wetland,Cropland
415,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland
416,Grassland,NULL,Wetland,NULL,Wetland,NULL
417,Grassland,NULL,Wetland,NULL,Wetland,Grassland
418,Grassland,NULL,Wetland,NULL,Wetland,Cropland
419,Grassland,NULL,Wetland,NULL,Wetland,Wetland
420,Grassland,NULL,Wetland,Non_Water,Wetland,Cropland
421,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
422,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
423,Grassland,NULL,Wetland,Water,Wetland,Grassland
424,Grassland,NULL,Wetland,Water,Wetland,Cropland
425,Grassland,NULL,Wetland,Water,Wetland,Wetland
426,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
