Value,AFRICA_2024_DynamicWorld_2024_35PPK_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PPK_M_R,AFRICA_2024_GLC_FCS30D_2022_35PPK_M_R,AFRICA_2024_GSW_Yearly_2021_35PPK_M_R,AFRICA_2024_GWL_FCS30D_2022_35PPK_M_R,AFRICA_2024_WorldCover_2021_35PPK_M_R
120,NULL,NULL,Built-up,Non_Water,Non_Wetland,Forest
121,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
122,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
123,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
124,NULL,NULL,Built-up,Water,Non_Wetland,Forest
125,NULL,NULL,Water,NULL,Water,Grassland
126,NULL,NULL,Water,NULL,Water,Wetland
127,NULL,NULL,Water,Water,Water,Grassland
128,NULL,NULL,Water,Water,Water,Wetland
129,NULL,NULL,Water,Water,Water,Forest
130,NULL,NULL,Forest,NULL,Non_Wetland,NULL
131,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
132,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
133,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
134,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
135,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
136,NULL,NULL,Forest,NULL,Non_Wetland,Forest
137,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
138,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
139,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
140,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
141,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
142,NULL,NULL,Forest,Water,Non_Wetland,Grassland
143,NULL,NULL,Forest,Water,Non_Wetland,Wetland
144,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
145,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
146,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
147,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
148,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
149,NULL,Cropland,NULL,Water,Non_Wetland,Grassland
150,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
151,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
152,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
153,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
154,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
155,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
156,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
157,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
158,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
159,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
160,NULL,Cropland,Shrubland,Water,Non_Wetland,Wetland
161,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
162,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
163,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
164,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
165,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
166,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
167,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
168,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
169,NULL,Cropland,Wetland,NULL,Wetland,NULL
170,NULL,Cropland,Wetland,NULL,Wetland,Grassland
171,NULL,Cropland,Wetland,NULL,Wetland,Wetland
172,NULL,Cropland,Wetland,Non_Water,Wetland,Wetland
173,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
174,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
175,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
176,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
177,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
178,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
179,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
180,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
181,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
182,NULL,Wetland,NULL,NULL,Non_Wetland,Cropland
183,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
184,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
185,NULL,Wetland,NULL,Non_Water,Non_Wetland,Grassland
186,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland
187,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
188,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
189,NULL,Wetland,Shrubland,NULL,Non_Wetland,Cropland
190,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
191,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
192,NULL,Wetland,Shrubland,NULL,Non_Wetland,Built-up
193,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
194,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
195,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
196,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Cropland
197,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
198,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL
199,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
200,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
201,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL
202,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
203,NULL,Wetland,Grassland,NULL,Non_Wetland,Cropland
204,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
205,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
206,NULL,Wetland,Grassland,NULL,Non_Wetland,Built-up
207,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
208,NULL,Wetland,Wetland,NULL,Wetland,NULL
209,NULL,Wetland,Wetland,NULL,Wetland,Grassland
210,NULL,Wetland,Wetland,NULL,Wetland,Wetland
211,NULL,Wetland,Wetland,NULL,Wetland,Forest
212,NULL,Wetland,Wetland,Non_Water,Wetland,NULL
213,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
214,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
215,NULL,Wetland,Wetland,Water,Wetland,NULL
216,NULL,Wetland,Wetland,Water,Wetland,Grassland
217,NULL,Wetland,Wetland,Water,Wetland,Wetland
218,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
219,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
220,NULL,Wetland,Bareland,Water,Non_Wetland,Grassland
221,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL
222,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
223,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland
224,NULL,Wetland,Water,NULL,Water,Wetland
225,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
226,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
227,NULL,Wetland,Forest,NULL,Non_Wetland,Cropland
228,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
229,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
230,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
231,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
232,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
233,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
234,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
235,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland
236,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
237,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
238,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
239,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
240,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
241,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
242,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
243,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
244,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
245,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
246,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Wetland
247,NULL,Built-up,Shrubland,Water,Non_Wetland,Wetland
248,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
249,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
250,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
251,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland
252,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
253,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
254,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
255,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland
256,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
257,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
258,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
259,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland
260,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
261,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
262,NULL,Built-up,Wetland,NULL,Wetland,Wetland
263,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
264,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
265,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
266,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
267,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
268,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
269,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
270,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
271,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
272,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland
273,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
274,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
275,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
276,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
277,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
278,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
279,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
280,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
281,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
282,NULL,Water,NULL,NULL,Non_Wetland,Grassland
283,NULL,Water,NULL,NULL,Non_Wetland,Wetland
284,NULL,Water,NULL,Water,Non_Wetland,Grassland
285,NULL,Water,NULL,Water,Non_Wetland,Wetland
286,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
287,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
288,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
289,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
290,NULL,Water,Shrubland,NULL,Non_Wetland,Water
291,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
292,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
293,NULL,Water,Shrubland,Non_Water,Non_Wetland,Wetland
294,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
295,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
296,NULL,Water,Shrubland,Water,Non_Wetland,Wetland
297,NULL,Water,Grassland,Water,Non_Wetland,Grassland
298,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
299,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
300,NULL,Water,Cropland,Water,Non_Wetland,Grassland
301,NULL,Water,Cropland,Water,Non_Wetland,Bareland
302,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
303,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
304,NULL,Water,Bareland,Water,Non_Wetland,Grassland
305,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
306,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
307,NULL,Water,Built-up,Non_Water,Non_Wetland,Bareland
308,NULL,Water,Built-up,Water,Non_Wetland,Grassland
309,NULL,Water,Water,NULL,Water,Grassland
310,NULL,Water,Water,Water,Water,Wetland
311,NULL,Water,Forest,NULL,Non_Wetland,NULL
312,NULL,Forest,NULL,NULL,Non_Wetland,NULL
313,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
314,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
315,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
316,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
317,NULL,Forest,NULL,NULL,Non_Wetland,Forest
318,NULL,Forest,NULL,Water,Non_Wetland,Bareland
319,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
320,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
321,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
322,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
323,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
324,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
325,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
326,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
327,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
328,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
329,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
330,NULL,Forest,Shrubland,Water,Non_Wetland,NULL
331,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
332,NULL,Forest,Shrubland,Water,Non_Wetland,Wetland
333,NULL,Forest,Shrubland,Water,Non_Wetland,Bareland
334,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
335,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
336,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
337,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
338,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland
339,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
340,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
341,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
342,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
343,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
344,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
345,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
346,NULL,Forest,Wetland,NULL,Wetland,NULL
347,NULL,Forest,Wetland,NULL,Wetland,Grassland
348,NULL,Forest,Wetland,NULL,Wetland,Wetland
349,NULL,Forest,Wetland,NULL,Wetland,Forest
350,NULL,Forest,Wetland,Non_Water,Wetland,NULL
351,NULL,Forest,Wetland,Non_Water,Wetland,Grassland
352,NULL,Forest,Wetland,Non_Water,Wetland,Wetland
353,NULL,Forest,Wetland,Water,Wetland,Wetland
354,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
355,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland
356,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
357,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
358,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
359,NULL,Forest,Built-up,NULL,Non_Wetland,Cropland
360,NULL,Forest,Built-up,NULL,Non_Wetland,Wetland
361,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland
362,NULL,Forest,Forest,NULL,Non_Wetland,NULL
363,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
364,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
365,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
366,NULL,Forest,Forest,NULL,Non_Wetland,Forest
367,NULL,Forest,Forest,Non_Water,Non_Wetland,Wetland
368,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
369,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
370,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
371,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland
372,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
373,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland
374,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
375,Grassland,NULL,NULL,Water,Non_Wetland,Wetland
376,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
377,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
378,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
379,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
380,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
381,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
382,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
383,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
384,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
385,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
386,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
387,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL
388,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
389,Grassland,NULL,Shrubland,Water,Non_Wetland,Cropland
390,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
391,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
392,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
393,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
394,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
395,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
396,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland
397,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
398,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
399,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
400,Grassland,NULL,Wetland,NULL,Wetland,NULL
401,Grassland,NULL,Wetland,NULL,Wetland,Grassland
402,Grassland,NULL,Wetland,NULL,Wetland,Cropland
403,Grassland,NULL,Wetland,NULL,Wetland,Wetland
404,Grassland,NULL,Wetland,NULL,Wetland,Forest
405,Grassland,NULL,Wetland,Non_Water,Wetland,NULL
406,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
407,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
408,Grassland,NULL,Wetland,Water,Wetland,Grassland
409,Grassland,NULL,Wetland,Water,Wetland,Wetland
410,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
411,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
412,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
413,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland
414,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland
415,Grassland,NULL,Water,NULL,Water,Wetland
416,Grassland,NULL,Water,Non_Water,Water,Wetland
417,Grassland,NULL,Water,Water,Water,Grassland
418,Grassland,NULL,Water,Water,Water,Wetland
419,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
420,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
421,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
422,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
423,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
424,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
425,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
