Value,AFRICA_2024_DynamicWorld_2024_35PQR_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PQR_M_R,AFRICA_2024_GLC_FCS30D_2022_35PQR_M_R,AFRICA_2024_GSW_Yearly_2021_35PQR_M_R,AFRICA_2024_GWL_FCS30D_2022_35PQR_M_R,AFRICA_2024_WorldCover_2021_35PQR_M_R
120,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
121,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
122,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
123,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
124,NULL,Water,Grassland,NULL,Non_Wetland,Cropland
125,NULL,Water,Grassland,NULL,Non_Wetland,Wetland
126,NULL,Water,Grassland,Water,Non_Wetland,Grassland
127,NULL,Water,Grassland,Water,Non_Wetland,Wetland
128,NULL,Water,Wetland,NULL,Wetland,Grassland
129,NULL,Forest,NULL,NULL,Non_Wetland,NULL
130,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
131,NULL,Forest,NULL,NULL,Non_Wetland,Forest
132,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
133,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
134,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
135,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
136,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
137,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL
138,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland
139,NULL,Forest,Grassland,Water,Non_Wetland,Grassland
140,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
141,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
142,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
143,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland
144,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
145,NULL,Forest,Forest,NULL,Non_Wetland,NULL
146,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
147,NULL,Forest,Forest,NULL,Non_Wetland,Forest
148,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
149,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
150,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
151,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
152,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
153,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
154,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
155,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
156,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
157,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
158,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
159,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
160,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
161,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland
162,Cropland,NULL,NULL,Water,Non_Wetland,Grassland
163,Cropland,NULL,NULL,Water,Non_Wetland,Cropland
164,Cropland,NULL,NULL,Water,Non_Wetland,Wetland
165,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
166,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
167,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
168,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
169,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
170,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
171,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
172,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
173,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
174,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
175,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
176,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
177,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL
178,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
179,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
180,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
181,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
182,Cropland,NULL,Grassland,Water,Non_Wetland,Cropland
183,Cropland,NULL,Grassland,Water,Non_Wetland,Wetland
184,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
185,Cropland,NULL,Grassland,Water,Non_Wetland,Water
186,Cropland,NULL,Grassland,Water,Non_Wetland,Forest
187,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
188,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
189,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
190,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
191,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
192,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
193,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
194,Cropland,NULL,Wetland,Non_Water,Wetland,Cropland
195,Cropland,NULL,Wetland,Water,Wetland,Grassland
196,Cropland,NULL,Wetland,Water,Wetland,Cropland
197,Cropland,NULL,Wetland,Water,Wetland,Wetland
198,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
199,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
200,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
201,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
202,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
203,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
204,Cropland,NULL,Bareland,Water,Non_Wetland,Forest
205,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
206,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
207,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
208,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
209,Cropland,NULL,Water,Non_Water,Water,Grassland
210,Cropland,NULL,Water,Water,Water,Grassland
211,Cropland,NULL,Water,Water,Water,Cropland
212,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
213,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
214,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
215,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland
216,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
217,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL
218,Cropland,NULL,Forest,Non_Water,Non_Wetland,Grassland
219,Cropland,NULL,Forest,Non_Water,Non_Wetland,Cropland
220,Cropland,NULL,Forest,Water,Non_Wetland,Cropland
221,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
222,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
223,Cropland,Cropland,NULL,Water,Non_Wetland,Grassland
224,Cropland,Cropland,NULL,Water,Non_Wetland,Cropland
225,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
226,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
227,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
228,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
229,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
230,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
231,Cropland,Cropland,Grassland,NULL,Non_Wetland,Wetland
232,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
233,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
234,Cropland,Cropland,Grassland,Water,Non_Wetland,Grassland
235,Cropland,Cropland,Grassland,Water,Non_Wetland,Cropland
236,Cropland,Cropland,Grassland,Water,Non_Wetland,Wetland
237,Cropland,Cropland,Grassland,Water,Non_Wetland,Bareland
238,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
239,Cropland,Cropland,Cropland,Water,Non_Wetland,Grassland
240,Cropland,Cropland,Wetland,Water,Wetland,Cropland
241,Cropland,Cropland,Wetland,Water,Wetland,Wetland
242,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
243,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
244,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
245,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland
246,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
247,Cropland,Wetland,NULL,NULL,Non_Wetland,Grassland
248,Cropland,Wetland,Grassland,NULL,Non_Wetland,Grassland
249,Cropland,Wetland,Grassland,NULL,Non_Wetland,Cropland
250,Cropland,Wetland,Grassland,NULL,Non_Wetland,Forest
251,Cropland,Wetland,Grassland,Water,Non_Wetland,Grassland
252,Cropland,Wetland,Grassland,Water,Non_Wetland,Cropland
253,Cropland,Wetland,Cropland,NULL,Non_Wetland,Grassland
254,Cropland,Wetland,Cropland,Water,Non_Wetland,Grassland
255,Cropland,Wetland,Forest,NULL,Non_Wetland,Forest
256,Cropland,Bareland,NULL,NULL,Non_Wetland,Grassland
257,Cropland,Bareland,NULL,NULL,Non_Wetland,Bareland
258,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
259,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
260,Cropland,Bareland,Grassland,NULL,Non_Wetland,Grassland
261,Cropland,Bareland,Grassland,NULL,Non_Wetland,Bareland
262,Cropland,Bareland,Grassland,Water,Non_Wetland,Grassland
263,Cropland,Bareland,Grassland,Water,Non_Wetland,Cropland
264,Cropland,Bareland,Bareland,NULL,Non_Wetland,Grassland
265,Cropland,Bareland,Bareland,NULL,Non_Wetland,Bareland
266,Cropland,Bareland,Built-up,NULL,Non_Wetland,Grassland
267,Cropland,Bareland,Built-up,NULL,Non_Wetland,Bareland
268,Cropland,Built-up,NULL,NULL,Non_Wetland,Grassland
269,Cropland,Built-up,NULL,NULL,Non_Wetland,Bareland
270,Cropland,Built-up,NULL,NULL,Non_Wetland,Forest
271,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
272,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Bareland
273,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
274,Cropland,Built-up,Grassland,NULL,Non_Wetland,Cropland
275,Cropland,Built-up,Grassland,NULL,Non_Wetland,Bareland
276,Cropland,Built-up,Grassland,NULL,Non_Wetland,Built-up
277,Cropland,Built-up,Grassland,NULL,Non_Wetland,Forest
278,Cropland,Built-up,Grassland,Water,Non_Wetland,Grassland
279,Cropland,Built-up,Grassland,Water,Non_Wetland,Bareland
280,Cropland,Built-up,Built-up,NULL,Non_Wetland,Grassland
281,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland
282,Cropland,Built-up,Forest,NULL,Non_Wetland,Forest
283,Cropland,Water,Grassland,NULL,Non_Wetland,Grassland
284,Cropland,Water,Grassland,Water,Non_Wetland,Grassland
285,Cropland,Water,Grassland,Water,Non_Wetland,Wetland
286,Cropland,Water,Bareland,Water,Non_Wetland,Water
287,Cropland,Forest,NULL,NULL,Non_Wetland,NULL
288,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland
289,Cropland,Forest,NULL,NULL,Non_Wetland,Forest
290,Cropland,Forest,NULL,Water,Non_Wetland,Grassland
291,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
292,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
293,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL
294,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
295,Cropland,Forest,Grassland,NULL,Non_Wetland,Forest
296,Cropland,Forest,Grassland,Non_Water,Non_Wetland,Grassland
297,Cropland,Forest,Grassland,Non_Water,Non_Wetland,Cropland
298,Cropland,Forest,Grassland,Water,Non_Wetland,Grassland
299,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland
300,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
301,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
302,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
303,Wetland,NULL,NULL,NULL,Non_Wetland,NULL
304,Wetland,NULL,NULL,NULL,Non_Wetland,Grassland
305,Wetland,NULL,NULL,NULL,Non_Wetland,Cropland
306,Wetland,NULL,NULL,NULL,Non_Wetland,Forest
307,Wetland,NULL,NULL,Non_Water,Non_Wetland,NULL
308,Wetland,NULL,NULL,Non_Water,Non_Wetland,Grassland
309,Wetland,NULL,NULL,Non_Water,Non_Wetland,Cropland
310,Wetland,NULL,NULL,Water,Non_Wetland,Grassland
311,Wetland,NULL,NULL,Water,Non_Wetland,Cropland
312,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL
313,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
314,Wetland,NULL,Shrubland,NULL,Non_Wetland,Forest
315,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
316,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
317,Wetland,NULL,Shrubland,Water,Non_Wetland,Grassland
318,Wetland,NULL,Shrubland,Water,Non_Wetland,Cropland
319,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL
320,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland
321,Wetland,NULL,Grassland,NULL,Non_Wetland,Cropland
322,Wetland,NULL,Grassland,NULL,Non_Wetland,Bareland
323,Wetland,NULL,Grassland,NULL,Non_Wetland,Forest
324,Wetland,NULL,Grassland,Non_Water,Non_Wetland,NULL
325,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
326,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
327,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
328,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Forest
329,Wetland,NULL,Grassland,Water,Non_Wetland,NULL
330,Wetland,NULL,Grassland,Water,Non_Wetland,Grassland
331,Wetland,NULL,Grassland,Water,Non_Wetland,Cropland
332,Wetland,NULL,Grassland,Water,Non_Wetland,Wetland
333,Wetland,NULL,Grassland,Water,Non_Wetland,Forest
334,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL
335,Wetland,NULL,Cropland,NULL,Non_Wetland,Grassland
336,Wetland,NULL,Cropland,NULL,Non_Wetland,Forest
337,Wetland,NULL,Cropland,Non_Water,Non_Wetland,NULL
338,Wetland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
339,Wetland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
340,Wetland,NULL,Cropland,Non_Water,Non_Wetland,Forest
341,Wetland,NULL,Cropland,Water,Non_Wetland,NULL
342,Wetland,NULL,Cropland,Water,Non_Wetland,Grassland
343,Wetland,NULL,Cropland,Water,Non_Wetland,Cropland
344,Wetland,NULL,Wetland,Water,Wetland,Grassland
345,Wetland,NULL,Wetland,Water,Wetland,Cropland
346,Wetland,NULL,Built-up,NULL,Non_Wetland,Grassland
347,Wetland,NULL,Water,Water,Water,Grassland
348,Wetland,NULL,Water,Water,Water,Cropland
349,Wetland,NULL,Forest,NULL,Non_Wetland,NULL
350,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland
351,Wetland,NULL,Forest,NULL,Non_Wetland,Cropland
352,Wetland,NULL,Forest,NULL,Non_Wetland,Forest
353,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL
354,Wetland,NULL,Forest,Non_Water,Non_Wetland,Grassland
355,Wetland,NULL,Forest,Non_Water,Non_Wetland,Cropland
356,Wetland,NULL,Forest,Non_Water,Non_Wetland,Forest
357,Wetland,NULL,Forest,Water,Non_Wetland,Grassland
358,Wetland,NULL,Forest,Water,Non_Wetland,Cropland
359,Wetland,NULL,Forest,Water,Non_Wetland,Forest
360,Wetland,Wetland,Grassland,NULL,Non_Wetland,Grassland
361,Wetland,Bareland,Grassland,NULL,Non_Wetland,Grassland
362,Wetland,Forest,Grassland,NULL,Non_Wetland,Forest
363,Bareland,NULL,NULL,NULL,Non_Wetland,NULL
364,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
365,Bareland,NULL,NULL,NULL,Non_Wetland,Cropland
366,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland
367,Bareland,NULL,NULL,NULL,Non_Wetland,Built-up
368,Bareland,NULL,NULL,NULL,Non_Wetland,Forest
369,Bareland,NULL,NULL,Non_Water,Non_Wetland,Grassland
370,Bareland,NULL,NULL,Water,Non_Wetland,Grassland
371,Bareland,NULL,NULL,Water,Non_Wetland,Cropland
372,Bareland,NULL,NULL,Water,Non_Wetland,Wetland
373,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
374,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
375,Bareland,NULL,Shrubland,NULL,Non_Wetland,Cropland
376,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
377,Bareland,NULL,Shrubland,NULL,Non_Wetland,Built-up
378,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
379,Bareland,NULL,Shrubland,Water,Non_Wetland,Grassland
380,Bareland,NULL,Shrubland,Water,Non_Wetland,Wetland
381,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
382,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
383,Bareland,NULL,Grassland,NULL,Non_Wetland,Cropland
384,Bareland,NULL,Grassland,NULL,Non_Wetland,Wetland
385,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
386,Bareland,NULL,Grassland,NULL,Non_Wetland,Built-up
387,Bareland,NULL,Grassland,NULL,Non_Wetland,Water
388,Bareland,NULL,Grassland,NULL,Non_Wetland,Forest
389,Bareland,NULL,Grassland,Non_Water,Non_Wetland,NULL
390,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
391,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
392,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
393,Bareland,NULL,Grassland,Water,Non_Wetland,Grassland
394,Bareland,NULL,Grassland,Water,Non_Wetland,Cropland
395,Bareland,NULL,Grassland,Water,Non_Wetland,Wetland
396,Bareland,NULL,Grassland,Water,Non_Wetland,Bareland
397,Bareland,NULL,Grassland,Water,Non_Wetland,Water
398,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL
399,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
400,Bareland,NULL,Cropland,NULL,Non_Wetland,Cropland
401,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland
402,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
403,Bareland,NULL,Cropland,Water,Non_Wetland,Grassland
404,Bareland,NULL,Wetland,Water,Wetland,Grassland
405,Bareland,NULL,Wetland,Water,Wetland,Wetland
406,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
407,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
408,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
409,Bareland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
410,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL
411,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
412,Bareland,NULL,Bareland,NULL,Non_Wetland,Cropland
413,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
414,Bareland,NULL,Bareland,NULL,Non_Wetland,Built-up
415,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
416,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
417,Bareland,NULL,Bareland,Water,Non_Wetland,Grassland
418,Bareland,NULL,Bareland,Water,Non_Wetland,Wetland
419,Bareland,NULL,Bareland,Water,Non_Wetland,Bareland
