Value,AFRICA_2024_DynamicWorld_2024_36NYL_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NYL_M_R,AFRICA_2024_GLC_FCS30D_2022_36NYL_M_R,AFRICA_2024_GSW_Yearly_2021_36NYL_M_R,AFRICA_2024_GWL_FCS30D_2022_36NYL_M_R,AFRICA_2024_WorldCover_2021_36NYL_M_R
119,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
120,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
121,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
122,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
123,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
124,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
125,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
126,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
127,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
128,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
129,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
130,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
131,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
132,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
133,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
134,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
135,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
136,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
137,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
138,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
139,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
140,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
141,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
142,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
143,NULL,Forest,NULL,NULL,Non_Wetland,NULL
144,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
145,NULL,Forest,NULL,NULL,Non_Wetland,Forest
146,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
147,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
148,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
149,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
150,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
151,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
152,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
153,NULL,Forest,Shrubland,Water,Non_Wetland,NULL
154,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
155,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
156,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
157,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland
158,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
159,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL
160,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland
161,NULL,Forest,Grassland,Non_Water,Non_Wetland,Wetland
162,NULL,Forest,Grassland,Water,Non_Wetland,NULL
163,NULL,Forest,Grassland,Water,Non_Wetland,Grassland
164,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
165,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
166,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
167,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
168,NULL,Forest,Wetland,NULL,Wetland,NULL
169,NULL,Forest,Wetland,NULL,Wetland,Grassland
170,NULL,Forest,Wetland,NULL,Wetland,Wetland
171,NULL,Forest,Wetland,NULL,Wetland,Forest
172,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
173,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
174,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
175,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
176,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland
177,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
178,NULL,Forest,Bareland,Non_Water,Non_Wetland,NULL
179,NULL,Forest,Bareland,Non_Water,Non_Wetland,Grassland
180,NULL,Forest,Bareland,Non_Water,Non_Wetland,Wetland
181,NULL,Forest,Bareland,Water,Non_Wetland,NULL
182,NULL,Forest,Bareland,Water,Non_Wetland,Grassland
183,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
184,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
185,NULL,Forest,Built-up,Non_Water,Non_Wetland,NULL
186,NULL,Forest,Built-up,Non_Water,Non_Wetland,Grassland
187,NULL,Forest,Built-up,Non_Water,Non_Wetland,Wetland
188,NULL,Forest,Forest,NULL,Non_Wetland,NULL
189,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
190,NULL,Forest,Forest,NULL,Non_Wetland,Forest
191,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
192,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
193,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
194,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
195,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
196,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland
197,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
198,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
199,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
200,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
201,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
202,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
203,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
204,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
205,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
206,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
207,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
208,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
209,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
210,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
211,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
212,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland
213,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
214,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL
215,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
216,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
217,Grassland,NULL,Grassland,Water,Non_Wetland,NULL
218,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland
219,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland
220,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
221,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
222,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
223,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
224,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL
225,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
226,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
227,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
228,Grassland,NULL,Wetland,NULL,Wetland,Grassland
229,Grassland,NULL,Wetland,NULL,Wetland,Wetland
230,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
231,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
232,Grassland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
233,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
234,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
235,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
236,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
237,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL
238,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
239,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
240,Grassland,NULL,Bareland,Water,Non_Wetland,NULL
241,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland
242,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland
243,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL
244,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
245,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland
246,Grassland,NULL,Built-up,Non_Water,Non_Wetland,NULL
247,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
248,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Wetland
249,Grassland,NULL,Built-up,Water,Non_Wetland,Grassland
250,Grassland,NULL,Built-up,Water,Non_Wetland,Wetland
251,Grassland,NULL,Water,Non_Water,Water,NULL
252,Grassland,NULL,Water,Non_Water,Water,Grassland
253,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
254,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
255,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
256,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
257,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
258,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
259,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
260,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland
261,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
262,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
263,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
264,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
265,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL
266,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
267,Grassland,Cropland,Grassland,NULL,Non_Wetland,Wetland
268,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
269,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
270,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland
271,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland
272,Grassland,Cropland,Bareland,NULL,Non_Wetland,Wetland
273,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland
274,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
275,Grassland,Bareland,Grassland,NULL,Non_Wetland,Grassland
276,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
277,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
278,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
279,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
280,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
281,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland
282,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
283,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL
284,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
285,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
286,Grassland,Forest,Shrubland,Water,Non_Wetland,Grassland
287,Grassland,Forest,Shrubland,Water,Non_Wetland,Wetland
288,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL
289,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
290,Grassland,Forest,Grassland,NULL,Non_Wetland,Wetland
291,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest
292,Grassland,Forest,Grassland,Non_Water,Non_Wetland,NULL
293,Grassland,Forest,Grassland,Non_Water,Non_Wetland,Grassland
294,Grassland,Forest,Grassland,Water,Non_Wetland,Grassland
295,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
296,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
297,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland
298,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
299,Grassland,Forest,Cropland,Water,Non_Wetland,Grassland
300,Grassland,Forest,Wetland,NULL,Wetland,Grassland
301,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL
302,Grassland,Forest,Bareland,NULL,Non_Wetland,Grassland
303,Grassland,Forest,Bareland,NULL,Non_Wetland,Wetland
304,Grassland,Forest,Bareland,Non_Water,Non_Wetland,NULL
305,Grassland,Forest,Bareland,Non_Water,Non_Wetland,Grassland
306,Grassland,Forest,Bareland,Water,Non_Wetland,Grassland
307,Grassland,Forest,Bareland,Water,Non_Wetland,Wetland
308,Grassland,Forest,Built-up,NULL,Non_Wetland,Grassland
309,Grassland,Forest,Built-up,Non_Water,Non_Wetland,Grassland
310,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
311,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
312,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
313,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
314,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
315,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
316,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland
317,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
318,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
319,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland
320,Cropland,NULL,NULL,Water,Non_Wetland,Grassland
321,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
322,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
323,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
324,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
325,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
326,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
327,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
328,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
329,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
330,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
331,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL
332,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
333,Cropland,NULL,Shrubland,Water,Non_Wetland,Wetland
334,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
335,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
336,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
337,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland
338,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
339,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
340,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL
341,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
342,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
343,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
344,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Forest
345,Cropland,NULL,Grassland,Water,Non_Wetland,NULL
346,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
347,Cropland,NULL,Grassland,Water,Non_Wetland,Wetland
348,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
349,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
350,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
351,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland
352,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
353,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
354,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
355,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
356,Cropland,NULL,Wetland,NULL,Wetland,NULL
357,Cropland,NULL,Wetland,NULL,Wetland,Grassland
358,Cropland,NULL,Wetland,NULL,Wetland,Wetland
359,Cropland,NULL,Wetland,NULL,Wetland,Forest
360,Cropland,NULL,Wetland,Non_Water,Wetland,Grassland
361,Cropland,NULL,Wetland,Non_Water,Wetland,Bareland
362,Cropland,NULL,Wetland,Water,Wetland,Bareland
363,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
364,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
365,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
366,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
367,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
368,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
369,Cropland,NULL,Bareland,NULL,Non_Wetland,Wetland
370,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
371,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
372,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL
373,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
374,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
375,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
376,Cropland,NULL,Bareland,Water,Non_Wetland,NULL
377,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
378,Cropland,NULL,Bareland,Water,Non_Wetland,Wetland
379,Cropland,NULL,Bareland,Water,Non_Wetland,Bareland
380,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
381,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
382,Cropland,NULL,Built-up,NULL,Non_Wetland,Wetland
383,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
384,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
385,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
386,Cropland,NULL,Built-up,Non_Water,Non_Wetland,NULL
387,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
388,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Wetland
389,Cropland,NULL,Built-up,Water,Non_Wetland,Grassland
390,Cropland,NULL,Built-up,Water,Non_Wetland,Wetland
391,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
392,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
393,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
394,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland
395,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
396,Cropland,NULL,Forest,Non_Water,Non_Wetland,Grassland
397,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
398,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
399,Cropland,Cropland,NULL,NULL,Non_Wetland,Wetland
400,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
401,Cropland,Cropland,NULL,Non_Water,Non_Wetland,Grassland
402,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
403,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
404,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
405,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
406,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
407,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
408,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
409,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
410,Cropland,Cropland,Grassland,NULL,Non_Wetland,Wetland
411,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
412,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
413,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
414,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
415,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
