Value,AFRICA_2024_DynamicWorld_2024_37PDN_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PDN_M_R,AFRICA_2024_GLC_FCS30D_2022_37PDN_M_R,AFRICA_2024_GSW_Yearly_2021_37PDN_M_R,AFRICA_2024_GWL_FCS30D_2022_37PDN_M_R,AFRICA_2024_WorldCover_2021_37PDN_M_R
123,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
124,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
125,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
126,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
127,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
128,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
129,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
130,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
131,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
132,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
133,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
134,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
135,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
136,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
137,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
138,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
139,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
140,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
141,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
142,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
143,NULL,Cropland,Cropland,Water,Non_Wetland,Bareland
144,NULL,Cropland,Wetland,NULL,Wetland,Cropland
145,NULL,Cropland,Wetland,NULL,Wetland,Forest
146,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
147,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
148,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
149,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
150,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
151,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
152,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
153,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
154,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
155,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
156,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
157,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
158,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
159,NULL,Cropland,Bareland,Water,Non_Wetland,Cropland
160,NULL,Cropland,Bareland,Water,Non_Wetland,Bareland
161,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
162,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
163,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
164,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
165,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
166,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
167,NULL,Cropland,Water,NULL,Water,NULL
168,NULL,Cropland,Water,NULL,Water,Grassland
169,NULL,Cropland,Water,NULL,Water,Cropland
170,NULL,Cropland,Water,NULL,Water,Forest
171,NULL,Cropland,Water,Water,Water,Grassland
172,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
173,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
174,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
175,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
176,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
177,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
178,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
179,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
180,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
181,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
182,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
183,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
184,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
185,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
186,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
187,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
188,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland
189,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
190,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
191,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
192,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
193,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
194,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
195,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
196,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
197,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
198,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
199,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
200,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
201,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
202,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
203,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
204,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
205,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
206,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
207,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
208,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland
209,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
210,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
211,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
212,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Cropland
213,NULL,Built-up,Cropland,Water,Non_Wetland,Cropland
214,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland
215,NULL,Built-up,Wetland,NULL,Wetland,NULL
216,NULL,Built-up,Wetland,NULL,Wetland,Cropland
217,NULL,Built-up,Wetland,NULL,Wetland,Built-up
218,NULL,Built-up,Wetland,NULL,Wetland,Forest
219,NULL,Built-up,Wetland,Water,Wetland,Water
220,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
221,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
222,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
223,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
224,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
225,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
226,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
227,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
228,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
229,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland
230,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
231,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
232,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
233,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Cropland
234,NULL,Built-up,Bareland,Water,Non_Wetland,Cropland
235,NULL,Built-up,Bareland,Water,Non_Wetland,Water
236,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
237,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
238,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
239,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
240,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
241,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
242,NULL,Built-up,Water,NULL,Water,Grassland
243,NULL,Built-up,Water,NULL,Water,Cropland
244,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
245,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
246,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
247,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
248,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
249,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
250,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
251,NULL,Water,NULL,NULL,Non_Wetland,NULL
252,NULL,Water,NULL,NULL,Non_Wetland,Water
253,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
254,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
255,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
256,NULL,Water,Shrubland,NULL,Non_Wetland,Water
257,NULL,Water,Shrubland,Water,Non_Wetland,NULL
258,NULL,Water,Grassland,NULL,Non_Wetland,NULL
259,NULL,Water,Grassland,NULL,Non_Wetland,Forest
260,NULL,Water,Cropland,NULL,Non_Wetland,NULL
261,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
262,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
263,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
264,NULL,Water,Cropland,NULL,Non_Wetland,Forest
265,NULL,Water,Cropland,Water,Non_Wetland,NULL
266,NULL,Water,Cropland,Water,Non_Wetland,Grassland
267,NULL,Water,Cropland,Water,Non_Wetland,Water
268,NULL,Water,Wetland,NULL,Wetland,NULL
269,NULL,Water,Wetland,NULL,Wetland,Water
270,NULL,Water,Wetland,Water,Wetland,NULL
271,NULL,Water,Wetland,Water,Wetland,Cropland
272,NULL,Water,Wetland,Water,Wetland,Water
273,NULL,Water,Bareland,NULL,Non_Wetland,NULL
274,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
275,NULL,Water,Bareland,NULL,Non_Wetland,Cropland
276,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
277,NULL,Water,Bareland,NULL,Non_Wetland,Water
278,NULL,Water,Bareland,NULL,Non_Wetland,Forest
279,NULL,Water,Bareland,Water,Non_Wetland,NULL
280,NULL,Water,Bareland,Water,Non_Wetland,Grassland
281,NULL,Water,Bareland,Water,Non_Wetland,Bareland
282,NULL,Water,Bareland,Water,Non_Wetland,Water
283,NULL,Water,Built-up,NULL,Non_Wetland,NULL
284,NULL,Water,Built-up,Water,Non_Wetland,NULL
285,NULL,Water,Built-up,Water,Non_Wetland,Forest
286,NULL,Water,Forest,NULL,Non_Wetland,NULL
287,NULL,Water,Forest,NULL,Non_Wetland,Forest
288,NULL,Water,Forest,Water,Non_Wetland,Forest
289,NULL,Forest,NULL,NULL,Non_Wetland,NULL
290,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
291,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
292,NULL,Forest,NULL,NULL,Non_Wetland,Forest
293,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
294,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
295,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
296,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
297,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
298,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
299,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
300,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
301,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
302,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
303,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
304,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
305,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
306,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
307,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
308,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
309,NULL,Forest,Cropland,Water,Non_Wetland,NULL
310,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
311,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
312,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
313,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
314,NULL,Forest,Bareland,NULL,Non_Wetland,Cropland
315,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
316,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
317,NULL,Forest,Bareland,Non_Water,Non_Wetland,NULL
318,NULL,Forest,Bareland,Water,Non_Wetland,Forest
319,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
320,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
321,NULL,Forest,Built-up,NULL,Non_Wetland,Cropland
322,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
323,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
324,NULL,Forest,Water,NULL,Water,NULL
325,NULL,Forest,Water,NULL,Water,Grassland
326,NULL,Forest,Water,NULL,Water,Forest
327,NULL,Forest,Forest,NULL,Non_Wetland,NULL
328,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
329,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
330,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
331,NULL,Forest,Forest,NULL,Non_Wetland,Forest
332,NULL,Forest,Forest,Water,Non_Wetland,NULL
333,NULL,Forest,Forest,Water,Non_Wetland,Grassland
334,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
335,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
336,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
337,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
338,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland
339,Grassland,NULL,NULL,NULL,Non_Wetland,Built-up
340,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
341,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
342,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
343,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
344,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
345,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
346,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
347,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
348,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
349,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
350,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
351,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland
352,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up
353,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
354,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
355,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
356,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
357,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
358,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland
359,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up
360,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
361,Grassland,NULL,Wetland,NULL,Wetland,NULL
362,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
363,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
364,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
365,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
366,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
367,Grassland,NULL,Bareland,NULL,Non_Wetland,Cropland
368,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland
369,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
370,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL
371,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
372,Grassland,NULL,Built-up,NULL,Non_Wetland,Cropland
373,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up
374,Grassland,NULL,Built-up,NULL,Non_Wetland,Forest
375,Grassland,NULL,Water,NULL,Water,Grassland
376,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
377,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
378,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
379,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
380,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland
381,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up
382,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
383,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL
384,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
385,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
386,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland
387,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland
388,Grassland,Cropland,NULL,NULL,Non_Wetland,Built-up
389,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest
390,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
391,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
392,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
393,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
394,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
395,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
396,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
397,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
398,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL
399,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
400,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
401,Grassland,Cropland,Grassland,NULL,Non_Wetland,Wetland
402,Grassland,Cropland,Grassland,NULL,Non_Wetland,Bareland
403,Grassland,Cropland,Grassland,NULL,Non_Wetland,Built-up
404,Grassland,Cropland,Grassland,NULL,Non_Wetland,Forest
405,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
406,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
407,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
408,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland
409,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland
410,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up
411,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest
412,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
413,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
414,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Bareland
415,Grassland,Cropland,Cropland,Water,Non_Wetland,Cropland
416,Grassland,Cropland,Wetland,Non_Water,Wetland,Cropland
417,Grassland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
418,Grassland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
419,Grassland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
420,Grassland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
421,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL
422,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland
423,Grassland,Cropland,Bareland,NULL,Non_Wetland,Cropland
424,Grassland,Cropland,Bareland,NULL,Non_Wetland,Wetland
425,Grassland,Cropland,Bareland,NULL,Non_Wetland,Bareland
