Value,AFRICA_2024_DynamicWorld_2024_36PWU_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PWU_M_R,AFRICA_2024_GLC_FCS30D_2022_36PWU_M_R,AFRICA_2024_GSW_Yearly_2021_36PWU_M_R,AFRICA_2024_GWL_FCS30D_2022_36PWU_M_R,AFRICA_2024_WorldCover_2021_36PWU_M_R
118,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
119,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
120,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
121,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
122,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
123,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
124,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
125,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
126,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
127,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
128,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
129,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
130,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
131,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
132,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
133,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
134,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
135,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
136,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
137,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
138,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
139,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
140,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
141,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
142,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
143,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
144,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
145,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
146,NULL,Water,Grassland,NULL,Non_Wetland,Cropland
147,NULL,Water,Cropland,NULL,Non_Wetland,NULL
148,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
149,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
150,NULL,Water,Cropland,Water,Non_Wetland,Cropland
151,NULL,Water,Forest,NULL,Non_Wetland,Grassland
152,NULL,Forest,NULL,NULL,Non_Wetland,NULL
153,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
154,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
155,NULL,Forest,NULL,NULL,Non_Wetland,Forest
156,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
157,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
158,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
159,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
160,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
161,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
162,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
163,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
164,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
165,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
166,NULL,Forest,Forest,NULL,Non_Wetland,NULL
167,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
168,NULL,Forest,Forest,NULL,Non_Wetland,Forest
169,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
170,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
171,Grassland,NULL,NULL,Water,Non_Wetland,Cropland
172,Grassland,NULL,NULL,Water,Non_Wetland,Bareland
173,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
174,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
175,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
176,Grassland,NULL,Shrubland,Water,Non_Wetland,Cropland
177,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
178,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
179,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland
180,Grassland,NULL,Grassland,Water,Non_Wetland,Cropland
181,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland
182,Grassland,NULL,Grassland,Water,Non_Wetland,Bareland
183,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
184,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
185,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
186,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
187,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland
188,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
189,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
190,Grassland,NULL,Cropland,Water,Non_Wetland,Cropland
191,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland
192,Grassland,NULL,Cropland,Water,Non_Wetland,Bareland
193,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
194,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
195,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
196,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
197,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
198,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
199,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
200,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
201,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
202,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
203,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
204,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
205,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
206,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
207,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
208,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
209,Grassland,Water,Shrubland,NULL,Non_Wetland,Cropland
210,Grassland,Water,Cropland,NULL,Non_Wetland,Grassland
211,Grassland,Water,Cropland,NULL,Non_Wetland,Cropland
212,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
213,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
214,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland
215,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
216,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
217,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
218,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
219,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
220,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
221,Cropland,NULL,NULL,Non_Water,Non_Wetland,Cropland
222,Cropland,NULL,NULL,Water,Non_Wetland,Cropland
223,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
224,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
225,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
226,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
227,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
228,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
229,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water
230,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
231,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
232,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
233,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
234,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
235,Cropland,NULL,Shrubland,Water,Non_Wetland,Cropland
236,Cropland,NULL,Shrubland,Water,Non_Wetland,Wetland
237,Cropland,NULL,Shrubland,Water,Non_Wetland,Bareland
238,Cropland,NULL,Shrubland,Water,Non_Wetland,Water
239,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
240,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
241,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
242,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland
243,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
244,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
245,Cropland,NULL,Grassland,NULL,Non_Wetland,Water
246,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
247,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
248,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
249,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
250,Cropland,NULL,Grassland,Water,Non_Wetland,Cropland
251,Cropland,NULL,Grassland,Water,Non_Wetland,Wetland
252,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
253,Cropland,NULL,Grassland,Water,Non_Wetland,Water
254,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
255,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
256,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
257,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland
258,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
259,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
260,Cropland,NULL,Cropland,NULL,Non_Wetland,Water
261,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
262,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
263,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
264,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
265,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Bareland
266,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Forest
267,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
268,Cropland,NULL,Cropland,Water,Non_Wetland,Cropland
269,Cropland,NULL,Cropland,Water,Non_Wetland,Wetland
270,Cropland,NULL,Cropland,Water,Non_Wetland,Bareland
271,Cropland,NULL,Cropland,Water,Non_Wetland,Water
272,Cropland,NULL,Wetland,Non_Water,Wetland,Water
273,Cropland,NULL,Wetland,Water,Wetland,Cropland
274,Cropland,NULL,Wetland,Water,Wetland,Wetland
275,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
276,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
277,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
278,Cropland,NULL,Bareland,NULL,Non_Wetland,Wetland
279,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
280,Cropland,NULL,Bareland,NULL,Non_Wetland,Water
281,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Cropland
282,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
283,Cropland,NULL,Bareland,Water,Non_Wetland,Cropland
284,Cropland,NULL,Bareland,Water,Non_Wetland,Wetland
285,Cropland,NULL,Bareland,Water,Non_Wetland,Bareland
286,Cropland,NULL,Bareland,Water,Non_Wetland,Water
287,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
288,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
289,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
290,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
291,Cropland,NULL,Water,NULL,Water,Cropland
292,Cropland,NULL,Water,NULL,Water,Bareland
293,Cropland,NULL,Water,Water,Water,Wetland
294,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
295,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
296,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
297,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
298,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
299,Cropland,NULL,Forest,Water,Non_Wetland,Grassland
300,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
301,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
302,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
303,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
304,Cropland,Cropland,NULL,Water,Non_Wetland,Grassland
305,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
306,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
307,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
308,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
309,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
310,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
311,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
312,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
313,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
314,Cropland,Cropland,Shrubland,Water,Non_Wetland,Grassland
315,Cropland,Cropland,Shrubland,Water,Non_Wetland,Cropland
316,Cropland,Cropland,Shrubland,Water,Non_Wetland,Wetland
317,Cropland,Cropland,Shrubland,Water,Non_Wetland,Bareland
318,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
319,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
320,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
321,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
322,Cropland,Cropland,Grassland,NULL,Non_Wetland,Built-up
323,Cropland,Cropland,Grassland,NULL,Non_Wetland,Water
324,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
325,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
326,Cropland,Cropland,Grassland,Water,Non_Wetland,Grassland
327,Cropland,Cropland,Grassland,Water,Non_Wetland,Cropland
328,Cropland,Cropland,Grassland,Water,Non_Wetland,Bareland
329,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
330,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
331,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
332,Cropland,Cropland,Cropland,NULL,Non_Wetland,Wetland
333,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland
334,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up
335,Cropland,Cropland,Cropland,NULL,Non_Wetland,Water
336,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
337,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL
338,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
339,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
340,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Wetland
341,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Bareland
342,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Forest
343,Cropland,Cropland,Cropland,Water,Non_Wetland,Grassland
344,Cropland,Cropland,Cropland,Water,Non_Wetland,Cropland
345,Cropland,Cropland,Cropland,Water,Non_Wetland,Wetland
346,Cropland,Cropland,Cropland,Water,Non_Wetland,Bareland
347,Cropland,Cropland,Cropland,Water,Non_Wetland,Water
348,Cropland,Cropland,Wetland,Non_Water,Wetland,Bareland
349,Cropland,Cropland,Wetland,Water,Wetland,Wetland
350,Cropland,Cropland,Wetland,Water,Wetland,Water
351,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
352,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
353,Cropland,Cropland,Bareland,NULL,Non_Wetland,Cropland
354,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
355,Cropland,Cropland,Bareland,NULL,Non_Wetland,Water
356,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
357,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
358,Cropland,Cropland,Bareland,Water,Non_Wetland,Grassland
359,Cropland,Cropland,Bareland,Water,Non_Wetland,Cropland
360,Cropland,Cropland,Bareland,Water,Non_Wetland,Wetland
361,Cropland,Cropland,Bareland,Water,Non_Wetland,Bareland
362,Cropland,Cropland,Bareland,Water,Non_Wetland,Water
363,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
364,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland
365,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland
366,Cropland,Cropland,Water,Water,Water,Cropland
367,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
368,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
369,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland
370,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
371,Cropland,Cropland,Forest,Non_Water,Non_Wetland,Forest
372,Cropland,Bareland,Grassland,NULL,Non_Wetland,Grassland
373,Cropland,Bareland,Grassland,NULL,Non_Wetland,Cropland
374,Cropland,Bareland,Grassland,NULL,Non_Wetland,Bareland
375,Cropland,Built-up,NULL,NULL,Non_Wetland,Grassland
376,Cropland,Built-up,NULL,NULL,Non_Wetland,Cropland
377,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
378,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Cropland
379,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Forest
380,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
381,Cropland,Built-up,Grassland,NULL,Non_Wetland,Cropland
382,Cropland,Built-up,Grassland,NULL,Non_Wetland,Bareland
383,Cropland,Built-up,Grassland,NULL,Non_Wetland,Built-up
384,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
385,Cropland,Built-up,Cropland,NULL,Non_Wetland,Cropland
386,Cropland,Built-up,Cropland,NULL,Non_Wetland,Bareland
387,Cropland,Built-up,Cropland,Water,Non_Wetland,Cropland
388,Cropland,Built-up,Built-up,NULL,Non_Wetland,Grassland
389,Cropland,Built-up,Built-up,NULL,Non_Wetland,Cropland
390,Cropland,Built-up,Built-up,NULL,Non_Wetland,Bareland
391,Cropland,Built-up,Built-up,NULL,Non_Wetland,Built-up
392,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland
393,Cropland,Water,Shrubland,NULL,Non_Wetland,Grassland
394,Cropland,Water,Shrubland,NULL,Non_Wetland,Cropland
395,Cropland,Water,Shrubland,Water,Non_Wetland,Wetland
396,Cropland,Water,Shrubland,Water,Non_Wetland,Bareland
397,Cropland,Water,Grassland,NULL,Non_Wetland,NULL
398,Cropland,Water,Grassland,NULL,Non_Wetland,Bareland
399,Cropland,Water,Grassland,Water,Non_Wetland,Wetland
400,Cropland,Water,Cropland,NULL,Non_Wetland,Grassland
401,Cropland,Water,Cropland,NULL,Non_Wetland,Cropland
402,Cropland,Water,Cropland,NULL,Non_Wetland,Water
403,Cropland,Water,Cropland,NULL,Non_Wetland,Forest
404,Cropland,Water,Cropland,Non_Water,Non_Wetland,Grassland
405,Cropland,Water,Cropland,Non_Water,Non_Wetland,Cropland
406,Cropland,Water,Cropland,Water,Non_Wetland,Cropland
407,Cropland,Water,Cropland,Water,Non_Wetland,Wetland
408,Cropland,Water,Cropland,Water,Non_Wetland,Bareland
409,Cropland,Water,Wetland,Water,Wetland,Wetland
410,Cropland,Water,Wetland,Water,Wetland,Water
411,Cropland,Water,Bareland,NULL,Non_Wetland,Bareland
412,Cropland,Water,Bareland,Water,Non_Wetland,Wetland
413,Cropland,Water,Water,Water,Water,Bareland
414,Cropland,Water,Forest,NULL,Non_Wetland,Grassland
415,Cropland,Water,Forest,NULL,Non_Wetland,Cropland
416,Cropland,Forest,NULL,NULL,Non_Wetland,NULL
