Value,AFRICA_2024_DynamicWorld_2024_36PXR_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PXR_M_R,AFRICA_2024_GLC_FCS30D_2022_36PXR_M_R,AFRICA_2024_GSW_Yearly_2021_36PXR_M_R,AFRICA_2024_GWL_FCS30D_2022_36PXR_M_R,AFRICA_2024_WorldCover_2021_36PXR_M_R
120,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
121,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
122,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
123,NULL,Cropland,Water,Water,Water,Water
124,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
125,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
126,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
127,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
128,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
129,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
130,NULL,Cropland,Forest,Non_Water,Non_Wetland,Cropland
131,NULL,Cropland,Forest,Water,Non_Wetland,Grassland
132,NULL,Cropland,Forest,Water,Non_Wetland,Cropland
133,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
134,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
135,NULL,Wetland,Shrubland,NULL,Non_Wetland,Cropland
136,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
137,NULL,Wetland,Shrubland,Water,Non_Wetland,Cropland
138,NULL,Wetland,Wetland,NULL,Wetland,Cropland
139,NULL,Wetland,Wetland,NULL,Wetland,Forest
140,NULL,Wetland,Wetland,Water,Wetland,Water
141,NULL,Wetland,Bareland,NULL,Non_Wetland,Cropland
142,NULL,Wetland,Water,NULL,Water,Cropland
143,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
144,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
145,NULL,Wetland,Forest,NULL,Non_Wetland,Cropland
146,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
147,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
148,NULL,Bareland,Forest,NULL,Non_Wetland,Cropland
149,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
150,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
151,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
152,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
153,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
154,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
155,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
156,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
157,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
158,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
159,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
160,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
161,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
162,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
163,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
164,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
165,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
166,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
167,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
168,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
169,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
170,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
171,NULL,Built-up,Wetland,NULL,Wetland,Cropland
172,NULL,Built-up,Wetland,NULL,Wetland,Forest
173,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
174,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
175,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
176,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
177,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
178,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
179,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
180,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
181,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
182,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
183,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
184,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
185,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
186,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
187,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
188,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
189,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
190,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
191,NULL,Water,Shrubland,NULL,Non_Wetland,Water
192,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
193,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
194,NULL,Water,Shrubland,Water,Non_Wetland,Cropland
195,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
196,NULL,Water,Grassland,NULL,Non_Wetland,Forest
197,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
198,NULL,Water,Wetland,NULL,Wetland,Forest
199,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
200,NULL,Water,Bareland,NULL,Non_Wetland,Forest
201,NULL,Water,Forest,NULL,Non_Wetland,NULL
202,NULL,Water,Forest,NULL,Non_Wetland,Grassland
203,NULL,Water,Forest,NULL,Non_Wetland,Cropland
204,NULL,Water,Forest,NULL,Non_Wetland,Forest
205,NULL,Forest,NULL,NULL,Non_Wetland,NULL
206,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
207,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
208,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
209,NULL,Forest,NULL,NULL,Non_Wetland,Forest
210,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
211,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
212,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
213,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
214,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
215,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
216,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
217,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
218,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
219,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
220,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
221,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
222,NULL,Forest,Wetland,NULL,Wetland,Forest
223,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
224,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
225,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
226,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
227,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
228,NULL,Forest,Built-up,NULL,Non_Wetland,Cropland
229,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
230,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
231,NULL,Forest,Forest,NULL,Non_Wetland,NULL
232,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
233,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
234,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
235,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
236,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
237,NULL,Forest,Forest,NULL,Non_Wetland,Forest
238,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
239,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
240,NULL,Forest,Forest,Water,Non_Wetland,NULL
241,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
242,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
243,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
244,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
245,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
246,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
247,Grassland,NULL,NULL,Non_Water,Non_Wetland,Cropland
248,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland
249,Grassland,NULL,NULL,Non_Water,Non_Wetland,Forest
250,Grassland,NULL,NULL,Water,Non_Wetland,NULL
251,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
252,Grassland,NULL,NULL,Water,Non_Wetland,Cropland
253,Grassland,NULL,NULL,Water,Non_Wetland,Wetland
254,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
255,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
256,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
257,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
258,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
259,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water
260,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
261,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
262,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
263,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
264,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
265,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
266,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL
267,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
268,Grassland,NULL,Shrubland,Water,Non_Wetland,Cropland
269,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
270,Grassland,NULL,Shrubland,Water,Non_Wetland,Bareland
271,Grassland,NULL,Shrubland,Water,Non_Wetland,Water
272,Grassland,NULL,Shrubland,Water,Non_Wetland,Forest
273,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
274,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
275,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
276,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
277,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland
278,Grassland,NULL,Grassland,Water,Non_Wetland,Cropland
279,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
280,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
281,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
282,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
283,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
284,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
285,Grassland,NULL,Cropland,Water,Non_Wetland,Cropland
286,Grassland,NULL,Wetland,NULL,Wetland,NULL
287,Grassland,NULL,Wetland,NULL,Wetland,Grassland
288,Grassland,NULL,Wetland,NULL,Wetland,Cropland
289,Grassland,NULL,Wetland,NULL,Wetland,Wetland
290,Grassland,NULL,Wetland,NULL,Wetland,Forest
291,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
292,Grassland,NULL,Wetland,Non_Water,Wetland,Cropland
293,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
294,Grassland,NULL,Wetland,Water,Wetland,Grassland
295,Grassland,NULL,Wetland,Water,Wetland,Cropland
296,Grassland,NULL,Wetland,Water,Wetland,Wetland
297,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
298,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
299,Grassland,NULL,Bareland,NULL,Non_Wetland,Cropland
300,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
301,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
302,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
303,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Cropland
304,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Forest
305,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland
306,Grassland,NULL,Bareland,Water,Non_Wetland,Cropland
307,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland
308,Grassland,NULL,Bareland,Water,Non_Wetland,Water
309,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
310,Grassland,NULL,Built-up,NULL,Non_Wetland,Cropland
311,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Cropland
312,Grassland,NULL,Water,NULL,Water,Grassland
313,Grassland,NULL,Water,NULL,Water,Cropland
314,Grassland,NULL,Water,NULL,Water,Wetland
315,Grassland,NULL,Water,Non_Water,Water,Cropland
316,Grassland,NULL,Water,Water,Water,Cropland
317,Grassland,NULL,Water,Water,Water,Wetland
318,Grassland,NULL,Water,Water,Water,Water
319,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
320,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
321,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
322,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
323,Grassland,NULL,Forest,NULL,Non_Wetland,Water
324,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
325,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL
326,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
327,Grassland,NULL,Forest,Non_Water,Non_Wetland,Cropland
328,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
329,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
330,Grassland,NULL,Forest,Water,Non_Wetland,NULL
331,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
332,Grassland,NULL,Forest,Water,Non_Wetland,Cropland
333,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
334,Grassland,NULL,Forest,Water,Non_Wetland,Forest
335,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL
336,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
337,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
338,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland
339,Grassland,Cropland,NULL,NULL,Non_Wetland,Built-up
340,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest
341,Grassland,Cropland,NULL,Water,Non_Wetland,Grassland
342,Grassland,Cropland,NULL,Water,Non_Wetland,Cropland
343,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
344,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
345,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
346,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
347,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Water
348,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
349,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
350,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
351,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
352,Grassland,Cropland,Shrubland,Water,Non_Wetland,Grassland
353,Grassland,Cropland,Shrubland,Water,Non_Wetland,Cropland
354,Grassland,Cropland,Shrubland,Water,Non_Wetland,Wetland
355,Grassland,Cropland,Shrubland,Water,Non_Wetland,Water
356,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
357,Grassland,Cropland,Grassland,NULL,Non_Wetland,Wetland
358,Grassland,Cropland,Grassland,Water,Non_Wetland,Water
359,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
360,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
361,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
362,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest
363,Grassland,Cropland,Wetland,NULL,Wetland,Grassland
364,Grassland,Cropland,Wetland,NULL,Wetland,Cropland
365,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland
366,Grassland,Cropland,Bareland,NULL,Non_Wetland,Cropland
367,Grassland,Cropland,Bareland,NULL,Non_Wetland,Wetland
368,Grassland,Cropland,Bareland,NULL,Non_Wetland,Water
369,Grassland,Cropland,Bareland,NULL,Non_Wetland,Forest
370,Grassland,Cropland,Bareland,Water,Non_Wetland,Grassland
371,Grassland,Cropland,Bareland,Water,Non_Wetland,Water
372,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland
373,Grassland,Cropland,Built-up,NULL,Non_Wetland,Cropland
374,Grassland,Cropland,Water,NULL,Water,Cropland
375,Grassland,Cropland,Water,Water,Water,Water
376,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
377,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
378,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
379,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
380,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
381,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Grassland
382,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Cropland
383,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Wetland
384,Grassland,Cropland,Forest,Water,Non_Wetland,Grassland
385,Grassland,Cropland,Forest,Water,Non_Wetland,Cropland
386,Grassland,Cropland,Forest,Water,Non_Wetland,Wetland
387,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland
388,Grassland,Wetland,NULL,NULL,Non_Wetland,Cropland
389,Grassland,Wetland,NULL,NULL,Non_Wetland,Forest
390,Grassland,Wetland,NULL,Water,Non_Wetland,Cropland
391,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
392,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Cropland
393,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
394,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Forest
395,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Cropland
396,Grassland,Wetland,Shrubland,Water,Non_Wetland,Grassland
397,Grassland,Wetland,Shrubland,Water,Non_Wetland,Cropland
398,Grassland,Wetland,Grassland,NULL,Non_Wetland,Wetland
399,Grassland,Wetland,Cropland,NULL,Non_Wetland,Cropland
400,Grassland,Wetland,Wetland,NULL,Wetland,Grassland
401,Grassland,Wetland,Wetland,NULL,Wetland,Cropland
402,Grassland,Wetland,Wetland,NULL,Wetland,Wetland
403,Grassland,Wetland,Wetland,NULL,Wetland,Forest
404,Grassland,Wetland,Wetland,Water,Wetland,Water
405,Grassland,Wetland,Bareland,NULL,Non_Wetland,Cropland
406,Grassland,Wetland,Bareland,Water,Non_Wetland,Water
407,Grassland,Wetland,Water,NULL,Water,Water
408,Grassland,Wetland,Water,Water,Water,Cropland
409,Grassland,Wetland,Water,Water,Water,Water
410,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL
411,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland
412,Grassland,Wetland,Forest,NULL,Non_Wetland,Cropland
413,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland
414,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest
415,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Cropland
416,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Forest
417,Grassland,Wetland,Forest,Water,Non_Wetland,Grassland
418,Grassland,Wetland,Forest,Water,Non_Wetland,Cropland
419,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland
420,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Cropland
421,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland
422,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland
423,Grassland,Built-up,Forest,NULL,Non_Wetland,Cropland
424,Grassland,Water,NULL,NULL,Non_Wetland,Cropland
425,Grassland,Water,NULL,NULL,Non_Wetland,Water
