Value,AFRICA_2024_DynamicWorld_2024_37PET_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PET_M_R,AFRICA_2024_GLC_FCS30D_2022_37PET_M_R,AFRICA_2024_GSW_Yearly_2021_37PET_M_R,AFRICA_2024_GWL_FCS30D_2022_37PET_M_R,AFRICA_2024_WorldCover_2021_37PET_M_R
118,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
119,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
120,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
121,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
122,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
123,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
124,NULL,Built-up,NULL,Non_Water,Non_Wetland,Built-up
125,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
126,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
127,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
128,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
129,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
130,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland
131,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
132,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
133,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
134,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
135,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
136,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
137,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Bareland
138,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Built-up
139,NULL,Built-up,Grassland,Water,Non_Wetland,Bareland
140,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
141,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
142,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
143,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
144,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
145,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
146,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL
147,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Bareland
148,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
149,NULL,Built-up,Cropland,Water,Non_Wetland,NULL
150,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland
151,NULL,Built-up,Wetland,NULL,NULL,Grassland
152,NULL,Built-up,Wetland,NULL,NULL,Bareland
153,NULL,Built-up,Wetland,NULL,Wetland,Wetland
154,NULL,Built-up,Wetland,NULL,Wetland,Bareland
155,NULL,Built-up,Wetland,NULL,Wetland,Forest
156,NULL,Built-up,Wetland,Water,NULL,Bareland
157,NULL,Built-up,Wetland,Water,Wetland,Bareland
158,NULL,Built-up,Wetland,Water,Wetland,Built-up
159,NULL,Built-up,Wetland,Water,Wetland,Water
160,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
161,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
162,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
163,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
164,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
165,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
166,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
167,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
168,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
169,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
170,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Built-up
171,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Forest
172,NULL,Built-up,Bareland,Water,Non_Wetland,Grassland
173,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
174,NULL,Built-up,Bareland,Water,Non_Wetland,Built-up
175,NULL,Built-up,Bareland,Water,Non_Wetland,Water
176,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
177,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
178,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
179,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
180,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
181,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
182,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL
183,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
184,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
185,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
186,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
187,NULL,Built-up,Built-up,Water,Non_Wetland,NULL
188,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland
189,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland
190,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
191,NULL,Built-up,Built-up,Water,Non_Wetland,Water
192,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
193,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
194,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
195,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
196,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
197,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
198,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland
199,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
200,NULL,Water,Wetland,Water,NULL,Bareland
201,NULL,Water,Wetland,Water,Wetland,Water
202,NULL,Water,Built-up,NULL,Non_Wetland,Built-up
203,NULL,Forest,NULL,NULL,Non_Wetland,NULL
204,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
205,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
206,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
207,NULL,Forest,NULL,NULL,Non_Wetland,Forest
208,NULL,Forest,NULL,Non_Water,Non_Wetland,Cropland
209,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
210,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
211,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
212,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
213,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
214,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
215,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
216,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
217,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
218,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
219,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
220,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
221,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
222,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
223,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
224,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
225,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
226,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
227,NULL,Forest,Bareland,NULL,Non_Wetland,Cropland
228,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
229,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
230,NULL,Forest,Built-up,NULL,Non_Wetland,Cropland
231,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland
232,NULL,Forest,Forest,NULL,Non_Wetland,NULL
233,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
234,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
235,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
236,NULL,Forest,Forest,NULL,Non_Wetland,Forest
237,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
238,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
239,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
240,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
241,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
242,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
243,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
244,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
245,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
246,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
247,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
248,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
249,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
250,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
251,Grassland,NULL,Bareland,NULL,Non_Wetland,Cropland
252,Grassland,NULL,Built-up,NULL,Non_Wetland,Forest
253,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
254,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
255,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
256,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
257,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
258,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
259,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland
260,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland
261,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
262,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
263,Grassland,Forest,NULL,NULL,Non_Wetland,Cropland
264,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
265,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
266,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
267,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland
268,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL
269,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
270,Grassland,Forest,Grassland,NULL,Non_Wetland,Cropland
271,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
272,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
273,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland
274,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
275,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
276,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
277,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland
278,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
279,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
280,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
281,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
282,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
283,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
284,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL
285,Cropland,NULL,NULL,Non_Water,Non_Wetland,Cropland
286,Cropland,NULL,NULL,Water,Non_Wetland,Cropland
287,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
288,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
289,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
290,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
291,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
292,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
293,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
294,Cropland,NULL,Shrubland,Water,Non_Wetland,Cropland
295,Cropland,NULL,Shrubland,Water,Non_Wetland,Bareland
296,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
297,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
298,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
299,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
300,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
301,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
302,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL
303,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
304,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
305,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
306,Cropland,NULL,Grassland,Water,Non_Wetland,NULL
307,Cropland,NULL,Grassland,Water,Non_Wetland,Cropland
308,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
309,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
310,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
311,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
312,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
313,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
314,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
315,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL
316,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
317,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Bareland
318,Cropland,NULL,Cropland,Water,Non_Wetland,NULL
319,Cropland,NULL,Cropland,Water,Non_Wetland,Cropland
320,Cropland,NULL,Cropland,Water,Non_Wetland,Bareland
321,Cropland,NULL,Wetland,NULL,Wetland,Bareland
322,Cropland,NULL,Wetland,Water,Wetland,Cropland
323,Cropland,NULL,Wetland,Water,Wetland,Bareland
324,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
325,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
326,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
327,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
328,Cropland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
329,Cropland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
330,Cropland,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL
331,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
332,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
333,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
334,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
335,Cropland,NULL,Bareland,NULL,Non_Wetland,Built-up
336,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
337,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL
338,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Cropland
339,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
340,Cropland,NULL,Bareland,Water,Non_Wetland,NULL
341,Cropland,NULL,Bareland,Water,Non_Wetland,Cropland
342,Cropland,NULL,Bareland,Water,Non_Wetland,Bareland
343,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
344,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
345,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
346,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
347,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
348,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
349,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
350,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
351,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
352,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland
353,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
354,Cropland,NULL,Forest,Non_Water,Non_Wetland,Cropland
355,Cropland,NULL,Forest,Water,Non_Wetland,Cropland
356,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
357,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
358,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland
359,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
360,Cropland,Cropland,NULL,Non_Water,Non_Wetland,Bareland
361,Cropland,Cropland,NULL,Water,Non_Wetland,NULL
362,Cropland,Cropland,NULL,Water,Non_Wetland,Bareland
363,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
364,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
365,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
366,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
367,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
368,Cropland,Cropland,Shrubland,Water,Non_Wetland,Bareland
369,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
370,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
371,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
372,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
373,Cropland,Cropland,Grassland,NULL,Non_Wetland,Built-up
374,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
375,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL
376,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
377,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Bareland
378,Cropland,Cropland,Grassland,Water,Non_Wetland,NULL
379,Cropland,Cropland,Grassland,Water,Non_Wetland,Cropland
380,Cropland,Cropland,Grassland,Water,Non_Wetland,Bareland
381,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
382,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
383,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
384,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland
385,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up
386,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
387,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL
388,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
389,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Bareland
390,Cropland,Cropland,Cropland,Water,Non_Wetland,NULL
391,Cropland,Cropland,Cropland,Water,Non_Wetland,Cropland
392,Cropland,Cropland,Cropland,Water,Non_Wetland,Bareland
393,Cropland,Cropland,Wetland,NULL,Wetland,Bareland
394,Cropland,Cropland,Wetland,Water,Wetland,NULL
395,Cropland,Cropland,Wetland,Water,Wetland,Grassland
396,Cropland,Cropland,Wetland,Water,Wetland,Cropland
397,Cropland,Cropland,Wetland,Water,Wetland,Bareland
398,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
399,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
400,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
401,Cropland,Cropland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
402,Cropland,Cropland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
403,Cropland,Cropland,Lichens_and_Mosses,Water,Non_Wetland,Cropland
404,Cropland,Cropland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
405,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL
406,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
407,Cropland,Cropland,Bareland,NULL,Non_Wetland,Cropland
408,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
409,Cropland,Cropland,Bareland,NULL,Non_Wetland,Built-up
410,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,NULL
411,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
412,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
413,Cropland,Cropland,Bareland,Water,Non_Wetland,Cropland
