Value,AFRICA_2024_DynamicWorld_2024_37PFL_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PFL_M_R,AFRICA_2024_GLC_FCS30D_2022_37PFL_M_R,AFRICA_2024_GSW_Yearly_2021_37PFL_M_R,AFRICA_2024_GWL_FCS30D_2022_37PFL_M_R,AFRICA_2024_WorldCover_2021_37PFL_M_R
122,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
123,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
124,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
125,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
126,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
127,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
128,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
129,NULL,Cropland,NULL,Water,Non_Wetland,Wetland
130,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
131,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
132,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
133,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
134,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
135,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
136,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
137,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
138,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
139,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
140,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
141,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
142,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
143,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
144,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL
145,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
146,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Wetland
147,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
148,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
149,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
150,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
151,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
152,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
153,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
154,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL
155,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
156,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
157,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Wetland
158,NULL,Cropland,Cropland,Water,Non_Wetland,NULL
159,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
160,NULL,Cropland,Cropland,Water,Non_Wetland,Wetland
161,NULL,Cropland,Wetland,NULL,Wetland,NULL
162,NULL,Cropland,Wetland,NULL,Wetland,Grassland
163,NULL,Cropland,Wetland,NULL,Wetland,Cropland
164,NULL,Cropland,Wetland,NULL,Wetland,Wetland
165,NULL,Cropland,Wetland,NULL,Wetland,Forest
166,NULL,Cropland,Wetland,Non_Water,Wetland,NULL
167,NULL,Cropland,Wetland,Non_Water,Wetland,Wetland
168,NULL,Cropland,Wetland,Water,Wetland,Wetland
169,NULL,Cropland,Wetland,Water,Wetland,Water
170,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
171,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
172,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
173,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
174,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
175,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
176,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
177,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
178,NULL,Cropland,Bareland,NULL,Non_Wetland,Wetland
179,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
180,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
181,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
182,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
183,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
184,NULL,Cropland,Bareland,Water,Non_Wetland,Cropland
185,NULL,Cropland,Bareland,Water,Non_Wetland,Wetland
186,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
187,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
188,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
189,NULL,Cropland,Built-up,NULL,Non_Wetland,Wetland
190,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
191,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
192,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Cropland
193,NULL,Cropland,Built-up,Water,Non_Wetland,Cropland
194,NULL,Cropland,Water,Water,Water,Wetland
195,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
196,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
197,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
198,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
199,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
200,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
201,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
202,NULL,Cropland,Forest,Non_Water,Non_Wetland,Cropland
203,NULL,Cropland,Forest,Non_Water,Non_Wetland,Wetland
204,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
205,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
206,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
207,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
208,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland
209,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
210,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
211,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL
212,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
213,NULL,Wetland,Grassland,NULL,Non_Wetland,Cropland
214,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
215,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
216,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL
217,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
218,NULL,Wetland,Cropland,NULL,Non_Wetland,Cropland
219,NULL,Wetland,Cropland,NULL,Non_Wetland,Wetland
220,NULL,Wetland,Cropland,NULL,Non_Wetland,Bareland
221,NULL,Wetland,Cropland,NULL,Non_Wetland,Forest
222,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
223,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Forest
224,NULL,Wetland,Cropland,Water,Non_Wetland,Wetland
225,NULL,Wetland,Wetland,NULL,Wetland,NULL
226,NULL,Wetland,Wetland,NULL,Wetland,Grassland
227,NULL,Wetland,Wetland,NULL,Wetland,Cropland
228,NULL,Wetland,Wetland,NULL,Wetland,Wetland
229,NULL,Wetland,Wetland,NULL,Wetland,Forest
230,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
231,NULL,Wetland,Wetland,Water,Wetland,Wetland
232,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL
233,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
234,NULL,Wetland,Bareland,NULL,Non_Wetland,Cropland
235,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
236,NULL,Wetland,Bareland,NULL,Non_Wetland,Forest
237,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
238,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL
239,NULL,Wetland,Water,NULL,Water,Wetland
240,NULL,Wetland,Water,Water,Water,Wetland
241,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
242,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
243,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
244,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
245,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
246,NULL,Bareland,NULL,NULL,Non_Wetland,NULL
247,NULL,Bareland,NULL,NULL,Non_Wetland,Grassland
248,NULL,Bareland,NULL,NULL,Non_Wetland,Wetland
249,NULL,Bareland,NULL,Water,Non_Wetland,NULL
250,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
251,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
252,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
253,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
254,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
255,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
256,NULL,Bareland,Grassland,NULL,Non_Wetland,Wetland
257,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
258,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
259,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
260,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
261,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
262,NULL,Bareland,Cropland,NULL,Non_Wetland,Wetland
263,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
264,NULL,Bareland,Cropland,NULL,Non_Wetland,Built-up
265,NULL,Bareland,Cropland,NULL,Non_Wetland,Forest
266,NULL,Bareland,Wetland,NULL,Wetland,NULL
267,NULL,Bareland,Wetland,NULL,Wetland,Wetland
268,NULL,Bareland,Wetland,Non_Water,Wetland,Wetland
269,NULL,Bareland,Wetland,Water,Wetland,NULL
270,NULL,Bareland,Wetland,Water,Wetland,Wetland
271,NULL,Bareland,Wetland,Water,Wetland,Water
272,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
273,NULL,Bareland,Bareland,NULL,Non_Wetland,Cropland
274,NULL,Bareland,Bareland,NULL,Non_Wetland,Wetland
275,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
276,NULL,Bareland,Bareland,Water,Non_Wetland,Wetland
277,NULL,Bareland,Bareland,Water,Non_Wetland,Water
278,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL
279,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
280,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
281,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
282,NULL,Bareland,Water,NULL,Water,Wetland
283,NULL,Bareland,Water,Water,Water,Wetland
284,NULL,Bareland,Forest,NULL,Non_Wetland,NULL
285,NULL,Bareland,Forest,NULL,Non_Wetland,Cropland
286,NULL,Bareland,Forest,NULL,Non_Wetland,Built-up
287,NULL,Bareland,Forest,NULL,Non_Wetland,Forest
288,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
289,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
290,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
291,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland
292,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
293,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
294,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
295,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
296,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
297,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
298,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
299,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
300,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
301,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
302,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
303,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
304,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
305,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland
306,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
307,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
308,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
309,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
310,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Cropland
311,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Wetland
312,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Bareland
313,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
314,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
315,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
316,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland
317,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
318,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
319,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
320,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Cropland
321,NULL,Built-up,Wetland,NULL,Wetland,NULL
322,NULL,Built-up,Wetland,NULL,Wetland,Wetland
323,NULL,Built-up,Wetland,NULL,Wetland,Forest
324,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
325,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
326,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
327,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
328,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
329,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
330,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
331,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
332,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland
333,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
334,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
335,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
336,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
337,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
338,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
339,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
340,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland
341,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
342,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
343,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
344,NULL,Built-up,Water,NULL,Water,Cropland
345,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
346,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
347,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
348,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
349,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
350,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
351,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
352,NULL,Water,Grassland,NULL,Non_Wetland,NULL
353,NULL,Water,Cropland,NULL,Non_Wetland,NULL
354,NULL,Water,Cropland,Water,Non_Wetland,NULL
355,NULL,Water,Wetland,NULL,Wetland,NULL
356,NULL,Water,Wetland,NULL,Wetland,Wetland
357,NULL,Water,Wetland,Water,Wetland,Wetland
358,NULL,Water,Wetland,Water,Wetland,Water
359,NULL,Water,Bareland,NULL,Non_Wetland,NULL
360,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
361,NULL,Water,Bareland,NULL,Non_Wetland,Cropland
362,NULL,Water,Water,NULL,Water,Wetland
363,NULL,Water,Forest,NULL,Non_Wetland,NULL
364,NULL,Water,Forest,NULL,Non_Wetland,Wetland
365,NULL,Forest,NULL,NULL,Non_Wetland,NULL
366,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
367,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
368,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
369,NULL,Forest,NULL,NULL,Non_Wetland,Forest
370,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
371,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
372,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
373,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
374,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
375,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
376,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
377,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
378,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
379,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland
380,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
381,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
382,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
383,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
384,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
385,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
386,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
387,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
388,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
389,NULL,Forest,Wetland,NULL,Wetland,NULL
390,NULL,Forest,Wetland,NULL,Wetland,Cropland
391,NULL,Forest,Wetland,NULL,Wetland,Wetland
392,NULL,Forest,Wetland,NULL,Wetland,Forest
393,NULL,Forest,Wetland,Water,Wetland,Wetland
394,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
395,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
396,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
397,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
398,NULL,Forest,Bareland,NULL,Non_Wetland,Cropland
399,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland
400,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
401,NULL,Forest,Bareland,NULL,Non_Wetland,Built-up
402,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
403,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
404,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
405,NULL,Forest,Built-up,NULL,Non_Wetland,Cropland
406,NULL,Forest,Built-up,NULL,Non_Wetland,Wetland
407,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
408,NULL,Forest,Forest,NULL,Non_Wetland,NULL
409,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
410,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
411,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
412,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
413,NULL,Forest,Forest,NULL,Non_Wetland,Forest
414,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
415,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
416,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
417,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
418,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
419,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland
420,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
421,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
422,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
423,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
424,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
425,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
