Value,AFRICA_2024_DynamicWorld_2024_37NEH_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NEH_M_R,AFRICA_2024_GLC_FCS30D_2022_37NEH_M_R,AFRICA_2024_GSW_Yearly_2021_37NEH_M_R,AFRICA_2024_GWL_FCS30D_2022_37NEH_M_R,AFRICA_2024_WorldCover_2021_37NEH_M_R
118,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
119,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
120,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
121,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
122,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
123,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
124,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
125,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
126,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
127,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
128,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
129,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
130,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
131,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
132,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
133,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
134,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
135,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
136,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
137,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
138,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
139,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
140,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland
141,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
142,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
143,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
144,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
145,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
146,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
147,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
148,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
149,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
150,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
151,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
152,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
153,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
154,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
155,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
156,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
157,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
158,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
159,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
160,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland
161,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
162,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
163,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
164,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Cropland
165,NULL,Built-up,Wetland,NULL,Wetland,Forest
166,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
167,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
168,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
169,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
170,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
171,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
172,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
173,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
174,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
175,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
176,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
177,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland
178,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
179,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
180,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
181,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
182,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
183,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
184,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
185,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
186,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
187,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
188,NULL,Water,NULL,NULL,Non_Wetland,Grassland
189,NULL,Water,NULL,NULL,Non_Wetland,Forest
190,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
191,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
192,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
193,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
194,NULL,Water,Grassland,Water,Non_Wetland,Cropland
195,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
196,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
197,NULL,Water,Cropland,Non_Water,Non_Wetland,Cropland
198,NULL,Water,Cropland,Water,Non_Wetland,Cropland
199,NULL,Water,Wetland,Water,Wetland,Cropland
200,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
201,NULL,Water,Bareland,NULL,Non_Wetland,Cropland
202,NULL,Water,Bareland,NULL,Non_Wetland,Forest
203,NULL,Water,Water,NULL,Water,Grassland
204,NULL,Water,Forest,NULL,Non_Wetland,Grassland
205,NULL,Water,Forest,NULL,Non_Wetland,Cropland
206,NULL,Water,Forest,NULL,Non_Wetland,Wetland
207,NULL,Water,Forest,NULL,Non_Wetland,Forest
208,NULL,Forest,NULL,NULL,Non_Wetland,NULL
209,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
210,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
211,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
212,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
213,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
214,NULL,Forest,NULL,NULL,Non_Wetland,Forest
215,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
216,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
217,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
218,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
219,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
220,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
221,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
222,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
223,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
224,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
225,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
226,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
227,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
228,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
229,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
230,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
231,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
232,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
233,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
234,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
235,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
236,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
237,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
238,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
239,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
240,NULL,Forest,Bareland,NULL,Non_Wetland,Cropland
241,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
242,NULL,Forest,Bareland,NULL,Non_Wetland,Built-up
243,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
244,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
245,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
246,NULL,Forest,Built-up,NULL,Non_Wetland,Cropland
247,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland
248,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
249,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
250,NULL,Forest,Forest,NULL,Non_Wetland,NULL
251,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
252,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
253,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
254,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
255,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
256,NULL,Forest,Forest,NULL,Non_Wetland,Forest
257,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
258,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
259,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
260,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
261,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland
262,Grassland,NULL,NULL,NULL,Non_Wetland,Built-up
263,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
264,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
265,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
266,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
267,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
268,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
269,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
270,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
271,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
272,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water
273,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
274,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
275,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
276,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
277,Grassland,NULL,Shrubland,Water,Non_Wetland,Cropland
278,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
279,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
280,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
281,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
282,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland
283,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up
284,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
285,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
286,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
287,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland
288,Grassland,NULL,Grassland,Water,Non_Wetland,Cropland
289,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
290,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
291,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
292,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
293,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland
294,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up
295,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
296,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
297,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
298,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
299,Grassland,NULL,Cropland,Water,Non_Wetland,Cropland
300,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland
301,Grassland,NULL,Wetland,NULL,Wetland,Cropland
302,Grassland,NULL,Wetland,NULL,Wetland,Wetland
303,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
304,Grassland,NULL,Wetland,Non_Water,Wetland,Cropland
305,Grassland,NULL,Wetland,Water,Wetland,Grassland
306,Grassland,NULL,Wetland,Water,Wetland,Cropland
307,Grassland,NULL,Wetland,Water,Wetland,Wetland
308,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
309,Grassland,NULL,Bareland,NULL,Non_Wetland,Cropland
310,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
311,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland
312,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
313,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland
314,Grassland,NULL,Bareland,Water,Non_Wetland,Cropland
315,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland
316,Grassland,NULL,Bareland,Water,Non_Wetland,Bareland
317,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL
318,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
319,Grassland,NULL,Built-up,NULL,Non_Wetland,Cropland
320,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland
321,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up
322,Grassland,NULL,Built-up,NULL,Non_Wetland,Forest
323,Grassland,NULL,Water,NULL,Water,Grassland
324,Grassland,NULL,Water,NULL,Water,Cropland
325,Grassland,NULL,Water,NULL,Water,Wetland
326,Grassland,NULL,Water,Non_Water,Water,Grassland
327,Grassland,NULL,Water,Water,Water,Wetland
328,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
329,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
330,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
331,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
332,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland
333,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up
334,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
335,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
336,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
337,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
338,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
339,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL
340,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
341,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
342,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland
343,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland
344,Grassland,Cropland,NULL,NULL,Non_Wetland,Built-up
345,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest
346,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Grassland
347,Grassland,Cropland,NULL,Water,Non_Wetland,Grassland
348,Grassland,Cropland,NULL,Water,Non_Wetland,Cropland
349,Grassland,Cropland,NULL,Water,Non_Wetland,Wetland
350,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
351,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
352,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
353,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
354,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
355,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
356,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
357,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
358,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
359,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
360,Grassland,Cropland,Shrubland,Water,Non_Wetland,Grassland
361,Grassland,Cropland,Shrubland,Water,Non_Wetland,Cropland
362,Grassland,Cropland,Shrubland,Water,Non_Wetland,Wetland
363,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
364,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
365,Grassland,Cropland,Grassland,NULL,Non_Wetland,Wetland
366,Grassland,Cropland,Grassland,NULL,Non_Wetland,Bareland
367,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
368,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
369,Grassland,Cropland,Grassland,Water,Non_Wetland,Grassland
370,Grassland,Cropland,Grassland,Water,Non_Wetland,Cropland
371,Grassland,Cropland,Grassland,Water,Non_Wetland,Wetland
372,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
373,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
374,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
375,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland
376,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland
377,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up
378,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest
379,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
380,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
381,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Wetland
382,Grassland,Cropland,Cropland,Water,Non_Wetland,Grassland
383,Grassland,Cropland,Cropland,Water,Non_Wetland,Cropland
384,Grassland,Cropland,Cropland,Water,Non_Wetland,Wetland
385,Grassland,Cropland,Wetland,NULL,Wetland,Grassland
386,Grassland,Cropland,Wetland,NULL,Wetland,Cropland
387,Grassland,Cropland,Wetland,NULL,Wetland,Wetland
388,Grassland,Cropland,Wetland,NULL,Wetland,Forest
389,Grassland,Cropland,Wetland,Non_Water,Wetland,Grassland
390,Grassland,Cropland,Wetland,Non_Water,Wetland,Cropland
391,Grassland,Cropland,Wetland,Water,Wetland,Grassland
392,Grassland,Cropland,Wetland,Water,Wetland,Cropland
393,Grassland,Cropland,Wetland,Water,Wetland,Wetland
394,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland
395,Grassland,Cropland,Bareland,NULL,Non_Wetland,Cropland
396,Grassland,Cropland,Bareland,NULL,Non_Wetland,Wetland
397,Grassland,Cropland,Bareland,NULL,Non_Wetland,Bareland
398,Grassland,Cropland,Bareland,Water,Non_Wetland,Grassland
399,Grassland,Cropland,Bareland,Water,Non_Wetland,Cropland
400,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland
401,Grassland,Cropland,Built-up,NULL,Non_Wetland,Cropland
402,Grassland,Cropland,Built-up,NULL,Non_Wetland,Built-up
403,Grassland,Cropland,Built-up,NULL,Non_Wetland,Forest
404,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
405,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
406,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
407,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
408,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland
409,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
410,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Grassland
411,Grassland,Cropland,Forest,Water,Non_Wetland,Grassland
412,Grassland,Cropland,Forest,Water,Non_Wetland,Cropland
413,Grassland,Cropland,Forest,Water,Non_Wetland,Wetland
414,Grassland,Wetland,Bareland,NULL,Non_Wetland,Wetland
415,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland
416,Grassland,Built-up,NULL,NULL,Non_Wetland,NULL
417,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland
418,Grassland,Built-up,NULL,NULL,Non_Wetland,Cropland
419,Grassland,Built-up,NULL,NULL,Non_Wetland,Forest
