Value,AFRICA_2024_DynamicWorld_2024_37PBK_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PBK_M_R,AFRICA_2024_GLC_FCS30D_2022_37PBK_M_R,AFRICA_2024_GSW_Yearly_2021_37PBK_M_R,AFRICA_2024_GWL_FCS30D_2022_37PBK_M_R,AFRICA_2024_WorldCover_2021_37PBK_M_R
119,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
120,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
121,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
122,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
123,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
124,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
125,NULL,Cropland,Cropland,Water,Non_Wetland,Bareland
126,NULL,Cropland,Wetland,NULL,Wetland,Forest
127,NULL,Cropland,Wetland,Non_Water,Wetland,Wetland
128,NULL,Cropland,Wetland,Water,Wetland,Wetland
129,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
130,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
131,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
132,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
133,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
134,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
135,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
136,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
137,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
138,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
139,NULL,Cropland,Bareland,NULL,Non_Wetland,Water
140,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
141,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
142,NULL,Cropland,Bareland,Water,Non_Wetland,Grassland
143,NULL,Cropland,Bareland,Water,Non_Wetland,Cropland
144,NULL,Cropland,Bareland,Water,Non_Wetland,Bareland
145,NULL,Cropland,Bareland,Water,Non_Wetland,Water
146,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
147,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
148,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
149,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
150,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
151,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
152,NULL,Cropland,Built-up,Water,Non_Wetland,Cropland
153,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
154,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
155,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
156,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
157,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
158,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
159,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
160,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL
161,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
162,NULL,Cropland,Forest,Non_Water,Non_Wetland,Cropland
163,NULL,Cropland,Forest,Non_Water,Non_Wetland,Wetland
164,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
165,NULL,Cropland,Forest,Water,Non_Wetland,Grassland
166,NULL,Cropland,Forest,Water,Non_Wetland,Cropland
167,NULL,Cropland,Forest,Water,Non_Wetland,Wetland
168,NULL,Cropland,Forest,Water,Non_Wetland,Bareland
169,NULL,Cropland,Forest,Water,Non_Wetland,Forest
170,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
171,NULL,Wetland,Wetland,NULL,Wetland,Wetland
172,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
173,NULL,Wetland,Wetland,Water,Wetland,Wetland
174,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
175,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
176,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
177,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
178,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
179,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
180,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
181,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
182,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
183,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
184,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland
185,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
186,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
187,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
188,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
189,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
190,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
191,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
192,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
193,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
194,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Cropland
195,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
196,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
197,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
198,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
199,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
200,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
201,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
202,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
203,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
204,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland
205,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
206,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
207,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
208,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
209,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
210,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
211,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
212,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
213,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
214,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
215,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
216,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
217,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
218,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
219,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
220,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
221,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland
222,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
223,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
224,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
225,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
226,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
227,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
228,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
229,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
230,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
231,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
232,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL
233,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland
234,NULL,Built-up,Forest,Non_Water,Non_Wetland,Cropland
235,NULL,Built-up,Forest,Non_Water,Non_Wetland,Built-up
236,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
237,NULL,Water,NULL,NULL,Non_Wetland,NULL
238,NULL,Water,NULL,NULL,Non_Wetland,Grassland
239,NULL,Water,NULL,NULL,Non_Wetland,Cropland
240,NULL,Water,NULL,Water,Non_Wetland,Grassland
241,NULL,Water,NULL,Water,Non_Wetland,Cropland
242,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
243,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
244,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
245,NULL,Water,Shrubland,Water,Non_Wetland,Cropland
246,NULL,Water,Shrubland,Water,Non_Wetland,Wetland
247,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
248,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
249,NULL,Water,Cropland,Water,Non_Wetland,Cropland
250,NULL,Water,Wetland,Water,Wetland,Cropland
251,NULL,Water,Wetland,Water,Wetland,Wetland
252,NULL,Water,Bareland,NULL,Non_Wetland,NULL
253,NULL,Water,Bareland,NULL,Non_Wetland,Cropland
254,NULL,Water,Bareland,Water,Non_Wetland,Grassland
255,NULL,Water,Bareland,Water,Non_Wetland,Cropland
256,NULL,Water,Water,Water,Water,Cropland
257,NULL,Water,Water,Water,Water,Wetland
258,NULL,Water,Forest,NULL,Non_Wetland,NULL
259,NULL,Water,Forest,NULL,Non_Wetland,Grassland
260,NULL,Water,Forest,NULL,Non_Wetland,Cropland
261,NULL,Water,Forest,NULL,Non_Wetland,Wetland
262,NULL,Water,Forest,NULL,Non_Wetland,Forest
263,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland
264,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
265,NULL,Water,Forest,Water,Non_Wetland,Grassland
266,NULL,Water,Forest,Water,Non_Wetland,Cropland
267,NULL,Water,Forest,Water,Non_Wetland,Wetland
268,NULL,Forest,NULL,NULL,Non_Wetland,NULL
269,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
270,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
271,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
272,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
273,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
274,NULL,Forest,NULL,NULL,Non_Wetland,Forest
275,NULL,Forest,NULL,Non_Water,Non_Wetland,Cropland
276,NULL,Forest,NULL,Non_Water,Non_Wetland,Wetland
277,NULL,Forest,NULL,Water,Non_Wetland,Cropland
278,NULL,Forest,NULL,Water,Non_Wetland,Wetland
279,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
280,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
281,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
282,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
283,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
284,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
285,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
286,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Cropland
287,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
288,NULL,Forest,Shrubland,Water,Non_Wetland,Cropland
289,NULL,Forest,Shrubland,Water,Non_Wetland,Wetland
290,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
291,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
292,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
293,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
294,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
295,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
296,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
297,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
298,NULL,Forest,Cropland,Water,Non_Wetland,Cropland
299,NULL,Forest,Wetland,NULL,Wetland,Wetland
300,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
301,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
302,NULL,Forest,Built-up,NULL,Non_Wetland,Cropland
303,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
304,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
305,NULL,Forest,Forest,NULL,Non_Wetland,NULL
306,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
307,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
308,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
309,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
310,NULL,Forest,Forest,NULL,Non_Wetland,Forest
311,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
312,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
313,NULL,Forest,Forest,Non_Water,Non_Wetland,Cropland
314,NULL,Forest,Forest,Non_Water,Non_Wetland,Wetland
315,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
316,NULL,Forest,Forest,Water,Non_Wetland,Grassland
317,NULL,Forest,Forest,Water,Non_Wetland,Cropland
318,NULL,Forest,Forest,Water,Non_Wetland,Wetland
319,NULL,Forest,Forest,Water,Non_Wetland,Forest
320,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
321,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
322,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
323,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
324,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
325,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL
326,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
327,Grassland,NULL,NULL,Non_Water,Non_Wetland,Cropland
328,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland
329,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
330,Grassland,NULL,NULL,Water,Non_Wetland,Cropland
331,Grassland,NULL,NULL,Water,Non_Wetland,Wetland
332,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
333,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
334,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
335,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
336,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
337,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
338,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
339,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
340,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
341,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
342,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
343,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL
344,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
345,Grassland,NULL,Shrubland,Water,Non_Wetland,Cropland
346,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
347,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
348,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
349,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
350,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland
351,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
352,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
353,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
354,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
355,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
356,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland
357,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up
358,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
359,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
360,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
361,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
362,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
363,Grassland,NULL,Cropland,Water,Non_Wetland,Cropland
364,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland
365,Grassland,NULL,Wetland,NULL,Wetland,NULL
366,Grassland,NULL,Wetland,NULL,Wetland,Grassland
367,Grassland,NULL,Wetland,NULL,Wetland,Cropland
368,Grassland,NULL,Wetland,NULL,Wetland,Wetland
369,Grassland,NULL,Wetland,NULL,Wetland,Bareland
370,Grassland,NULL,Wetland,NULL,Wetland,Forest
371,Grassland,NULL,Wetland,Non_Water,Wetland,NULL
372,Grassland,NULL,Wetland,Non_Water,Wetland,Cropland
373,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
374,Grassland,NULL,Wetland,Water,Wetland,Grassland
375,Grassland,NULL,Wetland,Water,Wetland,Cropland
376,Grassland,NULL,Wetland,Water,Wetland,Wetland
377,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
378,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
379,Grassland,NULL,Bareland,NULL,Non_Wetland,Cropland
380,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
381,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
382,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
383,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
384,Grassland,NULL,Bareland,Water,Non_Wetland,Cropland
385,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland
386,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL
387,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
388,Grassland,NULL,Built-up,NULL,Non_Wetland,Cropland
389,Grassland,NULL,Built-up,NULL,Non_Wetland,Forest
390,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Wetland
391,Grassland,NULL,Water,NULL,Water,Grassland
392,Grassland,NULL,Water,Water,Water,Grassland
393,Grassland,NULL,Water,Water,Water,Cropland
394,Grassland,NULL,Water,Water,Water,Water
395,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
396,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
397,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
398,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
399,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland
400,Grassland,NULL,Forest,NULL,Non_Wetland,Water
401,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
402,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL
403,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
404,Grassland,NULL,Forest,Non_Water,Non_Wetland,Cropland
405,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
406,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
407,Grassland,NULL,Forest,Water,Non_Wetland,NULL
408,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
409,Grassland,NULL,Forest,Water,Non_Wetland,Cropland
410,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
411,Grassland,NULL,Forest,Water,Non_Wetland,Forest
412,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL
413,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
414,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
415,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland
416,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest
417,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Grassland
418,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Cropland
419,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Wetland
420,Grassland,Cropland,NULL,Water,Non_Wetland,Grassland
421,Grassland,Cropland,NULL,Water,Non_Wetland,Cropland
422,Grassland,Cropland,NULL,Water,Non_Wetland,Wetland
423,Grassland,Cropland,NULL,Water,Non_Wetland,Forest
