Value,AFRICA_2024_DynamicWorld_2024_37NFF_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NFF_M_R,AFRICA_2024_GLC_FCS30D_2022_37NFF_M_R,AFRICA_2024_GSW_Yearly_2021_37NFF_M_R,AFRICA_2024_GWL_FCS30D_2022_37NFF_M_R,AFRICA_2024_WorldCover_2021_37NFF_M_R
122,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
123,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
124,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
125,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
126,NULL,Bareland,Wetland,NULL,Wetland,Bareland
127,NULL,Bareland,Water,NULL,Water,Grassland
128,NULL,Bareland,Water,NULL,Water,Bareland
129,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
130,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
131,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
132,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
133,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
134,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
135,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
136,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
137,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
138,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
139,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
140,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
141,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
142,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
143,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
144,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
145,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
146,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
147,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
148,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
149,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
150,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
151,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
152,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
153,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
154,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
155,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
156,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
157,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
158,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
159,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
160,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
161,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
162,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
163,NULL,Water,NULL,NULL,Non_Wetland,NULL
164,NULL,Water,NULL,NULL,Non_Wetland,Grassland
165,NULL,Water,NULL,NULL,Non_Wetland,Cropland
166,NULL,Water,NULL,NULL,Non_Wetland,Forest
167,NULL,Water,NULL,Non_Water,Non_Wetland,NULL
168,NULL,Water,NULL,Non_Water,Non_Wetland,Forest
169,NULL,Water,NULL,Water,Non_Wetland,NULL
170,NULL,Water,NULL,Water,Non_Wetland,Forest
171,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
172,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
173,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
174,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
175,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
176,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL
177,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
178,NULL,Water,Shrubland,Non_Water,Non_Wetland,Cropland
179,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
180,NULL,Water,Shrubland,Water,Non_Wetland,NULL
181,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
182,NULL,Water,Shrubland,Water,Non_Wetland,Forest
183,NULL,Water,Grassland,NULL,Non_Wetland,NULL
184,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
185,NULL,Water,Grassland,NULL,Non_Wetland,Cropland
186,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
187,NULL,Water,Grassland,NULL,Non_Wetland,Forest
188,NULL,Water,Grassland,Non_Water,Non_Wetland,Grassland
189,NULL,Water,Grassland,Non_Water,Non_Wetland,Cropland
190,NULL,Water,Grassland,Non_Water,Non_Wetland,Forest
191,NULL,Water,Grassland,Water,Non_Wetland,NULL
192,NULL,Water,Grassland,Water,Non_Wetland,Grassland
193,NULL,Water,Cropland,NULL,Non_Wetland,NULL
194,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
195,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
196,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
197,NULL,Water,Cropland,NULL,Non_Wetland,Forest
198,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland
199,NULL,Water,Cropland,Non_Water,Non_Wetland,Forest
200,NULL,Water,Cropland,Water,Non_Wetland,Grassland
201,NULL,Water,Cropland,Water,Non_Wetland,Cropland
202,NULL,Water,Cropland,Water,Non_Wetland,Forest
203,NULL,Water,Wetland,NULL,Wetland,NULL
204,NULL,Water,Wetland,NULL,Wetland,Grassland
205,NULL,Water,Wetland,NULL,Wetland,Forest
206,NULL,Water,Wetland,Water,Wetland,Forest
207,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,NULL
208,NULL,Water,Bareland,NULL,Non_Wetland,NULL
209,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
210,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
211,NULL,Water,Bareland,NULL,Non_Wetland,Forest
212,NULL,Water,Bareland,Non_Water,Non_Wetland,NULL
213,NULL,Water,Bareland,Non_Water,Non_Wetland,Grassland
214,NULL,Water,Bareland,Non_Water,Non_Wetland,Forest
215,NULL,Water,Bareland,Water,Non_Wetland,NULL
216,NULL,Water,Bareland,Water,Non_Wetland,Grassland
217,NULL,Water,Bareland,Water,Non_Wetland,Forest
218,NULL,Water,Built-up,NULL,Non_Wetland,NULL
219,NULL,Water,Water,NULL,Water,NULL
220,NULL,Water,Water,NULL,Water,Grassland
221,NULL,Water,Water,NULL,Water,Bareland
222,NULL,Water,Water,NULL,Water,Forest
223,NULL,Water,Water,Non_Water,Water,NULL
224,NULL,Water,Water,Water,Water,Grassland
225,NULL,Water,Water,Water,Water,Forest
226,NULL,Water,Forest,NULL,Non_Wetland,NULL
227,NULL,Water,Forest,NULL,Non_Wetland,Grassland
228,NULL,Water,Forest,NULL,Non_Wetland,Cropland
229,NULL,Water,Forest,NULL,Non_Wetland,Forest
230,NULL,Water,Forest,Non_Water,Non_Wetland,NULL
231,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
232,NULL,Water,Forest,Water,Non_Wetland,NULL
233,NULL,Water,Forest,Water,Non_Wetland,Forest
234,NULL,Forest,NULL,NULL,Non_Wetland,NULL
235,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
236,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
237,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
238,NULL,Forest,NULL,NULL,Non_Wetland,Forest
239,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
240,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
241,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
242,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
243,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
244,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
245,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
246,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
247,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
248,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
249,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
250,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
251,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
252,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
253,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
254,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland
255,NULL,Forest,Grassland,Non_Water,Non_Wetland,Forest
256,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
257,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
258,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
259,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
260,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
261,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
262,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL
263,NULL,Forest,Cropland,Water,Non_Wetland,Forest
264,NULL,Forest,Wetland,Water,Wetland,Cropland
265,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
266,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
267,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
268,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
269,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
270,NULL,Forest,Bareland,Water,Non_Wetland,NULL
271,NULL,Forest,Bareland,Water,Non_Wetland,Grassland
272,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
273,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
274,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
275,NULL,Forest,Built-up,Non_Water,Non_Wetland,NULL
276,NULL,Forest,Built-up,Non_Water,Non_Wetland,Forest
277,NULL,Forest,Water,Water,Water,Water
278,NULL,Forest,Forest,NULL,Non_Wetland,NULL
279,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
280,NULL,Forest,Forest,NULL,Non_Wetland,Forest
281,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
282,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
283,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
284,NULL,Forest,Forest,Water,Non_Wetland,NULL
285,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
286,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
287,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
288,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
289,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL
290,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
291,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
292,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
293,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
294,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
295,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
296,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
297,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
298,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
299,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
300,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
301,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
302,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
303,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
304,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Forest
305,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
306,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
307,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
308,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
309,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL
310,Grassland,NULL,Water,Water,Water,Grassland
311,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
312,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
313,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
314,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
315,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
316,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
317,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
318,Grassland,Water,NULL,NULL,Non_Wetland,Grassland
319,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland
320,Grassland,Water,Shrubland,NULL,Non_Wetland,Cropland
321,Grassland,Water,Cropland,NULL,Non_Wetland,Grassland
322,Grassland,Water,Cropland,NULL,Non_Wetland,Forest
323,Grassland,Water,Forest,NULL,Non_Wetland,Forest
324,Grassland,Water,Forest,Non_Water,Non_Wetland,Forest
325,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
326,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
327,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
328,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
329,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
330,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland
331,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
332,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
333,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
334,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland
335,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
336,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
337,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
338,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland
339,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
340,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
341,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
342,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
343,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
344,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up
345,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
346,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL
347,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland
348,Cropland,NULL,NULL,Non_Water,Non_Wetland,Cropland
349,Cropland,NULL,NULL,Non_Water,Non_Wetland,Forest
350,Cropland,NULL,NULL,Water,Non_Wetland,Grassland
351,Cropland,NULL,NULL,Water,Non_Wetland,Forest
352,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
353,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
354,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
355,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
356,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
357,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
358,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water
359,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
360,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
361,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
362,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
363,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
364,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL
365,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
366,Cropland,NULL,Shrubland,Water,Non_Wetland,Cropland
367,Cropland,NULL,Shrubland,Water,Non_Wetland,Bareland
368,Cropland,NULL,Shrubland,Water,Non_Wetland,Forest
369,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
370,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
371,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
372,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
373,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
374,Cropland,NULL,Grassland,NULL,Non_Wetland,Water
375,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
376,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL
377,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
378,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Forest
379,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
380,Cropland,NULL,Grassland,Water,Non_Wetland,Cropland
381,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
382,Cropland,NULL,Grassland,Water,Non_Wetland,Water
383,Cropland,NULL,Grassland,Water,Non_Wetland,Forest
384,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
385,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
386,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
387,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
388,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
389,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
390,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL
391,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
392,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
393,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Forest
394,Cropland,NULL,Cropland,Water,Non_Wetland,NULL
395,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
396,Cropland,NULL,Cropland,Water,Non_Wetland,Cropland
397,Cropland,NULL,Cropland,Water,Non_Wetland,Bareland
398,Cropland,NULL,Cropland,Water,Non_Wetland,Forest
399,Cropland,NULL,Wetland,NULL,Wetland,NULL
400,Cropland,NULL,Wetland,NULL,Wetland,Grassland
401,Cropland,NULL,Wetland,NULL,Wetland,Forest
402,Cropland,NULL,Wetland,Water,Wetland,Grassland
403,Cropland,NULL,Wetland,Water,Wetland,Cropland
404,Cropland,NULL,Wetland,Water,Wetland,Bareland
405,Cropland,NULL,Wetland,Water,Wetland,Water
406,Cropland,NULL,Wetland,Water,Wetland,Forest
407,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
408,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
409,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
410,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
411,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
412,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
413,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
414,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Cropland
415,Cropland,NULL,Bareland,Water,Non_Wetland,NULL
416,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
417,Cropland,NULL,Bareland,Water,Non_Wetland,Cropland
418,Cropland,NULL,Bareland,Water,Non_Wetland,Water
419,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
420,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
421,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
422,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
423,Cropland,NULL,Built-up,Non_Water,Non_Wetland,NULL
424,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Forest
425,Cropland,NULL,Built-up,Water,Non_Wetland,Cropland
426,Cropland,NULL,Water,NULL,Water,NULL
427,Cropland,NULL,Water,NULL,Water,Grassland
428,Cropland,NULL,Water,NULL,Water,Cropland
429,Cropland,NULL,Water,NULL,Water,Bareland
430,Cropland,NULL,Water,NULL,Water,Forest
