Value,AFRICA_2024_DynamicWorld_2024_37PFT_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PFT_M_R,AFRICA_2024_GLC_FCS30D_2022_37PFT_M_R,AFRICA_2024_GSW_Yearly_2021_37PFT_M_R,AFRICA_2024_GWL_FCS30D_2022_37PFT_M_R,AFRICA_2024_WorldCover_2021_37PFT_M_R
123,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
124,Bareland,NULL,NULL,NULL,Non_Wetland,Cropland
125,Bareland,NULL,NULL,NULL,Non_Wetland,Wetland
126,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland
127,Bareland,NULL,NULL,Non_Water,Non_Wetland,Bareland
128,Bareland,NULL,NULL,Water,Non_Wetland,Grassland
129,Bareland,NULL,NULL,Water,Non_Wetland,Bareland
130,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
131,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
132,Bareland,NULL,Shrubland,NULL,Non_Wetland,Cropland
133,Bareland,NULL,Shrubland,NULL,Non_Wetland,Wetland
134,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
135,Bareland,NULL,Shrubland,NULL,Non_Wetland,Built-up
136,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
137,Bareland,NULL,Shrubland,Water,Non_Wetland,Grassland
138,Bareland,NULL,Shrubland,Water,Non_Wetland,Wetland
139,Bareland,NULL,Shrubland,Water,Non_Wetland,Bareland
140,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
141,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
142,Bareland,NULL,Grassland,NULL,Non_Wetland,Cropland
143,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
144,Bareland,NULL,Grassland,NULL,Non_Wetland,Built-up
145,Bareland,NULL,Grassland,NULL,Non_Wetland,Water
146,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
147,Bareland,NULL,Grassland,Water,Non_Wetland,NULL
148,Bareland,NULL,Grassland,Water,Non_Wetland,Grassland
149,Bareland,NULL,Grassland,Water,Non_Wetland,Bareland
150,Bareland,NULL,Grassland,Water,Non_Wetland,Water
151,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL
152,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
153,Bareland,NULL,Cropland,NULL,Non_Wetland,Cropland
154,Bareland,NULL,Cropland,NULL,Non_Wetland,Wetland
155,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland
156,Bareland,NULL,Cropland,NULL,Non_Wetland,Built-up
157,Bareland,NULL,Cropland,NULL,Non_Wetland,Water
158,Bareland,NULL,Cropland,NULL,Non_Wetland,Forest
159,Bareland,NULL,Cropland,Non_Water,Non_Wetland,NULL
160,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
161,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
162,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
163,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Bareland
164,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Water
165,Bareland,NULL,Cropland,Water,Non_Wetland,NULL
166,Bareland,NULL,Cropland,Water,Non_Wetland,Grassland
167,Bareland,NULL,Cropland,Water,Non_Wetland,Cropland
168,Bareland,NULL,Cropland,Water,Non_Wetland,Wetland
169,Bareland,NULL,Cropland,Water,Non_Wetland,Bareland
170,Bareland,NULL,Cropland,Water,Non_Wetland,Water
171,Bareland,NULL,Wetland,NULL,NULL,NULL
172,Bareland,NULL,Wetland,NULL,NULL,Grassland
173,Bareland,NULL,Wetland,NULL,NULL,Wetland
174,Bareland,NULL,Wetland,NULL,NULL,Bareland
175,Bareland,NULL,Wetland,NULL,NULL,Water
176,Bareland,NULL,Wetland,NULL,NULL,Forest
177,Bareland,NULL,Wetland,NULL,Wetland,NULL
178,Bareland,NULL,Wetland,NULL,Wetland,Grassland
179,Bareland,NULL,Wetland,NULL,Wetland,Cropland
180,Bareland,NULL,Wetland,NULL,Wetland,Wetland
181,Bareland,NULL,Wetland,NULL,Wetland,Bareland
182,Bareland,NULL,Wetland,NULL,Wetland,Water
183,Bareland,NULL,Wetland,NULL,Wetland,Forest
184,Bareland,NULL,Wetland,Non_Water,NULL,Grassland
185,Bareland,NULL,Wetland,Non_Water,NULL,Bareland
186,Bareland,NULL,Wetland,Non_Water,NULL,Water
187,Bareland,NULL,Wetland,Non_Water,Wetland,Grassland
188,Bareland,NULL,Wetland,Non_Water,Wetland,Wetland
189,Bareland,NULL,Wetland,Non_Water,Wetland,Bareland
190,Bareland,NULL,Wetland,Non_Water,Wetland,Water
191,Bareland,NULL,Wetland,Water,NULL,Grassland
192,Bareland,NULL,Wetland,Water,NULL,Wetland
193,Bareland,NULL,Wetland,Water,NULL,Bareland
194,Bareland,NULL,Wetland,Water,NULL,Water
195,Bareland,NULL,Wetland,Water,Wetland,NULL
196,Bareland,NULL,Wetland,Water,Wetland,Grassland
197,Bareland,NULL,Wetland,Water,Wetland,Cropland
198,Bareland,NULL,Wetland,Water,Wetland,Wetland
199,Bareland,NULL,Wetland,Water,Wetland,Bareland
200,Bareland,NULL,Wetland,Water,Wetland,Water
201,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
202,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
203,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
204,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
205,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
206,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
207,Bareland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
208,Bareland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
209,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL
210,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
211,Bareland,NULL,Bareland,NULL,Non_Wetland,Cropland
212,Bareland,NULL,Bareland,NULL,Non_Wetland,Wetland
213,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
214,Bareland,NULL,Bareland,NULL,Non_Wetland,Built-up
215,Bareland,NULL,Bareland,NULL,Non_Wetland,Water
216,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
217,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Cropland
218,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
219,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Water
220,Bareland,NULL,Bareland,Water,Non_Wetland,NULL
221,Bareland,NULL,Bareland,Water,Non_Wetland,Grassland
222,Bareland,NULL,Bareland,Water,Non_Wetland,Cropland
223,Bareland,NULL,Bareland,Water,Non_Wetland,Wetland
224,Bareland,NULL,Bareland,Water,Non_Wetland,Bareland
225,Bareland,NULL,Bareland,Water,Non_Wetland,Built-up
226,Bareland,NULL,Bareland,Water,Non_Wetland,Water
227,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL
228,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland
229,Bareland,NULL,Built-up,NULL,Non_Wetland,Cropland
230,Bareland,NULL,Built-up,NULL,Non_Wetland,Wetland
231,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland
232,Bareland,NULL,Built-up,NULL,Non_Wetland,Built-up
233,Bareland,NULL,Built-up,NULL,Non_Wetland,Water
234,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Bareland
235,Bareland,NULL,Built-up,Water,Non_Wetland,Grassland
236,Bareland,NULL,Built-up,Water,Non_Wetland,Bareland
237,Bareland,NULL,Water,NULL,NULL,Bareland
238,Bareland,NULL,Water,NULL,NULL,Water
239,Bareland,NULL,Water,NULL,Water,Wetland
240,Bareland,NULL,Water,NULL,Water,Bareland
241,Bareland,NULL,Water,Water,NULL,Bareland
242,Bareland,NULL,Water,Water,Water,Bareland
243,Bareland,NULL,Forest,NULL,Non_Wetland,NULL
244,Bareland,NULL,Forest,NULL,Non_Wetland,Wetland
245,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland
246,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL
247,Bareland,Cropland,Grassland,NULL,Non_Wetland,Grassland
248,Bareland,Cropland,Grassland,NULL,Non_Wetland,Bareland
249,Bareland,Cropland,Cropland,NULL,Non_Wetland,NULL
250,Bareland,Cropland,Cropland,NULL,Non_Wetland,Grassland
251,Bareland,Cropland,Cropland,NULL,Non_Wetland,Wetland
252,Bareland,Cropland,Cropland,NULL,Non_Wetland,Bareland
253,Bareland,Cropland,Wetland,NULL,Wetland,NULL
254,Bareland,Cropland,Wetland,NULL,Wetland,Wetland
255,Bareland,Cropland,Wetland,NULL,Wetland,Bareland
256,Bareland,Cropland,Bareland,NULL,Non_Wetland,NULL
257,Bareland,Cropland,Bareland,NULL,Non_Wetland,Bareland
258,Bareland,Cropland,Forest,NULL,Non_Wetland,NULL
259,Bareland,Wetland,Cropland,NULL,Non_Wetland,NULL
260,Bareland,Wetland,Cropland,NULL,Non_Wetland,Grassland
261,Bareland,Wetland,Cropland,NULL,Non_Wetland,Wetland
262,Bareland,Wetland,Cropland,NULL,Non_Wetland,Bareland
263,Bareland,Wetland,Wetland,NULL,Wetland,NULL
264,Bareland,Wetland,Wetland,NULL,Wetland,Grassland
265,Bareland,Wetland,Wetland,NULL,Wetland,Wetland
266,Bareland,Wetland,Wetland,NULL,Wetland,Bareland
267,Bareland,Wetland,Wetland,NULL,Wetland,Water
268,Bareland,Wetland,Wetland,Non_Water,Wetland,Wetland
269,Bareland,Wetland,Wetland,Non_Water,Wetland,Bareland
270,Bareland,Wetland,Wetland,Water,Wetland,Wetland
271,Bareland,Wetland,Wetland,Water,Wetland,Water
272,Bareland,Wetland,Bareland,NULL,Non_Wetland,Grassland
273,Bareland,Wetland,Bareland,NULL,Non_Wetland,Wetland
274,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL
275,Bareland,Bareland,NULL,NULL,Non_Wetland,Grassland
276,Bareland,Bareland,NULL,NULL,Non_Wetland,Cropland
277,Bareland,Bareland,NULL,NULL,Non_Wetland,Wetland
278,Bareland,Bareland,NULL,NULL,Non_Wetland,Bareland
279,Bareland,Bareland,NULL,NULL,Non_Wetland,Water
280,Bareland,Bareland,NULL,Non_Water,Non_Wetland,Bareland
281,Bareland,Bareland,NULL,Non_Water,Non_Wetland,Water
282,Bareland,Bareland,NULL,Water,Non_Wetland,Bareland
283,Bareland,Bareland,NULL,Water,Non_Wetland,Water
284,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
285,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Cropland
286,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Wetland
287,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
288,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Water
289,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
290,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,Water
291,Bareland,Bareland,Shrubland,Water,Non_Wetland,Grassland
292,Bareland,Bareland,Shrubland,Water,Non_Wetland,Bareland
293,Bareland,Bareland,Shrubland,Water,Non_Wetland,Water
294,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL
295,Bareland,Bareland,Grassland,NULL,Non_Wetland,Grassland
296,Bareland,Bareland,Grassland,NULL,Non_Wetland,Cropland
297,Bareland,Bareland,Grassland,NULL,Non_Wetland,Bareland
298,Bareland,Bareland,Grassland,NULL,Non_Wetland,Built-up
299,Bareland,Bareland,Grassland,NULL,Non_Wetland,Water
300,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
301,Bareland,Bareland,Grassland,Water,Non_Wetland,NULL
302,Bareland,Bareland,Grassland,Water,Non_Wetland,Grassland
303,Bareland,Bareland,Grassland,Water,Non_Wetland,Cropland
304,Bareland,Bareland,Grassland,Water,Non_Wetland,Wetland
305,Bareland,Bareland,Grassland,Water,Non_Wetland,Bareland
306,Bareland,Bareland,Grassland,Water,Non_Wetland,Water
307,Bareland,Bareland,Cropland,NULL,Non_Wetland,NULL
308,Bareland,Bareland,Cropland,NULL,Non_Wetland,Grassland
309,Bareland,Bareland,Cropland,NULL,Non_Wetland,Cropland
310,Bareland,Bareland,Cropland,NULL,Non_Wetland,Wetland
311,Bareland,Bareland,Cropland,NULL,Non_Wetland,Bareland
312,Bareland,Bareland,Cropland,NULL,Non_Wetland,Water
313,Bareland,Bareland,Cropland,NULL,Non_Wetland,Forest
314,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,NULL
315,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,Grassland
316,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,Wetland
317,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,Bareland
318,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,Water
319,Bareland,Bareland,Cropland,Water,Non_Wetland,NULL
320,Bareland,Bareland,Cropland,Water,Non_Wetland,Grassland
321,Bareland,Bareland,Cropland,Water,Non_Wetland,Wetland
322,Bareland,Bareland,Cropland,Water,Non_Wetland,Bareland
323,Bareland,Bareland,Cropland,Water,Non_Wetland,Water
324,Bareland,Bareland,Wetland,NULL,NULL,NULL
325,Bareland,Bareland,Wetland,NULL,NULL,Grassland
326,Bareland,Bareland,Wetland,NULL,NULL,Cropland
327,Bareland,Bareland,Wetland,NULL,NULL,Wetland
328,Bareland,Bareland,Wetland,NULL,NULL,Bareland
329,Bareland,Bareland,Wetland,NULL,NULL,Water
330,Bareland,Bareland,Wetland,NULL,Wetland,NULL
331,Bareland,Bareland,Wetland,NULL,Wetland,Grassland
332,Bareland,Bareland,Wetland,NULL,Wetland,Cropland
333,Bareland,Bareland,Wetland,NULL,Wetland,Wetland
334,Bareland,Bareland,Wetland,NULL,Wetland,Bareland
335,Bareland,Bareland,Wetland,NULL,Wetland,Built-up
336,Bareland,Bareland,Wetland,NULL,Wetland,Water
337,Bareland,Bareland,Wetland,NULL,Wetland,Forest
338,Bareland,Bareland,Wetland,Non_Water,NULL,Bareland
339,Bareland,Bareland,Wetland,Non_Water,NULL,Water
340,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL
341,Bareland,Bareland,Wetland,Non_Water,Wetland,Grassland
342,Bareland,Bareland,Wetland,Non_Water,Wetland,Wetland
343,Bareland,Bareland,Wetland,Non_Water,Wetland,Bareland
344,Bareland,Bareland,Wetland,Non_Water,Wetland,Water
345,Bareland,Bareland,Wetland,Non_Water,Wetland,Forest
346,Bareland,Bareland,Wetland,Water,NULL,Grassland
347,Bareland,Bareland,Wetland,Water,NULL,Wetland
348,Bareland,Bareland,Wetland,Water,NULL,Bareland
349,Bareland,Bareland,Wetland,Water,NULL,Water
350,Bareland,Bareland,Wetland,Water,Wetland,NULL
351,Bareland,Bareland,Wetland,Water,Wetland,Grassland
352,Bareland,Bareland,Wetland,Water,Wetland,Cropland
353,Bareland,Bareland,Wetland,Water,Wetland,Wetland
354,Bareland,Bareland,Wetland,Water,Wetland,Bareland
355,Bareland,Bareland,Wetland,Water,Wetland,Water
356,Bareland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
357,Bareland,Bareland,Lichens_and_Mosses,Water,Non_Wetland,NULL
358,Bareland,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
359,Bareland,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
360,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL
361,Bareland,Bareland,Bareland,NULL,Non_Wetland,Grassland
362,Bareland,Bareland,Bareland,NULL,Non_Wetland,Cropland
363,Bareland,Bareland,Bareland,NULL,Non_Wetland,Wetland
364,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland
365,Bareland,Bareland,Bareland,NULL,Non_Wetland,Built-up
366,Bareland,Bareland,Bareland,NULL,Non_Wetland,Water
367,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
368,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Cropland
369,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Wetland
370,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
371,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Water
372,Bareland,Bareland,Bareland,Water,Non_Wetland,Grassland
373,Bareland,Bareland,Bareland,Water,Non_Wetland,Cropland
374,Bareland,Bareland,Bareland,Water,Non_Wetland,Wetland
375,Bareland,Bareland,Bareland,Water,Non_Wetland,Bareland
376,Bareland,Bareland,Bareland,Water,Non_Wetland,Built-up
377,Bareland,Bareland,Bareland,Water,Non_Wetland,Water
378,Bareland,Bareland,Built-up,NULL,Non_Wetland,Grassland
379,Bareland,Bareland,Built-up,NULL,Non_Wetland,Cropland
380,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland
381,Bareland,Bareland,Built-up,NULL,Non_Wetland,Built-up
382,Bareland,Bareland,Built-up,NULL,Non_Wetland,Water
383,Bareland,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
384,Bareland,Bareland,Built-up,Non_Water,Non_Wetland,Water
385,Bareland,Bareland,Built-up,Water,Non_Wetland,Bareland
386,Bareland,Bareland,Built-up,Water,Non_Wetland,Water
387,Bareland,Bareland,Water,NULL,NULL,Bareland
388,Bareland,Bareland,Water,NULL,NULL,Water
389,Bareland,Bareland,Water,NULL,Water,Grassland
390,Bareland,Bareland,Water,NULL,Water,Bareland
391,Bareland,Bareland,Water,NULL,Water,Water
392,Bareland,Bareland,Water,Non_Water,NULL,Bareland
393,Bareland,Bareland,Water,Non_Water,NULL,Water
394,Bareland,Bareland,Water,Non_Water,Water,Bareland
395,Bareland,Bareland,Water,Non_Water,Water,Water
396,Bareland,Bareland,Water,Water,NULL,Bareland
397,Bareland,Bareland,Water,Water,NULL,Water
398,Bareland,Bareland,Water,Water,Water,Bareland
399,Bareland,Bareland,Water,Water,Water,Water
400,Bareland,Bareland,Forest,NULL,Non_Wetland,Bareland
401,Bareland,Built-up,Cropland,NULL,Non_Wetland,Water
402,Bareland,Built-up,Cropland,Water,Non_Wetland,Bareland
403,Bareland,Built-up,Wetland,NULL,Wetland,Bareland
404,Bareland,Built-up,Bareland,NULL,Non_Wetland,Bareland
405,Bareland,Built-up,Bareland,NULL,Non_Wetland,Built-up
406,Bareland,Built-up,Built-up,NULL,Non_Wetland,Built-up
407,Bareland,Water,NULL,NULL,Non_Wetland,Grassland
408,Bareland,Water,NULL,NULL,Non_Wetland,Wetland
409,Bareland,Water,NULL,NULL,Non_Wetland,Bareland
410,Bareland,Water,NULL,NULL,Non_Wetland,Water
411,Bareland,Water,NULL,Non_Water,Non_Wetland,Bareland
412,Bareland,Water,NULL,Water,Non_Wetland,Bareland
413,Bareland,Water,NULL,Water,Non_Wetland,Water
414,Bareland,Water,Shrubland,NULL,Non_Wetland,Grassland
415,Bareland,Water,Shrubland,NULL,Non_Wetland,Cropland
416,Bareland,Water,Shrubland,NULL,Non_Wetland,Bareland
417,Bareland,Water,Shrubland,NULL,Non_Wetland,Water
418,Bareland,Water,Shrubland,Non_Water,Non_Wetland,Bareland
419,Bareland,Water,Shrubland,Non_Water,Non_Wetland,Water
420,Bareland,Water,Shrubland,Water,Non_Wetland,Wetland
421,Bareland,Water,Shrubland,Water,Non_Wetland,Bareland
422,Bareland,Water,Shrubland,Water,Non_Wetland,Water
423,Bareland,Water,Grassland,NULL,Non_Wetland,Grassland
424,Bareland,Water,Grassland,NULL,Non_Wetland,Wetland
425,Bareland,Water,Grassland,NULL,Non_Wetland,Bareland
426,Bareland,Water,Grassland,NULL,Non_Wetland,Water
427,Bareland,Water,Grassland,Non_Water,Non_Wetland,Bareland
