Value,AFRICA_2024_DynamicWorld_2024_36NWL_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NWL_M_R,AFRICA_2024_GLC_FCS30D_2022_36NWL_M_R,AFRICA_2024_GSW_Yearly_2021_36NWL_M_R,AFRICA_2024_GWL_FCS30D_2022_36NWL_M_R,AFRICA_2024_WorldCover_2021_36NWL_M_R
119,NULL,Built-up,Wetland,NULL,Wetland,Forest
120,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
121,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
122,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
123,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
124,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
125,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
126,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
127,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
128,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
129,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
130,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
131,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
132,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
133,NULL,Water,NULL,NULL,Non_Wetland,Grassland
134,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
135,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
136,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
137,NULL,Water,Grassland,NULL,Non_Wetland,Cropland
138,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
139,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
140,NULL,Water,Forest,NULL,Non_Wetland,Grassland
141,NULL,Forest,NULL,NULL,Non_Wetland,NULL
142,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
143,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
144,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
145,NULL,Forest,NULL,NULL,Non_Wetland,Forest
146,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
147,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
148,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
149,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
150,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
151,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
152,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
153,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
154,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
155,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
156,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
157,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
158,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
159,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
160,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
161,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
162,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
163,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
164,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
165,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
166,NULL,Forest,Wetland,NULL,Wetland,Forest
167,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
168,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
169,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
170,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
171,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
172,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
173,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
174,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
175,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
176,NULL,Forest,Forest,NULL,Non_Wetland,NULL
177,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
178,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
179,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
180,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
181,NULL,Forest,Forest,NULL,Non_Wetland,Forest
182,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
183,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
184,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
185,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
186,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
187,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
188,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
189,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
190,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
191,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
192,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
193,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
194,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
195,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
196,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
197,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
198,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland
199,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
200,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
201,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
202,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
203,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
204,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
205,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
206,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
207,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
208,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL
209,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
210,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
211,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
212,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
213,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
214,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
215,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
216,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
217,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
218,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
219,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
220,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
221,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
222,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
223,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest
224,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland
225,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
226,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
227,Grassland,Bareland,Grassland,NULL,Non_Wetland,Grassland
228,Grassland,Water,NULL,NULL,Non_Wetland,Forest
229,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland
230,Grassland,Water,Shrubland,NULL,Non_Wetland,Forest
231,Grassland,Water,Grassland,NULL,Non_Wetland,Grassland
232,Grassland,Water,Bareland,NULL,Non_Wetland,Grassland
233,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
234,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
235,Grassland,Forest,NULL,NULL,Non_Wetland,Cropland
236,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
237,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
238,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
239,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland
240,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland
241,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
242,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL
243,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
244,Grassland,Forest,Grassland,NULL,Non_Wetland,Cropland
245,Grassland,Forest,Grassland,NULL,Non_Wetland,Wetland
246,Grassland,Forest,Grassland,NULL,Non_Wetland,Bareland
247,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest
248,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
249,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
250,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland
251,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
252,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL
253,Grassland,Forest,Bareland,NULL,Non_Wetland,Grassland
254,Grassland,Forest,Bareland,NULL,Non_Wetland,Cropland
255,Grassland,Forest,Bareland,NULL,Non_Wetland,Forest
256,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
257,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
258,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland
259,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
260,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
261,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
262,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
263,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
264,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
265,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
266,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
267,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
268,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
269,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
270,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
271,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
272,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
273,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
274,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
275,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
276,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
277,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
278,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland
279,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
280,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
281,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
282,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
283,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
284,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
285,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
286,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
287,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
288,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
289,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
290,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Bareland
291,Cropland,NULL,Wetland,NULL,Wetland,NULL
292,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
293,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
294,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
295,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
296,Cropland,NULL,Bareland,NULL,Non_Wetland,Wetland
297,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
298,Cropland,NULL,Bareland,NULL,Non_Wetland,Built-up
299,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
300,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
301,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
302,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
303,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
304,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
305,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
306,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
307,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
308,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
309,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
310,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland
311,Cropland,NULL,Forest,NULL,Non_Wetland,Built-up
312,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
313,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
314,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
315,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
316,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland
317,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
318,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
319,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
320,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
321,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
322,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
323,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
324,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
325,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
326,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
327,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
328,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
329,Cropland,Cropland,Grassland,NULL,Non_Wetland,Wetland
330,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
331,Cropland,Cropland,Grassland,NULL,Non_Wetland,Built-up
332,Cropland,Cropland,Grassland,NULL,Non_Wetland,Water
333,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
334,Cropland,Cropland,Grassland,Water,Non_Wetland,Bareland
335,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
336,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
337,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
338,Cropland,Cropland,Cropland,NULL,Non_Wetland,Wetland
339,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland
340,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up
341,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
342,Cropland,Cropland,Wetland,NULL,Wetland,Forest
343,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
344,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL
345,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
346,Cropland,Cropland,Bareland,NULL,Non_Wetland,Forest
347,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL
348,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
349,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland
350,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland
351,Cropland,Cropland,Built-up,NULL,Non_Wetland,Built-up
352,Cropland,Cropland,Built-up,NULL,Non_Wetland,Forest
353,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
354,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
355,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland
356,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland
357,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
358,Cropland,Bareland,NULL,NULL,Non_Wetland,Grassland
359,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
360,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Cropland
361,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Wetland
362,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
363,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Forest
364,Cropland,Bareland,Grassland,NULL,Non_Wetland,Grassland
365,Cropland,Bareland,Grassland,NULL,Non_Wetland,Cropland
366,Cropland,Bareland,Grassland,NULL,Non_Wetland,Wetland
367,Cropland,Bareland,Grassland,NULL,Non_Wetland,Bareland
368,Cropland,Bareland,Grassland,NULL,Non_Wetland,Forest
369,Cropland,Bareland,Cropland,NULL,Non_Wetland,Grassland
370,Cropland,Bareland,Cropland,NULL,Non_Wetland,Cropland
371,Cropland,Bareland,Cropland,NULL,Non_Wetland,Bareland
372,Cropland,Bareland,Bareland,NULL,Non_Wetland,Grassland
373,Cropland,Bareland,Bareland,NULL,Non_Wetland,Wetland
374,Cropland,Bareland,Bareland,NULL,Non_Wetland,Bareland
375,Cropland,Bareland,Built-up,NULL,Non_Wetland,Grassland
376,Cropland,Bareland,Built-up,NULL,Non_Wetland,Bareland
377,Cropland,Bareland,Forest,NULL,Non_Wetland,Grassland
378,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL
379,Cropland,Built-up,NULL,NULL,Non_Wetland,Grassland
380,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL
381,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
382,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Built-up
383,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Forest
384,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
385,Cropland,Built-up,Grassland,NULL,Non_Wetland,Built-up
386,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL
387,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
388,Cropland,Built-up,Cropland,NULL,Non_Wetland,Cropland
389,Cropland,Built-up,Cropland,NULL,Non_Wetland,Built-up
390,Cropland,Built-up,Cropland,NULL,Non_Wetland,Forest
391,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL
392,Cropland,Built-up,Built-up,NULL,Non_Wetland,Grassland
393,Cropland,Built-up,Built-up,NULL,Non_Wetland,Built-up
394,Cropland,Built-up,Built-up,NULL,Non_Wetland,Forest
395,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL
396,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland
397,Cropland,Water,NULL,NULL,Non_Wetland,Grassland
398,Cropland,Water,NULL,NULL,Non_Wetland,Forest
399,Cropland,Water,Shrubland,NULL,Non_Wetland,Grassland
400,Cropland,Water,Shrubland,NULL,Non_Wetland,Wetland
401,Cropland,Water,Shrubland,NULL,Non_Wetland,Bareland
402,Cropland,Water,Shrubland,NULL,Non_Wetland,Forest
403,Cropland,Water,Grassland,NULL,Non_Wetland,Grassland
404,Cropland,Water,Grassland,NULL,Non_Wetland,Cropland
405,Cropland,Water,Grassland,NULL,Non_Wetland,Wetland
406,Cropland,Water,Grassland,NULL,Non_Wetland,Bareland
407,Cropland,Water,Grassland,NULL,Non_Wetland,Forest
408,Cropland,Water,Cropland,NULL,Non_Wetland,Grassland
409,Cropland,Water,Cropland,NULL,Non_Wetland,Bareland
410,Cropland,Water,Cropland,NULL,Non_Wetland,Forest
411,Cropland,Water,Bareland,NULL,Non_Wetland,NULL
412,Cropland,Water,Bareland,NULL,Non_Wetland,Grassland
413,Cropland,Water,Built-up,NULL,Non_Wetland,Grassland
414,Cropland,Water,Forest,NULL,Non_Wetland,Grassland
415,Cropland,Water,Forest,NULL,Non_Wetland,Bareland
416,Cropland,Water,Forest,NULL,Non_Wetland,Forest
