Value,AFRICA_2024_DynamicWorld_2024_35PNM_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PNM_M_R,AFRICA_2024_GLC_FCS30D_2022_35PNM_M_R,AFRICA_2024_GSW_Yearly_2021_35PNM_M_R,AFRICA_2024_GWL_FCS30D_2022_35PNM_M_R,AFRICA_2024_WorldCover_2021_35PNM_M_R
427,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest
428,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
429,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,Forest
430,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
431,Cropland,Forest,Grassland,NULL,Non_Wetland,Cropland
432,Cropland,Forest,Wetland,NULL,Wetland,Grassland
433,Cropland,Forest,Wetland,NULL,Wetland,Cropland
434,Cropland,Forest,Wetland,NULL,Wetland,Wetland
435,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
436,Wetland,NULL,NULL,NULL,Non_Wetland,NULL
437,Wetland,NULL,NULL,NULL,Non_Wetland,Grassland
438,Wetland,NULL,NULL,NULL,Non_Wetland,Cropland
439,Wetland,NULL,NULL,NULL,Non_Wetland,Wetland
440,Wetland,NULL,NULL,NULL,Non_Wetland,Forest
441,Wetland,NULL,NULL,Non_Water,Non_Wetland,NULL
442,Wetland,NULL,NULL,Non_Water,Non_Wetland,Grassland
443,Wetland,NULL,NULL,Non_Water,Non_Wetland,Cropland
444,Wetland,NULL,NULL,Non_Water,Non_Wetland,Forest
445,Wetland,NULL,NULL,Water,Non_Wetland,NULL
446,Wetland,NULL,NULL,Water,Non_Wetland,Grassland
447,Wetland,NULL,NULL,Water,Non_Wetland,Wetland
448,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL
449,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
450,Wetland,NULL,Shrubland,NULL,Non_Wetland,Cropland
451,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland
452,Wetland,NULL,Shrubland,NULL,Non_Wetland,Forest
453,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
454,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
455,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
456,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
457,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
458,Wetland,NULL,Shrubland,Water,Non_Wetland,Grassland
459,Wetland,NULL,Shrubland,Water,Non_Wetland,Water
460,Wetland,NULL,Shrubland,Water,Non_Wetland,Forest
461,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL
462,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland
463,Wetland,NULL,Grassland,NULL,Non_Wetland,Cropland
464,Wetland,NULL,Grassland,NULL,Non_Wetland,Wetland
465,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
466,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
467,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
468,Wetland,NULL,Grassland,Water,Non_Wetland,Grassland
469,Wetland,NULL,Grassland,Water,Non_Wetland,Cropland
470,Wetland,NULL,Grassland,Water,Non_Wetland,Wetland
471,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL
472,Wetland,NULL,Cropland,NULL,Non_Wetland,Grassland
473,Wetland,NULL,Cropland,NULL,Non_Wetland,Cropland
474,Wetland,NULL,Cropland,NULL,Non_Wetland,Forest
475,Wetland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
476,Wetland,NULL,Cropland,Non_Water,Non_Wetland,Forest
477,Wetland,NULL,Cropland,Water,Non_Wetland,Grassland
478,Wetland,NULL,Cropland,Water,Non_Wetland,Forest
479,Wetland,NULL,Wetland,NULL,Wetland,NULL
480,Wetland,NULL,Wetland,NULL,Wetland,Grassland
481,Wetland,NULL,Wetland,NULL,Wetland,Cropland
482,Wetland,NULL,Wetland,NULL,Wetland,Wetland
483,Wetland,NULL,Wetland,NULL,Wetland,Forest
484,Wetland,NULL,Wetland,Non_Water,Wetland,NULL
485,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland
486,Wetland,NULL,Wetland,Non_Water,Wetland,Cropland
487,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland
488,Wetland,NULL,Wetland,Non_Water,Wetland,Forest
489,Wetland,NULL,Wetland,Water,Wetland,NULL
490,Wetland,NULL,Wetland,Water,Wetland,Grassland
491,Wetland,NULL,Wetland,Water,Wetland,Cropland
492,Wetland,NULL,Wetland,Water,Wetland,Wetland
493,Wetland,NULL,Wetland,Water,Wetland,Forest
494,Wetland,NULL,Bareland,NULL,Non_Wetland,Grassland
495,Wetland,NULL,Bareland,NULL,Non_Wetland,Wetland
496,Wetland,NULL,Bareland,NULL,Non_Wetland,Forest
497,Wetland,NULL,Water,NULL,Water,NULL
498,Wetland,NULL,Water,NULL,Water,Grassland
499,Wetland,NULL,Water,NULL,Water,Forest
500,Wetland,NULL,Water,Non_Water,Water,NULL
501,Wetland,NULL,Water,Non_Water,Water,Grassland
502,Wetland,NULL,Water,Non_Water,Water,Forest
503,Wetland,NULL,Water,Water,Water,NULL
504,Wetland,NULL,Water,Water,Water,Grassland
505,Wetland,NULL,Water,Water,Water,Forest
506,Wetland,NULL,Forest,NULL,Non_Wetland,NULL
507,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland
508,Wetland,NULL,Forest,NULL,Non_Wetland,Cropland
509,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland
510,Wetland,NULL,Forest,NULL,Non_Wetland,Forest
511,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL
512,Wetland,NULL,Forest,Non_Water,Non_Wetland,Grassland
513,Wetland,NULL,Forest,Non_Water,Non_Wetland,Cropland
514,Wetland,NULL,Forest,Non_Water,Non_Wetland,Wetland
515,Wetland,NULL,Forest,Non_Water,Non_Wetland,Forest
516,Wetland,NULL,Forest,Water,Non_Wetland,NULL
517,Wetland,NULL,Forest,Water,Non_Wetland,Grassland
518,Wetland,NULL,Forest,Water,Non_Wetland,Wetland
519,Wetland,NULL,Forest,Water,Non_Wetland,Forest
520,Wetland,Wetland,NULL,NULL,Non_Wetland,NULL
521,Wetland,Wetland,NULL,NULL,Non_Wetland,Forest
522,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL
523,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
524,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Forest
525,Wetland,Wetland,Cropland,NULL,Non_Wetland,Grassland
526,Wetland,Wetland,Wetland,NULL,Wetland,NULL
527,Wetland,Wetland,Wetland,NULL,Wetland,Grassland
528,Wetland,Wetland,Wetland,NULL,Wetland,Wetland
529,Wetland,Wetland,Wetland,NULL,Wetland,Forest
530,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland
531,Wetland,Wetland,Wetland,Water,Wetland,NULL
532,Wetland,Wetland,Wetland,Water,Wetland,Grassland
533,Wetland,Wetland,Wetland,Water,Wetland,Wetland
534,Wetland,Wetland,Wetland,Water,Wetland,Forest
535,Wetland,Wetland,Water,NULL,Water,NULL
536,Wetland,Wetland,Water,NULL,Water,Wetland
537,Wetland,Wetland,Water,NULL,Water,Forest
538,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL
539,Wetland,Wetland,Forest,NULL,Non_Wetland,Grassland
540,Wetland,Wetland,Forest,NULL,Non_Wetland,Forest
541,Wetland,Wetland,Forest,Water,Non_Wetland,Forest
542,Wetland,Water,NULL,NULL,Non_Wetland,Forest
543,Wetland,Water,Shrubland,NULL,Non_Wetland,Forest
544,Wetland,Water,Shrubland,Non_Water,Non_Wetland,Forest
545,Wetland,Water,Wetland,NULL,Wetland,Forest
546,Wetland,Water,Wetland,Water,Wetland,Wetland
547,Wetland,Forest,NULL,NULL,Non_Wetland,NULL
548,Wetland,Forest,NULL,NULL,Non_Wetland,Grassland
549,Wetland,Forest,NULL,NULL,Non_Wetland,Forest
550,Wetland,Forest,NULL,Non_Water,Non_Wetland,NULL
551,Wetland,Forest,Shrubland,NULL,Non_Wetland,NULL
552,Wetland,Forest,Shrubland,NULL,Non_Wetland,Grassland
553,Wetland,Forest,Shrubland,NULL,Non_Wetland,Cropland
554,Wetland,Forest,Shrubland,NULL,Non_Wetland,Wetland
555,Wetland,Forest,Shrubland,NULL,Non_Wetland,Forest
556,Wetland,Forest,Shrubland,Non_Water,Non_Wetland,NULL
557,Wetland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
558,Wetland,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
559,Wetland,Forest,Shrubland,Non_Water,Non_Wetland,Forest
560,Wetland,Forest,Shrubland,Water,Non_Wetland,Forest
561,Wetland,Forest,Grassland,NULL,Non_Wetland,Forest
562,Wetland,Forest,Cropland,NULL,Non_Wetland,NULL
563,Wetland,Forest,Cropland,Non_Water,Non_Wetland,Grassland
564,Wetland,Forest,Wetland,NULL,Wetland,NULL
565,Wetland,Forest,Wetland,NULL,Wetland,Grassland
566,Wetland,Forest,Wetland,NULL,Wetland,Wetland
567,Wetland,Forest,Wetland,NULL,Wetland,Forest
568,Wetland,Forest,Wetland,Non_Water,Wetland,NULL
569,Wetland,Forest,Wetland,Non_Water,Wetland,Grassland
570,Wetland,Forest,Wetland,Non_Water,Wetland,Cropland
571,Wetland,Forest,Wetland,Non_Water,Wetland,Wetland
572,Wetland,Forest,Wetland,Water,Wetland,Wetland
573,Wetland,Forest,Bareland,NULL,Non_Wetland,NULL
574,Wetland,Forest,Forest,NULL,Non_Wetland,NULL
575,Wetland,Forest,Forest,NULL,Non_Wetland,Grassland
576,Wetland,Forest,Forest,NULL,Non_Wetland,Forest
577,Wetland,Forest,Forest,Non_Water,Non_Wetland,NULL
578,Wetland,Forest,Forest,Non_Water,Non_Wetland,Forest
579,Bareland,NULL,NULL,NULL,Non_Wetland,NULL
580,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
581,Bareland,NULL,NULL,NULL,Non_Wetland,Cropland
582,Bareland,NULL,NULL,NULL,Non_Wetland,Wetland
583,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland
584,Bareland,NULL,NULL,Non_Water,Non_Wetland,Grassland
585,Bareland,NULL,NULL,Non_Water,Non_Wetland,Cropland
586,Bareland,NULL,NULL,Water,Non_Wetland,Grassland
587,Bareland,NULL,NULL,Water,Non_Wetland,Wetland
588,Bareland,NULL,NULL,Water,Non_Wetland,Bareland
589,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
590,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
591,Bareland,NULL,Shrubland,NULL,Non_Wetland,Cropland
592,Bareland,NULL,Shrubland,NULL,Non_Wetland,Wetland
593,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
594,Bareland,NULL,Shrubland,NULL,Non_Wetland,Forest
595,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
596,Bareland,NULL,Shrubland,Water,Non_Wetland,Grassland
597,Bareland,NULL,Shrubland,Water,Non_Wetland,Wetland
598,Bareland,NULL,Shrubland,Water,Non_Wetland,Bareland
599,Bareland,NULL,Shrubland,Water,Non_Wetland,Water
600,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
601,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
602,Bareland,NULL,Grassland,NULL,Non_Wetland,Cropland
603,Bareland,NULL,Grassland,NULL,Non_Wetland,Wetland
604,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
605,Bareland,NULL,Grassland,NULL,Non_Wetland,Built-up
606,Bareland,NULL,Grassland,NULL,Non_Wetland,Forest
607,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
608,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
609,Bareland,NULL,Grassland,Water,Non_Wetland,Grassland
610,Bareland,NULL,Grassland,Water,Non_Wetland,Cropland
611,Bareland,NULL,Grassland,Water,Non_Wetland,Wetland
612,Bareland,NULL,Grassland,Water,Non_Wetland,Bareland
613,Bareland,NULL,Grassland,Water,Non_Wetland,Water
614,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
615,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
616,Bareland,NULL,Cropland,Water,Non_Wetland,Grassland
617,Bareland,NULL,Cropland,Water,Non_Wetland,Bareland
618,Bareland,NULL,Wetland,NULL,Wetland,NULL
619,Bareland,NULL,Wetland,NULL,Wetland,Grassland
620,Bareland,NULL,Wetland,NULL,Wetland,Cropland
621,Bareland,NULL,Wetland,NULL,Wetland,Wetland
622,Bareland,NULL,Wetland,NULL,Wetland,Bareland
623,Bareland,NULL,Wetland,Non_Water,Wetland,Grassland
624,Bareland,NULL,Wetland,Water,Wetland,Grassland
625,Bareland,NULL,Wetland,Water,Wetland,Cropland
626,Bareland,NULL,Wetland,Water,Wetland,Wetland
627,Bareland,NULL,Wetland,Water,Wetland,Bareland
628,Bareland,NULL,Wetland,Water,Wetland,Water
629,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
630,Bareland,NULL,Bareland,NULL,Non_Wetland,Wetland
631,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
632,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
633,Bareland,NULL,Bareland,Water,Non_Wetland,Grassland
634,Bareland,NULL,Bareland,Water,Non_Wetland,Bareland
635,Bareland,NULL,Bareland,Water,Non_Wetland,Water
636,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland
637,Bareland,NULL,Built-up,NULL,Non_Wetland,Cropland
638,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland
639,Bareland,NULL,Built-up,NULL,Non_Wetland,Built-up
640,Bareland,NULL,Built-up,Water,Non_Wetland,Grassland
641,Bareland,NULL,Water,Water,Water,Grassland
642,Bareland,NULL,Water,Water,Water,Wetland
643,Bareland,NULL,Forest,NULL,Non_Wetland,NULL
644,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland
645,Bareland,NULL,Forest,NULL,Non_Wetland,Cropland
646,Bareland,NULL,Forest,NULL,Non_Wetland,Wetland
647,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland
648,Bareland,NULL,Forest,Non_Water,Non_Wetland,Grassland
649,Bareland,NULL,Forest,Non_Water,Non_Wetland,Bareland
650,Bareland,NULL,Forest,Water,Non_Wetland,Grassland
651,Bareland,NULL,Forest,Water,Non_Wetland,Cropland
652,Bareland,NULL,Forest,Water,Non_Wetland,Bareland
653,Bareland,NULL,Forest,Water,Non_Wetland,Water
654,Bareland,Cropland,NULL,NULL,Non_Wetland,Grassland
655,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
656,Bareland,Cropland,Grassland,NULL,Non_Wetland,Grassland
657,Bareland,Cropland,Grassland,NULL,Non_Wetland,Cropland
658,Bareland,Cropland,Forest,NULL,Non_Wetland,Grassland
659,Bareland,Built-up,NULL,NULL,Non_Wetland,Cropland
660,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
661,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Cropland
662,Bareland,Built-up,Grassland,NULL,Non_Wetland,Grassland
663,Bareland,Built-up,Grassland,NULL,Non_Wetland,Cropland
664,Bareland,Built-up,Grassland,NULL,Non_Wetland,Bareland
665,Bareland,Built-up,Grassland,NULL,Non_Wetland,Built-up
666,Bareland,Built-up,Built-up,NULL,Non_Wetland,Grassland
667,Bareland,Built-up,Built-up,NULL,Non_Wetland,Built-up
668,Bareland,Built-up,Forest,NULL,Non_Wetland,Grassland
669,Bareland,Built-up,Forest,NULL,Non_Wetland,Cropland
670,Bareland,Water,NULL,NULL,Non_Wetland,Grassland
671,Bareland,Water,NULL,Water,Non_Wetland,Grassland
672,Bareland,Water,Wetland,Water,Wetland,Bareland
673,Bareland,Water,Built-up,NULL,Non_Wetland,Grassland
674,Bareland,Forest,Shrubland,NULL,Non_Wetland,Wetland
675,Bareland,Forest,Wetland,NULL,Wetland,Wetland
676,Bareland,Forest,Forest,NULL,Non_Wetland,Cropland
677,Water,NULL,NULL,NULL,Non_Wetland,Grassland
678,Water,NULL,NULL,NULL,Non_Wetland,Cropland
679,Water,NULL,NULL,NULL,Non_Wetland,Wetland
680,Water,NULL,NULL,NULL,Non_Wetland,Bareland
681,Water,NULL,NULL,NULL,Non_Wetland,Water
682,Water,NULL,NULL,NULL,Non_Wetland,Forest
683,Water,NULL,NULL,Non_Water,Non_Wetland,Grassland
684,Water,NULL,NULL,Water,Non_Wetland,Grassland
685,Water,NULL,NULL,Water,Non_Wetland,Wetland
686,Water,NULL,NULL,Water,Non_Wetland,Bareland
687,Water,NULL,Shrubland,NULL,Non_Wetland,NULL
688,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland
689,Water,NULL,Shrubland,NULL,Non_Wetland,Cropland
690,Water,NULL,Shrubland,NULL,Non_Wetland,Wetland
691,Water,NULL,Shrubland,NULL,Non_Wetland,Bareland
692,Water,NULL,Shrubland,NULL,Non_Wetland,Forest
693,Water,NULL,Shrubland,Non_Water,Non_Wetland,NULL
694,Water,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
695,Water,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
696,Water,NULL,Shrubland,Non_Water,Non_Wetland,Forest
697,Water,NULL,Shrubland,Water,Non_Wetland,Grassland
698,Water,NULL,Shrubland,Water,Non_Wetland,Cropland
699,Water,NULL,Shrubland,Water,Non_Wetland,Wetland
700,Water,NULL,Shrubland,Water,Non_Wetland,Forest
701,Water,NULL,Grassland,NULL,Non_Wetland,NULL
702,Water,NULL,Grassland,NULL,Non_Wetland,Grassland
703,Water,NULL,Grassland,NULL,Non_Wetland,Cropland
704,Water,NULL,Grassland,NULL,Non_Wetland,Wetland
705,Water,NULL,Grassland,NULL,Non_Wetland,Bareland
706,Water,NULL,Grassland,NULL,Non_Wetland,Water
707,Water,NULL,Grassland,NULL,Non_Wetland,Forest
708,Water,NULL,Grassland,Non_Water,Non_Wetland,Grassland
709,Water,NULL,Grassland,Non_Water,Non_Wetland,Cropland
710,Water,NULL,Grassland,Non_Water,Non_Wetland,Wetland
711,Water,NULL,Grassland,Non_Water,Non_Wetland,Bareland
712,Water,NULL,Grassland,Water,Non_Wetland,Grassland
713,Water,NULL,Grassland,Water,Non_Wetland,Cropland
714,Water,NULL,Grassland,Water,Non_Wetland,Wetland
715,Water,NULL,Grassland,Water,Non_Wetland,Bareland
716,Water,NULL,Cropland,NULL,Non_Wetland,Grassland
717,Water,NULL,Cropland,NULL,Non_Wetland,Wetland
718,Water,NULL,Cropland,NULL,Non_Wetland,Forest
719,Water,NULL,Cropland,Non_Water,Non_Wetland,Grassland
720,Water,NULL,Cropland,Water,Non_Wetland,Grassland
721,Water,NULL,Cropland,Water,Non_Wetland,Wetland
722,Water,NULL,Wetland,NULL,Wetland,Grassland
723,Water,NULL,Wetland,NULL,Wetland,Cropland
724,Water,NULL,Wetland,NULL,Wetland,Wetland
725,Water,NULL,Wetland,NULL,Wetland,Bareland
726,Water,NULL,Wetland,NULL,Wetland,Forest
727,Water,NULL,Wetland,Non_Water,Wetland,Grassland
728,Water,NULL,Wetland,Non_Water,Wetland,Cropland
729,Water,NULL,Wetland,Non_Water,Wetland,Wetland
730,Water,NULL,Wetland,Non_Water,Wetland,Forest
731,Water,NULL,Wetland,Water,Wetland,Grassland
732,Water,NULL,Wetland,Water,Wetland,Cropland
733,Water,NULL,Wetland,Water,Wetland,Wetland
734,Water,NULL,Wetland,Water,Wetland,Bareland
735,Water,NULL,Wetland,Water,Wetland,Water
736,Water,NULL,Wetland,Water,Wetland,Forest
737,Water,NULL,Bareland,NULL,Non_Wetland,Cropland
738,Water,NULL,Bareland,NULL,Non_Wetland,Wetland
739,Water,NULL,Bareland,NULL,Non_Wetland,Bareland
740,Water,NULL,Bareland,NULL,Non_Wetland,Water
741,Water,NULL,Bareland,Non_Water,Non_Wetland,Grassland
742,Water,NULL,Bareland,Water,Non_Wetland,Wetland
743,Water,NULL,Bareland,Water,Non_Wetland,Bareland
744,Water,NULL,Bareland,Water,Non_Wetland,Water
745,Water,NULL,Water,NULL,Water,Bareland
746,Water,NULL,Water,Non_Water,Water,Grassland
747,Water,NULL,Water,Water,Water,Grassland
748,Water,NULL,Water,Water,Water,Bareland
749,Water,NULL,Forest,NULL,Non_Wetland,Grassland
750,Water,NULL,Forest,NULL,Non_Wetland,Cropland
751,Water,NULL,Forest,NULL,Non_Wetland,Wetland
752,Water,NULL,Forest,NULL,Non_Wetland,Bareland
753,Water,NULL,Forest,NULL,Non_Wetland,Forest
754,Water,NULL,Forest,Non_Water,Non_Wetland,Grassland
755,Water,NULL,Forest,Non_Water,Non_Wetland,Cropland
756,Water,NULL,Forest,Water,Non_Wetland,Grassland
757,Water,NULL,Forest,Water,Non_Wetland,Wetland
758,Water,NULL,Forest,Water,Non_Wetland,Bareland
759,Water,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
760,Water,Wetland,Wetland,Water,Wetland,Grassland
761,Water,Wetland,Wetland,Water,Wetland,Wetland
762,Water,Wetland,Wetland,Water,Wetland,Forest
763,Water,Built-up,Grassland,NULL,Non_Wetland,Cropland
764,Water,Water,NULL,NULL,Non_Wetland,Grassland
765,Water,Water,NULL,NULL,Non_Wetland,Cropland
766,Water,Water,NULL,NULL,Non_Wetland,Wetland
767,Water,Water,NULL,NULL,Non_Wetland,Bareland
768,Water,Water,NULL,Non_Water,Non_Wetland,Wetland
769,Water,Water,NULL,Non_Water,Non_Wetland,Forest
770,Water,Water,NULL,Water,Non_Wetland,Grassland
771,Water,Water,NULL,Water,Non_Wetland,Wetland
772,Water,Water,NULL,Water,Non_Wetland,Water
773,Water,Water,Shrubland,NULL,Non_Wetland,NULL
774,Water,Water,Shrubland,NULL,Non_Wetland,Grassland
775,Water,Water,Shrubland,NULL,Non_Wetland,Wetland
776,Water,Water,Shrubland,NULL,Non_Wetland,Forest
777,Water,Water,Shrubland,Non_Water,Non_Wetland,Grassland
778,Water,Water,Shrubland,Non_Water,Non_Wetland,Wetland
779,Water,Water,Shrubland,Non_Water,Non_Wetland,Forest
780,Water,Water,Shrubland,Water,Non_Wetland,Forest
781,Water,Water,Cropland,Water,Non_Wetland,Forest
782,Water,Water,Wetland,NULL,Wetland,Grassland
783,Water,Water,Wetland,NULL,Wetland,Wetland
784,Water,Water,Wetland,NULL,Wetland,Forest
785,Water,Water,Wetland,Non_Water,Wetland,NULL
786,Water,Water,Wetland,Non_Water,Wetland,Grassland
787,Water,Water,Wetland,Non_Water,Wetland,Forest
788,Water,Water,Wetland,Water,Wetland,Grassland
789,Water,Water,Wetland,Water,Wetland,Cropland
790,Water,Water,Wetland,Water,Wetland,Wetland
791,Water,Water,Wetland,Water,Wetland,Bareland
792,Water,Water,Wetland,Water,Wetland,Water
793,Water,Water,Wetland,Water,Wetland,Forest
794,Water,Water,Bareland,Water,Non_Wetland,Water
795,Water,Water,Built-up,NULL,Non_Wetland,Grassland
796,Water,Water,Built-up,Non_Water,Non_Wetland,Grassland
797,Water,Water,Forest,NULL,Non_Wetland,Grassland
798,Water,Water,Forest,NULL,Non_Wetland,Water
799,Water,Water,Forest,Water,Non_Wetland,Wetland
800,Water,Forest,NULL,NULL,Non_Wetland,Grassland
801,Water,Forest,NULL,NULL,Non_Wetland,Bareland
802,Water,Forest,NULL,NULL,Non_Wetland,Forest
803,Water,Forest,NULL,Water,Non_Wetland,Grassland
804,Water,Forest,Shrubland,NULL,Non_Wetland,NULL
805,Water,Forest,Shrubland,NULL,Non_Wetland,Grassland
806,Water,Forest,Shrubland,NULL,Non_Wetland,Cropland
807,Water,Forest,Shrubland,NULL,Non_Wetland,Wetland
808,Water,Forest,Shrubland,NULL,Non_Wetland,Forest
809,Water,Forest,Grassland,NULL,Non_Wetland,Forest
810,Water,Forest,Cropland,NULL,Non_Wetland,Grassland
811,Water,Forest,Wetland,NULL,Wetland,Grassland
812,Water,Forest,Wetland,NULL,Wetland,Forest
813,Water,Forest,Wetland,Non_Water,Wetland,Grassland
814,Water,Forest,Wetland,Water,Wetland,Grassland
815,Water,Forest,Forest,NULL,Non_Wetland,Grassland
816,Forest,NULL,NULL,NULL,Non_Wetland,NULL
817,Forest,NULL,NULL,NULL,Non_Wetland,Grassland
818,Forest,NULL,NULL,NULL,Non_Wetland,Cropland
819,Forest,NULL,NULL,NULL,Non_Wetland,Wetland
820,Forest,NULL,NULL,NULL,Non_Wetland,Forest
821,Forest,NULL,NULL,Non_Water,Non_Wetland,NULL
822,Forest,NULL,NULL,Non_Water,Non_Wetland,Cropland
823,Forest,NULL,NULL,Non_Water,Non_Wetland,Forest
824,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
825,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland
826,Forest,NULL,Shrubland,NULL,Non_Wetland,Cropland
827,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland
828,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland
829,Forest,NULL,Shrubland,NULL,Non_Wetland,Built-up
830,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest
831,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL
832,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
833,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
834,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
835,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Forest
836,Forest,NULL,Shrubland,Water,Non_Wetland,Grassland
837,Forest,NULL,Shrubland,Water,Non_Wetland,Wetland
838,Forest,NULL,Shrubland,Water,Non_Wetland,Forest
839,Forest,NULL,Grassland,NULL,Non_Wetland,NULL
840,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland
841,Forest,NULL,Grassland,NULL,Non_Wetland,Cropland
842,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland
843,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland
844,Forest,NULL,Grassland,NULL,Non_Wetland,Forest
845,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL
846,Forest,NULL,Grassland,Non_Water,Non_Wetland,Grassland
847,Forest,NULL,Grassland,Non_Water,Non_Wetland,Cropland
848,Forest,NULL,Grassland,Non_Water,Non_Wetland,Wetland
849,Forest,NULL,Grassland,Water,Non_Wetland,Grassland
850,Forest,NULL,Cropland,NULL,Non_Wetland,NULL
851,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland
852,Forest,NULL,Cropland,NULL,Non_Wetland,Forest
853,Forest,NULL,Wetland,NULL,Wetland,NULL
854,Forest,NULL,Wetland,NULL,Wetland,Grassland
855,Forest,NULL,Wetland,NULL,Wetland,Cropland
856,Forest,NULL,Wetland,NULL,Wetland,Wetland
857,Forest,NULL,Wetland,NULL,Wetland,Forest
858,Forest,NULL,Wetland,Non_Water,Wetland,NULL
859,Forest,NULL,Wetland,Non_Water,Wetland,Grassland
860,Forest,NULL,Wetland,Non_Water,Wetland,Cropland
861,Forest,NULL,Wetland,Non_Water,Wetland,Wetland
862,Forest,NULL,Wetland,Non_Water,Wetland,Forest
863,Forest,NULL,Wetland,Water,Wetland,Grassland
864,Forest,NULL,Wetland,Water,Wetland,Cropland
865,Forest,NULL,Bareland,NULL,Non_Wetland,NULL
866,Forest,NULL,Bareland,NULL,Non_Wetland,Grassland
867,Forest,NULL,Bareland,NULL,Non_Wetland,Cropland
868,Forest,NULL,Bareland,NULL,Non_Wetland,Wetland
869,Forest,NULL,Bareland,NULL,Non_Wetland,Forest
870,Forest,NULL,Built-up,NULL,Non_Wetland,NULL
